GCCSA_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
1GSYD,59460,29590,30569,60159,30039,31292,61329,30498,31665,62169,29814,30555,60369,149478,154011,303485,28793,30440,59234,27251,29129,56384,26369,27773,54138,25925,28104,54029,24859,27041,51901,133198,142487,275683,23989,26289,50274,23085,25718,48801,22332,24539,46872,21569,23982,45550,20267,22811,43079,111238,123339,234579,20185,22330,42515,19936,21964,41905,18922,20887,39817,19238,20959,40196,19346,21116,40456,97631,107264,204890,16277,18056,34334,14883,16746,31624,14384,15714,30099,12275,13979,26251,11700,13313,25007,69511,77803,147312,45992,56208,102203,26169,36678,62844,11665,20678,32340,2735,6611,9345,251,942,1194,2585238,2645912,5231147
1RNSW,34213,17099,18019,35126,18369,19181,37550,18856,20155,39015,19426,20498,39926,90390,95443,185830,19483,20603,40088,19041,20187,39227,19002,20272,39268,18683,19922,38603,18463,19483,37943,94668,100460,195135,18328,18917,37242,17918,18863,36782,17498,18442,35938,17888,18431,36316,17203,17782,34985,88832,92442,181273,17105,17464,34567,16522,17007,33530,16179,16435,32617,16083,16116,32197,16779,17236,34019,82664,84267,166927,13448,13714,27163,12886,13544,26427,11863,12848,24713,10290,11299,21588,9945,10772,20719,58430,62180,120612,37216,43907,81119,19947,27874,47825,8430,15017,23444,1712,4415,6131,141,580,713,1392556,1437081,2829637
19499,167,88,65,152,99,65,162,111,70,185,87,96,179,480,359,844,112,78,185,85,61,151,102,78,178,78,50,127,91,74,161,470,339,808,81,48,133,74,71,137,94,36,138,78,41,119,75,36,115,403,236,637,70,46,113,55,30,85,42,39,82,32,25,58,50,26,75,250,163,415,43,17,59,29,11,45,18,13,32,18,17,32,17,7,22,120,66,191,48,39,86,8,17,26,11,7,17,0,4,3,0,0,0,6375,4997,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,56015,27071,28463,55533,27101,28842,55943,27468,28562,56026,26595,27855,54452,135553,142429,277976,26148,27671,53817,24756,26904,51663,24357,26051,50406,23278,25357,48630,22537,24953,47486,121073,130934,252005,22309,24259,46563,21193,23488,44682,19857,22468,42327,19588,21982,41572,18790,21263,40054,101739,113462,215194,18331,21167,39496,17760,20428,38188,17140,19624,36762,17271,19739,37015,17951,20413,38369,88460,101370,189829,14978,16695,31675,13723,15683,29405,12865,14945,27806,11231,13253,24477,11137,12962,24102,63931,73536,137469,43462,54062,97528,24716,35577,60293,11013,19320,30327,2540,5816,8356,225,816,1038,2420718,2497033,4917750
2RVIC,19684,9798,10432,20231,10129,10873,21005,10494,11426,21918,10840,11692,22534,50726,54645,105372,10810,11663,22468,10590,11370,21960,10841,11522,22361,10587,11338,21928,10398,10992,21395,53233,56876,110111,10500,10906,21403,10297,10935,21234,10303,10727,21021,10195,10817,21008,10091,10189,20277,51379,53567,104945,9823,9863,19686,9695,9957,19655,9130,9374,18506,9039,9164,18198,9381,9547,18927,47064,47905,94972,7566,7656,15223,6892,7212,14103,6326,6793,13119,5615,6058,11674,5498,5996,11498,31904,33714,65616,20535,23499,44035,10784,14922,25701,4659,8197,12854,1001,2473,3476,75,312,386,775038,801575,1576613
29499,145,56,43,92,56,42,98,59,46,104,82,41,120,353,212,563,75,49,126,51,47,100,61,46,105,56,39,98,48,41,87,288,217,511,71,33,102,52,35,80,46,36,84,64,21,88,37,20,58,271,141,418,35,16,51,17,19,42,25,9,37,16,13,26,25,14,34,116,74,194,31,14,44,15,15,24,8,8,20,12,8,18,12,0,15,70,42,120,20,14,34,7,14,26,5,0,3,0,3,3,0,0,0,5170,3915,9089
29799,0,5,6,9,0,0,0,0,0,0,0,0,0,5,6,9,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,6,0,6,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,38
3GBRI,28343,13968,14537,28506,14304,14938,29237,14112,15029,29145,13794,14710,28501,70034,73701,143731,13630,14465,28098,12996,13682,26677,12478,13569,26046,11904,13057,24960,11608,12672,24285,62624,67444,130066,11623,12365,23990,10986,11994,22982,10466,11727,22188,10445,11504,21944,10361,11479,21837,53875,59069,112944,9887,10946,20830,9797,10831,20631,9556,10522,20082,9249,10155,19404,9688,10585,20274,48175,53049,101223,7829,8656,16486,7496,8254,15743,6768,7544,14311,5801,6566,12363,5694,6354,12048,33582,37371,70951,20369,24702,45070,10442,15250,25686,4614,8540,13157,960,2617,3577,99,366,460,1242349,1283890,2526238
3RQLD,32849,16127,17164,33284,16986,17790,34771,17106,18157,35261,17189,18176,35366,83377,88162,171537,17312,18197,35508,16512,17493,34005,16423,16910,33328,15884,16925,32813,15693,16131,31826,81822,85657,167484,15219,15972,31188,15069,15740,30811,14621,15314,29931,14706,14953,29661,14385,14312,28702,73998,76297,150295,14188,14274,28464,13708,14121,27829,13286,13494,26783,13203,13021,26218,13714,13867,27579,68102,68775,136876,11186,11156,22343,10573,10959,21531,9738,10002,19741,8242,8772,17015,7970,8489,16459,47713,49376,97085,29123,32324,61446,14742,19122,33864,5816,9913,15729,1235,2886,4128,89,400,489,1290035,1325000,2615036
