GCCSA_CODE_2021,M_15_19_yr_Married,M_15_19_yr_Separated,M_15_19_yr_Divorced,M_15_19_yr_Widowed,M_15_19_yr_Never_married,M_15_19_yr_Tot,M_20_24_yr_Married,M_20_24_yr_Separated,M_20_24_yr_Divorced,M_20_24_yr_Widowed,M_20_24_yr_Never_married,M_20_24_yr_Tot,M_25_34_yr_Married,M_25_34_yr_Separated,M_25_34_yr_Divorced,M_25_34_yr_Widowed,M_25_34_yr_Never_married,M_25_34_yr_Tot,M_35_44_yr_Married,M_35_44_yr_Separated,M_35_44_yr_Divorced,M_35_44_yr_Widowed,M_35_44_yr_Never_married,M_35_44_yr_Tot,M_45_54_yr_Married,M_45_54_yr_Separated,M_45_54_yr_Divorced,M_45_54_yr_Widowed,M_45_54_yr_Never_married,M_45_54_yr_Tot,M_55_64_yr_Married,M_55_64_yr_Separated,M_55_64_yr_Divorced,M_55_64_yr_Widowed,M_55_64_yr_Never_married,M_55_64_yr_Tot,M_65_74_yr_Married,M_65_74_yr_Separated,M_65_74_yr_Divorced,M_65_74_yr_Widowed,M_65_74_yr_Never_married,M_65_74_yr_Tot,M_75_84_yr_Married,M_75_84_yr_Separated,M_75_84_yr_Divorced,M_75_84_yr_Widowed,M_75_84_yr_Never_married,M_75_84_yr_Tot,M_85ov_Married,M_85ov_Separated,M_85ov_Divorced,M_85ov_Widowed,M_85ov_Never_married,M_85ov_Tot,M_Tot_Married,M_Tot_Separated,M_Tot_Divorced,M_Tot_Widowed,M_Tot_Never_married,M_Tot_Tot,F_15_19_yr_Married,F_15_19_yr_Separated,F_15_19_yr_Divorced,F_15_19_yr_Widowed,F_15_19_yr_Never_married,F_15_19_yr_Tot,F_20_24_yr_Married,F_20_24_yr_Separated,F_20_24_yr_Divorced,F_20_24_yr_Widowed,F_20_24_yr_Never_married,F_20_24_yr_Tot,F_25_34_yr_Married,F_25_34_yr_Separated,F_25_34_yr_Divorced,F_25_34_yr_Widowed,F_25_34_yr_Never_married,F_25_34_yr_Tot,F_35_44_yr_Married,F_35_44_yr_Separated,F_35_44_yr_Divorced,F_35_44_yr_Widowed,F_35_44_yr_Never_married,F_35_44_yr_Tot,F_45_54_yr_Married,F_45_54_yr_Separated,F_45_54_yr_Divorced,F_45_54_yr_Widowed,F_45_54_yr_Never_married,F_45_54_yr_Tot,F_55_64_yr_Married,F_55_64_yr_Separated,F_55_64_yr_Divorced,F_55_64_yr_Widowed,F_55_64_yr_Never_married,F_55_64_yr_Tot,F_65_74_yr_Married,F_65_74_yr_Separated,F_65_74_yr_Divorced,F_65_74_yr_Widowed,F_65_74_yr_Never_married,F_65_74_yr_Tot,F_75_84_yr_Married,F_75_84_yr_Separated,F_75_84_yr_Divorced,F_75_84_yr_Widowed,F_75_84_yr_Never_married,F_75_84_yr_Tot,F_85ov_Married,F_85ov_Separated,F_85ov_Divorced,F_85ov_Widowed,F_85ov_Never_married,F_85ov_Tot,F_Tot_Married,F_Tot_Separated,F_Tot_Divorced,F_Tot_Widowed,F_Tot_Never_married,F_Tot_Tot,P_15_19_yr_Married,P_15_19_yr_Separated,P_15_19_yr_Divorced,P_15_19_yr_Widowed,P_15_19_yr_Never_married,P_15_19_yr_Tot,P_20_24_yr_Married,P_20_24_yr_Separated,P_20_24_yr_Divorced,P_20_24_yr_Widowed,P_20_24_yr_Never_married,P_20_24_yr_Tot,P_25_34_yr_Married,P_25_34_yr_Separated,P_25_34_yr_Divorced,P_25_34_yr_Widowed,P_25_34_yr_Never_married,P_25_34_yr_Tot,P_35_44_yr_Married,P_35_44_yr_Separated,P_35_44_yr_Divorced,P_35_44_yr_Widowed,P_35_44_yr_Never_married,P_35_44_yr_Tot,P_45_54_yr_Married,P_45_54_yr_Separated,P_45_54_yr_Divorced,P_45_54_yr_Widowed,P_45_54_yr_Never_married,P_45_54_yr_Tot,P_55_64_yr_Married,P_55_64_yr_Separated,P_55_64_yr_Divorced,P_55_64_yr_Widowed,P_55_64_yr_Never_married,P_55_64_yr_Tot,P_65_74_yr_Married,P_65_74_yr_Separated,P_65_74_yr_Divorced,P_65_74_yr_Widowed,P_65_74_yr_Never_married,P_65_74_yr_Tot,P_75_84_yr_Married,P_75_84_yr_Separated,P_75_84_yr_Divorced,P_75_84_yr_Widowed,P_75_84_yr_Never_married,P_75_84_yr_Tot,P_85ov_Married,P_85ov_Separated,P_85ov_Divorced,P_85ov_Widowed,P_85ov_Never_married,P_85ov_Tot,P_Tot_Married,P_Tot_Separated,P_Tot_Divorced,P_Tot_Widowed,P_Tot_Never_married,P_Tot_Tot
1GSYD,176,29,27,36,151964,152229,4900,277,180,65,171069,176492,122666,4872,6130,250,267199,401126,249218,11711,19229,575,104762,385497,215341,14441,31303,1586,64104,326780,188097,12500,36751,3827,41497,282673,146701,8533,26590,8246,18798,208867,81697,3491,11046,12339,6926,115498,23873,667,2203,12240,1839,40821,1032686,56518,133475,39162,828148,2089990,269,28,24,36,142173,142533,11109,729,440,69,154226,166569,165234,8289,9800,442,226422,410190,256840,16226,27912,1737,89532,392253,214381,18188,46904,5365,55548,340388,180077,14236,52824,15692,33665,296496,131603,8480,39919,33985,16616,230601,58549,2596,17242,49424,6198,134013,11405,474,4373,45954,2699,64908,1029478,69250,199435,152705,727081,2177951,442,61,55,70,294133,294764,16013,1007,617,132,325291,343064,287906,13165,15930,692,493624,811314,506063,27942,47137,2312,194296,777748,429723,32630,78212,6950,119658,667167,368174,26736,89576,19516,75161,579166,278304,17010,66510,42229,35412,439467,140249,6088,28290,61770,13124,249517,35277,1142,6580,58193,4539,105729,2062160,125769,332916,191863,1555230,4267941
1RNSW,94,23,19,31,83487,83664,1635,103,46,60,76072,77907,45761,2578,2270,110,111181,161894,86693,6489,9040,354,55015,157579,94697,9284,20471,1152,43762,169368,108550,9390,30202,3426,33493,185056,111835,7776,28199,8223,15463,171497,64782,2878,11353,11878,4751,95647,16684,491,1889,10036,1137,30234,530727,39013,103493,35271,424354,1132855,74,21,18,30,78800,78934,2903,248,66,45,71121,74384,59268,4495,3738,313,98813,166628,93171,9086,13153,1077,49496,165984,99981,11108,27893,3351,36406,178733,112627,10468,38384,10264,24160,195902,103283,6403,32561,24243,10221,176704,49260,1882,13047,38441,3459,106086,8575,298,2827,34863,1329,47884,529136,44010,131682,112623,373791,1191247,166,51,39,60,162283,162601,4541,349,109,103,147190,152295,105032,7070,6008,424,209990,328523,179854,15575,22188,1430,104509,323565,194682,20394,48362,4498,80164,348104,221179,19857,68588,13693,57655,380961,215119,14178,60757,32464,25686,348204,114035,4766,24407,50320,8204,201734,25259,785,4715,44890,2463,78115,1059874,83028,235170,147891,798147,2324100
19499,0,0,0,0,252,253,7,5,0,0,400,411,130,50,15,0,967,1164,205,143,90,5,671,1108,192,141,178,7,493,1010,272,115,265,21,279,949,247,87,192,36,97,648,82,14,47,15,11,166,6,0,4,9,0,19,1134,554,790,89,3174,5734,0,4,0,0,278,279,10,3,0,0,406,418,139,47,31,3,805,1022,176,81,81,4,410,749,167,74,165,16,238,666,266,71,216,28,119,698,182,37,111,48,28,404,43,4,29,23,11,104,0,0,5,23,3,32,982,309,647,141,2300,4381,0,0,0,0,528,532,15,4,0,0,801,829,268,95,49,3,1774,2187,379,221,177,9,1074,1859,356,214,347,24,738,1678,539,183,478,49,400,1648,428,120,300,77,122,1055,124,13,74,36,24,277,10,0,3,31,6,49,2118,863,1431,230,5471,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,136,29,31,26,140639,140865,3030,157,103,67,165099,168453,109246,3997,5026,274,272051,390596,231052,10401,17306,609,104520,363898,197262,14117,29761,1610,63597,306343,169667,11817,34546,3842,36750,256625,134830,7591,24079,7818,15877,190191,77640,2959,9865,11728,5208,107396,22587,593,1928,11933,1452,38491,945458,51662,122645,37902,805192,1962857,212,30,27,25,133548,133838,7386,457,251,55,151936,160090,148035,6782,8215,483,234581,398093,236166,14752,25082,1793,93416,371203,197411,17864,44638,4989,57852,322760,164500,13487,50100,13589,31683,273358,124415,7733,37454,31065,14165,214827,57669,2470,15432,47072,4957,127601,11276,395,3582,44262,2013,61530,947070,63964,184790,143335,724151,2063309,351,58,59,49,274186,274698,10418,614,355,122,317038,328543,257283,10779,13245,750,506631,788689,467220,25158,42384,2407,197935,735102,394674,31980,74403,6601,121446,629107,334162,25303,84643,17427,68440,529975,259243,15321,61536,38883,30045,405027,135313,5429,25299,58802,10160,234998,33865,995,5505,56195,3462,100021,1892523,115627,307429,181240,1529339,4026163
2RVIC,31,16,9,11,45343,45414,750,69,24,31,40867,41733,24836,1381,1114,84,64052,91461,49086,3570,4948,208,29976,87790,53734,5379,11222,667,24052,95064,62863,5502,16669,2022,16907,103961,65676,4464,15376,4539,8384,98445,36124,1570,5757,6385,2598,52439,9018,268,881,5670,677,16515,302124,22223,56006,19615,232863,632831,40,14,7,22,42549,42621,1398,158,28,28,37786,39392,31569,2269,1796,182,57704,93516,52697,5135,6945,602,28715,94090,56353,6487,15735,1858,20886,101314,65251,5973,21606,5686,13005,111524,60906,3737,17811,13440,5572,101472,27437,976,6560,20406,1837,57215,4663,171,1239,19152,676,25907,300307,24917,71726,61373,208733,667057,68,32,14,32,87893,88042,2144,223,55,58,78648,81124,56407,3650,2908,261,121754,184984,101784,8706,11889,809,58692,181883,110085,11870,26959,2521,44942,196379,128115,11477,38273,7706,29909,215485,126584,8204,33186,17984,13965,199919,63562,2545,12320,26789,4436,109653,13680,440,2122,24821,1356,42424,602431,47142,127729,80991,441593,1299885
29499,0,0,0,0,234,234,9,0,0,0,337,345,92,35,27,0,783,939,241,98,84,0,575,1008,195,137,156,4,417,912,215,82,166,14,164,644,169,51,115,20,38,392,39,7,28,14,8,90,9,0,4,4,0,15,963,416,581,56,2551,4576,0,0,0,0,231,229,13,0,0,0,304,321,119,58,20,7,682,878,166,60,79,16,412,730,103,65,116,14,185,479,157,39,119,32,79,429,96,13,66,13,28,224,19,6,11,17,6,58,5,4,0,10,0,19,676,246,425,103,1924,3373,0,0,0,0,461,459,18,0,0,3,641,671,207,93,52,7,1467,1819,409,162,165,11,992,1736,300,203,272,18,600,1393,371,123,283,49,243,1074,269,66,180,36,62,613,59,8,45,33,12,152,9,4,7,13,0,29,1642,658,1005,165,4474,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,3,5,3,0,0,10,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,11,13,6,0,8,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,9,0,0,0,16,0,0,3,0,0,3,7,5,3,0,0,14,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,6,0,8,38
3GBRI,82,26,13,23,80194,80337,1968,154,59,37,85672,87883,51624,2946,2852,135,126278,183841,103503,6977,10207,366,55078,176133,99025,8579,18364,916,33666,160551,85282,6670,20360,2036,18312,132656,70140,4310,15583,4359,7658,102051,37653,1677,6065,6027,2538,53955,8994,285,1020,5117,697,16110,458263,31617,74514,19027,410090,993517,103,26,14,14,76630,76779,3785,315,89,42,82528,86761,67507,4899,4619,292,112911,190232,110403,9609,14682,1036,48475,184205,99557,10398,25928,2917,29709,168506,83014,7539,28735,7021,14837,141143,63597,4296,22292,15491,6442,112118,27327,1291,8913,22145,2385,62066,4513,174,1918,19105,1061,26771,459800,38545,107186,68073,374978,1048582,189,50,27,32,156818,157117,5755,469,146,83,168191,174643,119125,7845,7474,428,239194,374070,213908,16590,24888,1405,103554,360339,198583,18974,44291,3837,63372,329053,168292,14207,49094,9056,33147,273801,133738,8608,37875,19852,14102,214163,64983,2964,14981,28171,4924,116022,13504,462,2932,24228,1761,42879,918065,70159,181704,87097,785072,2042096
3RQLD,96,21,15,20,79751,79911,1901,179,54,43,72374,74553,42851,2629,2520,164,110721,158891,85069,6789,9972,351,54835,157012,95441,9478,20824,1097,40374,167212,99203,8499,28003,2868,26619,165201,93274,6584,24495,6241,11505,142094,52040,2443,9859,8608,3886,76828,12202,432,1627,6685,944,21880,482080,37064,97360,26075,401007,1043585,125,33,9,12,75730,75915,3455,286,84,49,69722,73598,56187,4528,3988,305,101052,166061,93431,9776,14251,1112,49757,168330,99034,11475,28475,3163,33745,175891,100770,9418,35769,8883,18983,173823,84414,5473,27905,20031,7249,145075,37815,1686,11135,28745,2313,81697,6024,227,2235,23030,822,32328,481253,42905,123850,85332,359383,1092718,214,59,27,35,155480,155824,5362,461,135,94,142098,148151,99039,7157,6507,467,211779,324954,178503,16564,24222,1460,104591,325336,194472,20949,49294,4262,74124,343100,199974,17918,63769,11751,45601,339019,177688,12059,52400,26267,18752,287170,89850,4128,20995,37358,6199,158531,18221,660,3856,29711,1765,54209,963326,79967,221211,111404,760393,2136302
