GCCSA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
1GSYD,136,968,849,1767,878,646,630,215,47,6143,106,1011,1460,6276,4273,2996,2195,997,271,19581,56,414,851,5389,2576,2464,1852,764,236,14602,56,211,381,3373,652,337,497,153,20,5672,81,433,869,5336,1004,522,274,62,16,8600,29,169,213,2145,1547,1582,787,548,93,7111,460,1675,1439,4132,1878,1547,916,440,64,12557,137,1047,2791,10947,9033,9840,5236,1564,585,41173,3,53,89,738,511,480,381,266,52,2579,7,59,271,886,638,414,188,56,11,2528,723,5238,6882,36949,16839,15649,12183,8193,2842,105500,6280,14017,15050,40680,14384,12152,9102,6420,3173,121267,160794,334457,328726,786624,326780,282673,208867,115498,40821,2585238,28,317,738,2888,963,693,357,117,25,6124,140202,263573,222275,363349,167651,134743,103043,61706,31494,1488045,87,608,1017,8360,1589,857,291,47,12,12864,3,18,39,1077,607,881,517,259,83,3482,38,215,566,7317,787,404,182,62,18,9584,22,99,364,2381,1539,1461,976,378,182,7404,62,252,401,2610,992,724,420,180,36,5668
1RNSW,16,90,71,128,131,90,69,30,5,628,42,326,442,1455,979,723,639,295,62,4961,8,98,101,583,205,164,118,67,15,1361,9,19,31,392,27,22,17,0,0,516,28,229,274,555,135,67,26,9,5,1329,10,24,17,159,156,185,68,64,11,700,92,348,361,1005,559,613,705,295,42,4036,20,133,214,759,309,212,124,41,5,1821,4,19,41,161,210,329,343,231,90,1435,9,51,107,329,257,157,118,38,3,1067,166,1017,1179,4998,2481,2835,3067,2389,854,18997,4016,10614,10223,21020,11345,12815,12008,7859,3244,93133,79655,180036,161573,319481,169368,185056,171497,95647,30234,1392556,6,56,40,126,32,17,7,6,0,288,70722,153490,135092,262144,143853,154511,134613,77465,34953,1166840,12,73,42,555,50,25,15,0,0,775,0,4,4,113,55,123,94,58,9,465,0,38,49,782,118,57,24,16,3,1081,0,19,16,180,62,29,27,5,0,357,20,116,132,1061,465,407,314,104,34,2651
19499,0,0,0,0,0,0,0,0,0,3,0,0,5,10,3,0,6,0,0,26,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,9,7,16,5,3,4,0,0,33,0,0,0,6,3,5,3,0,0,19,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,4,3,4,12,56,17,17,18,3,0,132,79,160,218,814,375,289,120,30,7,2087,258,382,658,2271,1010,949,648,166,19,6375,0,0,0,0,0,0,0,0,0,0,109,203,390,775,368,422,252,64,17,2601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,6,0,0,7,9,0,3,0,0,0,15
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,111,973,1222,2654,1136,820,603,180,49,7743,54,668,1284,4435,2895,1878,1282,633,123,13245,119,1257,3274,14732,5291,4203,3049,1324,378,33620,46,169,265,2357,374,226,258,63,8,3766,86,703,1219,2754,409,144,96,30,6,5440,23,176,274,2512,2017,2184,979,640,106,8908,328,1237,1236,3337,1443,1051,698,285,58,9682,142,1128,2999,11369,8503,8847,4701,1378,497,39560,0,43,80,493,351,357,310,196,76,1900,9,63,292,1086,520,303,124,36,4,2425,594,4593,7262,32083,14229,12569,10343,6738,2512,90932,5439,12018,12969,36278,13259,10965,8657,6242,3059,108878,149255,308606,309316,754495,306343,256625,190191,107396,38491,2420718,69,826,1906,4999,1380,698,287,100,31,10285,131320,241886,207755,382249,185098,147424,104917,57783,28226,1486667,20,329,369,2952,509,265,136,19,0,4608,6,11,72,1456,789,1075,617,311,104,4436,19,95,205,2053,332,165,76,28,9,2983,32,199,755,3422,1727,1424,916,350,121,8953,61,277,303,2308,820,499,275,108,31,4686
2RVIC,7,35,41,108,66,62,47,10,4,384,15,137,213,589,422,318,238,89,16,2037,14,70,166,822,203,114,109,58,10,1560,9,16,34,417,15,12,4,6,0,507,19,263,418,459,80,24,15,3,0,1277,0,16,17,120,122,119,61,54,9,525,29,151,150,404,258,235,325,119,10,1683,13,115,119,613,254,187,78,18,0,1404,0,18,12,83,93,130,168,107,30,642,5,17,46,184,109,59,45,10,0,470,81,507,705,2622,1202,1475,1606,1179,421,9781,2106,5766,5106,11559,6699,7620,7354,4724,1882,52802,43195,99014,87154,179253,95064,103961,98445,52439,16515,775038,0,51,194,323,124,43,18,3,0,761,39149,83592,71491,146788,82506,88938,77499,41274,18709,649939,0,17,16,178,27,18,7,0,0,269,0,0,5,94,50,102,60,40,11,356,0,16,7,185,27,18,5,3,0,262,4,29,19,147,45,27,17,5,0,289,19,56,49,443,182,186,118,41,9,1108
29499,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,17,0,0,0,7,0,3,0,0,0,16,0,0,0,5,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,6,0,0,0,8,3,3,0,0,0,12,3,6,4,11,4,0,0,0,0,25,0,0,0,3,4,7,0,0,0,15,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,7,7,47,21,6,14,0,0,116,82,152,196,811,414,269,123,20,10,2079,222,370,575,1944,912,644,392,90,15,5170,0,0,0,0,0,0,0,0,0,3,115,187,298,689,232,260,124,26,10,1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,14
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,7,0,0,0,24,0,0,0,17,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,42,259,324,839,383,243,180,60,12,2332,65,822,1695,4755,2700,1855,999,434,86,13404,25,201,437,1680,732,625,438,213,50,4413,69,278,424,2951,579,402,529,150,17,5389,31,303,566,1041,165,78,34,9,0,2226,0,28,37,336,149,117,28,21,6,719,131,551,717,1620,772,644,468,207,35,5155,46,363,794,2398,1999,1733,1027,320,111,8785,3,59,109,362,333,316,241,154,37,1608,0,44,250,987,549,483,260,58,13,2643,305,2423,3996,13864,5383,4516,3387,1973,602,36464,2970,6880,7400,18235,7336,5966,4728,3030,1378,57925,77426,171405,168219,359974,160551,132656,102051,53955,16110,1242349,17,156,308,930,258,105,50,21,4,1843,68220,138013,122149,222204,105141,88258,71625,39713,17259,872591,8,97,111,687,116,74,27,7,0,1130,0,5,26,454,250,310,157,62,18,1285,17,89,237,2231,323,97,43,16,3,3055,7,32,65,405,249,183,115,42,17,1131,57,199,277,1445,510,382,227,85,40,3222
3RQLD,21,114,102,299,210,147,108,43,7,1046,75,770,1273,3476,2304,1729,1051,395,95,11170,12,118,157,678,276,185,151,88,23,1698,21,97,139,859,113,74,73,23,4,1411,29,289,325,612,139,62,32,3,0,1505,10,18,16,151,110,111,49,28,9,503,83,378,430,1207,633,706,755,320,70,4587,12,160,270,628,331,153,90,23,6,1679,0,56,88,334,273,289,293,218,53,1604,0,53,186,623,547,490,291,87,19,2304,187,1298,1797,7612,3124,3294,3203,2249,710,23473,3967,10256,11483,28692,14457,13625,10453,6192,2330,101447,73003,173452,154460,315898,167212,165201,142094,76828,21880,1290035,0,14,38,94,30,13,8,0,0,203,63419,143542,120707,229873,122873,122200,101814,55500,21976,981906,3,35,53,274,66,17,10,4,0,462,0,0,5,197,104,160,76,37,5,587,4,102,288,2761,293,108,66,14,8,3644,0,35,31,166,54,37,21,3,3,358,50,204,236,1646,545,522,409,142,37,3790
