GCCSA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
1GSYD,..,3757,10794,2778,2775,2883,2879,1822,881,1287,29870,..,4120,18466,7429,7028,6778,7005,2851,977,1692,56345,..,28,286,271,428,751,1511,986,831,451,5548,..,5,26,16,29,63,131,142,89,54,566,..,4160,18774,7718,7491,7592,8647,3976,1903,2195,62455,..,8,25,17,8,14,17,24,28,137,277,..,7923,29596,10515,10275,10494,11542,5826,2810,3623,92606,9677,12673,5426,1132,1353,1759,2174,1188,428,908,36711,10922,20576,19535,8077,10732,15029,16192,5904,685,1791,109443,212,183,629,489,747,1148,1584,539,181,211,5921,19,18,21,9,23,34,31,9,4,26,194,11157,20781,20192,8576,11505,16212,17805,6447,866,2019,115558,17,32,22,8,17,42,41,8,0,365,552,20852,33489,25637,9713,12868,18007,20021,7645,1290,3294,152825,25696,9104,18398,5807,6224,6965,7282,2716,755,1639,84583,37397,43734,65428,20329,22918,25521,26096,7277,1564,3417,253680,946,3415,7275,2516,2987,3321,3722,993,293,797,26270,52,47,75,23,28,45,57,14,0,72,417,38399,47200
1RNSW,..,1108,2792,587,611,586,744,458,257,386,7523,..,443,2095,768,801,1150,1337,450,148,266,7458,..,9,37,32,47,121,313,151,110,76,889,..,0,9,3,3,4,16,15,13,8,78,..,449,2141,805,844,1280,1666,614,274,353,8424,..,0,3,0,0,3,5,5,0,25,44,..,1553,4935,1389,1454,1876,2413,1076,530,761,15992,2023,3170,1430,237,252,278,358,255,116,281,8397,565,1835,2059,752,919,1119,1497,605,123,186,9649,16,19,48,43,53,120,215,75,28,22,635,0,6,0,3,4,3,5,0,0,0,23,581,1858,2109,797,968,1244,1722,672,153,212,10309,4,7,0,0,3,5,3,0,0,124,146,2603,5030,3546,1032,1221,1525,2084,928,269,619,18851,4923,2069,3188,753,785,846,1018,486,166,423,14657,1794,3162,7389,2658,3150,3458,3549,1201,391,388,27137,88,150,474,238,313,484,696,161,46,70,2726,4,8,17,11,3,4,13,3,10,16,86,1882,3326
19499,..,0,3,0,0,3,0,3,18,0,39,..,0,0,0,0,0,4,0,10,0,24,..,0,0,0,0,0,4,0,10,0,11,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,7,0,21,0,34,..,0,0,0,0,0,0,0,0,0,0,..,0,10,0,0,7,5,3,43,0,78,12,13,8,0,0,6,13,10,5,3,70,8,23,3,5,10,8,29,8,3,0,103,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,23,3,5,12,10,32,13,7,0,114,0,0,0,0,0,0,0,0,0,0,0,16,33,13,6,12,16,39,21,9,6,177,38,17,27,6,7,14,28,26,19,8,193,20,12,44,15,26,33,92,28,27,4,304,0,0,5,0,5,7,21,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,16,15
19799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,..,3518,10529,2587,2637,2460,2500,1243,715,1055,27248,..,4626,20125,6780,7038,6748,6600,2369,938,1640,56867,..,47,254,256,401,803,1473,883,787,485,5387,..,9,25,21,26,48,144,86,97,51,508,..,4682,20397,7063,7468,7599,8217,3336,1824,2177,62761,..,0,45,12,21,18,23,15,19,131,280,..,8207,30976,9661,10121,10079,10739,4592,2552,3364,90291,9005,13945,6463,1152,1328,1705,2240,1046,403,809,38098,8191,22936,23421,8185,9634,12748,16840,6646,729,1564,110889,192,194,586,477,723,1174,1433,507,206,190,5683,12,30,25,12,11,11,24,12,0,24,166,8394,23164,24033,8670,10375,13934,18296,7163,927,1773,116743,16,30,40,10,12,22,36,11,0,362,548,17418,37143,30532,9839,11713,15667,20569,8223,1337,2948,155391,22524,10971,16356,4501,5028,5573,5992,1950,735,1437,75068,25748,45975,64247,18491,20579,23870,24166,6596,1699,2861,234223,587,2533,5756,1902,2274,2713,3026,930,279,605,20604,33,58,80,20,23,45,40,15,0,59,375,26365,48558
2RVIC,..,594,1536,345,292,347,343,208,92,217,3974,..,360,1395,504,529,639,718,256,119,158,4678,..,7,20,19,48,89,137,78,72,68,531,..,0,0,4,0,6,9,16,10,12,52,..,372,1419,525,576,736,868,344,193,230,5265,..,0,8,3,0,3,3,0,0,15,31,..,964,2964,872,874,1085,1214,556,286,462,9273,942,1778,822,135,106,144,219,109,37,131,4432,326,1628,1595,511,558,785,1165,480,88,128,7263,12,14,59,45,117,163,171,53,17,33,693,0,7,5,0,0,0,6,0,0,10,28,340,1651,1655,559,677,947,1338,538,106,170,7986,0,7,4,0,0,0,0,0,6,79,101,1281,3436,2485,696,783,1090,1562,647,145,379,12516,2321,1204,1704,424,403,489,518,221,77,240,7617,969,2449,4699,1641,1818,2188,2453,708,207,279,17410,62,232,526,265,346,404,545,130,22,104,2645,5,4,19,3,3,8,11,4,3,14,78,1038,2691
29499,..,5,3,3,0,0,0,0,8,0,18,..,0,15,0,3,0,3,0,14,4,41,..,0,0,0,0,0,0,0,13,3,14,..,0,0,0,0,0,0,0,0,0,0,..,0,12,0,3,0,3,0,28,4,54,..,0,0,0,0,0,0,0,0,0,0,..,4,19,3,3,0,0,0,36,4,76,6,17,4,3,0,0,6,0,5,0,47,9,21,14,5,13,13,19,6,4,0,99,0,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8,19,14,5,14,18,16,11,3,0,110,0,0,0,0,0,0,0,0,0,0,0,18,36,19,9,8,19,26,16,11,3,158,25,11,15,3,7,15,29,11,15,3,126,24,18,33,3,14,31,35,23,14,10,215,0,0,3,3,6,3,8,6,0,5,32,0,0,0,0,0,0,0,0,0,0,3,24,21
29799,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,..,2859,7455,1644,1494,1649,1725,954,532,852,19163,..,1873,6860,2189,2116,2261,2440,1013,420,661,19827,..,13,116,74,128,266,495,349,264,152,1858,..,6,14,12,10,18,42,40,21,23,180,..,1893,7000,2269,2246,2542,2973,1396,707,839,21867,..,0,27,5,3,4,16,8,6,60,133,..,4753,14479,3923,3742,4193,4714,2360,1243,1750,41164,6847,13214,5683,746,781,893,1058,595,301,808,30922,2706,9122,8066,2309,2764,3739,5017,1981,264,585,36550,77,77,163,137,162,263,551,197,55,66,1739,5,25,6,4,8,10,10,7,0,18,90,2787,9221,8240,2452,2925,4006,5572,2186,318,665,38375,13,18,21,3,8,8,17,6,3,205,296,9646,22457,13946,3196,3713,4908,6646,2787,623,1680,69592,16449,8575,8649,1791,1803,2045,2132,1048,369,954,43808,8468,13788,18634,5114,5521,6722,7826,2476,549,961,70049,238,596,1508,540,567,819,1233,398,83,171,6151,11,24,25,12,4,12,18,7,0,20,133,8720,14410
3RQLD,..,2108,5350,1234,1132,1198,1320,819,421,647,14228,..,763,2892,914,1081,1259,1599,622,254,366,9746,..,9,40,22,47,148,380,188,121,119,1067,..,0,5,0,0,9,26,28,15,24,107,..,770,2936,939,1133,1415,1997,840,394,505,10917,..,3,3,0,0,7,3,4,9,52,86,..,2885,8285,2169,2263,2627,3320,1660,821,1204,25230,3867,8791,4191,587,636,673,872,567,262,568,21017,974,3619,3373,905,1245,1663,2175,955,183,312,15404,34,28,59,29,60,126,303,88,43,49,824,3,3,4,0,0,5,11,3,3,11,53,1006,3654,3437,936,1304,1798,2488,1048,233,373,16279,3,12,13,3,0,0,9,6,4,88,146,4880,12461,7643,1521,1941,2476,3369,1613,493,1030,37440,9424,6186,6976,1514,1492,1595,1900,896,291,771,31040,2498,4699,9316,3060,3402,4072,5448,1879,504,662,35548,124,151,632,231,290,523,904,254,96,123,3336,7,6,14,10,7,11,14,12,13,27,126,2633,4861
