GCCSA_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
1GSYD,72776,22872,25937,28888,29876,8286,1862,4276,280372,51,46,107,25,43,55,52,13,4,1155,1545,64140,56352,91273,28701,32203,35902,37214,11010,2624,7067,366496,45796,21819,17305,2773,2292,1964,1950,950,406,1443,96705,92640,84101,55000,12207,11247,9982,8920,3190,1250,2484,281028,4850,8298,8499,2232,2632,2114,2327,761,211,769,32691,101,86,89,17,18,13,27,5,4,50,411,97600,92485,63589,14456,13902,12107,11270,3959,1467,3302,314135,69,60,70,8,12,18,10,7,0,917,1177,143465,114363,80960,17242,16208,14089,13231,4914,1876,5660,412016,74295,13007,6065,880,711,660,666,412,173,1406,98264,114073,29731,13702,2357,1991,1670,1621,851,320,1932,168241,17852,7923,6406,1924,2274,1657,1832,728,156,1102,41856,194,42,34,15,14,10,12,11,0,58,391,132120,37695,20147,4297,4282,3336,3463,1591,477,3090,210488,79,30,13,6,4,3,5,4,0,613,759,206490,50727,26226,5180,4997,4003,4136,1997,653,5110,309513,84173,4224,1773,255,227,231,275,222,68,1342,92786,119953,7193,3173,591
1RNSW,7877,2904,3463,3950,4253,1369,450,478,29952,4,0,8,4,7,8,9,0,3,465,511,6817,5398,11074,3662,4259,4798,5280,1857,616,1364,45125,10029,4927,3222,427,368,394,414,225,100,524,20637,4382,7801,6708,1426,1318,1373,1377,575,256,304,25513,191,507,634,228,247,299,391,107,37,77,2721,12,23,8,4,7,8,5,5,4,16,81,4589,8331,7354,1660,1571,1680,1768,684,296,397,28323,6,5,8,0,0,6,0,0,0,425,460,14625,13265,10585,2086,1939,2074,2186,911,398,1345,49412,21950,3412,1762,249,179,171,181,131,47,744,28834,7233,3458,2119,369,288,301,303,142,47,185,14450,575,422,442,119,172,180,292,85,12,94,2391,12,0,5,0,4,3,7,0,0,3,39,7817,3883,2573,494,463,484,598,227,61,284,16875,14,3,0,0,0,0,4,0,0,306,335,29785,7302,4337,738,642,655,781,357,108,1334,46047,37015,1703,758,114,103,89,105,86,29,1211,41206,9122,996,458,68
19499,43,14,25,42,112,37,27,8,345,0,0,0,0,0,0,0,0,0,8,11,62,34,71,23,34,57,140,63,47,21,549,59,26,13,0,0,0,0,0,11,0,122,40,25,30,4,4,7,10,4,24,3,154,0,4,10,0,0,0,5,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,40,30,38,5,5,10,15,10,24,4,179,0,0,0,0,0,0,0,0,0,12,13,101,55,56,5,11,11,15,11,32,27,311,100,7,7,0,0,0,0,6,10,12,134,52,7,13,0,0,4,0,0,4,0,81,6,0,4,0,4,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,57,7,8,0,4,6,3,7,6,4,98,0,0,0,0,0,0,0,0,0,4,4,152,15,18,0,4,9,3,8,15,19,242,194,11,4,0,0,0,0,0,3,6,216,38,4,5,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,70074,20408,22879,26624,27235,7541,1986,3525,255198,37,48,92,29,49,35,37,9,5,750,1102,48934,59577,86524,24943,27952,32232,33269,9506,2722,5711,331367,39479,18812,14330,2090,1918,1600,1512,590,278,1229,81829,68649,86220,51772,10038,9398,8403,7442,2438,1131,1970,247456,3260,6797,7372,1851,1991,1961,2128,761,264,592,26983,79,123,73,14,12,12,22,3,3,50,397,71987,93139,59220,11898,11407,10376,9598,3207,1399,2613,274840,47,64,63,7,18,7,11,0,0,493,717,111506,112015,73609,13998,13336,11988,11118,3794,1677,4334,357386,57774,11606,5848,697,705,554,535,311,125,1239,79391,75873,29319,14735,2370,2032,1608,1506,654,325,1388,129809,11586,6287,6323,1621,1684,1468,1723,722,171,805,32389,133,50,29,4,8,3,11,4,0,35,274,87591,35656,21079,3996,3720,3078,3246,1387,499,2229,162474,83,27,27,0,0,3,9,3,3,270,428,145454,47287,26947,4687,4427,3634,3786,1702,626,3741,242296,73807,4750,1864,246,263,237,263,181,73,1439,83110,81196,7751,3520,563
2RVIC,5247,1902,2171,2598,3013,845,236,394,20130,4,5,9,0,0,3,3,3,0,362,405,3363,3895,6960,2330,2578,3094,3534,1069,319,998,28146,5068,2571,1815,223,216,217,222,101,42,267,10747,2250,5195,3873,780,764,779,837,330,139,205,15149,147,457,603,204,206,258,252,63,23,84,2295,3,11,9,0,5,8,6,3,0,12,55,2402,5654,4482,986,977,1052,1097,394,166,299,17499,10,5,4,3,0,0,0,0,0,306,337,7480,8236,6302,1214,1199,1269,1316,493,207,871,28582,10335,1970,1055,144,120,102,108,67,29,433,14363,3099,2111,1208,233,195,200,184,89,33,142,7494,379,427,456,104,135,130,155,57,14,63,1920,21,4,3,0,0,0,0,0,0,10,45,3497,2547,1672,333,334,327,346,150,45,214,9461,16,0,0,3,0,0,0,0,0,205,223,13838,4522,2722,479,448,430,450,219,70,851,24042,19024,1069,432,58,43,54,65,31,21,704,21494,4024,609,289,50
29499,43,5,18,30,42,30,14,14,251,0,0,0,0,0,0,0,0,0,5,5,53,29,58,11,32,51,66,44,26,17,379,66,24,13,0,0,3,3,0,7,3,119,25,22,16,5,0,5,0,4,37,4,114,3,4,9,4,4,3,0,0,4,5,27,0,0,0,0,0,0,0,0,0,0,0,30,26,20,3,4,9,0,4,38,6,138,0,0,0,0,0,0,0,0,0,5,8,99,42,36,3,6,12,0,8,46,13,262,62,13,14,0,0,0,0,0,0,4,101,31,11,4,0,0,0,4,0,3,0,61,3,5,8,0,0,6,4,0,4,3,28,0,0,0,0,0,0,0,0,0,0,0,34,13,14,0,0,6,8,0,8,6,84,0,0,0,0,0,0,0,0,0,0,9,97,26,23,0,4,6,6,0,6,16,187,88,11,11,0,0,0,0,0,4,4,117,31,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,20167,5658,6092,7556,9079,2883,627,1148,76332,25,24,38,5,7,7,21,0,0,474,608,25189,23007,28850,7461,7897,9603,11232,3933,999,2578,120746,24566,12891,8328,1150,979,912,923,415,226,891,51284,19062,26556,16925,3053,2845,2731,2689,987,416,728,75995,732,2150,2171,460,456,530,606,239,68,187,7603,32,31,30,9,4,4,3,0,0,11,128,19830,28735,19131,3520,3305,3260,3295,1229,492,931,83728,28,25,17,0,4,7,5,3,0,414,497,44414,41648,27482,4670,4288,4181,4232,1644,721,2226,135505,40252,11348,4849,493,469,460,433,218,123,944,59596,20381,12146,5698,814,718,613,590,346,142,460,41910,2323,2150,1440,320,304,304,422,169,47,208,7688,25,15,10,3,7,5,0,0,0,17,84,22734,14308,7157,1140,1027,918,1013,514,193,687,49692,34,25,14,0,0,0,0,0,0,200,279,63022,25677,12022,1638,1500,1374,1446,737,315,1836,109563,46813,5638,1868,210,219,197,236,138,90,978,56393,19605,3534,1441,206
3RQLD,9962,3303,3699,4604,6367,2151,614,810,39004,5,11,15,10,6,18,25,11,6,157,262,12061,11059,16954,4828,5200,6209,8299,3052,911,1739,70311,17364,10315,6497,1010,803,798,856,429,204,864,39150,5925,11690,8617,1683,1546,1496,1822,705,309,483,34284,242,820,827,178,276,335,458,168,73,92,3460,5,20,22,5,4,5,7,4,11,15,102,6175,12532,9467,1866,1822,1837,2287,875,396,597,37847,16,17,12,0,0,4,6,0,0,129,179,23557,22863,15975,2875,2629,2640,3151,1306,600,1586,77174,33952,9590,4446,569,516,435,460,248,142,1154,51512,9173,6549,3291,505,481,391,416,227,80,308,21424,702,802,574,142,169,212,267,94,17,70,3040,26,13,5,4,0,0,6,0,0,19,80,9900,7365,3872,648,649,606,686,317,97,395,24543,39,11,9,0,4,0,0,0,0,94,162,43884,16968,8326,1219,1168,1047,1153,561,245,1649,76216,47469,5907,2312,273,259,256,334,189,117,1295,58395,9860,2209,905,123
