GCCSA_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
1GSYD,0,0,0,1872,2079,108744,4189,2995,641,523,419,1016,501,48,5192,124274,12510,195,100,15,19,19,31,17,4,949,13850,12076,158,79,7,8,7,28,23,4,771,13164,15147,693,429,111,68,47,125,60,9,1175,17861,143,4,0,0,0,0,3,0,0,125,278,27365,856,507,124,78,54,158,85,9,2066,31302,154,9,4,0,0,0,0,0,0,2871,3031,40030,1053,616,137,99,75,187,103,13,5889,48189,364081,66638,61002,13808,13791,14653,15519,7551,2781,11499,571322,511249,192141,177291,51353,54753,59694,61516,21239,5019,16567,1150826,139664,34624,38554,11676,12209,11902,17632,6915,2049,8747,283979,1325,259,306,100,137,182,286,189,95,607,3482,652242,227029,216148,63136,67095,71778,79430,28348,7166,25924,1438287,891,208,264,64,85,145,137,55,35,9595,11470,1017215,293870,277414,77009,80968,86573,95088,35950,9985,47017,2021084
1RNSW,0,0,0,345,482,36410,508,284,67,50,47,93,58,5,1968,39489,8119,71,29,10,0,4,14,7,3,782,9044,2501,5,6,0,0,0,8,0,0,250,2771,1390,17,15,3,0,0,10,0,0,166,1591,32,0,0,0,0,0,0,0,0,25,60,3921,17,20,3,0,0,18,3,0,438,4424,73,0,0,0,0,0,0,0,0,403,477,12109,89,47,17,6,3,34,6,4,1623,13937,155704,17568,13792,2486,2386,2449,2963,1727,730,7113,206919,41066,17982,21015,6072,6581,7493,8255,3085,990,2241,114782,7230,1614,2294,852,986,1380,2482,809,256,790,18691,184,39,55,21,17,35,49,23,33,100,554,48484,19637,23362,6939,7586,8905,10788,3915,1275,3134,134027,368,21,30,8,7,21,27,11,8,2508,3009,204555,37228,37187,9437,9980,11373,13779,5653,2012,12758,343955
19499,0,0,0,4,4,51,0,3,0,0,0,0,0,0,3,63,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,13,569,75,78,12,13,30,51,42,70,29,964,198,74,84,23,40,58,140,47,64,23,755,33,5,15,4,11,13,32,13,10,7,144,3,0,0,0,0,0,0,0,0,0,9,233,80,103,29,49,76,173,62,79,28,906,0,0,0,0,0,0,0,0,0,39,41,803,151,179,39,56,102,223,107,148,93,1911
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,0,0,0,530,708,106336,2866,2057,437,342,288,877,416,66,4090,117763,13878,166,71,17,17,19,26,6,3,1126,15327,14120,123,63,13,21,9,31,12,3,869,15259,14737,428,281,59,56,32,86,30,6,1124,16838,176,0,3,0,0,0,0,0,0,147,327,29030,558,351,76,74,42,113,47,4,2137,32431,147,0,0,0,0,0,0,0,0,674,826,43055,719,418,91,87,60,144,50,8,3941,48579,328390,65505,56495,11471,12061,12307,13334,5478,2393,11180,518616,381772,199175,179659,46815,49472,54141,58169,19829,5019,14213,1008261,101807,26147,31804,8895,9464,10430,15931,6617,2031,6990,220112,1177,319,282,87,91,136,275,137,115,598,3205,484761,225640,211747,55802,59021,64702,74373,26582,7161,21803,1231583,769,197,294,68,109,90,123,39,23,3720,5435,813917,291336,268533,67342,71186,77093,87832,32094,9576,36710,1755627
2RVIC,0,0,0,127,193,20156,212,163,27,28,21,58,28,5,1102,21785,4212,27,15,7,0,0,9,0,0,433,4703,1648,3,5,0,0,3,3,0,0,138,1799,800,10,10,3,0,0,7,0,0,78,910,23,0,0,0,0,0,0,0,0,12,38,2474,14,15,3,0,5,10,0,0,230,2746,46,0,0,0,0,0,0,0,0,151,199,6732,42,35,8,0,4,12,0,0,810,7650,82404,9705,7689,1387,1233,1391,1543,778,312,4125,110559,20801,12502,13172,3745,3927,4656,5501,1952,599,1491,68350,3971,1651,2243,735,959,1195,1606,523,164,620,13655,142,33,44,13,11,25,43,25,14,99,443,24915,14180,15459,4488,4899,5875,7145,2504,773,2209,82449,222,28,27,9,3,11,11,6,6,1481,1805,107535,23910,23171,5885,6133,7279,8702,3290,1092,7821,194810
29499,0,0,0,0,0,41,0,0,0,0,0,0,0,0,7,44,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,341,72,60,8,12,20,41,14,41,26,632,148,74,82,16,36,50,55,43,70,18,590,32,12,20,3,10,7,7,7,17,16,147,0,0,3,0,0,0,0,0,0,0,7,180,86,107,19,48,60,67,47,88,27,738,3,0,0,0,0,0,0,0,0,16,20,517,158,164,31,55,80,106,62,133,74,1390
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3GBRI,0,0,0,173,263,32627,1248,818,149,154,134,316,141,46,1522,37153,6433,166,93,16,4,22,14,8,5,749,7496,2062,54,24,3,0,3,17,5,0,230,2394,1583,89,52,11,15,7,34,11,3,189,1987,28,0,0,0,0,0,0,0,0,18,50,3672,135,71,15,14,12,44,19,3,437,4426,50,0,0,0,0,0,0,0,0,227,279,10157,300,168,32,19,36,62,21,5,1414,12208,205116,56992,38173,6260,5946,6380,6779,3510,1734,8069,338958,92708,68024,58282,13791,14237,16360,19077,7140,1874,4467,295959,16628,7327,7943,2156,2158,2742,4972,2121,604,1562,48215,213,108,103,40,31,46,80,50,31,161,861,109552,75457,66329,15986,16429,19138,24127,9312,2509,6188,345029,320,110,130,16,19,25,55,25,12,2023,2738,314987,132564,104631,22264,22395,25547,30960,12839,4253,16280,686727
3RQLD,0,0,0,189,292,35472,1357,681,143,117,129,205,99,35,1678,39920,7835,214,101,12,15,13,38,7,0,758,8999,1916,18,23,4,0,0,6,4,0,213,2187,750,33,23,8,4,4,13,9,0,114,957,24,0,0,0,0,0,0,0,0,18,42,2688,53,45,11,11,4,18,10,0,345,3181,59,5,0,0,0,0,0,0,0,261,322,10582,274,142,21,26,16,59,13,0,1365,12500,197556,46476,31464,5512,5116,5258,6147,3337,1528,8773,311164,43613,30182,28741,7248,7955,9066,11703,4597,1415,2990,147519,5271,2630,2980,795,1039,1577,2951,1096,371,794,19511,192,66,66,23,12,32,67,48,45,142,699,49072,32880,31795,8063,9010,10675,14724,5742,1833,3932,167723,319,90,52,15,13,33,49,22,15,1171,1780,246952,79443,63314,13587,14137,15965,20915,9100,3382,13873,480666
39499,0,0,0,0,0,113,4,7,0,0,0,0,0,0,0,126,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,9,1096,174,131,35,19,47,110,77,61,72,1821,122,61,83,35,25,81,217,127,57,40,842,18,5,7,4,10,7,36,10,12,4,118,0,0,0,0,0,0,0,0,0,3,9,146,69,89,38,27,89,257,133,67,42,966,3,0,0,0,0,4,7,0,0,112,128,1245,239,223,69,47,138,371,213,124,230,2917
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,3,0,3,3,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,8,0,3,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,4,6,8,0,3,3,0,0,23
4GADE,0,0,0,46,132,31070,534,355,70,47,58,166,61,3,1152,33517,7426,41,20,3,5,5,11,4,0,623,8148,3911,11,9,3,0,0,4,0,0,223,4163,3016,46,40,8,10,3,11,11,0,218,3352,40,0,0,0,0,0,0,0,0,26,59,6959,54,52,8,10,4,16,13,0,465,7574,53,0,0,0,0,0,0,0,0,112,165,14438,98,73,11,15,14,25,14,0,1201,15890,116377,18701,11723,2018,2027,2369,2587,1502,516,4012,161829,56728,37350,34584,9720,10320,12118,13849,5587,815,2723,183793,14567,4630,6005,1480,1410,1728,3083,1342,388,1063,35697,227,62,67,6,18,19,32,31,12,87,568,71523,42046,40650,11204,11746,13868,16975,6954,1218,3872,220053,258,40,40,15,11,12,25,23,0,520,936,188155,60789,52413,13238,13778,16247,19584,8482,1735,8405,382824
