GCCSA_CODE_2021,MOL_SAL_Filipin_UOLSE_NWorNAA,MOL_SAL_Filipin_UOLSE_Tot,MOL_SAL_Filipin_NS,MOL_SAL_Filipin_Tot,MOL_SAL_Indon_SEO,MOL_SAL_Indon_UOLSE_VWorW,MOL_SAL_Indon_UOLSE_NWorNAA,MOL_SAL_Indon_UOLSE_Tot,MOL_SAL_Indon_NS,MOL_SAL_Indon_Tot,MOL_SAL_Tagalog_SEO,MOL_SAL_Tagalog_UOLSE_VWorW,MOL_SAL_Tagalog_UOLSE_NWorNAA,MOL_SAL_Tagalog_UOLSE_Tot,MOL_SAL_Tagalog_NS,MOL_SAL_Tagalog_Tot,MOL_SAL_Oth_SEO,MOL_SAL_Oth_UOLSE_VWorW,MOL_SAL_Oth_UOLSE_NWorNAA,MOL_SAL_Oth_UOLSE_Tot,MOL_SAL_Oth_NS,MOL_SAL_Oth_Tot,MOL_SAL_Tot_SEO,MOL_SAL_Tot_UOLSE_VWorW,MOL_SAL_Tot_UOLSE_NWorNAA,MOL_SAL_Tot_UOLSE_Tot,MOL_SAL_Tot_NS,MOL_SAL_Tot_Tot,MOL_Spanish_SEO,MOL_Spanish_UOLSE_VWorW,MOL_Spanish_UOLSE_NWorNAA,MOL_Spanish_UOLSE_Tot,MOL_Spanish_NS,MOL_Spanish_Tot,MOL_Tamil_SEO,MOL_Tamil_UOLSE_VWorW,MOL_Tamil_UOLSE_NWorNAA,MOL_Tamil_UOLSE_Tot,MOL_Tamil_NS,MOL_Tamil_Tot,MOL_Thai_SEO,MOL_Thai_UOLSE_VWorW,MOL_Thai_UOLSE_NWorNAA,MOL_Thai_UOLSE_Tot,MOL_Thai_NS,MOL_Thai_Tot,MOL_Turkish_SEO,MOL_Turkish_UOLSE_VWorW,MOL_Turkish_UOLSE_NWorNAA,MOL_Turkish_UOLSE_Tot,MOL_Turkish_NS,MOL_Turkish_Tot,MOL_Vietnamese_SEO,MOL_Vietnamese_UOLSE_VWorW,MOL_Vietnamese_UOLSE_NWorNAA,MOL_Vietnamese_UOLSE_Tot,MOL_Vietnamese_NS,MOL_Vietnamese_Tot,MOL_Oth_SEO,MOL_Oth_UOLSE_VWorW,MOL_Oth_UOLSE_NWorNAA,MOL_Oth_UOLSE_Tot,MOL_Oth_NS,MOL_Oth_Tot,MOL_Tot_SEO,MOL_Tot_UOLSE_VWorW,MOL_Tot_UOLSE_NWorNAA,MOL_Tot_UOLSE_Tot,MOL_Tot_NS,MOL_Tot_Tot,M_LUatH_NS_SEO,M_LUatH_NS_UOLSE_VWorW,M_LUatH_NS_UOLSE_NWorNAA,M_LUatH_NS_UOLSE_Tot,M_LUatH_NS_NS,M_LUatH_NS_Tot,M_Tot_SEO,M_Tot_UOLSE_VWorW,M_Tot_UOLSE_NWorNAA,M_Tot_UOLSE_Tot,M_Tot_NS,M_Tot_Tot,FSEO_SEO,FSEO_UOLSE_VWorW,FSEO_UOLSE_NWorNAA,FSEO_UOLSE_Tot,FSEO_NS,FSEO_Tot,FOL_Afrikaans_SEO,FOL_Afrikaans_UOLSE_VWorW,FOL_Afrikaans_UOLSE_NWorNAA,FOL_Afrikaans_UOLSE_Tot,FOL_Afrikaans_NS,FOL_Afrikaans_Tot,FOL_Arabic_SEO,FOL_Arabic_UOLSE_VWorW,FOL_Arabic_UOLSE_NWorNAA,FOL_Arabic_UOLSE_Tot,FOL_Arabic_NS,FOL_Arabic_Tot,FOL_AIndLng_SEO,FOL_AIndLng_UOLSE_VWorW,FOL_AIndLng_UOLSE_NWorNAA,FOL_AIndLng_UOLSE_Tot,FOL_AIndLng_NS,FOL_AIndLng_Tot,FOL_CL_Canton_SEO,FOL_CL_Canton_UOLSE_VWorW,FOL_CL_Canton_UOLSE_NWorNAA,FOL_CL_Canton_UOLSE_Tot,FOL_CL_Canton_NS,FOL_CL_Canton_Tot,FOL_CL_Mandarin_SEO,FOL_CL_Mandarin_UOLSE_VWorW,FOL_CL_Mandarin_UOLSE_NWorNAA,FOL_CL_Mandarin_UOLSE_Tot,FOL_CL_Mandarin_NS,FOL_CL_Mandarin_Tot,FOL_CL_Oth_SEO,FOL_CL_Oth_UOLSE_VWorW,FOL_CL_Oth_UOLSE_NWorNAA,FOL_CL_Oth_UOLSE_Tot,FOL_CL_Oth_NS,FOL_CL_Oth_Tot,FOL_CL_Tot_SEO,FOL_CL_Tot_UOLSE_VWorW,FOL_CL_Tot_UOLSE_NWorNAA,FOL_CL_Tot_UOLSE_Tot,FOL_CL_Tot_NS,FOL_CL_Tot_Tot,FOL_Croatian_SEO,FOL_Croatian_UOLSE_VWorW,FOL_Croatian_UOLSE_NWorNAA,FOL_Croatian_UOLSE_Tot,FOL_Croatian_NS,FOL_Croatian_Tot,FOL_French_SEO,FOL_French_UOLSE_VWorW,FOL_French_UOLSE_NWorNAA,FOL_French_UOLSE_Tot,FOL_French_NS,FOL_French_Tot,FOL_German_SEO,FOL_German_UOLSE_VWorW,FOL_German_UOLSE_NWorNAA,FOL_German_UOLSE_Tot,FOL_German_NS,FOL_German_Tot,FOL_Greek_SEO,FOL_Greek_UOLSE_VWorW,FOL_Greek_UOLSE_NWorNAA,FOL_Greek_UOLSE_Tot,FOL_Greek_NS,FOL_Greek_Tot,FOL_IAL_Bengali_SEO,FOL_IAL_Bengali_UOLSE_VWorW,FOL_IAL_Bengali_UOLSE_NWorNAA,FOL_IAL_Bengali_UOLSE_Tot,FOL_IAL_Bengali_NS,FOL_IAL_Bengali_Tot,FOL_IAL_Guj_SEO,FOL_IAL_Guj_UOLSE_VWorW,FOL_IAL_Guj_UOLSE_NWorNAA,FOL_IAL_Guj_UOLSE_Tot,FOL_IAL_Guj_NS,FOL_IAL_Guj_Tot,FOL_IAL_Hindi_SEO,FOL_IAL_Hindi_UOLSE_VWorW,FOL_IAL_Hindi_UOLSE_NWorNAA,FOL_IAL_Hindi_UOLSE_Tot,FOL_IAL_Hindi_NS,FOL_IAL_Hindi_Tot,FOL_IAL_Nepali_SEO,FOL_IAL_Nepali_UOLSE_VWorW,FOL_IAL_Nepali_UOLSE_NWorNAA,FOL_IAL_Nepali_UOLSE_Tot,FOL_IAL_Nepali_NS,FOL_IAL_Nepali_Tot,FOL_IAL_Punjabi_SEO,FOL_IAL_Punjabi_UOLSE_VWorW,FOL_IAL_Punjabi_UOLSE_NWorNAA,FOL_IAL_Punjabi_UOLSE_Tot,FOL_IAL_Punjabi_NS,FOL_IAL_Punjabi_Tot,FOL_IAL_Sinhal_SEO,FOL_IAL_Sinhal_UOLSE_VWorW,FOL_IAL_Sinhal_UOLSE_NWorNAA,FOL_IAL_Sinhal_UOLSE_Tot,FOL_IAL_Sinhal_NS,FOL_IAL_Sinhal_Tot,FOL_IAL_Urdu_SEO,FOL_IAL_Urdu_UOLSE_VWorW,FOL_IAL_Urdu_UOLSE_NWorNAA,FOL_IAL_Urdu_UOLSE_Tot,FOL_IAL_Urdu_NS,FOL_IAL_Urdu_Tot,FOL_IAL_Oth_SEO,FOL_IAL_Oth_UOLSE_VWorW,FOL_IAL_Oth_UOLSE_NWorNAA,FOL_IAL_Oth_UOLSE_Tot
1GSYD,297,11391,96,11494,..,12744,1230,13977,149,14127,..,18735,585,19321,146,19471,..,3487,399,3887,40,3926,..,46071,2516,48577,434,49016,..,26523,3024,29544,312,29851,..,17494,1066,18561,214,18774,..,5874,2321,8187,69,8261,..,9057,1769,10828,83,10912,..,37270,14401,51670,397,52070,..,85710,16379,102093,2216,104301,..,791956,144074,936035,9176,945213,..,12202,2782,14988,125991,140975,1499054,804158,146861,951024,135165,2585238,1496187,..,..,..,..,1496187,..,2944,40,2984,24,3007,..,89438,19078,108518,726,109240,..,854,19,872,7,876,..,55206,21632,76833,423,77256,..,97235,40601,137831,1021,138851,..,5615,2377,7993,31,8024,..,158049,64609,222659,1479,224140,..,8097,1307,9402,65,9469,..,9641,342,9980,118,10097,..,7026,198,7225,88,7309,..,31637,6677,38311,210,38527,..,15970,1736,17706,150,17861,..,10609,1078,11699,101,11796,..,35720,1957,37676,232,37904,..,25734,1683,27417,232,27644,..,18220,1994,20212,187,20401,..,5774,269,6051,41,6088,..,17320,1748,19066,204,19272,..,7229,403,7627
1RNSW,51,1542,21,1557,..,661,61,717,6,729,..,1971,86,2061,19,2083,..,705,143,850,10,860,..,4828,343,5172,56,5229,..,3546,345,3891,45,3931,..,841,55,889,11,900,..,1048,300,1346,9,1362,..,825,173,998,7,1006,..,1611,492,2102,22,2121,..,13868,2499,16369,435,16803,..,77233,11303,88533,1215,89750,..,3905,414,4316,93117,97436,1205367,81138,11713,92856,94331,1392556,1250953,..,..,..,..,1250953,..,1509,27,1541,11,1548,..,3051,551,3604,27,3625,..,1979,50,2033,42,2075,..,1716,558,2273,25,2301,..,4270,1541,5819,76,5889,..,236,73,310,0,312,..,6229,2174,8402,100,8506,..,1101,166,1266,6,1274,..,2082,63,2141,32,2171,..,3455,101,3556,43,3601,..,2419,377,2797,29,2825,..,879,73,956,9,967,..,888,232,1124,7,1128,..,1633,125,1756,12,1765,..,2705,331,3038,32,3071,..,3636,563,4197,45,4241,..,704,40,742,4,749,..,1127,122,1241,15,1261,..,320,29,351
19499,0,6,0,6,..,12,0,18,0,18,..,7,0,7,0,7,..,16,0,16,0,16,..,44,0,45,0,45,..,32,6,36,0,36,..,3,0,3,0,4,..,6,0,8,0,8,..,3,3,5,0,5,..,13,9,18,0,18,..,88,17,103,3,103,..,483,74,564,11,576,..,21,3,23,2245,2269,3530,502,79,584,2261,6375,2889,..,..,..,..,2889,..,5,0,5,0,5,..,33,4,39,0,37,..,7,0,7,0,14,..,22,4,26,0,26,..,69,27,96,0,99,..,8,0,8,0,8,..,101,30,131,0,131,..,4,0,5,0,5,..,32,0,27,0,27,..,12,0,12,0,12,..,13,0,15,0,15,..,5,0,5,0,5,..,0,0,0,0,0,..,11,0,11,0,11,..,5,0,5,0,5,..,3,0,9,0,9,..,0,0,4,0,4,..,6,0,8,0,8,..,8,0,8
19799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
2GMEL,231,8577,91,8668,..,6969,488,7460,91,7545,..,10501,281,10779,96,10876,..,4248,576,4818,44,4866,..,30065,1574,31637,325,31957,..,17260,1744,19002,190,19191,..,15671,999,16666,197,16865,..,3214,688,3896,39,3938,..,13550,2679,16229,123,16354,..,38918,13518,52435,410,52851,..,98614,18726,117344,2210,119550,..,690696,113019,803717,8534,812250,..,11173,2282,13455,106578,120038,1488434,701862,115305,817169,115116,2420718,1514580,..,..,..,..,1514580,..,2363,28,2386,16,2403,..,36322,7158,43480,285,43769,..,352,12,363,6,370,..,32571,10229,42802,265,43066,..,84435,29544,113974,902,114878,..,6001,2176,8176,40,8219,..,123004,41951,164956,1205,166158,..,7399,1266,8668,62,8727,..,8357,307,8663,98,8767,..,6993,172,7159,87,7251,..,43845,10463,54312,325,54638,..,6451,524,6978,62,7046,..,9792,911,10704,108,10811,..,29033,1696,30728,245,30978,..,8356,770,9126,75,9198,..,39844,4425,44269,547,44817,..,21464,1459,22925,176,23099,..,14328,1549,15876,235,16114,..,5600,274,5883
2RVIC,40,1251,16,1263,..,375,49,426,12,436,..,1243,29,1275,13,1284,..,832,298,1126,21,1146,..,3658,421,4080,54,4136,..,1165,104,1271,17,1288,..,676,56,730,8,742,..,483,211,696,13,711,..,610,166,779,9,781,..,1071,509,1583,28,1613,..,9428,2495,11924,294,12218,..,45716,8162,53879,830,54708,..,2077,263,2339,50929,53274,667054,47800,8428,56224,51764,775038,695240,..,..,..,..,695240,..,686,12,692,5,700,..,1352,348,1692,24,1718,..,265,7,269,6,273,..,732,208,941,13,950,..,3239,1468,4701,54,4756,..,154,57,208,0,207,..,4117,1733,5848,68,5920,..,1262,271,1529,3,1535,..,990,45,1029,13,1040,..,1714,43,1755,26,1777,..,1481,243,1722,32,1751,..,329,33,357,0,363,..,463,47,509,5,517,..,1083,72,1155,10,1164,..,765,90,852,10,863,..,2926,359,3284,50,3332,..,878,54,930,10,945,..,649,73,718,7,731,..,195,3,206
29499,0,10,0,10,..,3,0,3,0,3,..,7,0,7,0,7,..,6,0,6,0,6,..,27,0,27,0,27,..,17,3,27,0,27,..,3,0,6,0,6,..,0,0,0,0,0,..,19,3,20,0,20,..,14,8,19,0,19,..,102,18,120,6,120,..,403,77,481,9,490,..,28,3,28,2206,2238,2445,428,84,510,2215,5170,2041,..,..,..,..,2041,..,0,0,0,0,0,..,37,3,38,0,38,..,0,0,0,0,0,..,7,0,15,0,15,..,51,16,61,0,61,..,4,0,4,0,4,..,60,18,78,0,78,..,0,0,4,0,4,..,14,0,15,0,15,..,12,0,9,0,9,..,14,0,14,0,13,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,13,0,13,..,4,0,4,0,4,..,5,0,7,0,7,..,9,0,9,0,9,..,0,0,4,0,4,..,0,0,0
29799,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,24,24,9,5,0,5,24,36,0,..,..,..,..,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0
3GBRI,74,3162,42,3202,..,1365,86,1457,25,1483,..,4219,115,4334,36,4372,..,1108,50,1155,19,1174,..,9786,325,10112,114,10229,..,8365,813,9183,105,9284,..,2733,131,2866,32,2897,..,1339,316,1652,20,1672,..,804,98,899,5,912,..,9148,3018,12164,107,12268,..,29840,5336,35178,765,35942,..,182895,26523,209415,2521,211937,..,4764,740,5499,61282,66781,963635,187653,27265,214918,63798,1242349,988890,..,..,..,..,988890,..,3814,51,3863,30,3889,..,4841,970,5809,38,5850,..,904,26,932,13,946,..,9097,2447,11552,83,11636,..,26671,7904,34575,292,34866,..,1155,425,1582,3,1591,..,36931,10780,47705,380,48094,..,1037,141,1181,7,1187,..,3302,127,3426,37,3464,..,3706,98,3799,42,3842,..,3380,404,3785,21,3811,..,1467,132,1602,11,1613,..,3124,297,3423,35,3455,..,8143,434,8579,76,8652,..,3199,225,3426,25,3451,..,9257,1083,10345,124,10468,..,2789,156,2944,15,2956,..,2547,271,2816,27,2845,..,1435,84,1516
3RQLD,74,2355,28,2385,..,799,44,846,9,856,..,3053,88,3141,25,3170,..,743,86,829,18,840,..,6873,301,7170,82,7248,..,4323,316,4643,56,4698,..,812,61,876,6,886,..,1148,222,1366,16,1384,..,480,74,557,3,562,..,1664,444,2113,28,2134,..,23559,3947,27510,709,28220,..,93722,12269,105991,1608,107600,..,4642,598,5234,99553,104784,1077651,98360,12867,111226,101163,1290035,1111035,..,..,..,..,1111035,..,3710,53,3765,15,3775,..,1671,269,1939,24,1964,..,8182,745,8928,260,9187,..,2409,663,3072,21,3097,..,8305,2616,10927,84,11010,..,335,129,469,0,470,..,11053,3416,14468,112,14577,..,797,103,906,13,915,..,2874,137,3016,37,3055,..,4302,115,4416,47,4461,..,1434,133,1566,16,1583,..,541,47,592,3,591,..,1063,117,1181,8,1195,..,1961,111,2071,13,2091,..,2036,365,2399,24,2427,..,3375,374,3750,48,3794,..,916,59,969,12,982,..,668,49,714,3,721,..,344,20,362
