GCCSA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
1GSYD,2496,36362,386,36747,..,17585,5760,23341,167,23511,..,17558,4194,21752,152,21901,..,75684,36705,112388,768,113154,..,171126,34309,205429,4105,209535,..,1609985,329983,1939966,17442,1957409,..,25843,6275,32123,246383,278498,2995240,1635831,336260,1972090,263819,5231147
1RNSW,100,1666,21,1685,..,3619,872,4489,23,4512,..,1556,360,1917,19,1937,..,3491,1183,4670,46,4716,..,28682,5094,33773,806,34576,..,160790,24376,185170,2357,187528,..,8012,887,8899,176897,185789,2456315,168803,25266,194066,179254,2829637
19499,0,13,0,14,..,10,3,14,0,16,..,12,4,11,0,11,..,25,16,39,0,39,..,171,32,203,4,205,..,966,159,1125,25,1150,..,35,6,40,3764,3803,6417,1003,162,1166,3781,11371
19799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0
2GMEL,2299,32356,372,32725,..,10234,2183,12412,88,12504,..,26669,6387,33057,231,33290,..,79839,34632,114469,848,115314,..,192861,40683,233549,4192,237737,..,1399540,262559,1662099,16384,1678483,..,23364,5382,28753,207503,236253,3003007,1422909,267944,1690851,223888,4917750
2RVIC,112,1365,16,1386,..,1645,539,2190,27,2217,..,1166,365,1532,14,1541,..,2215,1160,3378,60,3440,..,18740,4842,23582,534,24112,..,93557,17177,110732,1584,112318,..,4221,570,4794,97201,102000,1362298,97779,17753,115527,98789,1576613
29499,0,6,0,6,..,7,0,7,0,7,..,25,13,32,0,35,..,32,14,42,0,42,..,187,40,227,6,229,..,794,171,962,15,977,..,37,7,45,3575,3624,4485,834,179,1012,3592,9089
29799,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,27,27,13,5,0,5,27,38
3GBRI,324,5578,66,5638,..,4512,1015,5527,44,5570,..,1505,228,1731,18,1748,..,18681,7715,26400,208,26607,..,60554,11525,72086,1472,73556,..,381796,61015,442806,4867,447672,..,9846,1578,11422,114628,126051,1952518,391639,62592,454233,119489,2526238
3RQLD,121,1677,15,1690,..,4186,853,5040,29,5071,..,880,155,1034,5,1038,..,3547,1137,4684,50,4740,..,49456,7577,57028,1370,58401,..,202977,26909,229890,3105,232997,..,9473,1206,10684,182666,193352,2188689,212456,28124,240575,185774,2615036
