GCCSA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
1GSYD,8264,38924,55330,42492,38139,36811,30530,17095,5218,272810,4587,40472,77063,56447,50658,45245,27375,12345,3849,318036,2215,37068,101821,73559,62691,54036,27905,9916,2556,371753,675,22667,88438,64069,51791,40707,18318,5643,1513,293822,332,10782,77319,63254,50527,36864,14764,4676,1342,259866,168,4568,55309,54312,42911,29558,10361,3068,829,201091,136,3911,89026,121896,88813,53595,15588,4306,1151,378426,65,609,15868,34207,26413,14469,4485,1414,454,97983,95,708,19448,63821,66788,35987,11217,3831,1207,203102,16220,22655,56484,46104,35438,29416,25621,24008,22953,278894,294764,343064,811314,777748,667167,579166,439467,249517,105729,4267941
1RNSW,6448,20733,28709,23819,24349,28021,28122,15451,4464,180119,3785,22648,39523,31177,33158,34487,22455,9600,2795,199626,1754,16721,44808,37361,38977,38837,21588,7081,1497,208623,556,8922,33155,29035,29117,26064,11860,3377,726,142798,216,4103,27397,26367,26460,22318,8783,3193,1009,119843,92,1793,18441,21560,22194,16973,5251,1446,378,88134,65,1617,23847,39175,40478,26737,6932,1671,393,140909,23,187,3492,7557,8152,5634,1744,550,140,27482,145,316,3592,10501,13706,10176,4214,1654,475,44787,13440,12581,26914,25123,25023,25756,25656,22138,15859,192480,162601,152295,328523,323565,348104,380961,348204,201734,78115,2324100
19499,26,78,140,69,64,102,57,22,0,559,10,72,171,79,71,80,29,9,0,528,0,45,169,73,76,67,43,6,3,482,0,15,101,68,50,33,24,0,0,291,0,8,80,63,43,36,14,0,0,235,0,4,54,41,22,24,19,0,0,165,0,9,84,70,53,39,5,3,0,262,0,0,12,21,12,6,0,0,0,57,0,0,16,39,36,22,5,8,0,131,179,269,720,748,604,451,188,56,16,3230,532,829,2187,1859,1678,1648,1055,277,49,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,4971,34049,55490,42890,37832,34480,30642,17156,5552,263067,3236,37393,83421,60106,52405,43898,26597,11446,3731,322234,1550,31977,105594,75104,63150,51257,24933,8462,2283,364309,444,16785,90141,64516,51011,38461,15957,4842,1305,283460,239,7514,77204,63925,50336,35275,12523,4071,1262,252344,94,2982,49600,52289,40097,26690,8477,2419,684,183327,100,2363,71516,106540,79351,47109,12671,3351,956,323963,53,443,11569,27540,22384,12688,3528,1040,343,79582,121,661,11650,44564,49562,27160,8685,2903,997,146299,14563,20564,50588,39831,32623,26537,23674,21256,17652,247288,274698,328543,788689,735102,629107,529975,405027,234998,100021,4026163
2RVIC,2695,10951,16177,13833,14655,16786,17011,8695,2388,103180,1687,12262,23161,18251,19388,20023,13275,5217,1523,114781,844,8941,26601,21415,22563,22363,11465,3469,821,118473,216,4388,19341,16728,16953,15313,6461,1800,407,81613,92,1997,16006,15513,15375,12934,4762,1556,534,68767,43,786,9346,11491,11906,9013,2856,716,204,46354,45,607,11059,18629,19628,13932,3707,893,244,68745,16,96,1547,3624,4146,2949,967,297,87,13723,55,190,1814,5396,7078,5358,2263,924,304,23374,7364,6312,14340,13889,14575,15221,16184,12919,8997,109796,88042,81124,184984,181883,196379,215485,199919,109653,42424,1299885
29499,9,31,110,51,56,36,29,5,0,332,13,37,129,52,48,48,16,8,0,344,9,34,116,59,48,36,13,0,0,323,0,18,61,34,27,31,17,0,0,189,5,3,69,37,31,22,6,6,0,180,0,7,39,21,16,19,3,0,0,107,0,0,48,42,26,13,5,0,0,141,0,0,3,17,6,8,3,0,0,41,0,0,15,35,21,12,0,0,0,85,174,214,655,823,616,405,194,37,14,3132,459,671,1819,1736,1393,1074,613,152,29,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
3GBRI,4774,21267,29675,22227,18981,17844,16720,8921,2465,142879,3100,23879,43767,31493,27744,22935,13897,5643,1561,174025,1432,19046,51056,39663,34827,28104,12918,3993,979,192019,449,10775,41068,33679,28700,21108,7920,2017,505,146230,181,5074,35124,32329,27539,18683,5920,1751,506,127113,80,1870,22397,26844,23438,14708,3894,944,225,94387,65,1559,30298,51059,45480,25306,5407,1235,319,160720,32,245,4790,11629,10953,5777,1407,410,112,35347,85,331,4686,18743,22608,12190,3466,1136,351,63592,8512,11568,25945,20877,17265,13405,11797,10364,8567,128300,157117,174643,374070,360339,329053,273801,214163,116022,42879,2042096
3RQLD,6071,19561,28240,23712,24005,24324,21997,11544,2990,162451,3809,21663,39730,31599,32720,29984,17566,6998,1807,185869,1757,15735,42517,37358,37822,34167,15968,5126,1053,191498,610,8937,30915,28989,28939,23621,8959,2538,536,134038,306,4607,25711,27161,27124,20487,7065,2294,659,115417,138,2184,16727,20890,21896,15484,4519,1159,258,83261,104,2376,22670,35559,37459,24054,5992,1469,317,129991,31,270,3899,7822,8361,5649,1610,474,129,28239,105,344,3851,10660,13145,9275,3630,1399,349,42763,13072,14892,33259,29019,29330,26808,22777,17769,10781,197720,155824,148151,324954,325336,343100,339019,287170,158531,54209,2136302
