GCCSA_CODE_2021,M_0_cond_0_14,M_0_cond_15_24,M_0_cond_25_34,M_0_cond_35_44,M_0_cond_45_54,M_0_cond_55_64,M_0_cond_65_74,M_0_cond_75_84,M_0_cond_85_over,M_0_cond_Tot,M_1_cond_0_14,M_1_cond_15_24,M_1_cond_25_34,M_1_cond_35_44,M_1_cond_45_54,M_1_cond_55_64,M_1_cond_65_74,M_1_cond_75_84,M_1_cond_85_over,M_1_cond_Tot,M_2_cond_0_14,M_2_cond_15_24,M_2_cond_25_34,M_2_cond_35_44,M_2_cond_45_54,M_2_cond_55_64,M_2_cond_65_74,M_2_cond_75_84,M_2_cond_85_over,M_2_cond_Tot,M_3_or_mo_cond_0_14,M_3_or_mo_cond_15_24,M_3_or_mo_cond_25_34,M_3_or_mo_cond_35_44,M_3_or_mo_cond_45_54,M_3_or_mo_cond_55_64,M_3_or_mo_cond_65_74,M_3_or_mo_cond_75_84,M_3_or_mo_cond_85_over,M_3_or_mo_cond_Tot,M_1m_cond_Tot_0_14,M_1m_cond_Tot_15_24,M_1m_cond_Tot_25_34,M_1m_cond_Tot_35_44,M_1m_cond_Tot_45_54,M_1m_cond_Tot_55_64,M_1m_cond_Tot_65_74,M_1m_cond_Tot_75_84,M_1m_cond_Tot_85_over,M_1m_cond_Tot_Tot,M_cond_NS_0_14,M_cond_NS_15_24,M_cond_NS_25_34,M_cond_NS_35_44,M_cond_NS_45_54,M_cond_NS_55_64,M_cond_NS_65_74,M_cond_NS_75_84,M_cond_NS_85_over,M_cond_NS_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_over,M_Tot_Tot,F_0_cond_0_14,F_0_cond_15_24,F_0_cond_25_34,F_0_cond_35_44,F_0_cond_45_54,F_0_cond_55_64,F_0_cond_65_74,F_0_cond_75_84,F_0_cond_85_over,F_0_cond_Tot,F_1_cond_0_14,F_1_cond_15_24,F_1_cond_25_34,F_1_cond_35_44,F_1_cond_45_54,F_1_cond_55_64,F_1_cond_65_74,F_1_cond_75_84,F_1_cond_85_over,F_1_cond_Tot,F_2_cond_0_14,F_2_cond_15_24,F_2_cond_25_34,F_2_cond_35_44,F_2_cond_45_54,F_2_cond_55_64,F_2_cond_65_74,F_2_cond_75_84,F_2_cond_85_over,F_2_cond_Tot,F_3_or_mo_cond_0_14,F_3_or_mo_cond_15_24,F_3_or_mo_cond_25_34,F_3_or_mo_cond_35_44,F_3_or_mo_cond_45_54,F_3_or_mo_cond_55_64,F_3_or_mo_cond_65_74,F_3_or_mo_cond_75_84,F_3_or_mo_cond_85_over,F_3_or_mo_cond_Tot,F_1m_cond_Tot_0_14,F_1m_cond_Tot_15_24,F_1m_cond_Tot_25_34,F_1m_cond_Tot_35_44,F_1m_cond_Tot_45_54,F_1m_cond_Tot_55_64,F_1m_cond_Tot_65_74,F_1m_cond_Tot_75_84,F_1m_cond_Tot_85_over,F_1m_cond_Tot_Tot,F_cond_NS_0_14,F_cond_NS_15_24,F_cond_NS_25_34,F_cond_NS_35_44,F_cond_NS_45_54,F_cond_NS_55_64,F_cond_NS_65_74,F_cond_NS_75_84,F_cond_NS_85_over,F_cond_NS_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_over,F_Tot_Tot,P_0_cond_0_14,P_0_cond_15_24,P_0_cond_25_34,P_0_cond_35_44,P_0_cond_45_54,P_0_cond_55_64,P_0_cond_65_74,P_0_cond_75_84,P_0_cond_85_over,P_0_cond_Tot,P_1_cond_0_14,P_1_cond_15_24,P_1_cond_25_34,P_1_cond_35_44,P_1_cond_45_54,P_1_cond_55_64,P_1_cond_65_74,P_1_cond_75_84,P_1_cond_85_over,P_1_cond_Tot,P_2_cond_0_14,P_2_cond_15_24,P_2_cond_25_34,P_2_cond_35_44,P_2_cond_45_54,P_2_cond_55_64,P_2_cond_65_74,P_2_cond_75_84,P_2_cond_85_over,P_2_cond_Tot,P_3_or_mo_cond_0_14,P_3_or_mo_cond_15_24,P_3_or_mo_cond_25_34,P_3_or_mo_cond_35_44,P_3_or_mo_cond_45_54,P_3_or_mo_cond_55_64,P_3_or_mo_cond_65_74,P_3_or_mo_cond_75_84,P_3_or_mo_cond_85_over,P_3_or_mo_cond_Tot,P_1m_cond_Tot_0_14,P_1m_cond_Tot_15_24,P_1m_cond_Tot_25_34,P_1m_cond_Tot_35_44,P_1m_cond_Tot_45_54,P_1m_cond_Tot_55_64,P_1m_cond_Tot_65_74,P_1m_cond_Tot_75_84,P_1m_cond_Tot_85_over,P_1m_cond_Tot_Tot,P_cond_NS_0_14,P_cond_NS_15_24,P_cond_NS_25_34,P_cond_NS_35_44,P_cond_NS_45_54,P_cond_NS_55_64,P_cond_NS_65_74,P_cond_NS_75_84,P_cond_NS_85_over,P_cond_NS_Tot
1GSYD,416610,259200,316254,296215,229259,165525,90051,35661,9285,1818050,40345,39521,45747,51434,57432,67800,63000,36121,11943,413335,1814,3662,5677,7480,11782,20326,27021,20146,7794,105705,91,270,671,1464,3604,8949,15328,14781,6829,51997,42246,43457,52094,60380,72820,97080,105344,71043,26570,571041,36400,26067,32774,28905,24702,20063,13479,8798,4967,196143,495250,328726,401126,385497,326780,282673,208867,115498,40821,2585238,404778,231703,310269,293634,231316,170368,100780,39874,12484,1795218,27651,47596,58185,57678,63707,71092,69444,43485,19425,458264,1366,6929,10627,11275,16412,24137,29468,23785,12928,136927,56,427,1252,2753,6169,11747,16384,16414,11086,66299,29075,54953,70064,71699,86287,106980,115297,83693,43439,661489,34098,22443,29859,26917,22777,19155,14517,10450,8984,189202,467958,309108,410190,392253,340388,296496,230601,134013,64908,2645912,821390,490908,626522,589850,460582,335891,190830,75535,21767,3613269,67992,87112,103932,109113,121135,138895,132442,79600,31372,871599,3182,10595,16299,18754,28193,44464,56490,43931,20724,242632,154,701,1926,4218,9777,20696,31708,31193,17915,118293,71317,98410,122159,132083,159109,204059,220649,154733,70016,1232527,70501,48514,62635,55820,47481,39219,27994,19242,13947,385349
1RNSW,201158,114272,111892,103888,102967,92225,63303,25408,5988,821100,30064,25758,26633,29132,35633,48311,51696,29250,8594,285065,2131,3355,4536,5913,9563,18084,25931,17998,6149,93656,110,261,649,1393,3679,9511,17067,15001,6059,53723,32298,29374,31816,36433,48877,75910,94696,62242,20797,432449,26243,17920,18196,17257,17528,16931,13497,7993,3451,139004,259695,161573,161894,157579,169368,185056,171497,95647,30234,1392556,196899,98398,105235,102451,102105,94920,65741,27333,8213,801304,22557,33014,36555,36231,41011,51112,53575,33614,14269,321947,1628,6461,9144,9993,14067,21527,26686,20079,10027,119627,83,487,1373,2859,6655,13010,17631,15873,9726,67708,24262,39969,47075,49086,61737,85654,97898,69573,34022,509281,24681,14953,14315,14442,14889,15331,13066,9179,5640,126495,245839,153320,166628,165984,178733,195902,176704,106086,47884,1437081,398056,212674,217133,206342,205074,187144,129048,52745,14198,1622410,52618,58773,63188,65365,76642,99427,105276,62862,22863,607010,3753,9823,13676,15912,23631,39611,52621,38079,16172,213283,189,756,2017,4244,10334,22527,34696,30873,15784,121428,56562,69350,78888,85520,110612,161562,192593,131815,54822,941726,50926,32873,32504,31701,32421,32258,26560,17173,9093,265502
19499,332,298,549,403,317,286,211,47,3,2443,36,100,168,154,165,184,159,43,9,1008,7,18,17,43,53,86,89,30,3,343,0,0,5,9,29,74,52,17,3,203,44,123,191,206,244,348,303,88,12,1552,262,241,426,496,450,318,137,35,3,2375,639,658,1164,1108,1010,949,648,166,19,6375,276,284,470,269,247,261,144,31,7,1986,50,143,154,127,122,155,96,21,4,870,5,47,53,43,56,79,50,19,8,347,0,5,15,19,36,55,44,12,4,196,57,192,223,186,204,284,190,56,16,1408,285,220,335,292,212,157,68,19,7,1605,616,703,1022,749,666,698,404,104,32,4997,610,587,1016,670,557,546,356,76,7,4427,89,244,317,279,285,344,254,66,12,1883,9,67,72,88,99,159,139,48,5,690,0,4,21,33,68,124,102,33,10,394,97,311,408,394,453,632,494,148,27,2966,555,462,763,794,661,469,210,54,14,3980
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,384060,241342,298936,271790,209438,147701,80882,32358,8671,1675182,39193,40148,52903,55862,58175,63261,57675,33713,11322,412243,1981,4025,7363,8853,12365,19300,25091,19246,7664,105887,112,277,815,1591,3769,8529,14566,14481,7265,51405,41287,44448,61079,66304,74310,91092,97329,67435,26253,569535,32514,23522,30580,25804,22595,17831,11986,7603,3561,176004,457860,309316,390596,363898,306343,256625,190191,107396,38491,2420718,374441,213605,286231,267206,211337,151640,89902,36296,11458,1642114,26904,50819,68660,63518,65755,68672,65723,41883,18555,470483,1497,8376,14235,13753,18142,24332,29361,23660,13262,146622,80,453,1559,2897,6392,11442,16552,16860,12237,68474,28479,59649,84455,80165,90294,104441,111638,82403,44055,685577,30806,20665,27410,23839,21130,17266,13298,8901,6020,169333,433723,293922,398093,371203,322760,273358,214827,127601,61530,2497033,758503,454946,585170,538991,420781,299345,170780,68653,20133,3317293,66089,90964,121562,119379,123935,131934,123397,75587,29877,882728,3485,12401,21598,22599,30513,43633,54448,42910,20925,252509,194,734,2372,4490,10161,19968,31120,31341,19502,119880,69762,104101,145529,146470,164604,195538,208965,149841,70303,1255117,63319,44189,57986,49639,43722,35101,25280,16506,9583,345341
2RVIC,111307,62232,63298,57619,57926,53072,37332,14234,3485,460505,16075,14089,15767,16866,20051,26457,29636,15956,4685,159596,1154,1881,2671,3421,5457,9733,14190,9544,3217,51275,47,148,388,837,2095,5202,9200,7965,3139,29020,17280,16115,18828,21127,27601,41395,53029,33468,11043,239889,13624,8800,9339,9048,9541,9488,8086,4734,1993,74649,142208,87154,91461,87790,95064,103961,98445,52439,16515,775038,108854,53051,58228,57361,57597,54466,38132,14968,4729,447382,11885,17551,21353,21172,23306,28922,30517,18337,7680,180721,858,3550,5578,6006,8350,12222,15123,10587,5246,67517,31,279,846,1683,3793,7379,9915,8122,4992,37038,12774,21379,27777,28861,35451,48524,55549,37043,17922,285280,12887,7591,7510,7869,8265,8535,7795,5206,3256,68913,134516,82018,93516,94090,101314,111524,101472,57215,25907,801575,220157,115281,121522,114984,115529,107536,75459,29203,8212,907885,27965,31638,37116,38036,43353,55382,60159,34300,12369,340320,2012,5430,8247,9431,13800,21959,29311,20134,8464,118788,80,427,1240,2523,5888,12578,19116,16088,8127,66057,30055,37495,46604,49986,63048,89921,108578,70514,28963,525165,26513,16393,16851,16914,17806,18026,15875,9940,5248,143560
29499,273,237,381,275,225,184,109,24,0,1707,56,96,127,147,137,98,73,24,0,755,7,14,28,48,48,44,53,18,0,260,0,7,10,12,39,36,25,3,4,138,58,118,167,203,228,174,153,43,4,1152,263,221,392,530,468,284,133,19,8,2314,594,575,939,1008,912,644,392,90,15,5170,258,206,345,176,105,153,66,13,3,1322,44,121,161,128,88,80,47,16,9,696,6,39,40,48,68,34,20,12,3,264,0,8,21,27,38,46,23,9,0,164,48,165,223,204,190,155,91,40,10,1124,235,183,312,354,183,122,67,9,6,1475,549,556,878,730,479,429,224,58,19,3915,535,449,725,446,326,333,176,41,10,3028,100,209,293,272,223,178,121,42,7,1453,10,59,71,99,114,75,74,23,4,520,0,10,25,37,80,78,52,15,5,303,109,278,386,408,411,335,242,85,14,2271,501,403,707,880,652,410,198,23,9,3785
29799,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,7,0,0,0,25,0,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29
3GBRI,204690,126204,132825,123928,102965,70456,39069,14586,3261,817976,23199,24528,28692,30364,33029,34101,31155,16798,4637,226498,1677,3072,4790,5715,8390,12059,15286,10335,3390,64706,90,270,635,1378,3046,6384,10224,8718,3174,33925,24964,27873,34110,37465,44460,52547,56669,35843,11201,325133,19187,14147,16909,14746,13121,9653,6313,3525,1659,99245,248831,168219,183841,176133,160551,132656,102051,53955,16110,1242349,198505,111799,127571,123021,102029,71772,43003,16425,4711,798828,17435,32852,38490,36737,37755,37028,34282,19931,7821,262325,1348,5956,9133,9581,12245,15057,16947,11674,5667,87614,85,496,1405,2560,5566,8745,11404,9709,5422,45390,18871,39297,49027,48873,55574,60827,62634,41315,18916,395330,17935,12442,13639,12313,10904,8544,6484,4328,3144,89733,235312,163542,190232,184205,168506,141143,112118,62066,26771,1283890,403193,238005,260388,246943,204997,142226,82069,31009,7970,1616802,40631,57380,67180,67106,70782,71126,65442,36727,12455,488827,3020,9024,13924,15297,20638,27118,32232,22002,9057,152322,178,766,2038,3936,8618,15129,21627,18431,8594,79317,43832,67169,83134,86341,100035,113375,119300,77162,30114,720459,37118,26587,30545,27054,24023,18199,12791,7846,4805,188976
3RQLD,197053,113301,112131,105812,103381,84847,54507,21430,4608,797068,22841,20354,22059,25731,32103,40634,42244,23325,6356,235648,1588,2328,3404,4846,8406,14544,19867,13968,4220,73166,95,208,519,1236,3116,7835,13316,11357,4166,41845,24532,22888,25976,31814,43624,63006,75425,48647,14739,350660,24871,18273,20779,19380,20208,17343,12164,6755,2535,142310,246452,154460,158891,157012,167212,165201,142094,76828,21880,1290035,190500,102278,110501,109411,104951,87392,56100,22353,5888,789379,17346,26787,30996,32314,37343,43716,43605,25917,9499,267516,1188,4707,6810,8438,12255,17552,20785,14775,6797,93308,73,355,985,2395,5353,10382,13273,11466,6238,50519,18608,31852,38793,43142,54949,71656,77666,52155,22529,411343,23180,15387,16768,15777,15996,14775,11306,7187,3910,124282,232283,149512,166061,168330,175891,173823,145075,81697,32328,1325000,387552,215581,222638,215220,208326,172242,110606,43788,10495,1586449,40189,47144,53058,58043,69445,84349,85849,49238,15853,503163,2776,7035,10210,13282,20662,32097,40654,28746,11013,166474,166,561,1500,3628,8470,18214,26592,22818,10406,92363,43132,54741,64772,74958,98573,134660,153093,100805,37275,762007,48051,33656,37544,35157,36198,32122,23469,13944,6445,266587
