GCCSA_CODE_2021,COB_Aus_Arth,COB_Aus_Asth,COB_Aus_Canc_rem,COB_Aus_Dem_Alzh,COB_Aus_Dia_ges_dia,COB_Aus_HD_HA_ang,COB_Aus_Kid_dis,COB_Aus_LC_COPD_emph,COB_Aus_MHC_dep_anx,COB_Aus_Stroke,COB_Aus_oth_LTHC,COB_Aus_no_LTHC,COB_AUS_LTHC_NS,COB_Aus_Tot,COB_Bo_Ocea_Ant_Arth,COB_Bo_Ocea_Ant_Asth,COB_Bo_Ocea_Ant_Can_rem,COB_Bo_Ocea_Ant_Dem_Alzh,COB_Bo_Ocea_Ant_Dia_ges_dia,COB_Bo_Ocea_Ant_HD_HA_ang,COB_Bo_Ocea_Ant_Kid_dis,COB_Bo_Ocea_Ant_LC_COPD_emph,COB_Bo_Ocea_Ant_MHC_dep_anx,COB_Bo_Ocea_Ant_Stroke,COB_Bo_Ocea_Ant_oth_LTHC,COB_Bo_Ocea_Ant_no_LTHC,COB_Bo_Ocea_Ant_LTHC_NS,COB_Bo_Ocea_Ant_Tot,COB_Bo_UK_CI_IM_Arth,COB_Bo_UK_CI_IM_Asth,COB_Bo_UK_CI_IM_Can_rem,COB_Bo_UK_CI_IM_Dem_Alzh,COB_Bo_UK_CI_IM_Dia_ges_dia,COB_Bo_UK_CI_IM_HD_HA_ang,COB_Bo_UK_CI_IM_Kid_dis,COB_Bo_UK_CI_IM_LC_COPD_emph,COB_Bo_UK_CI_IM_MHC_dep_anx,COB_Bo_UK_CI_IM_Stroke,COB_Bo_UK_CI_IM_oth_LTHC,COB_Bo_UK_CI_IM_no_LTHC,COB_Bo_UK_CI_IM_LTHC_NS,COB_Bo_UK_CI_IM_Tot,COB_Bo_NW_Eu_Arth,COB_Bo_NW_Eu_Asth,COB_Bo_NW_Eu_Can_rem,COB_Bo_NW_Eu_Dem_Alzh,COB_Bo_NW_Eu_Dia_ges_dia,COB_Bo_NW_Eu_HD_HA_ang,COB_Bo_NW_Eu_Kid_dis,COB_Bo_NW_Eu_LC_COPD_emph,COB_Bo_NW_Eu__MHC_Dep_anx,COB_Bo_NW_Eu_Stroke,COB_Bo_NW_Eu_oth_LTHC,COB_Bo_NW_Eu_no_LTHC,COB_Bo_NW_Eu_LTHC_NS,COB_Bo_NW_Eu_Tot,COB_Bo_SE_Eu_Asth,COB_Bo_SE_Eu_Arth,COB_Bo_SE_Eu_Can_rem,COB_Bo_SE_Eu_Dem_Alzh,COB_Bo_SE_Eu_Dia_ges_dia,COB_Bo_SE_Eu_HD_HA_ang,COB_Bo_SE_Eu_Kid_dis,COB_Bo_SE_Eu_LC_COPD_emph,COB_Bo_SE_Eu_MHC_Dep_anx,COB_Bo_SE_Eu_Stroke,COB_Bo_SE_Eu_oth_LTHC,COB_Bo_SE_Eu_no_LTHC,COB_Bo_SE_Eu_LTHC_NS,COB_Bo_SE_Eu_Tot,COB_Bo_NA_ME_Asth,COB_Bo_NA_ME_Arth,COB_Bo_NA_ME_Can_rem,COB_Bo_NA_ME_Dem_Alzh,COB_Bo_NA_ME_Dia_ges_dia,COB_Bo_NA_ME_HD_HA_ang,COB_Bo_NA_ME_Kid_dis,COB_Bo_NA_ME_LC_COPD_emph,COB_Bo_NA_ME_MHC_Dep_anx,COB_Bo_NA_ME_Stroke,COB_Bo_NA_ME_oth_LTHC,COB_Bo_NA_ME_no_LTHC,COB_Bo_NA_ME_LTHC_NS,COB_Bo_NA_ME_Tot,COB_Bo_SE_Asia_Arth,COB_Bo_SE_Asia_Asth,COB_Bo_SE_Asia_Can_rem,COB_Bo_SE_Asia_Dem_Alzh,COB_Bo_SE_Asia_Dia_ges_dia,COB_Bo_SE_Asia_HD_HA_ang,COB_Bo_SE_Asia_Kid_dis,COB_Bo_SE_Asia_LC_COPD_emph,COB_Bo_SE_Asia_MHC_Dep_anx,COB_Bo_SE_Asia_Stroke,COB_Bo_SE_Asia_oth_LTHC,COB_Bo_SE_Asia_no_LTHC,COB_Bo_SE_Asia_LTHC_NS,COB_Bo_SE_Asia_Tot,COB_Bo_NE_Asia_Arth,COB_Bo_NE_Asia_Asth,COB_Bo_NE_Asia_Can_rem,COB_Bo_NE_Asia_Dem_Alzh,COB_Bo_NE_Asia_Dia_ges_dia,COB_Bo_NE_Asia_HD_HA_ang,COB_Bo_NE_Asia_Kid_dis,COB_Bo_NE_Asia_LC_COPD_emph,COB_Bo_NE_Asia_MHC_Dep_anx,COB_Bo_NE_Asia_Stroke,COB_Bo_NE_Asia_oth_LTHC,COB_Bo_NE_Asia_no_LTHC,COB_Bo_NE_Asia_LTHC_NS,COB_Bo_NE_Asia_Tot,COB_Bo_SC_Asia_Arth,COB_Bo_SC_Asia_Asth,COB_Bo_SC_Asia_Can_rem,COB_Bo_SC_Asia_Dem_Alzh,COB_Bo_SC_Asia_Dia_ges_dia,COB_Bo_SC_Asia_HD_HA_ang,COB_Bo_SC_Asia_Kid_dis,COB_Bo_SC_Asia_LC_COPD_emph,COB_Bo_SC_Asia_MHC_Dep_anx,COB_Bo_SC_Asia_Stroke,COB_Bo_SC_Asia_oth_LTHC,COB_Bo_SC_Asia_no_LTHC,COB_Bo_SC_Asia_LTHC_NS,COB_Bo_SC_Asia_Tot,COB_Bo_Amer_Arth,COB_Bo_Amer_Asth,COB_Bo_Amer_Can_rem,COB_Bo_Amer_Dem_Alzh,COB_Bo_Amer_Dia_ges_dia,COB_Bo_Amer_HD_HA_ang,COB_Bo_Amer_Kid_dis,COB_Bo_Amer_LC_COPD_emph,COB_Bo_Amer_MHC_Dep_anx,COB_Bo_Amer_Stroke,COB_Bo_Amer_oth_LTHC,COB_Bo_Amer_no_LTHC,COB_Bo_Amer_LTHC_NS,COB_Bo_Amer_Tot,COB_Bo_SS_Afr_Arth,COB_Bo_SS_Afr_Asth,COB_Bo_SS_Afr_Can_rem,COB_Bo_SS_Afr_Dem_Alzh,COB_Bo_SS_Afr_Dia_ges_dia,COB_Bo_SS_Afr_HD_HA_ang,COB_Bo_SS_Afr_Kid_dis,COB_Bo_SS_Afr_LC_COPD_emph,COB_Bo_SS_Afr_MHC_Dep_anx,COB_Bo_SS_Afr_Stroke,COB_Bo_SS_Afr_oth_LTHC,COB_Bo_SS_Afr_no_LTHC,COB_Bo_SS_Afr_LTHC_NS,COB_Bo_SS_Afr_Tot,COB_Bo_Tot_ob_Arth,COB_Bo_Tot_ob_Asth,COB_Bo_Tot_ob_Can_rem,COB_Bo_Tot_ob_Dem_Alzh,COB_Bo_Tot_ob_Dia_ges_dia,COB_Bo_Tot_ob_HD_HA_ang,COB_Bo_Tot_ob_Kid_dis,COB_Bo_Tot_ob_LC_COPD_emph,COB_Bo_Tot_ob_MHC_Dep_anx,COB_Bo_Tot_ob_Stroke,COB_Bo_Tot_ob_oth_LTHC,COB_Bo_Tot_ob_no_LTHC,COB_Bo_Tot_ob_LTHC_NS,COB_Bo_Tot_ob_Tot,COB_COB_NS_Arth,COB_COB_NS_Asth,COB_COB_NS_Can_rem,COB_COB_NS_Dem_Alzh,COB_COB_NS_Dia_ges_dia,COB_COB_NS_HD_HA_ang,COB_COB_NS_Kid_dis,COB_COB_NS_LC_COPD_emph,COB_COB_NS__MHC_Dep_anx,COB_COB_NS_Stroke,COB_COB_NS_oth_LTHC,COB_COB_NS_no_LTHC,COB_COB_NS_LTHC_NS,COB_COB_NS_Tot,COB_Tot_Arth,COB_Tot_Asth,COB_Tot_Can_rem,COB_Tot_Dem_Alzh,COB_Tot_Dia_ges_dia,COB_Tot_HD_HA_ang,COB_Tot_Kid_dis,COB_Tot_LC_COPD_emph,COB_Tot_MHC_Dep_anx,COB_Tot_Stroke,COB_Tot_oth_LTHC,COB_Tot_no_LTHC,COB_Tot_LTHC_NS,COB_Tot_Tot,LFS_Emp_Arth,LFS_Emp_Asth,LFS_Emp_Can_rem,LFS_Emp_Dem_Alzh
1GSYD,202716,263188,73629,16727,95317,91526,21040,40132,253169,19938,226749,1977280,113452,2970785,11208,11326,3974,883,12256,6712,1873,1966,8015,1392,10306,90600,5370,142592,22961,14265,8934,2343,10047,11311,2096,4780,14307,2449,16675,105015,6119,181476,7111,3876,3016,1089,3452,4079,725,1486,4220,974,5781,49142,2151,74337,32263,7019,9868,5941,21641,17231,3773,4660,12937,4104,20535,95824,7451,184021,22249,11284,5172,2171,22247,11977,3304,3015,13713,2807,23930,137452,8297,219180,15660,13731,5972,1817,23134,8815,2727,1765,9780,2278,26193,233445,9171,322343,10651,6737,7034,2170,17813,8899,2480,1737,8240,2245,25587,289427,7083,366355,9449,9920,2514,722,21122,7038,1519,1007,6449,1050,14392,288499,7388,351594,7487,6069,2640,640,4412,2726,729,835,7176,709,8120,75350,2939,106846,4412,4138,1953,351,3677,2409,530,554,4043,441,5333,46753,1924,68425,143444,88368,51066,18119,139810,81197,19753,21806,88875,18444,156846,1411508,57893,2017171,5087,2100,1442,816,3003,2624,734,1166,2651,759,2634,16125,214006,243199,351254,353656,126140,35663,238127,175348,41530,63101,344699,39140,386233,3404909,385349,5231147,..,..,..,..
1RNSW,272311,246105,83918,20760,120762,115084,29160,60438,270509,27510,205721,1299430,101351,2300890,5062,3728,1867,359,2659,2289,614,1228,3835,570,3680,23000,1801,41014,20702,8130,6621,2034,8546,9380,2151,4966,9920,2289,10800,41191,3266,93501,5907,1841,2125,863,2817,3166,637,1381,2542,811,3421,16092,1047,31870,7675,1659,2173,1368,5000,3899,988,1251,2983,1060,4158,16392,1481,35864,952,574,275,83,854,510,181,141,699,107,1139,8673,589,12721,1823,1741,603,116,1838,747,279,239,1337,183,2171,26711,1394,35823,496,405,265,61,554,267,78,88,435,64,855,13799,490,16938,898,829,258,84,1603,613,145,138,675,99,1187,29978,831,35584,2175,1681,761,163,975,831,223,358,2163,197,2135,13831,655,22094,1260,1075,510,107,808,610,151,200,1152,127,1405,12186,538,17878,46944,21667,15446,5231,25648,22321,5442,9994,25731,5496,30950,201862,12093,343289,8035,3627,2214,1022,3842,3712,1055,2106,3894,1045,3028,15133,152060,185457,327289,271403,101575,27017,150253,141115,35654,72543,300128,34050,239704,1516428,265502,2829637,..,..,..,..
19499,656,648,201,16,264,298,65,213,1342,60,722,2790,464,5912,28,26,16,0,12,12,0,12,36,4,32,138,13,257,40,25,18,0,20,25,3,17,48,10,47,207,13,367,10,14,4,0,8,5,3,5,11,0,15,136,7,193,21,11,6,0,8,5,6,5,9,6,10,76,8,127,8,9,0,0,3,7,0,5,21,0,3,71,4,110,6,8,0,0,10,0,0,0,25,0,14,164,11,227,8,0,0,0,7,5,0,0,12,0,12,169,8,198,0,3,4,0,6,7,0,0,10,0,9,101,5,128,11,11,0,0,6,3,0,0,27,0,13,125,8,182,3,3,0,0,4,0,0,0,15,0,8,72,3,109,137,108,54,5,84,75,18,49,208,20,160,1246,89,1901,20,14,7,0,7,20,0,12,31,4,18,53,3431,3558,813,776,260,27,365,387,85,268,1585,79,894,4089,3980,11371,..,..,..,..
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..
2GMEL,201483,292521,75268,14775,91962,87303,20711,37523,301665,21182,241801,1899091,109275,2947151,7013,10388,2577,386,6562,3608,963,1257,8221,915,7686,70248,3716,108151,24597,14896,9222,2661,11412,11867,2321,5290,16211,2900,16856,84493,5080,161913,8453,4004,3440,1393,4136,4958,963,1723,4756,1223,6287,36690,1952,63703,47181,12041,13547,8191,32286,24933,5960,6320,21333,6730,29201,106594,8179,230146,11168,6813,2746,1088,11415,6017,1849,1366,9024,1358,13494,86465,4591,131606,11980,16467,4808,1282,18811,6596,2313,1318,9999,2011,22953,217658,8051,297057,4946,5023,3213,833,8826,4081,1251,840,5263,1046,12802,184165,3505,224176,10770,12334,2929,900,23769,7963,1983,1149,8301,1312,16380,319589,8514,392279,4462,4838,1591,310,2858,1663,454,475,6028,422,5606,46841,1613,68175,4358,4701,1608,365,4838,2150,541,540,4335,496,5499,51338,2325,74331,134932,91496,45684,17402,124908,73842,18607,20287,93462,18411,136764,1204087,47510,1751538,5280,2337,1623,918,3045,2701,715,1116,3145,801,2889,16512,188555,219061,341688,386347,122573,33093,219919,163847,40033,58925,398275,40395,381454,3119688,345341,4917750,..,..,..,..
2RVIC,145869,140299,46675,9612,65061,63366,13966,31287,153779,15548,117387,722814,52685,1277245,2312,2002,758,120,1252,1039,250,526,1960,262,1751,10945,826,19435,11337,5142,3778,1024,5297,5478,1054,2886,5895,1319,6168,21480,1771,50614,4035,1362,1465,522,2088,2417,463,1011,1734,559,2274,8872,677,19597,4883,1296,1415,807,3494,2719,600,818,2080,692,2666,8988,954,21577,455,331,135,33,491,258,67,65,449,74,554,3989,344,6091,902,1184,293,57,1190,416,137,105,798,111,1379,20418,1196,26394,177,207,91,24,223,113,21,29,189,22,354,7754,214,9107,514,642,145,50,1154,415,105,70,452,54,890,20710,605,24618,782,698,318,42,408,317,74,146,889,61,832,4977,236,8178,562,538,223,32,394,282,58,74,582,51,690,6147,281,8820,25955,13405,8602,2716,15987,13454,2824,5734,15031,3213,17546,114291,7112,194429,4636,2311,1330,492,2179,2226,544,1171,2590,624,1947,9941,83768,104939,176453,156014,56609,12826,83226,79051,17333,38195,171407,19379,136891,847045,143560,1576613,..,..,..,..
29499,390,581,108,17,161,170,56,117,1246,49,608,1841,388,4283,12,21,7,3,10,11,0,9,29,4,19,101,13,179,23,25,5,0,13,17,0,6,33,0,22,109,16,206,7,5,4,0,5,0,0,3,16,0,12,75,4,111,23,5,6,0,10,3,3,6,20,3,16,52,5,104,9,11,0,0,10,9,0,9,17,0,17,70,4,108,6,6,0,0,5,0,0,0,17,0,21,154,12,207,0,4,3,0,4,0,0,3,9,0,10,64,7,94,6,7,0,0,8,0,0,0,21,0,13,120,8,165,7,7,0,0,3,0,0,0,21,0,10,70,4,110,0,3,0,0,5,3,0,0,16,0,12,61,7,96,93,88,31,4,63,53,10,31,202,16,144,878,68,1379,12,15,10,3,6,7,6,9,26,5,10,45,3334,3431,490,684,148,23,229,234,70,154,1470,68,769,2768,3785,9089,..,..,..,..
29799,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,14,29,38,..,..,..,..
3GBRI,147132,182163,52744,10794,71519,68075,15006,35004,211226,14998,166981,1035799,68997,1726655,12282,13141,4406,826,9476,6214,1497,2714,11119,1510,11334,89480,5675,144242,17682,9839,6408,1692,8103,8553,1713,4449,12000,1990,12718,59049,3817,113907,4394,2086,1843,641,2186,2635,487,1111,2731,619,3590,19910,983,34329,4755,1449,1575,875,3004,2816,597,803,2757,651,3721,20377,1137,34912,973,981,275,95,1070,643,183,140,1169,126,1741,16381,749,22144,3959,4221,1486,385,5015,2085,673,503,3193,595,6946,61821,2410,85011,1531,1668,1175,247,2597,1420,381,260,1858,318,4727,70293,1302,84154,2044,2335,583,172,4463,1628,356,293,1646,280,3485,65646,1680,80085,2235,2268,842,164,1283,928,227,336,3152,209,3149,27061,823,38075,2565,2622,1090,171,1911,1402,277,400,3106,243,3522,34759,1358,48536,52422,40601,19686,5260,39109,28320,6400,11007,42723,6542,54933,464782,19947,685394,2749,1466,838,454,1434,1540,418,848,1712,435,1479,7164,100039,114185,202310,224233,73272,16502,112055,97929,21824,46859,255655,21974,223394,1507747,188976,2526238,..,..,..,..
3RQLD,197246,181605,66180,15199,90638,89978,19856,46620,204419,20798,169013,1168260,83968,1944312,12113,9542,4585,786,5723,5699,1270,2984,9106,1428,8757,68562,4459,113431,19542,8791,6994,1951,7830,9086,1882,5059,10641,2239,12289,57388,3848,112507,5412,1869,2017,757,2238,2963,510,1340,2548,813,3584,20048,1134,35529,4412,1135,1480,865,2593,2446,593,803,2036,625,2850,15464,979,27738,693,433,248,93,622,446,120,145,571,101,911,7729,278,10727,2385,2166,816,173,2447,972,304,315,1570,280,2936,35118,1580,46927,730,634,461,102,898,452,121,107,719,124,1657,29233,610,34509,791,838,266,75,1504,595,129,144,577,100,1219,26360,727,31588,1969,1776,811,156,941,854,189,421,2164,210,2214,23083,841,31869,2289,1853,938,150,1229,1142,189,413,2235,203,2682,24304,931,34828,50340,29017,18617,5111,26020,24657,5313,11730,32159,6125,39096,307282,15388,479657,4902,2243,1437,815,2346,2527,629,1409,2513,731,2183,11887,167232,191069,252485,212875,86223,21130,119003,117154,25803,59756,239091,27657,210285,1487431,266587,2615036,..,..,..,..
