GCCSA_CODE_2021,M_Current_ADF_Regular_15_24,M_Current_ADF_Regular_25_34,M_Current_ADF_Regular_35_44,M_Current_ADF_Regular_45_54,M_Current_ADF_Regular_55_64,M_Current_ADF_Regular_65_74,M_Current_ADF_Regular_75_84,M_Current_ADF_Regular_85_ov,M_Current_ADF_Regular_Tot,M_Current_ADF_Reserves_15_24,M_Current_ADF_Reserves_25_34,M_Current_ADF_Reserves_35_44,M_Current_ADF_Reserves_45_54,M_Current_ADF_Reserves_55_64,M_Current_ADF_Reserves_65_74,M_Current_ADF_Reserves_75_84,M_Current_ADF_Reserves_85_ov,M_Current_ADF_Reserves_Tot,M_Prev_ADF_Ncs_15_24,M_Prev_ADF_Ncs_25_34,M_Prev_ADF_Ncs_35_44,M_Prev_ADF_Ncs_45_54,M_Prev_ADF_Ncs_55_64,M_Prev_ADF_Ncs_65_74,M_Prev_ADF_Ncs_75_84,M_Prev_ADF_Ncs_85_ov,M_Prev_ADF_Ncs_Tot,M_Tot_ADF_ev_ser_15_24,M_Tot_ADF_ev_ser_25_34,M_Tot_ADF_ev_ser_35_44,M_Tot_ADF_ev_ser_45_54,M_Tot_ADF_ev_ser_55_64,M_Tot_ADF_ev_ser_65_74,M_Tot_ADF_ev_ser_75_84,M_Tot_ADF_ev_ser_85_ov,M_Tot_ADF_ev_ser_Tot,M_never_served_15_24,M_never_served_25_34,M_never_served_35_44,M_never_served_45_54,M_never_served_55_64,M_never_served_65_74,M_never_served_75_84,M_never_served_85_ov,M_never_served_Tot,M_NS_15_24,M_NS_25_34,M_NS_35_44,M_NS_45_54,M_NS_55_64,M_NS_65_74,M_NS_75_84,M_NS_85_ov,M_NS_Tot,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85_ov,M_Tot_Tot,F_Current_ADF_Regular_15_24,F_Current_ADF_Regular_25_34,F_Current_ADF_Regular_35_44,F_Current_ADF_Regular_45_54,F_Current_ADF_Regular_55_64,F_Current_ADF_Regular_65_74,F_Current_ADF_Regular_75_84,F_Current_ADF_Regular_85_ov,F_Current_ADF_Regular_Tot,F_Current_ADF_Reserves_15_24,F_Current_ADF_Reserves_25_34,F_Current_ADF_Reserves_35_44,F_Current_ADF_Reserves_45_54,F_Current_ADF_Reserves_55_64,F_Current_ADF_Reserves_65_74,F_Current_ADF_Reserves_75_84,F_Current_ADF_Reserves_85_ov,F_Current_ADF_Reserves_Tot,F_Prev_ADF_Ncs_15_24,F_Prev_ADF_Ncs_25_34,F_Prev_ADF_Ncs_35_44,F_Prev_ADF_Ncs_45_54,F_Prev_ADF_Ncs_55_64,F_Prev_ADF_Ncs_65_74,F_Prev_ADF_Ncs_75_84,F_Prev_ADF_Ncs_85_ov,F_Prev_ADF_Ncs_Tot,F_Tot_ADF_ev_ser_15_24,F_Tot_ADF_ev_ser_25_34,F_Tot_ADF_ev_ser_35_44,F_Tot_ADF_ev_ser_45_54,F_Tot_ADF_ev_ser_55_64,F_Tot_ADF_ev_ser_65_74,F_Tot_ADF_ev_ser_75_84,F_Tot_ADF_ev_ser_85_ov,F_Tot_ADF_ev_ser_Tot,F_never_served_15_24,F_never_served_25_34,F_never_served_35_44,F_never_served_45_54,F_never_served_55_64,F_never_served_65_74,F_never_served_75_84,F_never_served_85_ov,F_never_served_Tot,F_NS_15_24,F_NS_25_34,F_NS_35_44,F_NS_45_54,F_NS_55_64,F_NS_65_74,F_NS_75_84,F_NS_85_ov,F_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85_ov,F_Tot_Tot,P_Current_ADF_Regular_15_24,P_Current_ADF_Regular_25_34,P_Current_ADF_Regular_35_44,P_Current_ADF_Regular_45_54,P_Current_ADF_Regular_55_64,P_Current_ADF_Regular_65_74,P_Current_ADF_Regular_75_84,P_Current_ADF_Regular_85_ov,P_Current_ADF_Regular_Tot,P_Current_ADF_Reserves_15_24,P_Current_ADF_Reserves_25_34,P_Current_ADF_Reserves_35_44,P_Current_ADF_Reserves_45_54,P_Current_ADF_Reserves_55_64,P_Current_ADF_Reserves_65_74,P_Current_ADF_Reserves_75_84,P_Current_ADF_Reserves_85_ov,P_Current_ADF_Reserves_Tot,P_Prev_ADF_Ncs_15_24,P_Prev_ADF_Ncs_25_34,P_Prev_ADF_Ncs_35_44,P_Prev_ADF_Ncs_45_54,P_Prev_ADF_Ncs_55_64,P_Prev_ADF_Ncs_65_74,P_Prev_ADF_Ncs_75_84,P_Prev_ADF_Ncs_85_ov,P_Prev_ADF_Ncs_Tot,P_Tot_ADF_ev_ser_15_24,P_Tot_ADF_ev_ser_25_34,P_Tot_ADF_ev_ser_35_44,P_Tot_ADF_ev_ser_45_54,P_Tot_ADF_ev_ser_55_64,P_Tot_ADF_ev_ser_65_74,P_Tot_ADF_ev_ser_75_84,P_Tot_ADF_ev_ser_85_ov,P_Tot_ADF_ev_ser_Tot,P_never_served_15_24,P_never_served_25_34,P_never_served_35_44,P_never_served_45_54,P_never_served_55_64,P_never_served_65_74,P_never_served_75_84,P_never_served_85_ov,P_never_served_Tot,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_ov,P_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_ov,P_Tot_Tot
1GSYD,1508,3136,1730,1067,395,0,0,0,7837,348,816,598,452,477,0,0,0,2695,444,2945,3908,6074,7632,11657,10002,6602,49258,2300,6900,6231,7594,8505,11657,10002,6602,59785,308374,367274,357429,303353,261414,187586,97599,28474,1911501,18055,26946,21831,15831,12753,9633,7896,5744,118696,328726,401126,385497,326780,282673,208867,115498,40821,2089990,605,909,373,191,65,0,0,0,2147,69,147,126,104,68,0,0,0,520,154,443,677,1154,1251,975,558,583,5790,825,1505,1173,1450,1385,975,558,583,8456,292950,384984,372118,325315,283932,219548,123153,52482,2054482,15329,23698,18958,13625,11178,10082,10300,11837,115007,309108,410190,392253,340388,296496,230601,134013,64908,2177951,2110,4044,2102,1262,459,0,0,0,9985,414,969,723,559,550,0,0,0,3207,591,3390,4584,7222,8881,12630,10568,7185,55054,3124,8404,7405,9047,9889,12630,10568,7185,68249,601327,752260,729546,628667,545343,407129,220748,80961,3965982,33386,50653,40794,29454,23937,19710,18195,17584,233705,637826,811314,777748,667167,579166,439467,249517,105729,4267941
1RNSW,1318,1871,1545,1136,360,0,0,0,6235,187,626,598,577,630,0,0,0,2623,481,3047,4459,7332,10187,17546,12615,7632,63306,1988,5547,6600,9051,11178,17546,12615,7632,72158,146704,142286,138341,148326,162311,143588,75773,18642,975976,12884,14066,12640,11988,11566,10367,7259,3960,84720,161573,161894,157579,169368,185056,171497,95647,30234,1132855,441,595,402,240,66,0,0,0,1745,53,148,186,172,108,0,0,0,662,185,618,1076,1926,2191,1700,779,604,9084,680,1358,1660,2337,2365,1700,779,604,11488,141919,154526,154162,166722,183570,165159,96084,39773,1101923,10713,10744,10162,9672,9963,9845,9221,7505,77834,153320,166628,165984,178733,195902,176704,106086,47884,1191247,1761,2466,1943,1383,422,0,0,0,7971,242,772,787,748,740,0,0,0,3288,666,3666,5532,9263,12379,19254,13397,8232,72393,2671,6900,8267,11393,13543,19254,13397,8232,83647,288622,296814,292504,315050,345889,308743,171859,58415,2077897,23602,24813,22799,21660,21533,20209,16478,11465,162556,314893,328523,323565,348104,380961,348204,201734,78115,2324100
19499,20,3,5,5,0,0,0,0,32,0,4,0,0,0,0,0,0,10,0,13,16,30,42,61,20,4,192,24,23,18,37,46,61,20,4,233,422,756,636,588,615,476,119,8,3610,217,383,456,386,287,115,33,4,1893,658,1164,1108,1010,949,648,166,19,5734,9,3,0,0,4,0,0,0,14,0,0,0,0,0,0,0,0,0,0,8,3,8,10,4,0,0,29,11,11,3,8,13,4,0,0,44,473,701,477,472,555,349,85,19,3136,216,315,268,187,134,52,19,12,1200,703,1022,749,666,698,404,104,32,4381,29,11,8,5,3,0,0,0,48,0,3,0,0,0,0,0,0,9,0,22,19,40,54,62,20,4,218,30,29,21,42,55,62,20,4,274,892,1463,1110,1056,1172,824,202,31,6753,437,699,722,577,418,162,51,16,3090,1357,2187,1859,1678,1648,1055,277,49,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,911,917,643,492,247,0,0,0,3214,324,686,608,408,414,0,0,0,2437,406,2643,4044,6044,7889,12518,10021,6325,49897,1642,4251,5298,6944,8550,12518,10021,6325,55545,291801,361895,339917,285477,237483,169618,90972,28248,1805417,15872,24452,18683,13923,10584,8058,6406,3920,101900,309316,390596,363898,306343,256625,190191,107396,38491,1962857,253,282,186,113,37,0,0,0,874,67,134,100,97,68,0,0,0,460,143,387,703,1372,1726,1098,519,639,6582,459,800,981,1583,1835,1098,519,639,7914,279800,376219,353966,308870,261751,204843,118893,53368,1957715,13661,21080,16257,12306,9773,8886,8190,7525,97680,293922,398093,371203,322760,273358,214827,127601,61530,2063309,1163,1202,824,609,288,0,0,0,4084,391,820,708,501,478,0,0,0,2894,546,3031,4748,7412,9618,13617,10537,6964,56475,2099,5054,6282,8524,10383,13617,10537,6964,63456,571608,738117,693883,594348,499240,374456,209866,81617,3763127,29535,45524,34939,26229,20357,16948,14597,11438,199577,603243,788689,735102,629107,529975,405027,234998,100021,4026163
2RVIC,659,651,418,297,127,0,0,0,2148,79,210,192,165,225,0,0,0,870,190,1182,1979,3550,5333,10169,6610,4101,33112,927,2035,2592,4014,5681,10169,6610,4101,36138,79841,82097,78403,84357,91740,82020,41672,10227,550356,6383,7325,6800,6696,6538,6256,4153,2187,46338,87154,91461,87790,95064,103961,98445,52439,16515,632831,270,159,72,63,27,0,0,0,581,18,42,40,51,48,0,0,0,199,69,244,458,964,1339,981,342,278,4680,354,439,565,1081,1413,981,342,278,5463,76110,87355,87815,94719,104338,94509,51640,21665,618141,5552,5729,5705,5512,5768,5983,5234,3969,43454,82018,93516,94090,101314,111524,101472,57215,25907,667057,931,806,488,364,155,0,0,0,2734,99,249,238,220,270,0,0,0,1074,259,1423,2437,4511,6672,11150,6958,4378,37789,1285,2479,3161,5096,7100,11150,6958,4378,41605,155947,169450,166220,179076,196082,176529,93312,31886,1168496,11932,13055,12508,12209,12305,12242,9387,6150,89789,169167,184984,181883,196379,215485,199919,109653,42424,1299885
29499,20,15,5,3,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,7,10,22,18,34,6,8,113,21,18,18,24,18,34,6,8,150,348,566,515,464,353,228,53,3,2531,204,350,478,430,267,130,26,7,1896,575,939,1008,912,644,392,90,15,4576,13,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,16,13,4,0,7,0,0,0,0,26,376,588,400,308,323,158,49,11,2209,170,285,330,169,111,59,11,7,1140,556,878,730,479,429,224,58,19,3373,32,15,5,3,0,0,0,0,45,0,0,3,0,0,0,0,0,4,0,10,11,29,23,37,13,8,129,26,22,19,33,23,37,13,8,178,727,1152,909,768,671,386,104,11,4737,376,645,807,600,380,186,39,11,3041,1131,1819,1736,1393,1074,613,152,29,7946
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,7,0,0,9,3,7,0,0,0,24,0,6,16,3,10,4,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,11,0,0,9,3,9,0,0,0,27,0,6,16,3,14,4,0,0,38
3GBRI,1435,2889,1734,953,290,0,0,0,7301,249,705,743,595,539,0,0,0,2828,569,3520,5180,8449,9667,13784,9262,4088,54516,2259,7112,7657,10000,10494,13784,9262,4088,64649,156611,163436,157840,142150,116148,83704,41468,10174,871529,9351,13297,10636,8403,6020,4562,3219,1852,57346,168219,183841,176133,160551,132656,102051,53955,16110,993517,488,815,360,204,51,0,0,0,1911,79,209,185,159,73,0,0,0,706,157,726,1089,2187,2329,1867,910,424,9678,719,1742,1635,2547,2449,1867,910,424,12299,154716,178022,174334,159645,133695,105739,56887,22334,985373,8102,10474,8237,6316,4997,4509,4273,4008,50911,163542,190232,184205,168506,141143,112118,62066,26771,1048582,1921,3697,2093,1151,341,0,0,0,9213,333,913,928,756,613,0,0,0,3538,726,4245,6269,10639,11990,15650,10170,4511,64193,2980,8852,9293,12544,12942,15650,10170,4511,76949,311331,341453,332175,301791,249841,189444,98358,32506,1856898,17456,23763,18872,14718,11014,9075,7493,5865,108250,331761,374070,360339,329053,273801,214163,116022,42879,2042096
3RQLD,1714,2329,1105,760,273,0,0,0,6178,211,541,486,463,501,0,0,0,2199,597,3216,5165,8728,11067,18801,11681,5377,64634,2521,6081,6760,9952,11848,18801,11681,5377,73020,138245,135418,135127,142420,140516,113738,59183,13571,878233,13692,17392,15124,14833,12831,9554,5971,2933,92335,154460,158891,157012,167212,165201,142094,76828,21880,1043585,489,565,203,105,42,0,0,0,1397,59,142,157,139,86,0,0,0,578,214,708,1242,2306,2547,2139,993,489,10640,765,1414,1602,2546,2665,2139,993,489,12615,137326,151204,155326,162375,161156,134457,73525,26675,1002034,11421,13445,11399,10972,9997,8478,7180,5168,78067,149512,166061,168330,175891,173823,145075,81697,32328,1092718,2198,2889,1313,863,312,0,0,0,7574,272,681,639,599,588,0,0,0,2780,814,3926,6413,11033,13616,20943,12677,5868,75277,3284,7494,8360,12493,14517,20943,12677,5868,85633,275574,286624,290452,304797,301679,248195,132702,40246,1880262,25114,30836,26523,25809,22832,18032,13154,8100,170401,303971,324954,325336,343100,339019,287170,158531,54209,2136302
