GCCSA_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
1GSYD,87376,17661,105729,907323,154699,12332,1074352,2941842,251747,4267941
1RNSW,65983,11541,78115,422875,153822,17517,594214,1558784,171096,2324100
19499,33,16,49,818,332,37,1191,5556,3362,10112
19799,0,0,0,0,0,0,0,0,0,0
2GMEL,87781,11364,100021,842808,207681,18351,1068849,2740675,216644,4026163
2RVIC,35910,6222,42424,237810,86343,8931,333086,871788,95006,1299885
29499,17,17,29,695,281,39,1013,3668,3262,7946
29799,0,0,0,0,0,0,0,12,27,38
3GBRI,36884,5639,42879,433682,120017,14000,567706,1359067,115323,2042096
3RQLD,45734,8073,54209,399051,127218,16564,542830,1414597,178877,2136302
39499,33,13,44,1219,501,70,1785,8009,3440,13234
39799,0,0,0,0,0,0,0,45,135,183
4GADE,32918,2989,36258,221223,82383,8469,312078,788212,49462,1149752
4RSAU,9729,1253,11053,52657,23569,2759,78991,221152,25497,325639
49499,15,0,11,315,124,17,459,1761,756,2975
49799,0,0,0,0,0,0,0,0,5,12
5GPER,34921,5411,40831,360333,124445,15148,499927,1115364,100120,1715415
5RWAU,7756,1392,9237,80428,28191,5097,113716,268015,49303,431032
59499,12,23,30,613,205,45,861,3063,3361,7285
59799,0,0,0,40,5,3,45,248,221,516
6GHOB,5033,541,5631,38012,15776,1965,55760,139285,10464,205506
6RTAS,6416,911,7361,43441,17595,2205,63244,178583,16330,258158
69499,3,0,3,144,39,7,192,726,324,1248
69799,0,0,0,0,0,0,0,11,3,19
7GDAR,682,132,833,22586,6537,1044,30165,69618,11824,111611
7RNTE,254,43,326,12681,9530,2715,24924,35545,8477,68943
79499,4,0,7,288,57,11,354,1487,1208,3052
79799,0,0,0,3,4,0,11,60,26,94
8ACTE,6337,734,7180,77709,24259,3045,105013,248885,17093,370996
89499,0,0,4,63,32,0,97,335,130,560
89799,0,0,0,0,0,0,0,0,0,0
9OTER,58,4,62,589,237,40,872,2275,810,3953
99499,0,0,0,4,0,0,4,6,3,11
99799,0,0,0,0,0,0,0,0,0,0
