GCCSA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1GSYD,..,18423,32233,8030,5680,6502,4665,1804,506,77852,..,7662,28696,24249,24697,39112,49113,41377,21978,236886,4672,6984,7197,3905,3121,3373,3157,1756,1082,35241,447386,291828,386523,373134,325996,283980,219008,122024,46007,2495892,..,11791,252920,467604,401193,343100,259375,127905,27666,1891549,..,31439,154436,82063,55779,35942,16370,4956,654,381634,..,3368,19873,43606,60452,40553,19139,12897,8591,208479,910955,..,..,..,..,..,..,..,..,910955,..,284491,..,..,..,..,..,..,..,284491,..,157661,126986,37339,23373,11646,2198,95,0,359296,..,26149,26169,10225,10856,20314,22342,15362,8920,140330,..,17116,27651,10242,6944,5364,2530,793,222,70859,..,40851,78446,22146,14762,14863,10434,3950,951,186403,..,15307,59974,54723,54981,73322,77547,59009,29854,424715,9663,12819,14059,8384,6743,6359,5264,2678,1423,67396,920618,600991,760515,736329,635078,551457,415207,227643,78280,4926115
1RNSW,..,9358,8698,2659,3677,5554,4165,1559,412,36089,..,4398,10271,8292,14801,31572,40038,35532,18821,163720,3630,5911,3635,2038,2281,3420,2995,1572,773,26259,230343,140225,154626,154736,167520,182164,162931,95216,33717,1321472,..,3987,94172,164441,178769,199926,193441,101767,19891,956390,..,28783,79681,47374,41480,33703,18245,5412,734,255410,..,4041,19244,30005,34195,19115,9801,7515,5328,129251,466330,..,..,..,..,..,..,..,..,466330,..,103088,..,..,..,..,..,..,..,103088,..,87369,38505,15379,12027,7657,1542,52,0,162544,..,11866,7270,3180,4760,8871,9738,6434,3621,55743,..,9013,8775,3557,3160,2562,1459,506,150,29175,..,18283,21099,6853,8181,11495,9095,3400,761,79171,..,8957,23450,21587,34585,61692,69728,53167,25831,299007,7381,10947,8151,5271,5346,6293,5698,2745,1126,52967,473708,286332,300345,297660,322501,351319,318752,181008,57447,2589063
19499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,201,263,361,219,210,192,132,34,4,1620,201,263,361,219,210,192,132,34,4,1620,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,441,527,812,576,498,423,308,89,14,3696,441,527,812,576,498,423,308,89,14,3696
19799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,..,22207,33984,7216,4576,5301,3819,1449,388,78947,..,9168,34658,27833,26571,39225,48503,41704,22822,250480,3842,6847,6868,3506,2757,3259,2690,1620,863,32255,416169,276767,376487,354474,309170,260338,201457,115598,43517,2353973,..,7840,229454,435744,370394,310153,237580,121617,26672,1739451,..,29863,167742,88438,58543,35221,15254,4358,622,400048,..,2479,17125,41386,60395,37964,16660,11447,7515,194962,847913,..,..,..,..,..,..,..,..,847913,..,272886,..,..,..,..,..,..,..,272886,..,136413,110727,30305,20628,10064,1860,69,0,310067,..,25302,26933,9081,9116,16398,16951,10909,6297,120985,..,14924,22882,6853,4310,3148,1456,463,153,54185,..,47964,84252,19981,11974,11770,8138,3131,725,187935,..,17610,69868,59268,58037,71861,75414,58183,30898,441138,7754,12207,13656,7666,6132,5952,4642,2596,1166,61769,855673,567488,742632,698717,599530,502549,377947,212773,74043,4631350
2RVIC,..,4819,5055,1402,1749,2571,1884,704,121,18299,..,2415,7009,5801,9423,19393,24043,19714,10397,98190,1523,2475,1755,1004,1183,1705,1677,729,295,12341,126460,74879,87069,87792,94905,103045,91938,50685,17231,734008,..,1890,50917,93126,101330,115026,110713,55349,10428,538790,..,14228,47575,27790,24145,18353,9759,2748,322,144918,..,1674,9516,15703,19025,10441,4926,3413,2372,67072,256917,..,..,..,..,..,..,..,..,256917,..,61132,..,..,..,..,..,..,..,61132,..,46409,21542,7812,5834,3195,637,16,0,85446,..,5587,4052,1573,2284,4181,4257,2647,1479,26055,..,4233,4597,1582,1260,909,560,185,48,13376,..,9747,12491,3821,4029,5226,4135,1512,275,41249,..,4833,15358,13917,21513,37212,41593,29573,14407,178405,3115,4681,4048,2496,2656,3275,3199,1397,466,25336,260028,154420,170093,167820,182074,197827,179790,96842,29795,1438682
29499,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,155,184,266,138,122,139,54,18,6,1091,155,184,266,138,122,139,54,18,6,1091,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,317,352,576,397,348,277,167,41,6,2477,317,352,576,397,348,277,167,41,6,2477
29799,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,..,14581,14586,3523,3324,3918,2651,989,201,43774,..,5061,13900,11060,13710,21021,25292,20281,9669,119998,2447,4695,3473,1724,1649,1975,1707,800,375,18850,225552,152757,179027,175538,161278,134040,105638,56307,18409,1208555,..,4773,107322,200017,186014,155540,123046,58871,10397,845976,..,29867,90459,48745,34036,20250,8788,2501,274,234924,..,3129,15695,28310,32494,16813,8060,5128,3120,112757,458788,..,..,..,..,..,..,..,..,458788,..,122700,..,..,..,..,..,..,..,122700,..,74541,39376,13485,8968,4417,862,42,0,141689,..,15242,11844,4626,5080,8677,9367,6068,2976,63879,..,11203,12421,4404,3146,2280,1221,401,98,35172,..,29083,34305,9546,7933,8349,5671,2080,405,97376,..,9632,29321,26088,29999,38002,40270,29042,13202,215554,5050,8669,7370,4249,3608,3548,2994,1321,513,37324,463839,308821,348126,339475,311280,257882,200271,105457,30989,2366132
3RQLD,..,10079,10730,3209,4016,5603,3941,1496,290,39365,..,4837,10185,8533,13998,26105,31223,25808,11836,132526,3151,5065,3438,1965,2584,3578,2921,1365,506,24572,217245,134660,150267,155671,162693,159547,133038,72911,22452,1208485,..,4594,86616,160154,173281,175251,157710,79745,13961,851311,..,30146,79876,48940,39943,29438,14948,4625,623,248534,..,3589,17386,29993,32494,16274,8101,5741,3693,117270,441091,..,..,..,..,..,..,..,..,441091,..,97709,..,..,..,..,..,..,..,97709,..,75040,31345,12368,9310,5406,1082,38,0,134585,..,12763,7920,3631,4901,8496,8961,6046,3163,55876,..,10192,10007,3943,3486,2745,1615,559,138,32684,..,18775,23800,8050,9047,11461,8685,3396,586,83800,..,9691,22805,21448,31879,50047,53959,39002,16625,245455,6334,9381,7498,4777,5467,6544,5432,2388,740,48557,447423,271874,287255,293307,309806,305652,260487,141546,39522,2356877
