GCCSA_CODE_2021,P_15_19_Num_chld_evr_brn_Nne,P_15_19_Num_chld_evr_brn_1,P_15_19_Num_chld_evr_brn_2,P_15_19_Num_chld_evr_brn_3,P_15_19_Num_chld_evr_brn_4,P_15_19_Num_chld_evr_brn_5,P_15_19_Num_chd_evr_brn_6_mr,P_15_19_Num_chld_evr_brn_ns,P_15_19_yrs_Total,P_20_24_Num_chld_evr_brn_Nne,P_20_24_Num_chld_evr_brn_1,P_20_24_Num_chld_evr_brn_2,P_20_24_Num_chld_evr_brn_3,P_20_24_Num_chld_evr_brn_4,P_20_24_Num_chld_evr_brn_5,P_20_24_Num_chd_evr_brn_6_mr,P_20_24_Num_chld_evr_brn_ns,P_20_24_yrs_Total,P_25_29_Num_chld_evr_brn_Nne,P_25_29_Num_chld_evr_brn_1,P_25_29_Num_chld_evr_brn_2,P_25_29_Num_chld_evr_brn_3,P_25_29_Num_chld_evr_brn_4,P_25_29_Num_chld_evr_brn_5,P_25_29_Num_chd_evr_brn_6_mr,P_25_29_Num_chld_evr_brn_ns,P_25_29_yrs_Total,P_30_34_Num_chld_evr_brn_Nne,P_30_34_Num_chld_evr_brn_1,P_30_34_Num_chld_evr_brn_2,P_30_34_Num_chld_evr_brn_3,P_30_34_Num_chld_evr_brn_4,P_30_34_Num_chld_evr_brn_5,P_30_34_Num_chd_evr_brn_6_mr,P_30_34_Num_chld_evr_brn_ns,P_30_34_yrs_Total,P_35_39_Num_chld_evr_brn_Nne,P_35_39_Num_chld_evr_brn_1,P_35_39_Num_chld_evr_brn_2,P_35_39_Num_chld_evr_brn_3,P_35_39_Num_chld_evr_brn_4,P_35_39_Num_chld_evr_brn_5,P_35_39_Num_chd_evr_brn_6_mr,P_35_39_Num_chld_evr_brn_ns,P_35_39_yrs_Total,P_40_44_Num_chld_evr_brn_Nne,P_40_44_Num_chld_evr_brn_1,P_40_44_Num_chld_evr_brn_2,P_40_44_Num_chld_evr_brn_3,P_40_44_Num_chld_evr_brn_4,P_40_44_Num_chld_evr_brn_5,P_40_44_Num_chd_evr_brn_6_mr,P_40_44_Num_chld_evr_brn_ns,P_40_44_yrs_Total,P_45_49_Num_chld_evr_brn_Nne,P_45_49_Num_chld_evr_brn_1,P_45_49_Num_chld_evr_brn_2,P_45_49_Num_chld_evr_brn_3,P_45_49_Num_chld_evr_brn_4,P_45_49_Num_chld_evr_brn_5,P_45_49_Num_chd_evr_brn_6_mr,P_45_49_Num_chld_evr_brn_ns,P_45_49_yrs_Total,P_50_54_Num_chld_evr_brn_Nne,P_50_54_Num_chld_evr_brn_1,P_50_54_Num_chld_evr_brn_2,P_50_54_Num_chld_evr_brn_3,P_50_54_Num_chld_evr_brn_4,P_50_54_Num_chld_evr_brn_5,P_50_54_Num_chd_evr_brn_6_mr,P_50_54_Num_chld_evr_brn_ns,P_50_54_yrs_Total,P_55_59_Num_chld_evr_brn_Nne,P_55_59_Num_chld_evr_brn_1,P_55_59_Num_chld_evr_brn_2,P_55_59_Num_chld_evr_brn_3,P_55_59_Num_chld_evr_brn_4,P_55_59_Num_chld_evr_brn_5,P_55_59_Num_chd_evr_brn_6_mr,P_55_59_Num_chld_evr_brn_ns,P_55_59_yrs_Total,P_60_64_Num_chld_evr_brn_Nne,P_60_64_Num_chld_evr_brn_1,P_60_64_Num_chld_evr_brn_2,P_60_64_Num_chld_evr_brn_3,P_60_64_Num_chld_evr_brn_4,P_60_64_Num_chld_evr_brn_5,P_60_64_Num_chd_evr_brn_6_mr,P_60_64_Num_chld_evr_brn_ns,P_60_64_yrs_Total,P_65_69_Num_chld_evr_brn_Nne,P_65_69_Num_chld_evr_brn_1,P_65_69_Num_chld_evr_brn_2,P_65_69_Num_chld_evr_brn_3,P_65_69_Num_chld_evr_brn_4,P_65_69_Num_chld_evr_brn_5,P_65_69_Num_chd_evr_brn_6_mr,P_65_69_Num_chld_evr_brn_ns,P_65_69_yrs_Total,P_70_74_Num_chld_evr_brn_Nne,P_70_74_Num_chld_evr_brn_1,P_70_74_Num_chld_evr_brn_2,P_70_74_Num_chld_evr_brn_3,P_70_74_Num_chld_evr_brn_4,P_70_74_Num_chld_evr_brn_5,P_70_74_Num_chd_evr_brn_6_mr,P_70_74_Num_chld_evr_brn_ns,P_70_74_yrs_Total,P_75_79_Num_chld_evr_brn_Nne,P_75_79_Num_chld_evr_brn_1,P_75_79_Num_chld_evr_brn_2,P_75_79_Num_chld_evr_brn_3,P_75_79_Num_chld_evr_brn_4,P_75_79_Num_chld_evr_brn_5,P_75_79_Num_chd_evr_brn_6_mr,P_75_79_Num_chld_evr_brn_ns,P_75_79_yrs_Total,P_80_84_Num_chld_evr_brn_Nne,P_80_84_Num_chld_evr_brn_1,P_80_84_Num_chld_evr_brn_2,P_80_84_Num_chld_evr_brn_3,P_80_84_Num_chld_evr_brn_4,P_80_84_Num_chld_evr_brn_5,P_80_84_Num_chd_evr_brn_6_mr,P_80_84_Num_chld_evr_brn_ns,P_80_84_yrs_Total,P_85_ov_Num_chld_evr_brn_Nne,P_85_ov_Num_chld_evr_brn_1,P_85_ov_Num_chld_evr_brn_2,P_85_ov_Num_chld_evr_brn_3,P_85_ov_Num_chld_evr_brn_4,P_85_ov_Num_chld_evr_brn_5,P_85_ov_Num_chd_evr_brn_6_mr,P_85_ov_Num_chld_evr_brn_ns,P_85ov_Total,Tot_Nmbr_child_ever_born_None,Tot_Nmbr_children_ever_born_1,Tot_Nmbr_children_ever_born_2,Tot_Nmbr_children_ever_born_3,Tot_Nmbr_children_ever_born_4,Tot_Nmbr_children_ever_born_5,Tot_Nmbr_chidrn_ever_brn_6_mr,Tot_Nmbr_childrn_ever_born_Ns,Total_Total
1GSYD,130950,430,74,6,5,8,11,11054,142533,144972,5745,2036,396,83,8,29,13301,166569,144060,20766,11693,3634,954,225,102,15058,196510,101399,45044,36952,12072,3618,913,452,13229,213685,54226,43461,66873,23493,6930,2038,1125,11343,209496,33496,30596,67777,28512,8902,2723,1747,8995,182755,29121,26957,65762,30519,9852,3011,1943,7989,175147,26075,25596,61203,30055,10013,3130,1987,7181,165240,22887,23685,56650,28946,9963,3133,2041,6703,154011,19710,22221,50217,28215,10327,3297,2191,6314,142487,15270,18413,42909,25499,9881,3094,2222,6047,123339,11497,12504,39009,23706,9226,2921,2109,6286,107264,7308,7207,26847,18011,7669,2639,2093,6031,77803,4326,4435,16813,13083,6479,2594,2553,5926,56208,4814,5138,15383,12678,7346,3472,4173,11907,64908,750095,292194,560215,278830,101240,33208,24794,137365,2177951
1RNSW,70064,658,83,18,4,5,11,8105,78934,58786,5824,2407,518,92,12,33,6706,74384,46418,13115,9981,3632,997,255,111,6289,80789,27517,17007,21685,9550,2912,836,484,5836,85838,15249,12750,28661,15036,5114,1502,1037,5616,84966,11157,10144,28470,16559,6150,1903,1404,5240,81022,11157,10519,31002,18761,7098,2202,1563,5530,87841,12060,10432,32144,19748,7427,2291,1487,5291,90890,12351,10409,33214,21607,8166,2382,1503,5809,95443,12016,9859,34675,24214,9787,2689,1391,5824,100460,9934,8322,31954,23215,9335,2505,1268,5901,92442,7731,6795,29643,21115,8935,2526,1357,6156,84267,5079,4351,19655,15888,7538,2416,1513,5750,62180,3147,2440,10966,10895,6589,2629,1968,5259,43907,3122,3043,10106,10316,7107,3372,3097,7712,47884,305789,125671,324645,211070,87254,27548,18239,91021,1191247
19499,171,8,0,0,0,0,0,93,279,219,27,21,4,0,0,0,147,418,277,43,21,14,6,0,0,170,533,184,51,46,17,12,5,0,175,495,104,37,45,27,5,4,9,153,392,87,19,48,16,12,9,9,149,357,59,39,54,24,20,10,9,121,332,68,33,59,44,14,10,10,91,333,65,34,87,44,22,4,0,96,359,46,28,110,57,24,7,3,64,339,24,29,61,44,17,5,7,53,236,14,10,60,42,11,12,3,18,163,3,4,22,15,11,3,0,17,66,5,0,5,7,4,0,0,12,39,3,0,3,7,5,0,6,13,32,1342,373,647,366,165,69,56,1357,4381
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,122839,331,34,4,0,4,18,10608,133838,141617,4321,1453,250,39,9,27,12371,160090,143463,18858,9639,2876,708,175,94,14109,189925,101463,44954,35938,9945,2622,754,392,12114,208174,53606,41465,66989,20799,5433,1546,1025,10110,200968,32792,28486,65904,25031,6782,2053,1488,7698,170237,28502,25551,62969,27538,7851,2439,1816,7149,163821,25711,23252,62069,28690,8388,2388,1732,6706,158943,21287,20223,54506,27935,8606,2314,1593,5958,142429,17559,17739,49075,27647,9264,2467,1640,5543,130934,13407,14780,42251,24903,8752,2444,1562,5361,113462,9609,10413,38465,24212,8839,2528,1668,5633,101370,5819,6094,26247,18428,7618,2473,1849,5014,73536,3637,3875,16363,13602,6892,2576,2359,4748,54062,4067,4828,15823,13687,7801,3533,3973,7820,61530,725394,265171,547722,265539,89587,27706,21231,120956,2063309
2RVIC,37928,258,28,7,5,0,15,4386,42621,32092,2600,1006,198,24,3,18,3449,39392,27655,7058,5118,1722,437,94,46,3544,45675,16166,9872,11588,5124,1386,388,177,3135,47849,9325,7349,16096,8437,2669,749,420,3218,48263,7016,5838,15869,9294,3278,933,637,2959,45823,7197,5891,16786,10527,3760,1142,795,3069,49169,7264,5868,17877,11540,4353,1229,857,3155,52146,7361,5367,18484,12740,5007,1437,877,3367,54645,7115,5189,18629,14105,5801,1543,882,3609,56876,5587,4384,18174,13670,5706,1575,810,3658,53567,4147,3359,15948,12563,5519,1686,906,3782,47905,2487,1946,9603,8809,4703,1662,1156,3342,33714,1486,1097,4992,5798,3857,1782,1493,3002,23499,1500,1460,4712,5334,4273,2122,2277,4238,25907,174337,67526,174916,119872,50776,16349,11359,51921,667057
29499,142,3,0,0,0,0,0,86,229,187,28,8,3,0,0,0,94,321,218,29,41,13,10,0,4,148,450,145,41,33,27,8,9,7,162,425,86,39,41,28,17,4,10,182,416,53,23,34,23,10,4,7,162,321,41,26,33,12,13,0,5,106,238,53,19,41,24,13,6,5,88,242,30,17,45,41,8,0,0,63,212,31,24,55,38,14,4,0,56,217,20,13,27,16,5,5,0,51,141,9,5,29,14,4,0,0,23,74,5,3,9,11,3,0,0,16,42,0,0,4,6,0,0,0,0,14,0,0,0,4,3,5,0,5,19,1016,266,399,261,111,38,42,1239,3373
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6
3GBRI,70585,529,52,12,3,3,10,5587,76779,72956,4730,1919,424,82,24,27,6600,86761,62785,12014,7907,2794,773,226,108,6732,93335,40718,20232,19706,7101,2395,781,443,5515,96894,22959,18468,32053,12391,3984,1350,978,4954,97141,15126,13915,31925,14319,4886,1663,1362,3861,87059,13845,12816,31772,15640,5339,1855,1516,3693,86490,12446,11640,30229,15533,5610,1810,1426,3331,82018,10468,9665,26723,15115,5533,1819,1310,3066,73701,8386,8101,23938,15383,5869,1812,1110,2843,67444,6514,6620,20892,13927,5726,1692,1012,2686,59069,4886,4959,19072,13095,5493,1682,1062,2795,53049,3241,3078,12065,9395,4416,1554,1113,2509,37371,1978,1590,6242,6079,3617,1582,1273,2347,24702,1928,1882,5653,5538,3735,1977,2011,4036,26771,348815,130244,270151,146749,57458,19834,14753,60574,1048582
3RQLD,67388,708,72,9,4,4,9,7719,75915,57303,5724,2298,503,88,19,29,7637,73598,47044,12471,9401,3308,1043,261,116,7890,81532,28935,16192,19850,8371,2863,850,486,6980,84526,16845,14000,28041,13629,4731,1576,1153,6400,86376,12207,11346,28507,15009,5763,1907,1505,5708,81953,12125,11896,30480,16638,6452,2130,1712,5988,87428,12478,11306,30931,17342,6569,2269,1666,5910,88462,11926,10607,30227,18272,7381,2350,1492,5916,88162,10611,9228,29151,19426,8062,2318,1469,5396,85657,8325,7627,26517,17804,7450,2277,1317,4978,76297,6503,6200,23936,16561,7083,2178,1265,5047,68775,4154,3817,15236,12094,5883,2130,1439,4614,49376,2410,2056,7945,7733,4715,2023,1595,3856,32324,2175,2196,6295,6571,4717,2389,2364,5617,32328,300425,125374,288888,173270,72801,24682,17617,89653,1092718
