GCCSA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1GSYD,598500,44021,16100,6129,648,272,2087,667760
1RNSW,236001,31257,13553,2748,545,222,2500,286830
19499,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0
2GMEL,566804,32756,14786,4973,481,218,1553,621573
2RVIC,138691,12486,7032,1248,212,85,985,160744
29499,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0
3GBRI,250870,28368,12142,2807,489,199,1402,296285
3RQLD,217945,30856,12879,2702,551,237,1869,267037
39499,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0
4GADE,140826,10897,5615,1366,206,65,697,159659
4RSAU,30448,2785,1955,399,67,37,391,36077
49499,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0
5GPER,213976,33794,9082,2119,419,127,1202,260717
5RWAU,40956,7987,2603,632,168,62,547,52952
59499,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0
6GHOB,21690,2232,1323,221,36,11,157,25680
6RTAS,24760,2726,1774,214,39,21,231,29765
69499,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0
7GDAR,12403,2185,680,250,41,14,100,15671
7RNTE,6589,793,378,547,105,84,209,8698
79499,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0
8ACTE,48600,3377,1646,403,41,22,191,54271
89499,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0
9OTER,358,30,16,7,0,0,0,413
99499,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0
