GCCSA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
1GSYD,203081,722036,590650,181932,105239,1802930,25924,1828859
1RNSW,58952,374720,398609,139386,82143,1053802,17806,1071609
19499,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0
2GMEL,150571,654570,650141,195815,107199,1758300,23050,1781346
2RVIC,28777,201669,230804,84463,52610,598324,10561,608887
29499,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0
3GBRI,57689,326330,340448,112459,63053,899987,12056,912040
3RQLD,48620,332375,361303,126939,71503,940741,16682,957416
39499,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,3,0,3
4GADE,40587,196649,195642,62783,34262,529921,6125,536048
4RSAU,8604,51863,55563,22168,14275,152477,2791,155264
49499,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0
5GPER,38157,269697,306608,100028,54751,769239,9383,778620
5RWAU,8951,58161,70174,27867,17161,182316,3793,186111
59499,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,3,0,3
6GHOB,6549,34159,33276,12249,7531,93773,1206,94980
6RTAS,6463,41533,44010,17993,11275,121277,2157,123432
69499,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0
7GDAR,2579,15735,18287,6310,3413,46326,968,47297
7RNTE,5045,8224,6061,2095,1136,22564,797,23364
79499,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,3
8ACTE,9273,65446,64634,18290,9278,166921,1484,168400
89499,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0
9OTER,62,558,524,208,115,1469,61,1533
99499,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0
