GCCSA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
1GSYD,..,424713,424713,510342,51324,561668,300018,15275,315293,310208,6376,316588,131631,2310,133944,75380,1269,76652,1327581,501276,1828859
1RNSW,..,299004,299004,363212,26531,389745,145437,5605,151038,136903,1933,138836,61883,659,62542,30099,360,30453,737521,334086,1071609
19499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,..,441138,441138,507971,49582,557553,285060,16363,301421,299838,7100,306937,114786,2429,117214,55950,1134,57084,1263599,517741,1781346
2RVIC,..,178405,178405,208463,13437,221900,79687,2818,82511,75690,1083,76775,34194,342,34537,14495,263,14758,412530,196354,608887
29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,..,215551,215551,275026,30508,305533,144633,7991,152623,143168,2669,145830,58807,891,59695,32433,373,32806,654061,257981,912040
3RQLD,..,245457,245457,323502,29465,352971,136434,6050,142486,128249,1871,130121,55303,488,55782,30324,271,30599,673819,283596,957416
39499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4GADE,..,148641,148641,165919,13829,179747,81010,4045,85059,78737,1319,80056,28852,413,29259,13016,261,13276,367534,168513,536048
4RSAU,..,48627,48627,56978,3121,60101,18192,372,18564,16474,111,16583,7721,36,7754,3598,35,3632,102966,52301,155264
49499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,..,194168,194168,237042,19365,256410,122207,5424,127629,126560,1814,128371,49154,580,49733,22051,263,22318,557005,221613,778620
5RWAU,..,51026,51026,63163,4081,67245,24688,742,25425,24749,207,24957,11480,59,11535,5854,58,5915,129939,56170,186111
59499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,..,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
6GHOB,..,26263,26263,30208,2392,32599,14290,940,15229,12756,436,13194,5058,162,5226,2397,78,2478,64705,30271,94980
6RTAS,..,37100,37100,44036,2723,46758,16271,451,16720,13961,169,14133,5755,56,5808,2887,28,2911,82908,40520,123432
69499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,..,11060,11060,13270,1804,15077,7993,576,8571,7335,190,7528,3149,61,3209,1838,20,1855,33581,13710,47297
7RNTE,..,5754,5754,5484,649,6133,3046,208,3261,2960,66,3026,1852,23,1868,3321,10,3326,16660,6703,23364
79499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
8ACTE,..,43338,43338,50294,4754,55046,25843,2004,27850,26959,746,27707,9954,222,10173,4163,114,4280,117214,51188,168400
89499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,..,492,492,507,26,529,187,0,185,168,0,168,97,0,98,62,0,62,1008,525,1533
99499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
