LGA_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
LGA10050,0,0,0,0,0,0,0,0,0,3,1692,3198,2890,5239,2581,2634,2259,1132,366,22000,0,6,0,15,13,0,0,0,0,32,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7,12,4,0,0,32,0,0,0,3,0,0,0,0,0,7,0,0,0,20,12,6,4,0,0,52,0,0,0,0,3,4,5,12,0,21,0,0,4,3,0,0,5,0,0,9,0,14,21,71,76,132,113,90,26,532,0,0,0,10,9,3,5,0,0,26,0,0,0,3,4,0,0,0,0,8,3,0,6,10,3,15,47,32,12,124,0,0,0,3,0,0,3,6,6,25,0,0,0,0,0,0,0,0,0,11,10,21,60,459,37,12,11,3,0,612,0,0,0,6,0,0,0,0,0,13,0,0,0,3,3,0,0,0,0,12
LGA10180,0,0,0,0,0,0,0,0,0,0,711,1435,1638,2314,1162,1378,1114,644,190,10590,0,13,4,39,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,6,0,0,36,0,0,0,4,0,0,0,0,0,8,0,0,0,35,10,5,0,0,0,54,0,0,0,3,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,5,0,13,18,30,33,56,63,56,20,283,0,0,0,5,3,4,0,0,0,13,0,0,0,4,0,3,0,0,0,16,0,3,3,3,4,14,11,3,5,43,0,0,4,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,8,3,4,18,90,4,6,4,0,0,136,0,0,0,3,0,0,0,0,0,12,0,0,0,14,3,0,0,0,0,22
LGA10250,0,0,0,0,0,0,0,0,0,0,1085,2555,2005,3503,2243,2510,2522,1363,493,18278,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,4,0,0,35,0,0,0,0,0,0,0,0,0,0,0,5,0,23,11,13,11,6,0,70,0,0,0,4,6,3,0,5,0,22,0,0,0,3,0,7,0,0,0,16,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,23,32,138,106,139,171,156,58,815,0,0,0,3,3,5,3,4,0,15,0,4,0,22,3,3,3,6,0,31,0,0,0,8,8,20,20,13,9,81,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,3,0,0,0,9,0,4,5,56,11,4,3,7,4,98,0,6,0,3,0,0,4,0,0,14,0,0,0,3,3,4,5,0,0,14
LGA10300,0,0,0,0,0,0,0,0,0,0,55,139,105,156,106,137,115,36,21,873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,7,0,0,4,4,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,3,0,8,0,0,0,0,0,11,1215,2693,2704,4588,2167,2174,1759,915,265,18478,0,0,0,21,3,4,0,0,0,28,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,10,3,4,0,0,31,0,0,0,0,0,0,4,0,0,8,0,0,6,15,14,3,11,0,0,47,0,0,0,0,0,7,3,3,6,16,0,0,0,4,0,0,0,0,0,13,0,7,12,39,47,89,122,78,33,434,0,0,0,9,8,4,0,0,0,28,0,0,0,10,0,0,3,0,0,17,0,0,0,3,7,5,14,12,4,46,0,0,0,0,0,3,6,0,4,11,0,0,0,0,0,0,0,0,0,3,3,11,15,130,22,6,8,0,0,200,0,0,0,12,0,0,0,0,0,17,0,3,0,6,3,0,0,0,0,23
LGA10500,0,0,0,23,10,5,0,0,0,35,4696,7133,6724,11639,4852,3145,1915,976,411,41486,7,54,129,901,201,127,56,5,0,1476,0,0,0,57,26,32,20,12,8,160,0,16,86,1043,50,28,6,3,4,1238,0,0,16,18,9,4,9,0,0,52,0,4,3,56,22,7,5,5,0,113,3,8,11,114,60,74,79,52,6,407,8,63,729,2378,376,788,502,207,95,5146,0,0,0,26,27,46,42,75,28,235,0,13,22,133,70,158,178,136,64,776,8,47,65,691,321,270,177,116,36,1728,0,7,16,139,65,80,53,22,0,377,0,3,4,106,25,12,12,9,5,176,0,0,10,77,36,18,25,44,4,208,4,24,40,102,98,216,412,588,334,1820,3,9,114,360,105,155,127,31,5,907,25,83,117,1062,129,88,44,40,8,1608,5,20,408,1126,219,136,121,35,8,2083,0,3,7,132,27,29,22,8,0,232
LGA10550,0,0,0,0,0,0,0,0,0,0,732,1854,1441,2515,1706,2326,2331,1064,290,14270,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,10,9,6,11,0,0,36,0,0,0,0,0,0,3,0,0,9,0,0,0,9,5,0,4,0,0,17,0,0,0,0,0,3,6,0,0,14,0,0,0,0,0,0,3,0,0,7,0,7,3,45,61,146,269,141,34,709,0,0,0,4,0,0,0,0,0,5,0,0,0,6,3,5,6,0,0,21,0,0,0,9,7,27,31,30,5,110,0,0,0,0,0,5,0,3,0,10,0,0,0,7,0,0,4,0,0,12,0,0,3,28,3,4,0,5,5,46,0,0,0,0,0,0,0,3,0,3,0,0,0,4,3,0,0,0,0,8
LGA10600,0,0,0,0,0,0,0,0,0,0,258,768,506,916,601,808,793,357,115,5113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,6,5,6,22,48,71,93,53,20,324,0,0,0,0,5,0,3,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,12,0,10,21,9,0,48,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,163,414,331,574,413,491,658,338,121,3519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,6,6,16,28,29,3,87,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
LGA10750,6,59,141,716,224,168,99,29,4,1449,14161,24415,17063,22525,9266,6755,4208,1936,448,100782,6,95,83,841,285,195,90,12,0,1611,0,3,0,61,33,71,48,14,7,252,0,6,5,69,11,12,0,0,0,102,0,0,0,16,14,9,7,9,0,68,7,4,20,49,27,18,9,4,0,137,0,4,8,57,91,48,65,29,7,308,15,57,146,1135,377,514,379,119,37,2787,0,0,0,43,40,91,104,98,28,408,0,57,120,282,125,148,165,102,25,1034,7,111,122,436,421,589,476,305,86,2554,5,77,218,1195,821,720,362,150,30,3575,0,7,3,27,11,9,8,8,0,77,0,8,24,48,43,58,106,91,27,398,0,12,9,27,17,51,90,92,29,328,3,21,49,173,67,128,89,14,3,545,138,1676,2588,14639,3025,1276,808,266,59,24475,0,24,45,305,174,90,106,42,6,796,0,50,79,499,166,153,78,25,3,1067
