LGA_CODE_2021,M_Singapore_0_4,M_Singapore_5_14,M_Singapore_15_24,M_Singapore_25_44,M_Singapore_45_54,M_Singapore_55_64,M_Singapore_65_74,M_Singapore_75_84,M_Singapore_85ov,M_Singapore_Tot,M_South_Africa_0_4,M_South_Africa_5_14,M_South_Africa_15_24,M_South_Africa_25_44,M_South_Africa_45_54,M_South_Africa_55_64,M_South_Africa_65_74,M_South_Africa_75_84,M_South_Africa_85ov,M_South_Africa_Tot,M_Sri_Lanka_0_4,M_Sri_Lanka_5_14,M_Sri_Lanka_15_24,M_Sri_Lanka_25_44,M_Sri_Lanka_45_54,M_Sri_Lanka_55_64,M_Sri_Lanka_65_74,M_Sri_Lanka_75_84,M_Sri_Lanka_85ov,M_Sri_Lanka_Tot,M_Taiwan_0_4,M_Taiwan_5_14,M_Taiwan_15_24,M_Taiwan_25_44,M_Taiwan_45_54,M_Taiwan_55_64,M_Taiwan_65_74,M_Taiwan_75_84,M_Taiwan_85ov,M_Taiwan_Tot,M_Thailand_0_4,M_Thailand_5_14,M_Thailand_15_24,M_Thailand_25_44,M_Thailand_45_54,M_Thailand_55_64,M_Thailand_65_74,M_Thailand_75_84,M_Thailand_85ov,M_Thailand_Tot,M_Turkey_0_4,M_Turkey_5_14,M_Turkey_15_24,M_Turkey_25_44,M_Turkey_45_54,M_Turkey_55_64,M_Turkey_65_74,M_Turkey_75_84,M_Turkey_85ov,M_Turkey_Tot,M_USA_0_4,M_USA_5_14,M_USA_15_24,M_USA_25_44,M_USA_45_54,M_USA_55_64,M_USA_65_74,M_USA_75_84,M_USA_85ov,M_USA_Tot,M_Vietnam_0_4,M_Vietnam_5_14,M_Vietnam_15_24,M_Vietnam_25_44,M_Vietnam_45_54,M_Vietnam_55_64,M_Vietnam_65_74,M_Vietnam_75_84,M_Vietnam_85ov,M_Vietnam_Tot,M_Wales_0_4,M_Wales_5_14,M_Wales_15_24,M_Wales_25_44,M_Wales_45_54,M_Wales_55_64,M_Wales_65_74,M_Wales_75_84,M_Wales_85ov,M_Wales_Tot,M_Zimbabwe_0_4,M_Zimbabwe_5_14,M_Zimbabwe_15_24,M_Zimbabwe_25_44,M_Zimbabwe_45_54,M_Zimbabwe_55_64,M_Zimbabwe_65_74,M_Zimbabwe_75_84,M_Zimbabwe_85ov,M_Zimbabwe_Tot,M_Elsewhere_0_4,M_Elsewhere_5_14,M_Elsewhere_15_24,M_Elsewhere_25_44,M_Elsewhere_45_54,M_Elsewhere_55_64,M_Elsewhere_65_74,M_Elsewhere_75_84,M_Elsewhere_85ov,M_Elsewhere_Tot,M_COB_NS_0_4,M_COB_NS_5_14,M_COB_NS_15_24,M_COB_NS_25_44,M_COB_NS_45_54,M_COB_NS_55_64,M_COB_NS_65_74,M_COB_NS_75_84,M_COB_NS_85ov,M_COB_NS_Tot,M_Tot_0_4,M_Tot_5_14,M_Tot_15_24,M_Tot_25_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Afghanistan_0_4,F_Afghanistan_5_14,F_Afghanistan_15_24,F_Afghanistan_25_44,F_Afghanistan_45_54,F_Afghanistan_55_64,F_Afghanistan_65_74,F_Afghanistan_75_84,F_Afghanistan_85ov,F_Afghanistan_Tot,F_Australia_0_4,F_Australia_5_14,F_Australia_15_24,F_Australia_25_44,F_Australia_45_54,F_Australia_55_64,F_Australia_65_74,F_Australia_75_84,F_Australia_85ov,F_Australia_Tot,F_Bangladesh_0_4,F_Bangladesh_5_14,F_Bangladesh_15_24,F_Bangladesh_25_44,F_Bangladesh_45_54,F_Bangladesh_55_64,F_Bangladesh_65_74,F_Bangladesh_75_84,F_Bangladesh_85ov,F_Bangladesh_Tot,F_Bosnia_Herzegov_0_4,F_Bosnia_Herzegov_5_14,F_Bosnia_Herzegov_15_24,F_Bosnia_Herzegov_25_44,F_Bosnia_Herzegov_45_54,F_Bosnia_Herzegov_55_64,F_Bosnia_Herzegov_65_74,F_Bosnia_Herzegov_75_84,F_Bosnia_Herzegov_85ov,F_Bosnia_Herzegov_Tot,F_Brazil_0_4,F_Brazil_5_14,F_Brazil_15_24,F_Brazil_25_44,F_Brazil_45_54,F_Brazil_55_64,F_Brazil_65_74,F_Brazil_75_84,F_Brazil_85ov,F_Brazil_Tot,F_Cambodia_0_4,F_Cambodia_5_14,F_Cambodia_15_24,F_Cambodia_25_44,F_Cambodia_45_54,F_Cambodia_55_64,F_Cambodia_65_74,F_Cambodia_75_84,F_Cambodia_85ov,F_Cambodia_Tot,F_Canada_0_4,F_Canada_5_14,F_Canada_15_24,F_Canada_25_44,F_Canada_45_54,F_Canada_55_64,F_Canada_65_74,F_Canada_75_84,F_Canada_85ov,F_Canada_Tot
LGA10050,0,4,0,5,0,0,0,0,0,14,6,3,6,28,15,13,7,3,0,87,0,6,5,25,8,4,7,0,0,47,0,0,0,3,0,0,0,0,0,3,0,8,6,9,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,4,10,11,9,7,3,0,53,0,9,0,14,6,6,4,0,0,28,0,0,0,4,5,9,8,3,0,22,0,0,0,5,3,3,0,0,0,16,4,47,42,155,90,71,63,50,21,547,111,197,207,428,204,190,167,113,47,1658,1837,3576,3365,6913,3228,3255,2867,1545,504,27087,0,0,0,0,0,0,0,0,0,0,1606,3079,3013,5645,2865,2911,2547,1492,683,23845,0,4,0,28,4,0,0,0,0,32,0,0,0,0,0,0,0,4,0,4,0,0,0,3,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,12,4,3,0,0,0,33
LGA10180,0,0,0,5,0,0,0,0,0,5,0,3,8,16,11,0,3,0,0,59,0,0,0,21,3,3,5,0,0,40,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,9,0,13,4,14,8,10,8,7,0,67,0,11,0,22,3,4,0,0,0,33,0,0,0,0,3,0,3,0,0,11,0,0,3,9,5,0,0,0,0,21,5,33,31,131,45,25,23,10,6,313,76,168,328,301,120,146,97,88,40,1371,819,1810,2212,3380,1510,1751,1392,861,265,14005,0,0,0,0,0,0,0,0,0,3,663,1470,1762,2360,1302,1458,1164,809,306,11283,0,3,0,29,4,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,5,3,9,5,8,8,3,0,34
LGA10250,0,0,5,0,0,0,0,0,0,13,0,7,10,32,19,16,25,18,5,130,0,0,0,7,0,0,4,0,0,16,0,0,0,5,0,0,0,0,0,0,0,5,8,10,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,3,5,3,10,28,21,16,21,4,5,112,0,4,0,5,3,0,0,0,0,15,0,0,0,5,3,8,5,9,0,25,0,0,0,3,5,5,3,4,0,23,3,9,10,85,46,34,31,36,11,274,46,133,124,281,139,172,198,125,79,1297,1144,2800,2255,4512,2773,3083,3194,1829,691,22271,0,0,0,0,0,0,0,0,0,0,999,2320,1843,3759,2493,2748,2779,1643,844,19424,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,46,3,0,0,0,0,60,0,0,0,8,0,0,0,0,0,7,0,0,3,34,16,6,13,4,0,83
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,33,8,34,18,19,23,6,3,151,58,167,128,237,136,172,149,50,20,1116,0,0,0,0,0,0,0,0,0,0,68,112,77,175,108,130,95,50,21,841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,3,6,0,0,0,0,16,0,5,8,13,18,9,8,3,0,61,0,5,4,18,6,4,6,0,0,50,0,0,0,0,0,0,0,0,0,5,0,0,6,12,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,4,0,9,7,9,4,8,5,0,0,46,0,0,3,17,8,3,0,3,0,39,0,0,0,5,0,6,0,7,0,13,0,0,0,4,4,0,0,0,0,11,5,10,9,59,36,32,32,27,13,215,46,134,169,288,135,155,143,91,30,1192,1281,2920,3028,5568,2627,2620,2232,1213,372,21857,0,0,0,10,0,0,0,0,0,9,1140,2562,2477,4315,2273,2252,1815,1044,551,18426,0,5,0,20,0,0,4,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,10,5,0,3,6,10,3,4,5,0,30
LGA10500,4,9,17,109,28,21,25,6,0,223,0,9,13,153,66,62,43,16,0,365,0,0,14,78,32,21,19,10,3,177,0,0,21,174,22,7,16,4,0,245,6,21,40,321,68,26,16,9,0,498,0,0,5,122,68,124,58,48,6,443,8,20,36,105,28,34,10,5,4,253,9,22,147,292,150,99,92,24,5,834,0,3,6,28,15,13,7,0,0,76,0,0,5,19,7,7,0,0,0,39,73,242,366,2829,665,663,613,453,126,6029,228,399,596,1903,520,418,321,240,103,4730,5143,8458,11262,31922,10037,8551,6440,3961,1557,87327,0,0,0,16,3,3,0,0,0,30,4423,6799,6265,10995,4756,3086,1914,1283,745,40276,10,32,90,652,151,66,13,8,0,1022,0,0,0,54,21,45,34,15,5,173,5,19,76,942,52,34,24,12,0,1175,0,4,18,35,12,16,7,0,0,88,0,0,6,75,23,6,5,4,0,116
LGA10550,0,3,0,0,0,0,0,0,0,9,0,6,0,12,12,12,11,8,3,57,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,10,3,5,4,4,0,0,0,19,0,0,0,0,0,0,0,0,0,4,0,3,7,17,5,10,22,8,0,74,0,0,0,0,3,3,0,0,0,5,0,0,0,0,6,4,5,3,0,19,0,0,0,0,4,3,3,0,0,11,0,3,0,27,26,40,55,41,19,210,38,123,113,228,160,232,236,135,79,1344,776,2029,1597,3046,2067,2949,3170,1529,471,17628,0,0,0,0,0,0,0,0,0,0,676,1750,1289,2729,1814,2620,2224,1126,401,14624,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,3,0,0,3,19,5,9,5,0,0,41
LGA10600,0,0,0,0,0,7,0,0,0,5,0,0,0,8,4,8,13,0,0,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,12,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,11,0,0,0,0,6,0,0,0,0,3,0,4,3,10,19,11,16,7,0,71,12,70,42,104,78,78,80,50,13,530,278,857,569,1127,799,1044,1084,509,155,6423,0,0,0,0,0,0,0,0,0,0,243,727,470,970,753,931,765,388,171,5412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,3,5,0,0,23
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,11,8,4,32,14,45,37,68,38,63,86,52,25,423,189,467,375,719,488,605,824,437,161,4261,0,0,0,0,0,0,0,0,0,0,174,430,309,652,384,543,601,354,141,3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
LGA10750,5,96,41,76,42,48,41,7,4,367,5,90,90,391,189,155,96,32,6,1059,16,119,217,1307,587,452,289,104,15,3110,0,8,12,82,22,16,16,3,5,167,4,20,45,118,36,11,14,0,0,244,0,14,24,205,167,183,87,54,5,745,15,106,87,126,46,59,19,9,0,464,5,22,31,157,134,118,80,17,4,563,0,0,4,3,11,6,8,10,3,52,0,12,38,86,52,20,6,0,0,215,59,485,783,2584,1354,1185,811,489,197,7954,734,1592,1475,3458,1185,894,624,381,158,10503,15368,30847,26500,62596,23905,18574,12744,5790,1559,197876,3,58,139,651,222,183,89,26,5,1375,13347,22961,16060,22397,9354,6700,4924,2432,947,99129,5,112,91,958,208,148,51,11,0,1590,0,0,3,71,51,72,43,25,8,278,4,9,4,75,14,15,4,0,0,123,0,3,7,53,31,18,13,5,0,131,4,11,20,62,17,14,20,0,0,153
