LGA_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
LGA10050,0,8,5,48,7,0,0,0,0,68,0,0,0,3,11,8,5,0,0,31,4,21,51,170,84,43,29,9,0,416,0,0,0,5,0,7,12,0,3,28,0,0,0,0,3,0,0,0,0,11,0,0,4,11,20,36,45,30,18,156,0,7,6,10,7,3,4,0,0,28,6,8,16,54,32,25,18,5,0,172,0,7,3,46,16,10,7,0,0,93,0,0,0,17,0,0,0,0,0,18,0,8,6,39,21,5,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,12,6,43,18,20,18,11,0,120,0,7,5,33,13,3,6,0,0,72,0,0,5,9,9,14,11,3,6,41,0,0,3,13,7,3,5,0,4,31,10,88,83,364,194,152,126,119,48,1186,208,371,384,827,368,382,338,262,116,3252,3568,7003,6809,14199,6711,6839,6036,3539,1385,56093
LGA10180,0,3,0,23,3,0,0,0,0,35,0,0,4,9,5,6,4,0,0,31,0,13,14,97,21,19,4,0,0,165,0,0,0,0,0,0,3,0,0,10,0,0,0,3,0,0,0,0,0,8,0,0,5,6,6,29,15,18,4,91,0,6,0,3,3,0,0,0,0,13,0,5,22,38,25,6,11,3,0,109,3,6,9,44,20,5,6,0,0,93,0,0,0,26,3,0,0,0,0,35,0,4,3,8,11,3,0,0,0,33,3,0,0,8,0,0,0,0,0,12,0,22,14,34,12,25,20,15,0,153,0,13,6,46,12,4,0,0,0,79,0,0,4,0,6,5,3,4,0,24,0,4,4,10,9,0,0,5,0,37,14,68,55,252,70,47,51,31,14,600,126,344,740,616,247,263,212,219,144,2924,1571,3671,4661,6925,3208,3574,2885,1918,713,29124
LGA10250,0,0,0,7,0,0,0,0,0,5,0,0,0,11,29,23,9,0,0,70,0,15,10,71,22,25,15,8,0,164,0,0,0,10,3,4,7,4,0,20,0,0,0,3,0,0,0,0,0,6,0,0,7,22,26,27,41,27,11,169,0,3,5,5,5,3,0,3,0,26,0,10,17,64,48,28,48,37,11,261,0,0,0,13,0,3,6,4,0,25,0,0,0,3,0,0,0,0,0,9,0,9,19,53,24,19,0,0,0,128,0,0,0,0,0,0,0,0,0,5,6,13,17,81,40,34,44,10,3,236,0,4,0,14,15,5,0,0,0,44,0,7,0,14,3,10,18,13,4,66,0,0,0,11,18,7,6,4,0,43,11,21,17,207,80,87,76,64,23,580,92,257,219,567,289,350,403,288,237,2706,2205,5336,4306,9514,5901,6505,6722,3968,1834,46296
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,13,9,42,26,72,44,43,48,21,7,308,135,302,220,489,289,333,289,117,47,2208
LGA10470,3,10,0,40,6,0,0,0,0,60,0,0,0,0,4,11,0,0,0,24,7,22,26,118,37,26,8,3,0,255,0,0,0,5,0,6,5,4,3,16,0,0,0,3,0,0,0,0,0,6,0,0,5,19,24,27,36,29,11,157,0,0,5,3,9,7,0,4,0,28,0,9,16,39,28,8,17,6,0,127,0,6,9,40,9,15,8,0,0,92,0,0,0,0,0,0,5,0,0,5,5,3,11,41,15,5,0,0,0,76,0,0,0,0,3,0,0,0,0,4,0,12,12,25,17,12,13,0,0,93,0,9,9,37,15,7,0,0,0,82,0,0,0,5,4,3,3,7,0,21,0,0,4,7,8,0,4,0,0,30,4,13,23,106,75,53,66,44,20,418,90,251,298,539,302,301,263,175,82,2297,2479,5692,5785,10810,5383,5338,4497,2528,1052,43567
LGA10500,10,11,56,305,28,28,13,6,0,460,0,5,11,29,25,11,10,3,0,97,12,118,218,1729,539,520,301,94,31,3558,4,6,8,227,77,49,73,25,9,476,0,0,4,22,28,15,10,10,0,85,0,0,8,153,58,98,82,42,19,458,8,17,44,211,57,52,48,13,0,447,0,13,42,283,134,126,81,35,8,721,3,0,23,135,48,42,34,16,3,305,3,6,40,374,57,36,34,4,0,559,11,30,105,1068,218,111,61,13,0,1607,0,4,11,202,169,204,120,98,15,822,31,47,63,238,64,60,24,11,3,535,8,47,314,741,341,240,177,55,17,1942,0,6,9,49,20,16,7,7,0,123,0,0,13,44,19,11,0,0,0,91,120,502,697,5594,1439,1409,1329,954,297,12330,441,764,1141,3602,980,801,655,518,239,9138,9986,16501,21488,63087,20624,17495,13485,8707,3802,175184
LGA10550,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,6,0,0,0,19,0,6,8,47,23,39,20,5,3,141,0,0,0,3,4,0,5,6,0,22,0,0,0,0,3,0,0,0,0,3,0,0,0,12,7,36,50,45,12,165,0,0,0,6,3,3,3,0,0,21,0,8,0,26,18,31,16,15,4,124,0,0,0,6,5,4,4,0,0,13,0,0,0,3,0,0,0,0,0,3,0,9,6,30,19,11,4,0,0,85,0,0,0,3,0,0,0,0,0,9,0,10,13,43,12,28,48,17,3,174,0,0,0,4,5,5,0,0,0,18,0,0,0,0,4,8,10,9,0,31,0,0,0,4,5,9,6,0,0,21,0,14,4,75,50,82,99,79,34,432,81,222,222,454,334,490,444,249,183,2678,1507,3916,3044,6372,4348,6337,6219,3104,1089,35942
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,19,0,5,0,15,3,12,3,0,0,38,0,0,0,0,0,0,7,5,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,3,7,15,12,9,8,65,0,0,0,0,4,4,0,0,0,12,0,3,0,10,21,9,12,5,3,62,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,4,0,3,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,0,17,5,16,20,5,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,7,7,0,0,24,0,0,0,0,6,4,5,0,0,6,5,11,12,32,38,32,29,25,10,182,37,137,91,199,153,150,172,96,33,1069,542,1672,1104,2339,1770,2263,2110,1054,395,13253
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,9,15,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,12,12,5,3,36,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,4,0,6,0,19,0,0,4,5,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,8,0,14,9,5,20,12,3,76,26,90,65,135,89,120,169,100,45,850,378,958,730,1530,968,1277,1595,899,334,8665
LGA10750,65,740,623,3211,756,477,229,53,16,6175,0,8,25,39,53,31,15,0,0,168,82,866,2107,8954,4741,4601,2979,750,222,25292,0,4,8,131,114,152,232,102,123,870,11,125,225,608,497,465,279,83,10,2305,0,10,29,60,106,182,181,119,42,732,19,191,83,162,80,100,73,23,4,736,18,171,203,759,401,309,198,68,22,2149,19,247,395,2550,1085,910,569,209,60,6037,5,15,22,226,48,43,47,8,5,411,6,46,96,441,169,76,44,9,3,881,0,24,43,415,337,351,199,108,9,1494,33,195,164,293,94,99,34,18,4,922,5,36,57,444,293,257,183,36,6,1322,0,0,4,14,19,12,19,19,4,95,4,35,73,189,94,45,9,6,0,451,101,1010,1562,5246,2705,2328,1685,995,474,16110,1431,3149,2724,6824,2272,1723,1322,829,480,20749,29907,60217,50801,126651,47563,37873,27022,12432,4304,396776
