LGA_CODE_2021,A0_14_SEO_B_05,A0_14_SEO_05_10,A0_14_SEO_11_15,A0_14_SEO_16,A0_14_SEO_17,A0_14_SEO_18,A0_14_SEO_19,A0_14_SEO_20,A0_14_SEO_21,A0_14_SEO_YNS,A0_14_SEO_T,A0_14_UOLSE_VWW_B_05,A0_14_UOLSE_VWW_05_10,A0_14_UOLSE_VWW_11_15,A0_14_UOLSE_VWW_16,A0_14_UOLSE_VWW_17,A0_14_UOLSE_VWW_18,A0_14_UOLSE_VWW_19,A0_14_UOLSE_VWW_20,A0_14_UOLSE_VWW_21,A0_14_UOLSE_VWW_YNS,A0_14_UOLSE_VWW_T,A0_14_UOLSE_NWNAA_B_05,A0_14_UOLSE_NWNAA_05_10,A0_14_UOLSE_NWNAA_11_15,A0_14_UOLSE_NWNAA_16,A0_14_UOLSE_NWNAA_17,A0_14_UOLSE_NWNAA_18,A0_14_UOLSE_NWNAA_19,A0_14_UOLSE_NWNAA_20,A0_14_UOLSE_NWNAA_21,A0_14_UOLSE_NWNAA_YNS,A0_14_UOLSE_NWNAA_T,A0_14_UOLSE_PinE_NS_B_05,A0_14_UOLSE_PinE_NS_05_10,A0_14_UOLSE_PinE_NS_11_15,A0_14_UOLSE_PinE_NS_16,A0_14_UOLSE_PinE_NS_17,A0_14_UOLSE_PinE_NS_18,A0_14_UOLSE_PinE_NS_19,A0_14_UOLSE_PinE_NS_20,A0_14_UOLSE_PinE_NS_21,A0_14_UOLSE_PinE_NS_YNS,A0_14_UOLSE_PinE_NS_T,A0_14_UOLSE_T_B_05,A0_14_UOLSE_T_05_10,A0_14_UOLSE_T_11_15,A0_14_UOLSE_T_16,A0_14_UOLSE_T_17,A0_14_UOLSE_T_18,A0_14_UOLSE_T_19,A0_14_UOLSE_T_20,A0_14_UOLSE_T_21,A0_14_UOLSE_T_YNS,A0_14_UOLSE_T_T,A0_14_L_PinE_NS_B_05,A0_14_L_PinE_NS_05_10,A0_14_L_PinE_NS_11_15,A0_14_L_PinE_NS_16,A0_14_L_PinE_NS_17,A0_14_L_PinE_NS_18,A0_14_L_PinE_NS_19,A0_14_L_PinE_NS_20,A0_14_L_PinE_NS_21,A0_14_L_PinE_NS_YNS,A0_14_L_PinE_NS_T,A0_14_T_B_05,A0_14_T_05_10,A0_14_T_11_15,A0_14_T_16,A0_14_T_17,A0_14_T_18,A0_14_T_19,A0_14_T_20,A0_14_T_21,A0_14_T_YNS,A0_14_T_T,A15_24_SEO_B_05,A15_24_SEO_05_10,A15_24_SEO_11_15,A15_24_SEO_16,A15_24_SEO_17,A15_24_SEO_18,A15_24_SEO_19,A15_24_SEO_20,A15_24_SEO_21,A15_24_SEO_YNS,A15_24_SEO_T,A15_24_UOLSE_VWW_B_05,A15_24_UOLSE_VWW_05_10,A15_24_UOLSE_VWW_11_15,A15_24_UOLSE_VWW_16,A15_24_UOLSE_VWW_17,A15_24_UOLSE_VWW_18,A15_24_UOLSE_VWW_19,A15_24_UOLSE_VWW_20,A15_24_UOLSE_VWW_21,A15_24_UOLSE_VWW_YNS,A15_24_UOLSE_VWW_T,A15_24_UOLSE_NWNAA_B_05,A15_24_UOLSE_NWNAA_05_10,A15_24_UOLSE_NWNAA_11_15,A15_24_UOLSE_NWNAA_16,A15_24_UOLSE_NWNAA_17,A15_24_UOLSE_NWNAA_18,A15_24_UOLSE_NWNAA_19,A15_24_UOLSE_NWNAA_20,A15_24_UOLSE_NWNAA_21,A15_24_UOLSE_NWNAA_YNS,A15_24_UOLSE_NWNAA_T,A15_24_UOLSE_PinE_NS_B_05,A15_24_UOLSE_PinE_NS_05_10,A15_24_UOLSE_PinE_NS_11_15,A15_24_UOLSE_PinE_NS_16,A15_24_UOLSE_PinE_NS_17,A15_24_UOLSE_PinE_NS_18,A15_24_UOLSE_PinE_NS_19,A15_24_UOLSE_PinE_NS_20,A15_24_UOLSE_PinE_NS_21,A15_24_UOLSE_PinE_NS_YNS,A15_24_UOLSE_PinE_NS_T,A15_24_UOLSE_T_B_05,A15_24_UOLSE_T_05_10,A15_24_UOLSE_T_11_15,A15_24_UOLSE_T_16,A15_24_UOLSE_T_17,A15_24_UOLSE_T_18,A15_24_UOLSE_T_19,A15_24_UOLSE_T_20,A15_24_UOLSE_T_21,A15_24_UOLSE_T_YNS,A15_24_UOLSE_T_T,A15_24_L_PinE_NS_B_05,A15_24_L_PinE_NS_05_10,A15_24_L_PinE_NS_11_15,A15_24_L_PinE_NS_16,A15_24_L_PinE_NS_17,A15_24_L_PinE_NS_18,A15_24_L_PinE_NS_19,A15_24_L_PinE_NS_20,A15_24_L_PinE_NS_21,A15_24_L_PinE_NS_YNS,A15_24_L_PinE_NS_T,A15_24_T_B_05,A15_24_T_05_10,A15_24_T_11_15,A15_24_T_16,A15_24_T_17,A15_24_T_18,A15_24_T_19,A15_24_T_20,A15_24_T_21,A15_24_T_YNS,A15_24_T_T,A25_34_SEO_B_05,A25_34_SEO_05_10,A25_34_SEO_11_15,A25_34_SEO_16,A25_34_SEO_17,A25_34_SEO_18,A25_34_SEO_19,A25_34_SEO_20,A25_34_SEO_21,A25_34_SEO_YNS,A25_34_SEO_T,A25_34_UOLSE_VWW_B_05,A25_34_UOLSE_VWW_05_10,A25_34_UOLSE_VWW_11_15,A25_34_UOLSE_VWW_16,A25_34_UOLSE_VWW_17,A25_34_UOLSE_VWW_18,A25_34_UOLSE_VWW_19,A25_34_UOLSE_VWW_20,A25_34_UOLSE_VWW_21,A25_34_UOLSE_VWW_YNS,A25_34_UOLSE_VWW_T,A25_34_UOLSE_NWNAA_B_05,A25_34_UOLSE_NWNAA_05_10,A25_34_UOLSE_NWNAA_11_15,A25_34_UOLSE_NWNAA_16,A25_34_UOLSE_NWNAA_17,A25_34_UOLSE_NWNAA_18,A25_34_UOLSE_NWNAA_19,A25_34_UOLSE_NWNAA_20,A25_34_UOLSE_NWNAA_21,A25_34_UOLSE_NWNAA_YNS,A25_34_UOLSE_NWNAA_T,A25_34_UOLSE_PinE_NS_B_05,A25_34_UOLSE_PinE_NS_05_10,A25_34_UOLSE_PinE_NS_11_15,A25_34_UOLSE_PinE_NS_16,A25_34_UOLSE_PinE_NS_17,A25_34_UOLSE_PinE_NS_18,A25_34_UOLSE_PinE_NS_19,A25_34_UOLSE_PinE_NS_20,A25_34_UOLSE_PinE_NS_21,A25_34_UOLSE_PinE_NS_YNS,A25_34_UOLSE_PinE_NS_T,A25_34_UOLSE_T_B_05,A25_34_UOLSE_T_05_10
LGA10050,..,19,44,15,4,8,10,10,5,8,131,..,9,78,23,30,46,40,14,3,9,250,..,0,0,3,0,5,9,6,3,0,26,..,0,0,0,0,0,0,0,0,0,4,..,9,76,24,29,52,51,14,3,8,278,..,0,0,0,0,0,0,0,0,0,0,..,34,123,36,38,65,62,27,12,16,410,33,65,24,8,3,9,3,0,0,4,147,11,70,101,26,41,52,46,3,0,9,350,0,0,6,0,3,4,9,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,11,70,108,28,43,47,47,3,3,9,370,0,0,0,0,0,0,0,0,0,0,0,47,136,128,35,43,57,52,9,3,14,524,104,44,44,8,13,19,11,10,6,3,259,31,144,371,98,119,95,63,24,3,5,953,0,3,31,6,12,9,9,3,0,0,71,0,0,0,0,0,0,0,0,0,0,0,31,147
LGA10180,..,10,46,8,13,9,8,6,0,3,103,..,8,35,11,20,82,129,11,0,13,311,..,0,0,0,0,10,40,9,5,0,74,..,0,0,0,0,0,4,0,0,0,7,..,8,35,11,26,94,168,19,5,15,388,..,0,0,0,0,0,0,0,0,0,0,..,22,85,20,38,105,178,29,5,18,489,32,64,24,0,0,3,0,9,8,7,146,14,45,31,20,22,57,86,27,0,5,309,0,0,0,0,0,15,37,9,4,0,62,0,0,0,0,0,0,0,0,0,0,0,14,45,31,20,23,70,124,38,4,4,371,0,0,0,0,0,0,0,0,0,3,3,40,106,58,25,26,77,128,41,9,19,522,51,17,25,10,18,8,14,9,0,5,156,21,39,103,40,65,144,192,34,13,16,656,4,3,0,0,5,8,35,0,7,0,61,0,0,0,0,0,0,0,0,0,0,0,25,40
LGA10250,..,24,72,15,15,15,18,7,7,10,173,..,5,17,5,15,9,10,0,7,3,55,..,0,0,0,0,4,0,3,0,0,7,..,0,0,0,0,0,0,0,0,0,3,..,5,17,5,10,7,11,4,6,3,69,..,0,0,0,0,0,0,0,0,0,0,..,31,85,18,26,21,27,16,9,12,244,27,70,32,6,6,4,6,5,0,7,163,0,15,23,4,3,3,10,4,0,9,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,4,3,3,12,4,0,9,71,0,0,0,0,0,0,0,0,0,0,0,27,81,57,5,8,11,20,12,0,10,236,94,40,89,28,25,16,30,19,0,10,354,16,38,83,29,36,35,33,15,7,11,286,0,3,0,6,4,4,5,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,16,39
LGA10300,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,16,0,0,0,0,0,0,0,0,0,0,6,0,4,8,4,5,8,3,0,0,0,34,0,0,0,0,0,10,7,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4
LGA10470,..,19,42,7,7,8,6,5,0,0,105,..,3,34,10,9,20,20,8,0,0,109,..,0,0,0,0,4,4,4,0,0,13,..,0,0,0,0,0,4,0,0,0,4,..,3,34,10,11,25,25,13,0,0,123,..,0,0,0,0,0,0,0,0,0,0,..,22,77,13,18,29,36,15,3,5,229,46,31,21,7,6,5,3,5,5,0,131,8,26,23,12,23,21,17,10,0,3,153,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,26,24,12,23,25,17,15,0,3,159,0,0,0,0,0,0,0,0,0,14,16,60,61,47,23,23,29,20,19,0,17,302,69,35,29,3,13,11,11,4,0,3,186,24,62,115,45,58,59,28,18,4,4,415,3,3,10,4,0,7,8,6,0,0,34,0,0,0,0,0,0,0,0,0,0,0,25,66
LGA10500,..,68,173,63,35,60,59,38,21,39,543,..,70,366,188,195,217,210,81,16,79,1425,..,0,0,9,14,53,69,32,29,20,227,..,0,0,0,0,0,6,8,0,0,23,..,69,375,198,215,264,285,115,47,101,1671,..,0,0,0,0,0,0,6,3,23,28,..,143,544,258,249,325,344,159,73,159,2247,198,254,136,54,92,99,129,67,12,36,1069,315,474,824,573,898,1157,1166,380,34,111,5924,13,9,35,21,42,61,95,42,12,10,329,0,0,0,0,0,4,0,0,0,4,6,327,478,856,596,942,1214,1262,421,43,119,6266,0,0,5,0,0,3,6,0,0,13,22,526,734,993,646,1032,1317,1398,489,52,166,7361,851,478,1211,366,396,426,412,120,28,86,4379,1460,2382,4418,1514,1685,1856,1849,414,74,235,15878,63,75,215,96,154,248,275,70,10,30,1222,4,0,0,0,0,0,3,0,0,6,20,1517,2454
LGA10550,..,13,21,6,6,5,4,5,0,3,63,..,3,12,6,0,5,4,3,0,0,39,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,3,12,5,0,5,7,5,0,0,45,..,0,0,0,0,0,0,0,0,0,0,..,16,32,13,9,11,10,7,3,5,104,16,23,12,0,0,0,7,5,0,3,62,0,3,7,4,3,3,8,4,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,4,3,4,8,4,0,3,35,0,0,0,0,0,0,0,0,0,0,0,16,25,17,8,3,4,11,5,0,3,95,49,17,21,6,9,7,8,10,0,0,122,3,21,31,23,20,15,19,5,3,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
LGA10600,..,5,21,5,3,0,3,6,0,4,42,..,0,3,0,4,0,0,0,0,6,12,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,0,3,0,4,0,0,0,0,6,12,..,0,0,0,0,0,0,0,0,0,0,..,5,25,7,6,0,3,9,0,0,57,5,20,3,0,0,0,0,0,0,0,29,3,0,4,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,13,20,6,0,0,0,4,0,0,0,45,16,9,10,0,4,4,0,0,0,0,51,4,3,13,5,3,3,7,3,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
LGA10650,..,0,9,0,0,0,0,0,0,0,14,..,6,7,0,0,0,6,0,0,0,17,..,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,6,7,0,0,0,6,0,0,0,18,..,0,0,0,0,0,0,0,0,0,0,..,6,13,0,0,0,6,0,0,0,34,0,9,3,0,0,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,20,5,9,6,4,0,0,4,0,0,3,34,3,0,16,3,0,5,10,3,0,0,51,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0
LGA10750,..,340,1151,311,326,325,246,107,36,134,2967,..,672,2684,956,902,854,667,225,69,176,7217,..,8,32,20,23,63,109,56,52,31,396,..,0,5,0,3,12,9,8,6,8,44,..,679,2728,977,928,922,787,290,122,217,7655,..,0,7,0,0,0,0,4,6,12,27,..,1013,3880,1290,1258,1246,1036,401,162,367,10653,945,1344,581,106,102,112,105,62,15,83,3466,1505,3387,2056,609,674,1024,1267,432,38,149,11143,19,31,24,21,27,43,62,16,13,11,258,4,3,4,0,0,5,4,0,0,0,24,1528,3422,2080,628,700,1067,1339,446,57,160,11422,4,4,3,0,0,4,4,0,0,49,66,2472,4773,2666,739,805,1183,1443,511,73,289,14954,2399,649,759,188,169,189,172,50,10,133,4724,4030,4721,6569,1798,1907,2126,2148,531,121,286,24233,42,135,300,113,130,146,181,40,23,24,1141,7,5,5,0,5,3,3,3,0,8,38,4078,4866
