LGA_CODE_2021,A55_64_UOLSE_VWW_17,A55_64_UOLSE_VWW_18,A55_64_UOLSE_VWW_19,A55_64_UOLSE_VWW_20,A55_64_UOLSE_VWW_21,A55_64_UOLSE_VWW_YNS,A55_64_UOLSE_VWW_T,A55_64_UOLSE_NWNAA_B_05,A55_64_UOLSE_NWNAA_05_10,A55_64_UOLSE_NWNAA_11_15,A55_64_UOLSE_NWNAA_16,A55_64_UOLSE_NWNAA_17,A55_64_UOLSE_NWNAA_18,A55_64_UOLSE_NWNAA_19,A55_64_UOLSE_NWNAA_20,A55_64_UOLSE_NWNAA_21,A55_64_UOLSE_NWNAA_YNS,A55_64_UOLSE_NWNAA_T,A55_64_UOLSE_PinE_NS_B_05,A55_64_UOLSE_PinE_NS_05_10,A55_64_UOLSE_PinE_NS_11_15,A55_64_UOLSE_PinE_NS_16,A55_64_UOLSE_PinE_NS_17,A55_64_UOLSE_PinE_NS_18,A55_64_UOLSE_PinE_NS_19,A55_64_UOLSE_PinE_NS_20,A55_64_UOLSE_PinE_NS_21,A55_64_UOLSE_PinE_NS_YNS,A55_64_UOLSE_PinE_NS_T,A55_64_UOLSE_T_B_05,A55_64_UOLSE_T_05_10,A55_64_UOLSE_T_11_15,A55_64_UOLSE_T_16,A55_64_UOLSE_T_17,A55_64_UOLSE_T_18,A55_64_UOLSE_T_19,A55_64_UOLSE_T_20,A55_64_UOLSE_T_21,A55_64_UOLSE_T_YNS,A55_64_UOLSE_T_T,A55_64_L_PinE_NS_B_05,A55_64_L_PinE_NS_05_10,A55_64_L_PinE_NS_11_15,A55_64_L_PinE_NS_16,A55_64_L_PinE_NS_17,A55_64_L_PinE_NS_18,A55_64_L_PinE_NS_19,A55_64_L_PinE_NS_20,A55_64_L_PinE_NS_21,A55_64_L_PinE_NS_YNS,A55_64_L_PinE_NS_T,A55_64_T_B_05,A55_64_T_05_10,A55_64_T_11_15,A55_64_T_16,A55_64_T_17,A55_64_T_18,A55_64_T_19,A55_64_T_20,A55_64_T_21,A55_64_T_YNS,A55_64_T_T,A65_74_SEO_B_05,A65_74_SEO_05_10,A65_74_SEO_11_15,A65_74_SEO_16,A65_74_SEO_17,A65_74_SEO_18,A65_74_SEO_19,A65_74_SEO_20,A65_74_SEO_21,A65_74_SEO_YNS,A65_74_SEO_T,A65_74_UOLSE_VWW_B_05,A65_74_UOLSE_VWW_05_10,A65_74_UOLSE_VWW_11_15,A65_74_UOLSE_VWW_16,A65_74_UOLSE_VWW_17,A65_74_UOLSE_VWW_18,A65_74_UOLSE_VWW_19,A65_74_UOLSE_VWW_20,A65_74_UOLSE_VWW_21,A65_74_UOLSE_VWW_YNS,A65_74_UOLSE_VWW_T,A65_74_UOLSE_NWNAA_B_05,A65_74_UOLSE_NWNAA_05_10,A65_74_UOLSE_NWNAA_11_15,A65_74_UOLSE_NWNAA_16,A65_74_UOLSE_NWNAA_17,A65_74_UOLSE_NWNAA_18,A65_74_UOLSE_NWNAA_19,A65_74_UOLSE_NWNAA_20,A65_74_UOLSE_NWNAA_21,A65_74_UOLSE_NWNAA_YNS,A65_74_UOLSE_NWNAA_T,A65_74_UOLSE_PinE_NS_B_05,A65_74_UOLSE_PinE_NS_05_10,A65_74_UOLSE_PinE_NS_11_15,A65_74_UOLSE_PinE_NS_16,A65_74_UOLSE_PinE_NS_17,A65_74_UOLSE_PinE_NS_18,A65_74_UOLSE_PinE_NS_19,A65_74_UOLSE_PinE_NS_20,A65_74_UOLSE_PinE_NS_21,A65_74_UOLSE_PinE_NS_YNS,A65_74_UOLSE_PinE_NS_T,A65_74_UOLSE_T_B_05,A65_74_UOLSE_T_05_10,A65_74_UOLSE_T_06,A65_74_UOLSE_T_16,A65_74_UOLSE_T_17,A65_74_UOLSE_T_18,A65_74_UOLSE_T_19,A65_74_UOLSE_T_20,A65_74_UOLSE_T_21,A65_74_UOLSE_T_YNS,A65_74_UOLSE_T_T,A65_74_L_PinE_NS_B_05,A65_74_L_PinE_NS_05_10,A65_74_L_PinE_NS_11_15,A65_74_L_PinE_NS_16,A65_74_L_PinE_NS_17,A65_74_L_PinE_NS_18,A65_74_L_PinE_NS_19,A65_74_L_PinE_NS_20,A65_74_L_PinE_NS_21,A65_74_L_PinE_NS_YNS,A65_74_L_PinE_NS_T,A65_74_T_B_05,A65_74_T_05_10,A65_74_T_11_15,A65_74_T_16,A65_74_T_17,A65_74_T_18,A65_74_T_19,A65_74_T_20,A65_74_T_21,A65_74_T_YNS,A65_74_T_T,A75_84_SEO_B_05,A75_84_SEO_05_10,A75_84_SEO_11_15,A75_84_SEO_16,A75_84_SEO_17,A75_84_SEO_18,A75_84_SEO_19,A75_84_SEO_20,A75_84_SEO_21,A75_84_SEO_YNS,A75_84_SEO_T,A75_84_UOLSE_VWW_B_05,A75_84_UOLSE_VWW_05_10,A75_84_UOLSE_VWW_11_15,A75_84_UOLSE_VWW_16,A75_84_UOLSE_VWW_17,A75_84_UOLSE_VWW_18,A75_84_UOLSE_VWW_19,A75_84_UOLSE_VWW_20,A75_84_UOLSE_VWW_21,A75_84_UOLSE_VWW_YNS,A75_84_UOLSE_VWW_T,A75_84_UOLSE_NWNAA_B_05,A75_84_UOLSE_NWNAA_05_10,A75_84_UOLSE_NWNAA_11_15,A75_84_UOLSE_NWNAA_16,A75_84_UOLSE_NWNAA_17,A75_84_UOLSE_NWNAA_18,A75_84_UOLSE_NWNAA_19,A75_84_UOLSE_NWNAA_20,A75_84_UOLSE_NWNAA_21,A75_84_UOLSE_NWNAA_YNS,A75_84_UOLSE_NWNAA_T,A75_84_UOLSE_PinE_NS_B_05,A75_84_UOLSE_PinE_NS_05_10,A75_84_UOLSE_PinE_NS_11_15,A75_84_UOLSE_PinE_NS_16,A75_84_UOLSE_PinE_NS_17,A75_84_UOLSE_PinE_NS_18,A75_84_UOLSE_PinE_NS_19,A75_84_UOLSE_PinE_NS_20,A75_84_UOLSE_PinE_NS_21,A75_84_UOLSE_PinE_NS_YNS,A75_84_UOLSE_PinE_NS_T,A75_84_UOLSE_T_B_05,A75_84_UOLSE_T_05_10,A75_84_UOLSE_T_11_15,A75_84_UOLSE_T_16,A75_84_UOLSE_T_17,A75_84_UOLSE_T_18,A75_84_UOLSE_T_19,A75_84_UOLSE_T_20,A75_84_UOLSE_T_21,A75_84_UOLSE_T_YNS,A75_84_UOLSE_T_T,A75_84_L_PinE_NS_B_05,A75_84_L_PinE_NS_05_10,A75_84_L_PinE_NS_11_15,A75_84_L_PinE_NS_16,A75_84_L_PinE_NS_17,A75_84_L_PinE_NS_18
LGA10050,0,0,0,0,0,5,166,18,15,39,3,0,4,13,4,0,0,96,0,0,0,0,0,0,0,0,0,0,0,148,45,46,3,0,3,13,10,0,6,264,0,0,0,0,0,0,0,0,0,0,0,715,74,58,9,4,6,17,10,0,15,902,643,17,4,0,0,0,0,4,0,27,691,119,5,6,0,0,0,4,0,0,0,131,21,10,13,0,4,0,11,7,0,3,67,0,0,0,0,0,0,0,0,0,0,0,138,13,20,0,4,0,12,7,0,3,201,0,0,0,0,0,0,0,0,0,0,5,779,29,22,0,4,0,14,8,0,32,895,460,4,4,0,0,0,0,0,0,12,482,113,0,0,0,0,0,0,0,0,5,124,24,6,6,0,0,0,7,0,0,0,42,3,0,0,0,0,0,0,0,0,0,3,137,6,7,0,0,0,7,0,0,10,165,0,0,0,0,0,0
LGA10180,3,0,0,4,0,0,100,0,3,0,0,0,5,15,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,64,18,4,4,3,5,20,5,0,3,136,0,0,0,0,0,0,0,0,0,0,0,361,29,19,0,8,5,23,8,0,9,470,296,6,0,0,0,0,0,0,0,11,318,46,3,0,0,0,0,0,0,0,0,47,6,0,0,0,0,4,11,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,4,11,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,350,14,0,0,0,4,14,0,0,9,393,218,0,0,0,0,0,0,0,0,5,230,23,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
LGA10250,0,4,0,0,0,5,120,8,4,0,0,0,0,3,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,106,14,8,0,0,4,3,4,0,5,133,0,0,0,0,0,0,0,0,0,0,0,789,46,25,8,4,4,3,4,6,25,905,818,19,18,7,0,0,4,0,0,38,900,88,3,3,0,0,0,7,0,0,0,102,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,93,0,5,0,0,0,7,5,0,0,112,0,0,0,0,0,0,0,0,0,0,4,916,21,25,7,0,0,9,5,0,40,1017,556,8,12,6,0,0,0,0,0,22,598,46,0,0,0,0,0,0,0,0,3,52,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0,0,0,0,3,61,0,0,0,0,0,0
LGA10300,0,0,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,13,3,3,0,0,0,0,0,0,0,20,11,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,20,0,4,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
LGA10470,0,0,0,0,0,0,135,6,0,0,0,0,0,3,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,112,27,7,4,0,0,3,6,0,4,152,0,0,0,0,0,0,0,0,0,7,11,510,47,14,5,3,3,3,6,0,22,618,494,8,9,4,0,0,0,0,0,8,517,76,6,0,0,0,0,3,5,3,4,95,16,3,4,0,0,0,5,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,93,5,7,0,0,0,9,3,3,3,126,0,0,0,0,0,0,0,0,0,12,11,589,13,12,4,0,0,9,5,3,23,656,299,0,0,0,0,0,0,0,0,16,317,53,0,0,0,0,0,0,0,0,3,57,10,0,0,0,0,3,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,3,6,0,0,6,76,4,0,0,0,0,0
LGA10500,26,13,25,16,3,86,5847,1373,169,156,36,32,39,98,47,11,62,2038,9,0,0,0,0,0,0,0,0,3,11,6686,417,260,62,65,54,113,67,14,152,7894,0,0,0,0,0,0,0,0,0,27,34,8996,521,308,70,71,59,125,70,15,230,10466,1756,15,16,0,0,3,7,0,0,42,1852,4453,46,25,6,5,5,15,18,9,69,4646,1812,149,212,25,31,32,72,37,7,56,2428,14,0,0,0,0,0,0,0,0,6,17,6272,195,241,31,37,33,82,48,16,135,7088,6,0,0,0,0,0,0,0,0,58,68,8037,215,256,31,37,35,92,56,14,238,9004,887,16,3,0,0,4,0,0,0,32,945,2563,9,5,0,0,4,4,0,4,80,2670,1845,88,72,12,11,15,16,7,0,87,2141,6,0,0,0,0,0,0,0,0,6,10,4414,92,77,13,11,15,25,8,3,161,4821,9,0,0,0,0,0
LGA10550,0,0,0,0,0,0,96,3,0,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,84,10,3,0,0,0,0,0,0,4,106,0,0,0,0,0,0,0,0,0,0,0,811,31,20,3,5,3,0,0,0,26,900,1028,18,16,4,0,4,0,0,0,42,1110,89,4,0,0,0,0,0,0,0,4,100,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,4,0,4,107,5,0,0,0,0,0,0,0,0,0,8,1130,22,16,4,0,4,0,4,0,51,1222,548,4,0,0,0,0,0,0,0,20,581,70,0,0,0,0,0,0,0,0,0,67,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,79,5,0,0,0,0,0
LGA10600,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,47,0,5,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,324,15,12,4,0,0,0,0,0,13,372,309,7,6,0,0,3,0,0,0,11,341,29,5,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,343,11,6,0,0,3,4,0,0,16,382,177,5,0,0,0,0,0,0,0,10,192,21,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,6,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,95,4,4,0,0,0,0,0,0,3,114,142,0,0,0,0,0,0,0,0,7,147,16,0,0,0,0,0,0,0,0,0,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,4,168,92,0,0,0,0,0,0,0,0,6,98,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
LGA10750,64,43,138,72,16,175,14174,1753,422,424,138,109,97,290,159,21,100,3504,29,3,0,0,3,0,0,3,0,3,42,13677,1676,875,201,174,137,428,233,39,282,17726,12,4,0,0,0,0,0,0,0,47,65,18090,1938,994,215,187,146,436,241,37,411,22692,3783,90,40,5,8,4,10,14,0,84,4028,7655,322,280,47,39,59,150,104,9,131,8795,1922,369,525,109,82,93,276,155,16,102,3654,36,3,0,0,0,0,0,0,0,6,44,9608,688,806,157,117,155,430,262,23,235,12486,16,7,4,0,0,0,0,0,0,24,50,13407,783,850,166,122,157,442,268,26,337,16568,1953,38,12,0,3,0,0,0,0,73,2082,2700,146,81,21,7,11,43,25,0,87,3125,1328,204,146,38,24,16,74,30,3,102,1971,16,0,0,0,0,0,0,0,0,7,20,4046,347,227,60,36,27,119,56,3,185,5113,16,0,0,0,0,0
