LGA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
LGA10050,0,17,..,706,234,937,4,945,..,64,9,71,0,69,..,16,3,21,0,21,..,7,0,7,0,7,..,21,3,21,0,23,..,0,0,0,0,0,..,36,9,46,0,43,..,16,0,16,0,16,..,14,0,16,0,16,..,10,0,10,0,10,..,15,5,22,0,22,..,0,0,0,0,0,..,13,0,13,0,13,..,70,8,72,4,80,..,19,0,21,0,21,..,113,8,116,0,116,..,15,0,19,0,19,..,216,13,230,4,238,..,47,3,50,0,50,..,20,0,19,0,27,..,54,7,63,0,63,..,0,0,0,0,0,..,31,10,42,0,42,..,312,92,410,9,414,..,1968,439,2411,28,2437,..,82,15,97,1438,1538,25032,2050,454,2510,1464,29007,48134,..,..,..,..,48134,..,48,3,56,0,56,..,68,7,77,4,83,..,69,0,67,0,67,..,33,11,43,3,49,..,153,45,200,3,203
LGA10180,0,5,..,316,18,339,5,339,..,14,0,14,0,14,..,34,0,33,0,33,..,6,0,4,0,4,..,9,0,9,0,15,..,0,0,0,0,0,..,23,0,28,0,28,..,26,0,26,0,26,..,3,0,3,0,3,..,13,0,18,0,18,..,9,0,9,0,9,..,0,0,0,0,0,..,0,0,0,0,0,..,33,0,36,0,36,..,9,0,9,0,9,..,44,0,44,0,44,..,10,0,10,0,10,..,101,0,103,0,103,..,40,0,46,0,46,..,14,0,14,0,14,..,18,4,15,0,15,..,4,0,4,0,4,..,43,10,51,0,51,..,340,150,487,4,493,..,1306,233,1537,8,1548,..,67,22,89,1481,1572,11999,1373,258,1627,1488,15115,23203,..,..,..,..,23203,..,20,0,20,0,20,..,112,16,129,0,129,..,41,0,45,0,41,..,53,16,69,0,69,..,162,32,197,0,198
LGA10250,0,3,..,98,6,101,0,101,..,67,3,78,0,78,..,50,10,62,0,60,..,10,0,10,0,10,..,7,0,14,0,14,..,7,0,4,0,4,..,5,4,8,0,8,..,13,0,13,0,13,..,12,0,12,0,12,..,65,4,68,0,71,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,23,..,15,0,15,0,15,..,27,4,29,0,29,..,4,0,4,0,4,..,76,0,79,0,80,..,90,6,91,0,91,..,8,0,8,0,8,..,77,15,91,0,91,..,3,0,3,3,10,..,24,5,31,0,31,..,208,23,230,3,232,..,1121,99,1218,13,1235,..,61,7,69,1259,1328,21460,1184,106,1288,1276,24019,41545,..,..,..,..,41545,..,44,4,47,0,47,..,28,0,26,0,26,..,69,0,69,0,68,..,38,16,52,0,52,..,57,9,69,0,69
LGA10300,0,0,..,8,0,8,0,8,..,21,0,27,0,27,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,4,0,4,..,0,3,4,0,4,..,7,3,6,0,6,..,6,0,6,0,6,..,0,0,0,0,0,..,0,3,3,0,3,..,0,0,0,0,0,..,7,0,4,0,4,..,22,5,29,0,29,..,71,17,94,0,94,..,9,0,6,153,162,843,77,21,101,153,1098,1695,..,..,..,..,1695,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,4,0,4,..,8,29,38,0,38
LGA10470,0,8,..,278,28,302,8,315,..,20,3,22,0,22,..,19,0,20,0,20,..,8,4,6,0,6,..,13,5,17,0,17,..,0,0,0,0,0,..,29,0,27,0,33,..,17,8,21,0,21,..,6,0,6,0,6,..,0,0,0,0,0,..,12,0,13,0,13,..,4,0,4,0,4,..,11,0,11,0,12,..,32,0,32,0,34,..,11,0,10,0,10,..,61,4,62,0,62,..,4,0,10,0,10,..,108,7,110,0,114,..,52,0,51,0,51,..,27,3,35,0,29,..,31,18,44,0,44,..,0,0,5,0,5,..,33,5,38,0,38,..,173,14,188,4,193,..,1073,127,1193,26,1220,..,37,4,40,1020,1054,19432,1104,128,1233,1040,21705,38175,..,..,..,..,38175,..,54,0,54,0,54,..,116,14,128,3,132,..,55,0,55,3,59,..,47,23,71,0,69,..,87,8,95,0,96
LGA10500,0,148,..,4320,368,4689,37,4730,..,954,178,1133,6,1141,..,350,45,392,0,395,..,51,6,57,0,60,..,285,79,356,4,359,..,1814,480,2294,10,2306,..,110,10,117,0,118,..,156,20,178,0,178,..,205,15,220,4,222,..,1305,228,1536,13,1553,..,654,126,786,12,786,..,58,5,66,0,67,..,516,65,578,0,585,..,575,13,589,9,593,..,1808,227,2036,20,2059,..,976,32,1008,3,1009,..,309,17,322,4,333,..,3669,286,3955,45,4000,..,2164,368,2531,16,2552,..,137,5,144,0,142,..,781,213,994,14,1004,..,489,122,617,0,619,..,956,193,1144,9,1156,..,2482,582,3065,71,3136,..,38570,7623,46196,369,46560,..,668,186,855,4592,5446,35845,39240,7810,47052,4961,87860,73964,..,..,..,..,73964,..,74,0,74,0,77,..,8349,1072,9422,71,9495,..,55,0,59,0,59,..,4819,1651,6469,40,6506,..,9372,2562,11932,92,12026
LGA10550,0,0,..,52,3,59,0,56,..,17,4,18,0,21,..,13,0,13,0,13,..,5,0,5,0,5,..,5,0,5,0,5,..,0,0,0,0,0,..,21,0,19,0,19,..,0,0,0,0,0,..,15,0,17,0,17,..,4,0,4,0,4,..,3,0,3,0,3,..,3,0,3,0,3,..,0,0,0,0,0,..,24,0,28,0,28,..,3,0,3,0,3,..,25,4,31,0,31,..,3,0,6,0,4,..,60,7,65,0,66,..,27,0,27,0,27,..,3,0,3,0,3,..,40,9,52,0,52,..,4,0,4,0,4,..,12,3,14,0,14,..,137,9,145,0,142,..,616,56,675,8,680,..,41,0,37,1144,1185,16448,651,61,715,1150,18307,32334,..,..,..,..,32334,..,28,0,28,0,28,..,8,0,9,0,9,..,26,0,26,0,26,..,25,5,33,0,33,..,35,16,54,0,54
LGA10600,0,0,..,9,0,9,0,9,..,12,0,9,0,9,..,6,0,6,0,6,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,3,0,3,0,7,..,6,0,5,0,5,..,4,0,4,0,4,..,22,0,21,0,23,..,25,0,26,0,26,..,0,0,0,0,0,..,10,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,70,4,74,0,74,..,261,19,275,3,281,..,25,0,23,478,499,6043,281,20,300,483,6827,11768,..,..,..,..,11768,..,0,0,0,0,0,..,0,0,0,0,0,..,19,0,19,0,19,..,0,0,0,0,4,..,8,6,15,0,15
LGA10650,0,0,..,14,0,14,0,14,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,12,0,12,..,0,0,0,0,0,..,9,0,9,0,10,..,0,0,0,0,0,..,23,0,23,0,23,..,9,0,9,0,9,..,3,0,3,0,3,..,0,0,5,0,5,..,0,0,0,0,0,..,5,0,3,0,3,..,19,0,19,0,23,..,124,11,133,0,135,..,13,0,13,410,420,3837,132,13,151,412,4402,7560,..,..,..,..,7560,..,6,0,6,0,6,..,22,0,20,0,23,..,9,0,9,0,9,..,10,4,16,0,16,..,3,7,10,0,10
LGA10750,12,1612,..,31325,2969,34293,301,34597,..,741,87,826,10,836,..,113,6,122,0,123,..,79,26,105,0,110,..,874,516,1391,5,1403,..,100,30,136,0,132,..,1413,70,1487,17,1501,..,1064,254,1326,9,1330,..,432,90,525,3,529,..,215,35,249,4,258,..,325,33,354,0,362,..,1909,162,2074,14,2089,..,373,103,472,0,479,..,4061,135,4193,31,4224,..,867,111,976,12,989,..,7907,332,8247,39,8280,..,563,37,599,0,603,..,13400,612,14014,81,14099,..,1416,311,1732,10,1739,..,3532,389,3914,47,3964,..,425,93,523,7,531,..,920,312,1236,12,1241,..,605,256,854,3,854,..,10700,1933,12640,245,12885,..,81026,11644,92672,868,93533,..,1268,316,1585,9947,11535,93829,82288,11963,94250,10817,198905,188793,..,..,..,..,188793,..,477,9,485,7,482,..,9762,1843,11606,81,11687,..,146,4,151,0,151,..,2734,1188,3921,17,3935,..,4708,2301,7015,71,7083
