LGA_CODE_2021,POL_CL_Oth_SEO,POL_CL_Oth_UOLSE_VWorW,POL_CL_Oth_UOLSE_NWorNAA,POL_CL_Oth_UOLSE_Tot,POL_CL_Oth_NS,POL_CL_Oth_Tot,POL_CL_Tot_SEO,POL_CL_Tot_UOLSE_VWorW,POL_CL_Tot_UOLSE_NWorNAA,POL_CL_Tot_UOLSE_Tot,POL_CL_Tot_NS,POL_CL_Tot_Tot,POL_Croatian_SEO,POL_Croatian_UOLSE_VWorW,POL_Croatian_UOLSE_NWorNAA,POL_Croatian_UOLSE_Tot,POL_Croatian_NS,POL_Croatian_Tot,POL_French_SEO,POL_French_UOLSE_VWorW,POL_French_UOLSE_NWorNAA,POL_French_UOLSE_Tot,POL_French_NS,POL_French_Tot,POL_German_SEO,POL_German_UOLSE_VWorW,POL_German_UOLSE_NWorNAA,POL_German_UOLSE_Tot,POL_German_NS,POL_German_Tot,POL_Greek_SEO,POL_Greek_UOLSE_VWorW,POL_Greek_UOLSE_NWorNAA,POL_Greek_UOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_UOLSE_VWorW,POL_IAL_Bengali_UOLSE_NWorNAA,POL_IAL_Bengali_UOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Guj_SEO,POL_IAL_Guj_UOLSE_VWorW,POL_IAL_Guj_UOLSE_NWorNAA,POL_IAL_Guj_UOLSE_Tot,POL_IAL_Guj_NS,POL_IAL_Guj_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_UOLSE_VWorW,POL_IAL_Hindi_UOLSE_NWorNAA,POL_IAL_Hindi_UOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Nepali_SEO,POL_IAL_Nepali_UOLSE_VWorW,POL_IAL_Nepali_UOLSE_NWorNAA,POL_IAL_Nepali_UOLSE_Tot,POL_IAL_Nepali_NS,POL_IAL_Nepali_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_UOLSE_VWorW,POL_IAL_Punjabi_UOLSE_NWorNAA,POL_IAL_Punjabi_UOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhal_SEO,POL_IAL_Sinhal_UOLSE_VWorW,POL_IAL_Sinhal_UOLSE_NWorNAA,POL_IAL_Sinhal_UOLSE_Tot,POL_IAL_Sinhal_NS,POL_IAL_Sinhal_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_UOLSE_VWorW,POL_IAL_Urdu_UOLSE_NWorNAA,POL_IAL_Urdu_UOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_UOLSE_VWorW,POL_IAL_Oth_UOLSE_NWorNAA,POL_IAL_Oth_UOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_UOLSE_VWorW,POL_IAL_Tot_UOLSE_NWorNAA,POL_IAL_Tot_UOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_UOLSE_VWorW,POL_Italian_UOLSE_NWorNAA,POL_Italian_UOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japan_SEO,POL_Japan_UOLSE_VWorW,POL_Japan_UOLSE_NWorNAA,POL_Japan_UOLSE_Tot,POL_Japan_NS,POL_Japan_Tot,POL_Khmer_SEO,POL_Khmer_UOLSE_VWorW,POL_Khmer_UOLSE_NWorNAA,POL_Khmer_UOLSE_Tot,POL_Khmer_NS,POL_Khmer_Tot,POL_Korean_SEO,POL_Korean_UOLSE_VWorW,POL_Korean_UOLSE_NWorNAA,POL_Korean_UOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedon_SEO,POL_Macedon_UOLSE_VWorW,POL_Macedon_UOLSE_NWorNAA,POL_Macedon_UOLSE_Tot,POL_Macedon_NS,POL_Macedon_Tot,POL_Malayalam_SEO,POL_Malayalam_UOLSE_VWorW,POL_Malayalam_UOLSE_NWorNAA,POL_Malayalam_UOLSE_Tot,POL_Malayalam_NS,POL_Malayalam_Tot,POL_Persian_ED_SEO,POL_Persian_ED_UOLSE_VWorW,POL_Persian_ED_UOLSE_NWorNAA,POL_Persian_ED_UOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_UOLSE_VWorW,POL_Polish_UOLSE_NWorNAA,POL_Polish_UOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Portuguese_SEO,POL_Portuguese_UOLSE_VWorW,POL_Portuguese_UOLSE_NWorNAA,POL_Portuguese_UOLSE_Tot,POL_Portuguese_NS,POL_Portuguese_Tot,POL_Russian_SEO,POL_Russian_UOLSE_VWorW,POL_Russian_UOLSE_NWorNAA,POL_Russian_UOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_UOLSE_VWorW,POL_Samoan_UOLSE_NWorNAA,POL_Samoan_UOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_UOLSE_VWorW,POL_Serbian_UOLSE_NWorNAA,POL_Serbian_UOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipin_SEO,POL_SAL_Filipin_UOLSE_VWorW,POL_SAL_Filipin_UOLSE_NWorNAA,POL_SAL_Filipin_UOLSE_Tot,POL_SAL_Filipin_NS,POL_SAL_Filipin_Tot,POL_SAL_Indon_SEO,POL_SAL_Indon_UOLSE_VWorW,POL_SAL_Indon_UOLSE_NWorNAA,POL_SAL_Indon_UOLSE_Tot,POL_SAL_Indon_NS,POL_SAL_Indon_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_UOLSE_VWorW,POL_SAL_Tagalog_UOLSE_NWorNAA,POL_SAL_Tagalog_UOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_UOLSE_VWorW,POL_SAL_Oth_UOLSE_NWorNAA,POL_SAL_Oth_UOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_UOLSE_VWorW,POL_SAL_Tot_UOLSE_NWorNAA,POL_SAL_Tot_UOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_UOLSE_VWorW,POL_Spanish_UOLSE_NWorNAA,POL_Spanish_UOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_UOLSE_VWorW
LGA10050,..,6,0,5,0,5,..,197,53,247,4,255,..,59,4,57,0,57,..,51,4,55,4,55,..,111,0,110,3,116,..,119,15,131,0,131,..,71,4,74,0,78,..,62,9,74,0,74,..,158,8,168,0,173,..,474,312,785,10,793,..,680,58,742,12,753,..,53,5,56,0,58,..,69,11,79,0,79,..,28,0,33,0,33,..,1601,408,2015,24,2035,..,110,19,128,4,131,..,38,5,44,0,45,..,9,0,9,0,9,..,36,8,51,0,49,..,4,0,4,0,4,..,92,10,103,5,106,..,28,0,28,0,28,..,24,4,31,0,32,..,19,0,19,0,19,..,37,5,39,0,39,..,8,0,11,0,11,..,29,0,32,0,32,..,106,7,116,8,116,..,31,3,33,0,33,..,190,15,201,0,201,..,31,0,28,0,28,..,361,21,376,8,382,..,96,10,104,0,104,..,44
LGA10180,..,9,0,9,0,9,..,221,48,268,0,269,..,3,0,3,0,3,..,73,5,71,0,73,..,96,5,100,0,97,..,38,0,37,5,41,..,109,3,107,0,113,..,24,0,24,0,24,..,51,0,50,0,50,..,257,13,268,0,268,..,99,4,110,0,107,..,73,5,73,6,79,..,36,3,42,0,42,..,12,0,12,0,12,..,652,28,682,3,688,..,27,0,27,0,23,..,50,0,52,0,52,..,6,0,4,0,4,..,18,0,19,0,22,..,0,0,0,0,0,..,40,4,45,0,45,..,45,0,44,5,48,..,8,0,8,0,8,..,26,3,27,0,27,..,16,0,16,0,16,..,7,0,7,0,7,..,4,0,7,0,7,..,57,0,60,0,63,..,15,0,17,0,17,..,61,0,61,0,62,..,28,0,28,0,28,..,162,3,164,0,168,..,91,0,93,0,93,..,23
LGA10250,..,8,3,12,0,12,..,107,21,132,0,132,..,11,0,11,0,11,..,131,4,138,8,146,..,159,3,163,3,167,..,28,0,22,0,29,..,12,0,12,0,12,..,9,4,12,0,12,..,39,0,39,0,39,..,23,0,27,0,27,..,98,13,108,0,108,..,6,0,6,0,6,..,4,0,4,0,4,..,10,0,10,0,10,..,208,16,220,0,220,..,138,10,143,0,151,..,90,10,97,4,101,..,14,0,14,0,14,..,13,6,22,0,22,..,8,0,5,0,5,..,18,4,22,0,22,..,17,0,22,0,22,..,21,0,21,0,21,..,116,3,126,0,125,..,26,0,26,0,26,..,4,0,4,0,4,..,0,0,5,0,5,..,32,0,32,0,31,..,22,0,25,0,25,..,40,4,41,0,43,..,7,0,7,0,7,..,99,6,101,0,106,..,150,16,161,0,163,..,8
LGA10300,..,0,0,0,0,0,..,10,28,44,0,44,..,0,0,0,0,0,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,4,0,3,0,3,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,13,0,12,0,12,..,44,6,48,0,48,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,5,0,5,0,5,..,7,4,8,0,8,..,19,4,23,0,23,..,6,0,3,0,3,..,0
LGA10470,..,11,0,9,0,9,..,139,37,177,0,177,..,16,6,25,0,25,..,35,0,35,0,37,..,56,3,63,0,63,..,22,7,30,0,30,..,57,3,63,3,66,..,30,0,35,0,35,..,75,7,80,0,80,..,169,11,180,8,183,..,145,23,168,3,172,..,43,0,46,0,46,..,70,4,81,4,81,..,7,0,7,0,7,..,607,49,657,12,669,..,38,3,42,0,42,..,35,0,34,0,34,..,10,4,12,0,12,..,21,5,32,0,32,..,0,0,0,0,0,..,50,4,51,0,55,..,33,10,41,0,39,..,13,0,13,0,13,..,3,0,3,0,3,..,12,0,15,0,15,..,11,0,11,0,11,..,18,5,23,0,25,..,51,0,52,4,60,..,17,0,19,0,19,..,104,6,111,0,111,..,15,0,13,0,13,..,191,9,202,4,207,..,84,6,88,0,86,..,59
LGA10500,..,477,150,633,3,637,..,14668,4365,19035,138,19172,..,642,91,729,4,733,..,594,33,628,9,635,..,258,3,263,0,264,..,8699,1682,10377,51,10429,..,2805,263,3074,23,3092,..,191,17,208,5,208,..,1414,50,1456,10,1468,..,4444,246,4696,43,4735,..,237,11,244,0,243,..,187,8,196,0,196,..,516,23,537,7,550,..,277,4,284,0,284,..,10077,620,10699,83,10783,..,1868,276,2138,13,2154,..,560,74,635,10,640,..,87,11,96,0,99,..,493,134,626,9,627,..,3693,809,4505,13,4517,..,229,19,247,0,247,..,357,28,382,3,386,..,396,30,427,5,425,..,2639,438,3073,32,3100,..,1167,224,1391,12,1395,..,128,8,137,0,137,..,985,130,1116,9,1120,..,1026,26,1048,9,1061,..,3545,371,3915,45,3954,..,1624,55,1683,18,1698,..,601,57,660,14,672,..,6798,504,7306,84,7384,..,4294,665,4956,27,4981,..,303
LGA10550,..,0,0,0,0,0,..,64,24,86,0,86,..,14,0,14,0,14,..,71,0,70,0,70,..,129,0,132,0,133,..,38,5,41,0,41,..,9,0,13,0,13,..,0,0,0,0,0,..,27,0,27,0,27,..,41,3,45,0,48,..,9,0,9,0,9,..,7,0,9,0,9,..,0,0,0,0,0,..,3,0,3,0,3,..,102,10,104,0,109,..,44,4,50,0,53,..,21,0,21,0,21,..,0,0,0,0,0,..,10,0,10,0,10,..,0,0,0,0,0,..,40,4,43,0,43,..,4,0,4,0,4,..,15,0,20,0,20,..,8,0,8,0,8,..,12,0,12,0,12,..,5,0,5,0,5,..,4,0,4,0,4,..,31,0,31,0,33,..,11,0,11,0,11,..,33,3,46,0,46,..,3,3,5,3,10,..,90,5,94,4,101,..,67,6,71,0,71,..,7
LGA10600,..,0,4,6,0,6,..,17,12,25,0,24,..,5,0,5,0,5,..,26,0,27,0,27,..,90,0,92,0,93,..,3,0,6,0,6,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,9,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,18,0,23,0,23,..,19,3,26,0,26,..,12,0,12,0,12,..,4,0,4,0,4,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,9,0,9,0,14,..,10,0,10,0,10,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,8,0,8,0,12,..,8,0,14,0,14,..,4,0,4,0,4,..,26,0,29,0,29,..,42,0,45,0,45,..,0
LGA10650,..,0,4,6,0,6,..,16,13,31,0,31,..,0,0,0,0,0,..,3,0,3,0,3,..,17,0,17,0,17,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,11,0,8,0,8,..,11,0,11,0,11,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,30,0,31,0,31,..,24,0,24,0,26,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,12,0,17,0,17,..,0,0,0,0,0,..,3,0,3,0,3,..,0,0,0,0,0,..,3,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,16,0,16,0,16,..,3,0,3,0,3,..,9,0,9,0,10,..,0,0,0,0,0,..,29,0,29,0,30,..,11,0,16,0,16,..,9
LGA10750,..,280,77,365,3,365,..,7728,3567,11299,91,11386,..,1141,179,1321,10,1331,..,606,39,647,8,649,..,368,11,383,0,385,..,1664,294,1962,8,1965,..,4239,259,4492,38,4532,..,8563,733,9293,87,9380,..,16504,814,17316,112,17429,..,4005,417,4419,57,4477,..,18637,1731,20360,197,20554,..,2777,113,2892,10,2899,..,7772,700,8478,108,8582,..,2997,131,3130,26,3153,..,65486,4890,70378,628,71003,..,1403,161,1570,9,1578,..,195,15,209,4,213,..,139,39,171,0,178,..,1773,926,2698,19,2712,..,200,46,244,6,246,..,2801,123,2924,30,2952,..,2135,446,2580,22,2606,..,774,140,917,0,923,..,432,65,495,11,508,..,585,65,650,8,653,..,3644,440,4082,34,4115,..,752,198,951,0,954,..,7437,223,7663,56,7720,..,1621,175,1800,25,1819,..,14368,546,14915,76,14993,..,987,62,1053,7,1057,..,24414,1010,25427,160,25586,..,2680,481,3160,17,3177,..,7327
