LGA_CODE_2021,POL_Tamil_UOLSE_NWorNAA,POL_Tamil_UOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_UOLSE_VWorW,POL_Thai_UOLSE_NWorNAA,POL_Thai_UOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_UOLSE_VWorW,POL_Turkish_UOLSE_NWorNAA,POL_Turkish_UOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_UOLSE_VWorW,POL_Vietnamese_UOLSE_NWorNAA,POL_Vietnamese_UOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_UOLSE_VWorW,POL_Oth_UOLSE_NWorNAA,POL_Oth_UOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_UOLSE_VWorW,POL_Tot_UOLSE_NWorNAA,POL_Tot_UOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LUatH_NS_SEO,P_LUatH_NS_UOLSE_VWorW,P_LUatH_NS_UOLSE_NWorNAA,P_LUatH_NS_UOLSE_Tot,P_LUatH_NS_NS,P_LUatH_NS_Tot,P_Tot_SEO,P_Tot_UOLSE_VWorW,P_Tot_UOLSE_NWorNAA,P_Tot_UOLSE_Tot,P_Tot_NS,P_Tot_Tot
LGA10050,0,46,0,46,..,74,12,89,0,89,..,0,3,7,0,7,..,62,15,73,0,76,..,645,146,792,20,812,..,3994,757,4752,68,4817,..,156,33,190,2956,3145,48134,4146,790,4939,3025,56093
LGA10180,0,23,0,25,..,30,0,35,0,39,..,7,0,12,0,12,..,74,19,95,0,95,..,689,284,972,9,982,..,2544,424,2966,31,2999,..,116,36,147,2776,2924,23203,2658,462,3120,2807,29124
LGA10250,0,6,0,6,..,116,19,130,0,130,..,4,0,4,5,7,..,38,13,48,0,48,..,377,47,428,14,441,..,1980,180,2157,38,2193,..,113,8,118,2436,2554,41545,2090,183,2277,2470,46296
LGA10300,0,0,0,0,..,0,4,6,0,6,..,0,0,0,0,0,..,7,7,14,0,14,..,42,5,44,0,45,..,150,57,204,0,205,..,7,0,11,299,305,1695,155,53,217,300,2208
LGA10470,6,63,0,65,..,43,25,70,0,70,..,0,0,5,0,5,..,65,15,73,0,73,..,347,41,386,6,392,..,2094,242,2333,41,2371,..,80,4,84,2936,3017,38175,2175,245,2421,2970,43567
LGA10500,13,317,3,320,..,1169,348,1518,14,1534,..,1038,213,1253,5,1259,..,1778,325,2103,24,2133,..,4703,1245,5948,149,6098,..,76047,13353,89400,755,90153,..,1211,340,1552,9515,11066,73964,77251,13696,90952,10272,175184
LGA10550,0,7,0,7,..,63,12,72,0,73,..,6,0,13,0,13,..,20,4,21,0,21,..,212,17,229,4,232,..,1085,101,1181,14,1193,..,76,4,80,2330,2412,32334,1161,104,1262,2338,35942
LGA10600,0,0,0,0,..,10,0,12,0,12,..,0,0,0,0,0,..,0,0,0,0,0,..,128,14,144,5,141,..,443,33,478,9,482,..,40,3,40,954,997,11768,480,37,514,965,13253
LGA10650,0,9,0,9,..,4,0,6,0,6,..,0,0,0,0,0,..,5,0,3,0,3,..,43,3,47,4,46,..,233,24,258,8,261,..,21,0,26,812,838,7560,257,25,283,815,8665
LGA10750,675,7995,91,8091,..,604,147,758,12,771,..,1949,534,2487,19,2500,..,1108,395,1500,9,1510,..,21275,3584,24863,530,25390,..,161446,20339,181782,1810,183593,..,2437,565,3006,21384,24395,188793,163887,20903,184788,23196,396776
