LGA_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA10050,143,589,666,504,474,528,498,283,87,3779,89,558,1082,718,656,647,472,197,103,4522,31,395,1142,883,872,830,401,127,21,4693,15,209,856,718,649,567,223,71,6,3328,5,73,617,602,550,482,178,49,25,2585,0,36,329,464,483,356,110,34,4,1808,0,33,428,766,706,485,116,30,7,2567,0,0,46,107,116,90,36,9,3,416,0,11,67,190,217,163,75,27,11,767,230,224,488,429,415,399,396,362,187,3127,3350,3463,7316,6881,6711,6839,6036,3539,1385,45524
LGA10180,69,264,360,269,215,246,262,159,69,1907,42,224,481,273,299,333,212,119,37,2012,25,166,469,355,313,363,241,110,17,2066,9,86,320,306,243,254,134,35,17,1404,4,38,267,245,249,200,84,64,7,1161,0,18,201,186,203,181,67,19,11,879,0,12,176,407,419,291,73,24,5,1406,0,0,20,31,78,71,33,9,5,247,0,9,32,68,120,146,49,18,4,432,410,393,411,285,262,266,223,237,153,2631,2335,2325,3750,3182,3208,3574,2885,1918,713,23882
LGA10250,89,315,465,445,435,529,586,346,133,3335,58,308,563,587,642,701,530,205,84,3665,11,192,643,648,697,735,501,178,48,3649,8,80,429,497,557,436,252,98,20,2371,7,42,319,430,482,434,195,69,26,2010,0,19,184,336,404,301,107,39,5,1394,0,12,229,576,655,471,165,48,10,2173,0,0,28,105,108,108,40,17,9,420,8,6,59,233,256,216,88,29,9,901,178,134,328,334,335,355,414,362,378,2813,2423,1882,4262,5248,5901,6505,6722,3968,1834,38753
LGA10300,0,18,30,12,22,23,11,0,3,123,8,21,41,23,33,40,22,0,0,180,0,12,32,33,28,46,22,5,0,178,0,8,17,14,26,26,10,0,0,107,0,0,12,8,16,14,6,0,0,63,0,3,14,6,11,18,3,0,0,55,0,0,7,16,25,14,8,0,0,66,0,0,4,3,0,0,0,0,0,12,0,0,4,5,5,8,4,0,0,27,20,11,39,35,53,48,59,25,15,306,117,102,274,212,289,333,289,117,47,1776
LGA10470,123,338,478,341,357,372,413,212,63,2690,86,459,713,476,535,456,339,130,35,3229,45,323,745,601,592,556,314,87,15,3270,13,212,648,490,457,402,208,39,9,2475,5,95,473,453,483,374,134,45,15,2071,3,40,342,381,417,332,88,17,8,1618,0,29,396,687,744,477,122,25,5,2482,0,3,49,80,118,80,26,0,0,362,0,3,47,118,151,135,47,13,0,525,197,320,633,549,460,382,298,236,149,3227,2898,2880,5680,5124,5383,5338,4497,2528,1052,35394
LGA10500,188,1523,2682,1603,1309,1206,870,473,178,10024,110,1576,3878,2109,1767,1536,773,331,102,12186,65,1445,5043,2807,2247,1726,722,205,65,14321,20,885,3957,2359,1807,1318,457,107,46,10960,10,449,3464,2309,1664,1143,361,102,35,9539,0,207,2397,1949,1370,896,268,49,15,7156,0,152,3708,4035,2657,1407,334,50,24,12364,3,23,598,1021,667,319,83,30,10,2742,0,27,552,1488,1225,494,124,48,19,3970,524,1036,2812,1720,1207,1003,891,956,875,11024,7773,13717,36536,26551,20624,17495,13485,8707,3802,148694
LGA10550,72,180,320,322,371,527,533,256,85,2658,40,199,385,379,453,615,414,176,35,2704,13,148,427,418,543,646,406,134,24,2758,4,67,247,332,399,394,209,59,7,1722,0,12,211,254,278,305,182,41,25,1317,0,6,135,173,252,234,92,16,8,923,0,14,143,273,347,337,115,26,13,1265,0,3,24,43,53,54,25,11,0,208,5,10,31,69,96,90,46,26,4,378,192,109,247,226,336,435,410,307,224,2481,1760,1284,3033,3344,4348,6337,6219,3104,1089,30514
LGA10600,21,60,112,125,156,205,172,86,25,963,7,45,138,144,188,224,131,56,19,948,3,33,127,146,176,190,129,38,4,849,0,22,74,91,151,137,70,19,7,572,0,7,53,83,125,120,49,18,5,458,0,0,34,70,93,103,21,5,0,332,0,0,34,83,166,104,47,12,0,453,0,0,10,18,20,16,5,10,0,77,0,0,5,20,30,48,18,0,0,130,76,31,86,135,151,143,193,125,55,988,708,400,1044,1300,1770,2263,2110,1054,395,11037
LGA10650,18,41,65,65,78,107,124,77,13,589,15,51,102,101,104,113,94,37,10,631,3,28,100,95,95,136,80,18,0,554,0,13,66,63,80,68,51,12,0,350,0,5,67,75,67,52,36,9,4,310,0,5,30,34,46,45,14,7,0,190,0,3,32,66,76,65,27,0,7,273,0,0,5,9,6,9,0,0,0,40,0,0,3,11,28,23,21,9,0,98,49,33,87,76,110,132,215,163,116,976,444,286,732,793,968,1277,1595,899,334,7328
LGA10750,672,3092,4354,3872,2988,2488,1611,744,155,19971,429,3347,6296,5756,4632,3519,1346,350,103,25768,222,2931,8150,7792,5784,4271,1339,228,42,30755,64,1625,6843,6568,4586,3014,823,82,16,23625,31,728,5173,6044,4046,2478,614,95,28,19237,14,280,3491,4837,3132,1761,384,28,10,13932,6,212,4610,10041,5626,2710,461,32,0,23702,0,16,653,2291,1157,457,87,18,0,4686,6,43,544,2182,1306,525,135,42,12,4805,1623,2090,4909,4346,2975,2122,1648,1198,789,21709,24375,26427,59261,67391,47563,37873,27022,12432,4304,306652
