LGA_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
LGA10050,695,152,1385,9193,12812,5654,3615,11338,2908,45524
LGA10180,256,140,713,4535,6755,3003,1860,5184,2555,23882
LGA10250,871,288,1834,7635,11317,5490,3566,8257,2494,38753
LGA10300,24,10,47,279,373,189,167,469,289,1776
LGA10470,589,91,1052,6848,9823,4519,3042,8246,2908,35394
LGA10500,1769,725,3802,27247,35460,14691,10487,50449,10369,148694
LGA10550,440,205,1089,5281,8832,4910,3379,5769,2338,30514
LGA10600,173,54,395,1864,3085,1911,1293,1942,925,11037
LGA10650,158,72,334,1248,1818,907,781,1778,801,7328
LGA10750,2542,547,4304,50272,70201,34354,29575,101292,20965,306652
LGA10800,77,31,176,804,1110,553,506,1026,452,4458
LGA10850,85,10,165,1118,1670,825,655,1265,446,5977
LGA10900,819,198,1763,12319,21067,11021,7168,10479,2445,64491
LGA10950,28,18,71,399,471,233,185,483,217,1988
LGA11150,21,3,34,268,383,171,131,506,361,1820
LGA11200,11,3,17,131,187,88,80,404,191,1080
LGA11250,289,127,590,2192,3458,1608,1331,4566,1432,14592
LGA11300,522,255,1177,6217,7682,3455,2488,13079,2489,35414
LGA11350,312,69,584,6166,8971,4045,2509,5348,3260,30299
LGA11400,166,49,331,2162,2966,1586,1179,2186,896,10970
LGA11450,635,186,1220,17424,24449,11335,9143,23108,3768,89228
LGA11500,885,462,1953,22821,31824,15096,13934,44505,9485,137653
LGA11520,1005,369,2219,15489,21624,9267,5787,19179,3733,75074
LGA11570,4042,1524,8374,47181,59486,29216,27032,110186,24430,297532
LGA11600,35,3,56,435,516,234,196,616,307,2304
LGA11650,4738,2173,10545,52906,77520,38317,28432,69378,17689,284248
LGA11700,12,4,22,183,252,117,97,458,315,1420
LGA11720,663,147,1167,8565,12916,6395,5151,13456,4314,50801
LGA11730,877,207,1757,7254,11467,6375,4999,10808,4552,45462
LGA11750,40,6,75,547,742,327,300,794,526,3227
LGA11800,1048,420,2320,12042,17941,8819,5769,15608,4618,64798
LGA12000,78,18,135,634,899,516,380,852,242,3522
LGA12150,56,9,85,497,606,277,240,870,432,2916
LGA12160,212,38,382,1564,2271,1219,985,2578,819,9429
LGA12350,222,42,411,1802,2590,1356,1085,2775,957,10563
LGA12380,1776,548,3442,27318,35120,17233,16251,75587,17046,188553
LGA12390,636,158,1186,7827,11159,4970,3668,10906,4885,43414
LGA12700,99,16,184,1310,2194,1285,987,1570,421,7769
LGA12730,151,33,286,1284,1839,845,644,1648,718,6972
LGA12750,775,168,1498,5729,9667,5342,3759,7598,2875,34972
LGA12850,2389,972,4440,24386,28042,13726,14075,78179,12814,171228
LGA12870,238,56,468,1888,2731,1430,1099,2850,886,10875
LGA12900,143,30,284,1325,1884,946,750,1871,695,7469
LGA12930,1931,780,4229,23191,30718,15316,11158,40592,7032,128007
LGA12950,63,19,129,569,794,450,372,856,434,3472
LGA13010,133,69,303,1194,1870,1015,809,1729,945,7563
LGA13310,450,84,825,4863,6927,3293,2380,6478,2327,26268
LGA13340,124,19,229,1689,2299,1209,996,1873,854,8911
LGA13450,288,160,689,3968,4971,2215,1713,6916,2038,21827
LGA13550,178,45,332,1774,2545,1195,982,2538,997,10037
LGA13660,95,16,173,668,902,502,504,1061,411,4047
LGA13800,630,144,1215,10115,15087,7640,6256,12413,2848,54359
LGA13850,52,16,90,403,572,252,230,634,323,2417
LGA13910,297,56,541,2752,3787,2006,1681,3995,1392,15611
LGA14000,1935,766,4327,24679,36865,18928,12073,25837,4568,122954
LGA14100,270,252,734,2363,3350,1582,976,2175,790,11237
LGA14170,1918,447,3569,35281,52985,19114,9352,31346,8034,156117
LGA14220,237,66,471,2314,3513,1773,1524,3829,1471,14430
LGA14300,65,15,125,837,1120,556,441,1253,1152,5363
LGA14350,452,126,863,3843,6042,3299,2755,6680,2999,25614
LGA14400,312,141,777,3719,6056,3115,1933,3427,1026,19277
LGA14500,1746,415,4138,21406,30326,16061,10035,19160,2936,99922
LGA14550,87,62,228,1228,2080,1142,927,1662,845,7875
LGA14600,97,35,199,786,1074,514,519,1315,589,4797
LGA14650,3061,864,6305,33729,50023,24552,16559,41819,8402,175079
LGA14700,250,143,725,7349,10743,4443,2483,5921,1318,32254
LGA14750,159,37,284,1630,2171,1005,779,2589,870,9041
LGA14850,511,148,1081,6926,10734,5060,3463,7583,2982,36751
LGA14870,290,38,534,2820,4418,2287,1854,4469,1574,17426
LGA14900,1545,635,2943,29131,36563,17609,16970,68411,13187,181869
LGA14920,88,39,189,981,1432,814,684,1515,797,6222
LGA14950,68,17,125,456,686,362,294,599,234,2636
LGA15050,688,204,1494,13831,20257,9416,6755,17442,3261,70959
