LGA_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
LGA10050,66,1465,135,1669,89,1485,117,1695,244,3089,258,3588,357,2737,233,3327,467,2542,220,3228,509,2555,184,3255,345,2367,150,2867,188,1252,106,1545,55,392,55,504,2321,17896,1459,21678,83,1482,115,1681,136,1511,114,1765,424,3070,239,3726,628,2711,214,3557,759,2556,167,3484,888,2518,183,3584,566,2449,160,3176,242,1561,188,1994,41,748,97,881,3777,18600,1471,23850,151,2945,252,3350,231,2997,227,3463,667,6153,496,7316,985,5450,446,6881,1228,5103,384,6711,1402,5070,363,6839,906,4816,317,6036,425,2818,300,3539,105,1142,145,1385,6098,36496,2937,45524
LGA10180,63,839,172,1072,57,893,189,1142,139,1473,207,1820,166,1262,129,1560,191,1204,116,1510,292,1324,128,1751,184,1114,102,1392,112,649,98,861,33,191,43,265,1237,8948,1187,11369,70,962,237,1263,73,903,203,1184,190,1533,204,1926,250,1232,147,1621,344,1222,132,1698,437,1275,111,1822,230,1142,115,1488,114,820,124,1060,33,320,97,451,1738,9403,1368,12509,132,1795,408,2335,130,1800,402,2325,331,3004,410,3750,413,2495,277,3182,533,2430,245,3208,730,2598,244,3574,415,2259,212,2885,227,1471,220,1918,61,510,137,713,2974,18355,2556,23882
LGA10250,61,1104,106,1272,51,864,67,978,137,1699,151,1991,233,2118,172,2519,380,2246,148,2773,512,2401,175,3083,395,2630,169,3194,222,1494,115,1829,84,521,86,691,2066,15076,1187,18330,76,1002,73,1151,77,766,52,902,196,1919,161,2270,401,2168,163,2727,688,2291,155,3129,851,2415,155,3422,600,2745,183,3527,274,1695,168,2140,57,898,191,1145,3219,15903,1301,20424,135,2109,180,2423,126,1629,116,1882,332,3619,314,4262,632,4288,330,5248,1064,4531,306,5901,1363,4818,321,6505,996,5371,356,6722,489,3193,282,3968,145,1417,272,1834,5287,30978,2485,38753
LGA10300,6,52,8,64,0,54,11,63,9,105,20,128,15,79,17,106,16,100,25,136,15,132,18,172,11,109,23,149,5,38,6,50,4,18,4,20,72,685,130,886,5,35,17,59,8,27,5,38,20,106,19,141,20,68,19,104,25,94,24,148,18,115,23,162,23,90,28,136,7,45,13,63,0,23,8,31,131,602,154,888,11,87,21,117,7,86,14,102,23,206,39,274,30,147,33,212,39,198,48,289,39,245,44,333,35,197,53,289,13,83,22,117,4,36,12,47,204,1283,286,1776
LGA10470,65,1336,106,1509,70,1235,215,1516,171,2282,485,2938,232,1994,409,2634,374,1984,266,2627,402,2022,197,2620,252,1845,133,2232,144,979,91,1213,40,294,32,372,1756,13967,1930,17659,69,1241,76,1387,89,1192,80,1366,286,2310,156,2749,420,1953,121,2498,617,1976,165,2755,634,1947,136,2720,369,1780,120,2266,164,1055,94,1311,30,594,58,680,2676,14049,1014,17732,135,2579,187,2898,160,2426,297,2880,453,4589,642,5680,649,3947,532,5124,995,3964,432,5383,1038,3970,332,5338,621,3628,254,4497,310,2029,190,2528,66,890,91,1052,4428,28017,2948,35394
LGA10500,178,3632,277,4081,298,6342,541,7181,811,16121,1482,18415,1139,11440,927,13509,1433,8008,596,10037,1194,6840,517,8551,626,5396,423,6440,370,3204,391,3961,119,1153,284,1557,6167,62129,5432,73726,196,3277,217,3689,352,5704,483,6537,1010,15767,1344,18122,1541,10723,785,13045,2136,7879,575,10586,1749,6750,454,8943,937,5721,395,7049,517,3815,421,4745,98,1707,441,2247,8531,61331,5104,74966,371,6904,498,7773,652,12047,1026,13717,1825,31887,2820,36536,2675,22163,1714,26551,3570,15884,1173,20624,2941,13586,970,17495,1559,11113,813,13485,882,7018,804,8707,215,2861,726,3802,14695,123457,10534,148694
LGA10550,56,769,106,929,48,569,54,672,120,1229,136,1479,183,1269,111,1563,257,1645,158,2067,466,2280,199,2949,331,2633,207,3170,153,1239,141,1529,47,331,85,471,1660,11980,1193,14826,46,710,81,833,51,507,58,612,184,1252,111,1549,306,1354,117,1777,471,1652,155,2286,722,2449,215,3383,475,2405,175,3055,170,1253,145,1574,31,465,125,618,2461,12046,1178,15683,94,1478,192,1760,101,1077,106,1284,302,2481,245,3033,496,2627,226,3344,735,3296,312,4348,1187,4731,418,6337,808,5038,372,6219,318,2497,286,3104,75,804,207,1089,4115,24022,2372,30514
LGA10600,21,308,33,358,10,180,17,211,53,417,44,509,60,488,63,616,106,620,73,799,152,819,71,1044,126,878,80,1084,55,403,42,509,10,129,16,155,605,4241,444,5291,14,286,47,347,19,156,8,191,74,417,42,529,130,502,57,687,204,698,66,969,272,874,69,1217,166,774,76,1025,63,420,58,547,9,188,42,240,964,4306,470,5748,37,592,82,708,36,336,26,400,127,832,85,1044,192,989,121,1300,311,1312,141,1770,427,1692,142,2263,296,1653,157,2110,122,828,107,1054,25,311,54,395,1573,8548,913,11037
LGA10650,15,190,23,234,14,114,14,144,25,303,34,359,22,301,37,364,72,371,44,488,87,451,61,605,88,654,84,824,59,333,48,437,20,103,36,161,396,2832,381,3610,3,177,24,213,17,107,16,144,32,298,41,371,77,324,29,427,88,338,57,485,151,470,50,674,103,575,85,767,53,337,63,463,11,126,37,179,550,2761,408,3715,21,375,46,444,27,225,29,286,63,597,74,732,102,623,68,793,158,709,102,968,237,926,114,1277,191,1231,170,1595,113,675,112,899,31,229,72,334,944,5591,791,7328
LGA10750,515,11235,895,12642,686,11930,1240,13849,1696,24231,2831,28760,2956,28391,2486,33837,2612,19713,1581,23905,2036,15477,1068,18574,1263,10787,699,12744,579,4776,437,5790,125,1235,190,1559,12463,127768,11428,151658,619,10341,770,11728,818,10895,864,12575,2691,25581,2234,30500,4311,27120,2122,33552,3875,18494,1288,23661,3076,15290,933,19299,1734,11742,797,14280,574,5528,543,6641,83,2301,365,2753,17786,127291,9913,154995,1131,21578,1665,24375,1502,22827,2105,26427,4392,49810,5061,59261,7267,55507,4615,67391,6485,38206,2871,47563,5113,30765,1998,37873,2995,22528,1498,27022,1151,10302,975,12432,212,3536,558,4304,30244,255065,21347,306652
