SA3_CODE_2021,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
10102,12405,6695,9120,8974,9089,7864,5105,2415,725,62391,0,6,4,3,8,14,18,17,5,71,133,214,190,134,182,219,150,72,34,1334,0,6,16,8,7,22,8,0,0,72,4,3,12,4,13,25,9,3,0,72,0,0,4,3,3,5,4,0,0,23,0,0,0,4,0,0,0,0,0,9,0,0,0,0,4,9,6,3,0,25,0,0,0,0,0,4,0,0,0,4,64,95,126,69,41,39,22,11,6,479,0,0,0,0,0,0,0,0,0,0,212,323,345,226,254,316,206,94,43,2012,208,327,351,224,264,333,220,111,40,2078,12618,7016,9469,9198,9354,8195,5331,2523,772,64469
10103,3268,2097,2527,2230,2717,2819,2171,1247,452,19540,4,13,12,0,5,13,9,3,7,60,700,977,760,579,727,727,410,95,16,4994,14,62,59,25,20,22,19,3,0,220,14,176,96,32,56,44,19,5,0,450,0,36,45,12,13,18,7,3,0,136,0,45,33,10,7,12,0,0,0,104,3,26,16,5,14,13,7,0,0,69,0,13,0,0,0,0,0,0,0,16,112,56,122,111,106,162,106,33,0,816,0,0,0,0,0,0,0,0,0,0,842,1392,1135,770,937,995,578,137,22,6808,850,1402,1147,777,945,1006,583,143,28,6869,4117,3504,3678,3002,3658,3829,2752,1392,477,26408
10104,10798,5928,5860,6597,8684,12390,13064,6754,2472,72553,16,16,13,18,31,49,35,32,17,231,369,427,440,336,380,621,539,193,78,3381,15,25,31,20,44,84,111,62,25,414,3,12,17,12,34,29,32,8,0,149,0,4,8,0,0,4,0,3,0,16,0,0,4,3,3,3,12,0,0,27,0,4,0,3,0,9,0,0,0,14,0,0,0,0,0,0,0,0,0,0,49,71,74,77,104,232,200,74,11,885,0,0,0,0,0,0,0,0,0,0,437,538,568,453,566,985,901,334,114,4892,459,552,584,472,594,1036,941,365,125,5126,11261,6480,6439,7063,9277,13424,14004,7124,2602,77672
10105,6653,3872,4398,4192,4607,5209,4480,2538,973,36915,3,9,16,7,7,9,12,14,3,79,160,381,296,186,167,208,192,68,54,1720,0,3,3,3,5,9,13,0,0,27,0,0,9,4,7,17,4,3,0,45,0,5,3,0,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,4,12,24,8,7,11,3,3,0,67,0,0,0,0,0,0,0,0,0,0,166,406,334,208,189,242,213,72,54,1884,173,412,346,209,199,252,233,86,60,1964,6827,4280,4752,4400,4810,5460,4705,2626,1029,38883
10106,7220,3791,3534,4177,5051,5009,4352,2405,843,36369,3,9,7,9,7,6,31,10,9,92,148,236,181,137,145,182,133,74,31,1268,0,10,23,0,19,19,10,0,0,88,0,6,10,4,8,19,9,3,3,63,6,0,3,6,3,7,3,0,0,24,0,0,0,0,0,0,0,3,0,8,0,0,4,6,0,4,4,0,0,13,0,0,6,0,0,0,0,0,0,3,25,45,45,20,34,26,10,9,0,214,0,0,0,0,0,0,0,0,0,0,176,302,277,173,209,248,176,86,30,1687,181,307,287,177,219,256,206,101,45,1780,7401,4095,3817,4353,5271,5268,4556,2508,881,38145
10201,30627,18564,17674,21226,22753,22948,20652,13164,5499,173108,25,22,15,21,23,28,58,35,32,267,672,739,608,463,556,601,538,307,206,4700,4,4,7,11,9,9,12,3,0,58,8,15,10,8,18,21,24,12,0,110,0,0,3,0,0,0,3,0,0,7,0,3,5,0,0,6,0,3,0,26,0,0,0,0,0,6,3,5,0,16,0,0,4,4,0,0,0,0,0,10,3,4,4,0,4,4,0,0,0,21,0,0,0,0,0,0,0,0,0,0,701,769,638,488,589,641,587,324,217,4948,724,794,657,510,611,669,639,363,242,5209,31346,19352,18329,21735,23363,23621,21292,13529,5742,178320
10202,30488,18800,19213,19108,20228,20462,18551,11746,4594,163185,17,16,16,14,22,34,51,43,24,236,591,604,506,435,459,430,386,226,137,3778,0,4,0,3,0,16,11,7,0,46,13,24,23,7,19,19,18,5,0,129,0,0,0,0,0,5,5,0,0,13,0,3,3,0,0,0,0,0,0,14,0,0,0,6,4,8,0,0,0,19,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,6,4,0,0,15,0,0,0,0,0,0,0,0,0,0,602,646,535,452,485,478,429,236,137,4008,621,664,549,470,510,512,481,282,160,4247,31110,19462,19762,19576,20740,20975,19027,12029,4754,167434
10301,8989,5962,5960,5556,5889,5834,5028,2792,1103,47114,0,20,5,3,12,16,15,11,16,101,214,482,303,234,235,214,199,102,33,2001,0,12,7,0,4,6,4,0,0,32,4,0,8,3,5,4,4,0,0,35,0,5,0,0,3,0,0,0,0,14,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,5,5,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,213,504,319,244,257,227,208,100,34,2117,213,524,322,254,270,244,227,108,53,2214,9205,6488,6287,5808,6157,6081,5249,2904,1153,49325
10302,10161,5341,5439,5444,6157,7184,6572,4100,1662,52053,21,17,26,11,18,38,32,30,18,211,269,482,352,259,301,340,248,96,56,2411,5,9,17,16,17,13,40,10,0,131,5,12,24,19,21,24,9,0,0,118,3,0,4,5,4,3,0,0,0,18,0,0,9,0,0,4,3,0,0,22,0,0,0,0,3,4,0,0,0,15,0,0,0,0,0,0,5,0,0,5,6,9,6,0,3,22,16,4,0,67,0,0,0,0,0,0,0,0,0,0,286,520,407,303,352,416,323,111,56,2777,310,537,429,308,377,448,351,144,77,2983,10469,5873,5872,5756,6531,7635,6924,4242,1737,55034
10303,8524,4525,5104,5029,5878,6537,5685,3453,1125,45859,14,3,9,20,11,26,20,21,3,122,215,344,322,241,283,325,265,120,40,2160,7,3,12,4,6,0,5,0,0,35,8,4,7,10,36,12,6,3,0,87,0,0,0,0,3,0,0,0,0,14,3,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0,0,0,5,0,0,9,0,0,23,0,0,0,0,0,0,0,0,0,0,233,354,351,264,339,346,282,129,42,2340,245,368,354,281,348,371,300,146,45,2463,8775,4888,5460,5306,6222,6908,5989,3597,1169,48316
