SA3_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
10102,0,0,0,0,3,881,7,10,0,0,0,5,3,0,25,930,123,0,0,0,0,0,0,0,0,11,135,112,0,0,0,0,0,0,0,0,3,117,64,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,9,186,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,15,323,4103,591,458,84,54,64,75,42,33,149,5648,2041,1030,1098,309,375,325,253,74,19,71,5594,293,41,50,23,18,22,45,22,0,22,533,8,0,3,0,0,0,0,5,0,3,24,2343,1068,1150,331,392,345,297,95,19,96,6141,3,0,0,0,0,0,0,0,0,6,15,6453,1657,1610,406,451,413,372,137,50,252,11809
10103,0,0,0,0,0,322,3,0,0,0,0,0,0,0,11,331,81,0,0,0,0,0,0,0,0,9,93,34,0,0,0,0,0,0,0,0,7,41,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,7,39,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,3,0,0,13,138,1395,124,109,12,27,29,48,24,18,65,1845,324,100,92,39,40,46,121,54,23,29,865,24,4,9,3,4,10,39,4,4,7,111,3,0,0,0,0,0,0,0,0,0,5,358,104,98,39,44,55,166,60,29,32,986,3,0,0,0,0,0,0,0,0,25,26,1759,222,206,52,74,81,216,83,40,127,2863
10104,0,0,0,5,19,1634,19,9,0,0,0,0,0,0,70,1737,387,4,0,0,0,0,0,0,0,32,419,77,0,0,0,0,0,4,0,0,4,86,22,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,4,5,106,0,0,0,0,0,4,0,0,10,118,4,0,0,0,0,0,0,0,0,3,4,495,4,0,0,0,0,4,0,0,41,542,6752,390,258,53,53,41,49,25,13,312,7940,912,209,205,92,78,91,93,43,10,45,1787,95,22,14,6,8,7,12,5,3,11,192,5,0,0,0,0,0,3,0,0,4,18,1018,233,223,96,87,94,111,52,10,63,1994,23,0,0,0,0,0,0,0,0,13,35,7792,626,486,152,135,134,161,77,26,384,9970
10105,0,0,0,5,8,377,4,6,0,0,0,0,0,0,36,422,78,0,0,0,0,0,0,0,0,12,92,21,0,0,0,0,0,0,0,0,5,17,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,3,22,0,0,0,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,5,5,102,0,0,0,0,0,0,0,0,25,126,1759,184,113,23,21,12,44,8,11,101,2276,443,222,278,73,70,90,106,16,27,36,1353,50,30,32,3,7,6,38,9,18,6,204,4,0,0,0,0,0,0,0,0,0,4,503,252,306,77,72,92,143,30,45,45,1558,9,0,3,0,0,0,0,0,0,93,109,2268,430,418,99,98,106,186,34,60,238,3942
10106,0,0,0,0,0,317,3,3,0,0,0,0,0,0,14,345,69,0,0,0,0,0,0,0,0,5,71,9,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,4,87,1866,196,160,6,18,19,23,11,6,84,2397,406,125,167,44,34,28,59,13,5,17,901,51,24,20,13,10,0,30,9,0,6,156,0,0,0,0,0,0,0,0,0,0,0,452,152,186,51,39,33,90,19,10,29,1063,3,0,0,0,0,0,0,0,0,3,7,2324,350,347,59,51,52,116,35,14,112,3468
10201,0,0,0,26,39,3341,134,63,4,8,5,16,4,0,156,3738,883,15,5,0,0,0,4,0,0,93,1011,181,0,5,0,0,0,0,0,0,23,212,69,0,6,0,0,0,0,0,0,6,84,0,0,0,0,0,0,0,0,0,3,4,249,0,7,0,0,0,0,0,0,31,299,12,0,0,0,0,0,0,0,0,65,76,1146,23,13,0,0,0,6,0,0,195,1385,16215,2833,1846,336,264,206,236,151,57,581,22726,4138,1773,1784,430,389,390,355,163,45,146,9622,501,181,221,56,47,55,101,27,10,36,1237,22,4,5,0,3,0,0,0,0,7,43,4657,1952,2012,488,436,445,456,195,56,199,10900,40,0,0,0,0,0,0,0,3,127,171,20910,4785,3857,827,706,659,695,340,115,904,33796
10202,0,0,0,35,50,2772,49,34,6,4,8,7,4,0,128,3013,642,4,5,0,0,0,0,0,0,42,700,151,0,0,0,0,0,0,0,0,8,164,41,0,4,0,0,0,0,0,0,4,54,0,0,0,0,0,0,0,0,0,0,5,197,0,3,0,0,0,0,0,0,13,218,10,0,0,0,0,0,0,0,0,51,61,855,8,5,0,0,0,5,0,0,105,978,11721,1229,912,137,141,93,120,73,25,391,14842,2918,994,1080,204,213,199,214,73,30,107,6029,391,103,119,29,31,26,61,15,17,34,836,9,3,3,0,0,0,0,0,0,3,22,3316,1102,1203,240,244,221,271,89,50,151,6879,44,5,4,0,0,0,0,0,0,114,168,15077,2334,2115,376,386,314,392,158,78,656,21885
10301,0,0,0,3,5,423,3,6,0,0,3,6,0,0,26,460,125,0,0,0,0,0,0,0,0,8,139,21,0,0,0,0,0,0,0,0,0,28,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,13,174,2129,230,180,35,38,43,36,16,7,92,2809,497,310,359,96,129,143,116,60,7,18,1740,62,23,32,3,10,15,27,17,0,10,199,0,3,0,0,0,0,6,0,0,0,4,561,331,386,99,139,161,151,78,13,35,1942,5,0,0,0,0,0,0,0,0,172,182,2698,559,568,134,179,206,181,90,21,298,4933
10302,0,0,0,4,5,324,5,0,0,0,0,0,0,0,20,349,51,0,0,0,0,0,0,0,0,11,65,14,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,6,22,0,0,0,0,0,0,0,0,0,3,3,72,0,0,0,0,0,0,0,0,17,93,1392,145,129,24,39,30,33,14,7,89,1911,247,166,218,67,84,88,105,30,19,9,1036,37,17,22,8,10,13,19,12,4,8,124,3,0,0,0,0,0,0,0,0,0,9,287,180,239,75,88,100,126,38,21,14,1168,9,0,0,0,0,0,0,0,0,10,18,1685,322,369,100,130,129,159,55,29,111,3099
10303,0,0,0,8,8,554,3,3,5,0,0,0,0,0,28,597,101,0,0,0,0,0,0,0,0,16,121,31,0,0,0,0,0,0,0,0,3,40,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,146,3,0,0,0,0,0,0,0,22,165,2401,185,144,24,26,37,37,9,10,116,2979,506,134,167,50,57,40,69,25,11,29,1091,59,19,20,5,6,4,13,8,0,6,135,5,0,0,0,0,0,0,0,0,0,3,565,152,188,59,59,47,84,32,13,39,1230,4,0,0,0,0,0,0,0,0,52,62,2974,339,333,79,87,83,118,37,18,210,4269
