SA3_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
10102,26641,..,..,..,..,26641,..,51,0,51,6,53,..,86,14,99,0,96,..,34,3,37,0,37,..,42,13,53,0,53,..,89,30,122,4,124,..,3,0,3,0,3,..,136,45,179,4,181,..,115,14,122,0,122,..,81,0,81,0,81,..,86,3,91,0,91,..,84,10,93,0,94,..,95,10,105,0,109,..,74,0,77,0,77,..,145,4,148,5,151,..,290,13,302,0,302,..,406,36,440,0,443,..,27,0,25,0,25,..,120,4,118,0,125,..,32,0,33,0,35,..,1186,67,1250,4,1258,..,250,22,275,0,275,..,17,3,23,0,23,..,4,0,9,0,9,..,24,7,30,0,30,..,408,66,472,3,479,..,65,6,74,0,75,..,26,0,26,0,26,..,44,0,44,0,44,..,51,0,54,0,62,..,35,0,35,0,35,..,25,0,31,0,31,..,135,21,161,0,160,..,75
10103,9089,..,..,..,..,9089,..,10,0,10,0,10,..,21,0,21,0,28,..,3,0,3,0,3,..,14,0,13,0,13,..,32,15,48,0,49,..,0,3,5,0,5,..,49,21,69,0,72,..,3,0,5,0,5,..,24,0,23,0,23,..,66,0,67,0,68,..,14,3,15,0,15,..,4,0,4,0,4,..,0,0,0,0,0,..,9,0,12,0,12,..,14,0,14,0,14,..,5,0,10,0,10,..,17,0,12,0,12,..,19,0,16,0,16,..,0,0,0,0,0,..,63,4,65,0,65,..,44,4,46,0,46,..,8,0,5,0,5,..,0,0,0,0,0,..,3,3,9,0,9,..,5,0,3,0,3,..,11,0,9,0,9,..,9,0,9,0,9,..,8,0,9,0,9,..,8,0,8,0,8,..,11,0,11,0,11,..,4,0,4,0,4,..,7,0,8,0,8,..,4
10104,33609,..,..,..,..,33609,..,25,0,25,0,25,..,15,0,15,0,16,..,47,0,51,4,51,..,17,7,25,0,25,..,37,16,50,0,50,..,0,0,0,0,0,..,58,21,79,0,79,..,40,9,50,0,50,..,57,0,55,5,61,..,98,8,100,7,103,..,61,5,74,0,72,..,3,0,5,0,5,..,4,0,4,0,4,..,19,0,19,0,19,..,55,0,52,0,56,..,26,3,30,0,30,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,3,0,3,..,127,4,129,0,132,..,96,11,104,0,108,..,8,0,6,0,6,..,0,0,0,0,0,..,3,3,5,0,5,..,11,0,11,0,4,..,47,5,49,0,52,..,6,0,6,0,6,..,12,4,11,0,19,..,17,0,15,0,15,..,20,0,24,0,24,..,3,0,3,0,3,..,12,3,16,0,16,..,17
10105,16501,..,..,..,..,16501,..,12,0,17,0,17,..,60,10,64,3,67,..,6,0,9,0,9,..,19,7,26,0,29,..,54,25,73,6,76,..,0,0,0,0,0,..,73,35,105,5,105,..,6,0,8,0,8,..,14,0,14,0,14,..,25,5,27,0,27,..,60,7,67,0,71,..,19,4,18,0,23,..,9,0,9,0,9,..,35,0,36,0,36,..,85,7,92,0,92,..,39,4,47,0,47,..,4,0,4,0,4,..,17,0,17,0,17,..,3,0,3,0,3,..,206,16,218,0,221,..,32,8,35,0,35,..,8,0,8,0,8,..,6,3,14,0,14,..,12,13,30,0,30,..,9,0,9,0,9,..,39,3,39,0,39,..,12,5,10,0,12,..,8,3,9,0,9,..,21,0,21,0,21,..,13,0,13,0,13,..,0,0,0,0,0,..,4,4,8,0,14,..,12
10106,16675,..,..,..,..,16675,..,18,0,18,0,26,..,165,19,190,3,189,..,12,0,10,0,10,..,14,4,15,0,15,..,35,28,61,0,61,..,9,3,5,0,5,..,56,32,84,0,84,..,17,0,18,0,18,..,20,0,17,0,17,..,28,0,34,0,34,..,14,3,24,0,24,..,9,0,9,0,9,..,0,0,0,0,0,..,15,0,15,0,15,..,11,0,11,0,10,..,26,8,36,0,36,..,9,0,7,0,7,..,8,3,15,0,15,..,4,0,4,0,4,..,84,6,93,0,96,..,32,6,37,0,37,..,7,0,7,0,7,..,0,0,0,0,0,..,0,0,3,0,3,..,3,0,3,0,3,..,12,3,12,0,12,..,4,0,7,0,6,..,18,6,14,0,14,..,7,0,3,0,3,..,3,0,3,0,3,..,4,0,5,0,12,..,16,0,19,0,19,..,31
10201,75363,..,..,..,..,75363,..,186,3,188,0,188,..,205,10,218,3,227,..,59,5,58,0,58,..,206,62,269,0,269,..,408,159,567,4,580,..,11,4,13,0,13,..,630,229,856,4,863,..,53,7,59,0,59,..,193,13,202,6,206,..,253,4,259,4,263,..,210,25,233,6,236,..,51,0,54,0,54,..,41,0,41,0,41,..,172,9,183,0,183,..,180,8,185,0,191,..,170,11,182,0,185,..,39,0,42,0,42,..,70,0,72,3,75,..,22,0,22,0,22,..,748,39,787,4,789,..,241,23,263,3,267,..,151,12,160,0,157,..,15,7,21,0,21,..,223,70,288,0,292,..,14,0,14,0,14,..,159,9,170,0,172,..,69,5,76,0,78,..,103,9,107,0,112,..,172,14,184,3,186,..,196,19,223,0,219,..,19,4,22,0,22,..,35,5,34,0,37,..,126
10202,72651,..,..,..,..,72651,..,74,0,75,0,78,..,154,11,165,0,168,..,62,3,62,0,63,..,112,43,159,0,159,..,137,75,215,0,215,..,9,3,13,0,13,..,260,119,380,0,381,..,40,9,45,0,45,..,70,3,73,0,76,..,109,4,118,0,116,..,134,14,151,0,153,..,25,0,25,0,25,..,34,0,34,0,34,..,88,3,91,5,93,..,98,5,104,0,106,..,128,9,140,0,140,..,22,0,22,0,22,..,56,0,54,0,57,..,17,0,17,0,17,..,466,18,490,4,492,..,217,24,242,0,242,..,41,8,47,0,47,..,8,0,14,0,14,..,68,47,118,0,118,..,10,0,18,0,18,..,205,15,218,8,225,..,14,0,21,0,21,..,49,4,50,0,50,..,90,10,95,0,99,..,71,5,77,0,80,..,44,3,51,0,48,..,54,7,65,0,65,..,96
10301,21098,..,..,..,..,21098,..,34,0,34,0,34,..,70,8,78,0,78,..,23,0,23,0,25,..,23,19,43,0,44,..,41,4,43,0,47,..,4,0,5,0,5,..,67,23,86,0,87,..,10,3,11,0,11,..,24,0,24,0,27,..,27,0,27,0,27,..,21,7,25,0,24,..,29,0,35,0,35,..,18,0,18,0,18,..,49,5,51,0,51,..,93,5,98,0,98,..,79,16,94,0,95,..,27,0,27,0,27,..,41,0,41,0,44,..,4,0,4,0,4,..,340,28,371,3,370,..,22,0,22,0,22,..,13,0,13,0,16,..,4,0,4,0,4,..,12,3,13,0,13,..,0,0,0,0,0,..,31,5,38,0,38,..,18,0,20,0,19,..,9,0,9,0,9,..,3,0,3,0,3,..,6,0,6,0,6,..,11,0,11,0,11,..,11,5,16,0,16,..,22
10302,24021,..,..,..,..,24021,..,33,4,36,0,36,..,19,0,23,0,23,..,55,0,53,0,55,..,17,19,36,3,38,..,34,17,52,0,56,..,0,0,0,0,0,..,59,36,91,6,98,..,4,0,4,0,4,..,7,0,7,0,7,..,18,0,18,0,21,..,18,0,22,0,22,..,8,0,9,0,11,..,23,0,19,0,19,..,23,0,23,0,23,..,36,0,36,0,36,..,22,0,22,0,30,..,7,0,8,0,8,..,15,0,20,0,20,..,0,0,0,0,0,..,137,8,142,3,141,..,32,7,40,0,35,..,10,0,10,0,10,..,12,0,14,0,14,..,5,0,7,0,7,..,0,0,0,0,0,..,29,6,37,0,37,..,4,0,8,0,8,..,3,0,3,0,3,..,5,0,5,0,5,..,5,0,5,0,5,..,7,0,7,0,9,..,0,0,0,0,0,..,38
10303,21141,..,..,..,..,21141,..,24,0,24,0,24,..,37,0,39,0,39,..,32,0,35,0,36,..,17,19,33,0,33,..,30,6,34,4,38,..,0,0,0,0,0,..,48,26,67,4,72,..,25,0,20,0,20,..,19,0,23,0,23,..,35,8,38,0,38,..,35,6,34,5,34,..,15,0,14,0,14,..,0,0,0,0,0,..,9,4,13,0,13,..,36,3,41,0,41,..,35,5,35,4,40,..,4,0,4,0,4,..,17,0,17,0,19,..,6,0,6,0,6,..,108,13,121,4,130,..,44,6,49,0,47,..,4,0,4,0,4,..,0,0,0,0,0,..,3,3,3,0,3,..,0,0,3,0,3,..,14,0,14,0,14,..,6,0,6,0,6,..,14,4,19,0,19,..,8,4,9,0,9,..,5,0,5,0,5,..,4,0,4,0,4,..,7,0,7,0,7,..,20
