SA3_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
10102,18,6,61,50,112,219,405,399,177,1438,0,5,16,25,18,20,39,45,35,209,147,165,569,479,427,481,385,217,87,2958,1429,3452,9502,9205,9409,8273,5442,2547,784,50046
10103,5,0,27,16,36,86,165,160,86,585,0,0,5,0,5,8,17,18,9,63,87,93,304,236,240,228,205,137,71,1611,517,1119,2704,2320,2878,3032,2362,1311,474,16727
10104,38,21,57,124,173,367,793,741,403,2722,3,7,13,16,16,31,46,34,22,183,296,226,512,535,715,974,1060,766,468,5561,1674,2629,6223,6906,9122,13318,14073,7110,2583,63641
10105,12,6,52,70,105,205,445,383,202,1483,4,3,13,16,20,27,16,30,18,141,151,165,471,407,395,421,403,301,223,2940,1042,1944,4598,4322,4787,5457,4719,2641,1034,30543
10106,7,10,45,56,96,186,338,291,188,1212,0,3,9,8,16,23,24,25,8,122,103,109,257,264,341,383,393,299,136,2278,976,1711,3722,4348,5244,5272,4655,2545,902,29388
10201,34,21,95,130,268,591,1019,1048,721,3938,7,20,43,54,63,86,70,73,75,494,387,418,978,949,1016,1078,1313,1377,1138,8650,4296,9064,18297,21726,23340,23690,21461,13592,5763,141236
10202,67,36,169,215,382,895,1560,1327,785,5432,8,11,34,51,58,83,135,112,54,548,493,485,1110,1100,1065,1040,1321,1497,1119,9239,4684,9390,19804,19614,20828,21163,19214,12078,4774,131551
10301,18,13,44,56,93,230,381,360,223,1410,0,8,21,17,21,16,35,18,11,148,175,334,696,623,519,412,399,328,166,3647,1381,3129,6219,5737,6112,6152,5333,2958,1156,38195
10302,21,15,50,96,153,381,774,564,366,2432,6,0,8,10,15,19,38,29,22,154,267,269,542,563,583,707,640,585,313,4473,1463,2671,5764,5695,6431,7561,6927,4309,1757,42575
10303,16,12,42,73,130,319,579,439,247,1854,0,0,12,6,4,23,25,37,5,113,189,193,511,505,501,526,579,459,166,3629,1283,2149,5343,5239,6090,6873,6038,3604,1178,37789
10304,36,21,79,99,157,290,545,429,301,1952,4,7,17,27,30,28,51,36,14,215,186,212,450,443,449,450,489,401,239,3319,1545,3205,7519,7454,7548,7314,6342,3609,1413,45934
10401,26,11,55,68,159,307,587,575,378,2167,3,4,10,17,18,17,27,25,19,142,199,310,814,718,645,652,640,511,293,4780,1255,2358,5161,5348,6459,8320,8281,4686,1754,43621
10402,39,45,163,261,210,452,700,659,467,3002,3,17,127,101,74,90,65,28,29,554,318,264,765,727,733,732,777,771,576,5670,2316,3992,9858,10614,11643,12914,12355,6797,2720,73214
10501,10,10,38,44,93,202,313,256,100,1059,0,4,8,5,5,16,26,31,7,112,214,201,461,441,453,510,450,324,116,3178,681,1114,2768,2273,2615,3117,2356,1364,450,16734
10502,23,19,51,58,79,265,417,261,166,1343,0,0,0,0,7,13,18,21,0,62,124,128,259,251,231,239,245,195,142,1811,636,1015,2450,2141,2321,2890,2508,1405,622,15984
10503,17,22,80,101,218,465,841,656,359,2762,4,4,22,24,30,37,46,38,13,202,428,468,1329,1118,974,947,876,714,394,7246,1994,3846,10263,8566,8506,9218,7763,4730,1797,56681
10601,52,50,140,133,228,597,1078,657,412,3349,7,8,29,32,33,55,41,36,12,258,354,495,1143,1002,872,761,737,590,285,6232,3159,5783,13188,12053,12361,12266,9999,4805,1710,75324
10602,35,34,100,96,196,376,639,506,320,2303,0,6,22,28,47,50,40,25,16,235,179,210,551,489,363,389,400,354,235,3170,2472,5285,12504,11699,10583,9511,7860,4159,1451,65525
10603,29,24,103,101,178,381,744,570,294,2422,5,11,21,20,28,31,39,28,22,194,189,193,394,391,487,571,742,799,430,4196,2010,3551,6854,7634,9368,11298,11681,7058,2101,61552
10604,15,15,43,79,81,204,330,272,155,1191,4,3,4,4,14,16,16,16,8,98,110,116,372,314,301,287,274,216,137,2134,842,1537,3961,3818,3899,3910,3104,1689,659,23416
10701,21,17,95,145,212,507,1049,1061,625,3733,5,6,30,35,60,70,184,201,165,752,204,190,518,448,416,407,438,513,328,3471,2184,4753,9946,9897,9837,9825,7989,5253,2249,61931
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
10703,30,28,75,101,165,473,1000,852,459,3176,8,12,17,32,43,66,79,105,68,429,228,236,524,514,473,514,650,708,528,4377,2795,5539,11574,11810,12423,13072,11392,6423,2467,77503
10704,23,33,95,154,184,437,874,1094,720,3621,8,16,58,91,85,91,119,154,123,732,376,536,854,689,661,606,706,819,737,5990,3886,11008,18456,16852,16993,16227,12889,8048,3503,107864
10801,5,10,39,43,89,204,429,356,247,1426,0,3,8,5,11,14,21,11,18,87,106,87,193,217,259,339,553,478,282,2514,749,1070,2381,2851,3761,5340,6357,3965,1599,28082
10802,32,19,58,64,152,382,748,577,344,2379,4,3,6,5,15,24,25,38,17,137,259,298,742,664,549,702,648,486,282,4627,1331,2146,4730,4847,5877,8243,8224,4398,1574,41380
10803,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,11,12,7,0,38,4,6,64,69,43,82,56,38,15,380
10804,23,11,56,92,152,340,830,797,574,2881,0,3,12,17,19,32,33,27,23,168,214,213,418,441,460,571,742,724,518,4299,2136,3861,7641,8649,10445,12078,13182,8686,3418,70080
10805,28,16,71,112,158,412,740,629,399,2563,4,0,5,4,14,23,19,35,15,119,221,184,406,426,458,647,764,667,402,4172,1445,2246,4946,5196,6650,9037,9693,5473,1921,46626
10901,21,17,105,161,142,295,500,551,337,2131,4,11,47,55,103,79,59,42,15,417,240,247,504,518,505,545,536,463,234,3793,1799,3882,8231,8099,8068,8468,7486,4270,1611,51900
10902,11,8,24,28,51,94,200,180,85,691,0,0,4,0,10,8,13,6,3,46,100,82,218,207,229,243,227,123,58,1485,336,656,1469,1371,1667,2008,1606,854,288,10252
10903,21,14,40,71,106,254,659,635,343,2122,0,0,10,7,15,24,16,33,16,121,166,153,405,359,414,566,663,575,328,3622,994,1671,3972,4106,5072,6542,7060,4148,1514,35076
11001,16,38,55,74,82,176,307,305,154,1201,6,24,49,37,29,22,37,21,4,230,400,417,452,314,355,370,334,344,191,3174,1442,2660,4518,3993,4297,4898,4136,2605,897,29456
11002,13,14,58,74,136,308,602,562,294,2062,3,4,11,16,18,25,32,27,13,146,197,175,434,445,538,561,600,451,202,3609,1048,1694,3694,3738,4717,5768,5726,3436,1176,30996
11003,10,7,31,37,94,171,288,220,88,946,0,0,3,7,18,15,26,14,7,94,210,269,516,514,547,602,420,248,91,3409,727,1444,3175,2835,3062,3474,2478,1386,459,19036
11004,44,28,137,132,230,512,849,783,436,3151,3,6,36,23,35,51,57,44,19,273,420,364,895,816,775,780,812,720,389,5971,2451,4392,10551,9754,9940,10441,9220,5709,2145,64607
11101,46,35,112,142,218,479,878,789,604,3303,12,6,28,32,59,56,55,41,36,315,227,261,589,579,542,610,709,769,464,4756,3207,6811,13956,15649,16278,16252,14588,9030,3612,99390
11102,32,23,82,128,172,431,687,587,423,2566,3,10,27,16,30,51,61,37,22,250,167,179,436,411,385,432,586,711,511,3814,2295,4724,10010,9771,10177,10796,10363,6410,2625,67167
11103,42,60,183,223,306,626,1035,1054,859,4389,0,16,76,98,108,137,108,106,95,745,544,857,1355,1029,930,933,1073,1112,1049,8885,4998,14848,28006,23098,21716,20360,16702,9870,4631,144234
11201,13,12,72,88,103,268,504,530,423,2013,5,4,27,22,20,39,32,8,22,176,299,345,926,963,897,903,899,604,449,6288,1813,3585,9555,10956,11796,12566,12085,6025,2593,70964
11202,26,20,74,129,191,374,665,693,467,2635,4,8,14,22,23,29,29,19,25,186,358,322,683,728,714,874,786,540,323,5326,2061,3583,7332,7874,9255,10906,9526,4719,1891,57150
11203,15,18,73,114,171,373,781,932,649,3119,7,3,7,13,26,39,44,48,30,224,323,301,707,836,859,924,930,953,854,6696,2266,4094,8862,11160,12110,14011,13608,8469,3843,78428
11301,19,18,83,113,200,381,613,579,365,2370,3,8,55,46,57,63,71,70,58,435,224,262,611,517,564,544,523,402,272,3930,1422,2717,6673,5883,6160,6276,4650,2828,1284,37907
11302,0,0,14,25,57,93,183,157,101,632,0,5,5,0,4,4,16,9,0,47,58,60,164,187,171,180,166,186,79,1253,369,659,1469,1692,1837,2222,1919,1148,399,11714
11303,49,53,152,220,249,471,864,820,538,3403,0,23,101,103,77,74,63,43,23,511,419,561,999,914,838,806,825,667,424,6450,3199,6625,12790,11472,11322,11928,10453,6111,2566,76463
11401,40,26,97,130,227,577,1295,985,643,4018,4,10,14,31,36,47,62,61,40,304,402,398,1038,945,928,966,1087,972,516,7253,2530,4742,11007,11108,12273,16029,17043,9817,3504,88050
11402,13,10,23,46,63,151,305,243,145,991,8,7,13,23,13,23,23,17,10,128,104,129,214,273,330,359,424,449,370,2662,1204,2144,4737,5334,6734,7239,7785,5173,1764,42119
11501,12,14,27,39,95,234,547,538,346,1842,10,7,53,65,83,119,140,104,106,693,190,189,408,576,450,390,511,617,665,4000,3780,9111,13791,23138,21801,18585,15396,8500,3581,117680
11502,8,0,11,9,26,63,135,184,104,531,0,3,9,8,17,13,17,41,27,132,56,47,87,116,135,140,130,134,96,956,899,1701,2239,2919,4290,3895,3063,1943,716,21664
11503,0,6,21,21,33,94,149,117,73,522,0,3,3,3,9,3,6,14,11,53,54,45,118,110,132,145,98,88,19,810,821,1516,2781,2828,3750,3649,2518,1193,307,19361
11504,7,5,16,34,47,85,255,181,69,702,0,5,12,17,20,35,37,24,27,175,76,86,237,294,191,148,158,122,86,1410,1591,3351,7062,10321,7893,4983,3260,1468,389,40311
11601,29,53,167,287,414,777,1287,1050,580,4637,6,46,165,180,280,300,321,246,144,1676,441,685,1669,1328,981,804,786,571,294,7559,3491,10015,22493,22470,16808,15012,11754,5775,2219,110038
11602,17,24,68,109,174,344,604,423,155,1926,4,15,60,81,109,175,145,98,61,746,298,514,1428,1442,754,471,370,214,80,5559,3453,8410,21369,29691,17152,10866,7128,2798,727,101592
11603,36,57,250,350,484,890,1182,770,267,4285,9,32,126,191,265,303,309,215,91,1545,574,640,1463,1347,1045,838,780,593,447,7725,3828,8180,16279,16101,13914,12160,8312,3947,1398,84108
11701,5,12,62,65,94,195,441,523,229,1622,0,13,79,50,59,85,126,167,85,668,122,364,949,536,309,329,300,246,160,3320,1132,5365,13739,9019,6707,5273,3848,2432,845,48354
11702,3,0,28,34,77,225,479,674,333,1856,0,3,37,28,61,144,206,282,157,918,72,215,612,414,350,324,263,240,119,2613,871,3590,12185,9444,7628,5479,3796,2294,960,46240
11703,10,47,218,192,214,401,608,514,251,2455,6,74,375,237,140,188,202,166,126,1502,378,1736,5034,2752,1688,1419,1153,816,411,15382,3415,22157,69805,40661,23749,18503,12559,5985,2056,198900
11801,4,8,50,51,42,78,163,279,253,929,0,7,34,24,26,31,32,55,54,259,265,373,1653,1079,766,607,599,763,827,6927,1932,6568,25755,19631,16558,12800,10589,6932,3163,103934
11802,8,13,61,56,110,246,589,839,553,2480,0,22,57,54,60,99,125,178,155,750,281,619,1673,1278,995,765,810,817,823,8066,2914,9487,24555,20342,17452,14064,10646,6892,3366,109709
11901,18,26,228,512,848,1498,1878,1711,955,7687,6,48,237,285,541,958,947,701,402,4127,739,849,1944,1806,1407,1286,1177,981,871,11052,5483,12503,25688,24663,22406,21074,15089,8539,4198,139641
11902,11,39,319,425,660,1144,1888,1948,877,7305,8,48,334,316,407,673,806,806,464,3856,440,760,2047,1587,1209,1075,829,761,618,9330,3322,9605,22783,20210,17872,15466,10792,6885,3139,110087
11903,7,20,92,138,277,607,1203,1181,655,4176,5,25,160,139,182,307,404,365,247,1845,254,507,1203,809,646,699,672,711,720,6220,2913,10052,20095,17478,16342,16352,12445,7303,3645,106634
11904,10,16,104,136,269,622,1485,1831,909,5385,9,39,174,173,183,301,481,526,340,2217,308,625,1881,1261,896,830,811,905,832,8358,2860,10393,27712,21914,17519,15638,12055,7815,3803,119706
