SA3_CODE_2021,CANA_HNA_MHC_dep_anx,CANA_HNA_Stroke,CANA_HNA_oth_LTHC,CANA_HNA_no_LTHC,CANA_HNA_LTHC_NS,CANA_HNA_Tot,CANA_dsnt_HNA_Arth,CANA_dsnt_HNA_Asth,CANA_dsnt_HNA_Can_rem,CANA_dsnt_HNA_Dem_Alzh,CANA_dsnt_HNA_Dis_ges_dia,CANA_dsnt_HNA_HD_HA_ang,CANA_dsnt_HNA_Kid_dis,CANA_dsnt_HNA_LC_COPD_emph,CANA_dsnt_HNA_MHC_dep_anx,CANA_dsnt_HNA_Stroke,CANA_dsnt_HNA_oth_LTHC,CANA_dsnt_HNA_no_LTHC,CANA_dsnt_HNA_LTHC_NS,CANA_dsnt_HNA_Tot,CANA_NFA_NS_Arth,CANA_NFA_NS_Asth,CANA_NFA_NS_Can_rem,CANA_NFA_NS_Dem_Alzh,CANA_NFA_NS_Dia_ges_dia,CANA_NFA_NS_HD_HA_ang,CANA_NFA_NS_Kid_dis,CANA_NFA_NS_LC_COPD_emph,CANA_NFA_NS_MHC_dep_anx,CANA_NFA_NS_Stroke,CANA_NFA_NS_oth_LTHC,CANA_NFA_NS_no_LTHC,CANA_NFA_NS_LTHC_NS,CANA_NFA_NS_Tot,CANA_Tot_Arth,CANA_Tot_Asth,CANA_Tot_Can_rem,CANA_Tot_Dem_Alzh,CANA_Tot_Dia_ges_dia,CANA_Tot_HD_HA_ang,CANA_Tot_Kid_dis,CANA_Tot_LC_COPD_emph,CANA_Tot_MHC_dep_anx,CANA_Tot_Stroke,CANA_Tot_oth_LTHC,CANA_Tot_no_LTHC,CANA_Tot_LTHC_NS,CANA_Tot_Tot,ADFS_CS_Arth,ADFS_CS_Asth,ADFS_CS_Can_rem,ADFS_CS_Dem_Alzh,ADFS_CS_Dia_ges_dia,ADFS_CS_HD_HA_ang,ADFS_CS_Kid_dis,ADFS_CS_LC_COPD_emph,ADFS_CS_MHC_dep_anx,ADFS_CS_Stroke,ADFS_CS_oth_LTHC,ADFS_CS_no_LTHC,ADFS_CS_LTHC_NS,ADFS_CS_Tot,ADFS_PS_NCS_Arth,ADFS_PS_NCS_Asth,ADFS_PS_NCS_Can_rem,ADFS_PS_NCS_Dem_Alzh,ADFS_PS_NCS_Dia_ges_dia,ADFS_PS_NCS_HD_HA_ang,ADFS_PS_NCS_Kid_dis,ADFS_PS_NCS_LC_COPD_emph,ADFS_PS_NCSMHC_dep_anx,ADFS_PS_NCS_Stroke,ADFS_PS_NCS_oth_LTHC,ADFS_PS_NCS_no_LTHC,ADFS_PS_NCS_LTHC_NS,ADFS_PS_NCS_Tot,ADFS_Tot_Ser_Arth,ADFS_Tot_Ser_Asth,ADFS_Tot_Ser_Can_rem,ADFS_Tot_Ser_Dem_Alzh,ADFS_Tot_Ser_Dia_ges_dia,ADFS_Tot_Ser_HD_HA_ang,ADFS_Tot_Ser_Kid_dis,ADFS_Tot_Ser_LC_COPD_emph,ADFS_Tot_SerMHC_dep_anx,ADFS_Tot_Ser_Stroke,ADFS_Tot_Ser_oth_LTHC,ADFS_Tot_Ser_no_LTHC,ADFS_Tot_Ser_LTHC_NS,ADFS_Tot_Ser_Tot,ADFS_HNS_Arth,ADFS_HNS_Asth,ADFS_HNS_Can_rem,ADFS_HNS_Dem_Alzh,ADFS_HNS_Dia_ges_dia,ADFS_HNS_HD_HA_ang,ADFS_HNS_Kid_dis,ADFS_HNS_LC_COPD_emph,ADFS_HNS_MHC_dep_anx,ADFS_HNS_Stroke,ADFS_HNS_oth_LTHC,ADFS_HNS_no_LTHC,ADFS_HNS_LTHC_NS,ADFS_HNS_Tot,ADFS_NS_Arth,ADFS_NS_Asth,ADFS_NS_Can_rem,ADFS_NS_Dem_Alzh,ADFS_NS_Dia_ges_dia,ADFS_NS_HD_HA_ang,ADFS_NS_Kid_dis,ADFS_NS_LC_COPD_ang,ADFS_NS_MHC_dep_anx,ADFS_NS_Stroke,ADFS_NS_oth_LTHC,ADFS_NS_no_LTHC,ADFS_NS_LTHC_NS,ADFS_NS_Tot,ADFS_Tot_Arth,ADFS_Tot_Asth,ADFS_Tot_Can_rem,ADFS_Tot_Dem_Alzh,ADFS_Tot_Dia_ges_dia,ADFS_Tot_HD_HA_ang,ADFS_Tot_Kid_dis,ADFS_Tot_LC_COPD_emph,ADFS_Tot_MHC_dep_anx,ADFS_Tot_Stroke,ADFS_Tot_oth_LTHC,ADFS_Tot_no_LTHC,ADFS_Tot_LTHC_NS,ADFS_Tot_Tot
10102,903,205,1117,249,45,2840,4907,5301,1493,50,2324,1602,463,758,5395,291,4469,37946,1758,58594,40,34,12,0,18,12,7,4,32,6,26,228,3023,3363,5863,5768,1783,310,2774,2109,684,1062,6325,497,5614,38429,4827,64793,182,98,45,0,36,16,5,12,166,4,189,1170,33,1744,483,185,154,19,243,207,52,81,411,41,351,1156,59,2526,673,283,201,18,275,227,58,94,580,45,542,2329,90,4268,5131,4608,1553,282,2440,1836,601,940,5414,442,4511,25769,1348,45098,58,22,19,7,23,27,6,12,32,7,29,181,2466,2784,5855,4917,1776,310,2743,2092,665,1044,6027,495,5081,28279,3902,52153
10103,305,73,415,85,14,1029,1826,1505,527,17,696,684,128,313,1508,113,1060,11564,639,17989,25,16,3,0,11,10,5,6,13,5,11,85,1552,1702,2248,1675,648,139,888,873,186,438,1832,192,1483,11733,2213,20717,0,0,0,0,0,0,0,0,7,0,5,23,4,40,145,43,49,7,80,92,21,36,86,15,75,223,15,590,146,49,51,7,77,92,23,36,95,15,75,250,18,627,2067,1404,585,119,786,762,156,393,1627,172,1248,8763,522,15196,34,8,9,9,21,17,0,6,7,5,22,81,1380,1538,2243,1457,646,139,880,870,181,436,1728,192,1347,9089,1918,17367
10104,1699,447,2100,370,97,5414,9133,5957,2827,134,3323,3629,865,1683,6279,584,4848,37644,2319,65687,102,79,24,20,51,50,12,21,57,16,63,386,4947,5628,11271,6784,3543,803,4218,4741,1240,2384,8037,1049,7015,38392,7368,76736,18,3,4,0,0,6,3,0,14,0,11,39,3,75,754,195,313,64,322,471,100,204,404,102,401,883,78,2683,773,200,310,66,325,480,101,199,417,104,411,922,79,2758,10298,5619,3172,682,3779,4171,1104,2119,7237,911,6108,28800,1883,57953,182,78,52,58,92,82,31,41,98,39,102,328,4143,4944,11252,5892,3542,803,4190,4727,1231,2369,7744,1049,6623,30053,6104,65655
10105,861,181,1091,191,40,2696,4001,3323,1086,60,1824,1494,422,753,3057,265,2326,19327,1199,32649,56,34,11,0,19,22,4,10,29,3,17,163,2769,3057,5077,3824,1383,411,2299,2019,645,1116,3942,449,3436,19681,4016,38403,7,3,0,0,0,5,0,0,13,0,7,46,0,70,258,81,93,15,138,171,53,79,148,19,171,377,33,1051,259,82,94,14,140,171,48,81,158,22,174,424,36,1119,4732,3038,1257,378,2117,1796,566,999,3560,412,2911,14201,933,27936,82,34,18,16,32,35,12,18,32,8,28,125,2282,2580,5077,3154,1376,411,2284,2004,630,1109,3746,441,3121,14751,3254,31629
10106,718,197,901,219,43,2376,3723,3427,1067,56,1525,1369,312,661,2962,245,2305,20230,1294,33331,61,35,18,0,24,16,3,14,32,12,26,151,2165,2447,4654,3852,1356,357,1965,1801,434,943,3715,451,3238,20601,3507,38159,18,6,8,0,3,7,0,0,18,0,12,130,12,188,276,120,113,27,139,165,37,70,192,34,180,442,36,1180,298,131,119,27,147,167,34,70,210,36,192,566,43,1373,4256,3114,1195,296,1755,1572,386,833,3233,396,2647,14214,982,27246,97,37,38,28,50,52,8,36,51,20,75,145,1773,2139,4649,3283,1348,357,1950,1793,436,934,3495,455,2906,14926,2798,30759
10201,3243,918,4211,1018,223,11299,15226,14504,5418,328,7113,6628,1365,2919,14344,1276,11106,98230,5461,158183,352,147,116,294,149,179,49,62,341,54,254,714,7278,8949,19167,16207,6844,2118,8883,8787,2105,4237,17921,2249,15571,99960,12958,178427,16,13,7,0,5,4,0,3,14,0,12,157,6,206,948,301,412,128,542,695,159,314,556,191,528,1319,97,3877,967,319,423,134,541,695,162,320,568,195,537,1475,107,4081,17670,13509,6239,1481,8056,7738,1841,3769,16133,1954,13331,73328,4447,135355,501,155,150,503,223,309,70,129,393,95,330,443,6017,7802,19139,13984,6813,2114,8825,8743,2068,4216,17097,2243,14204,75252,10573,147240
10202,4278,962,5013,1099,386,13061,15896,14744,4659,228,7664,6082,1394,3257,15489,1233,10429,86033,5817,145249,286,149,101,176,149,187,52,113,296,66,149,704,8299,9859,20582,17077,6103,1584,10019,8624,2307,5001,20062,2254,15591,87842,14496,168171,22,7,0,0,0,4,0,3,10,0,14,124,3,179,1096,341,376,102,601,714,154,333,621,169,489,1180,107,3735,1116,352,378,102,601,719,153,342,635,174,497,1306,111,3917,18981,13769,5563,1189,9145,7557,2025,4464,17819,1968,13112,62868,4667,124660,445,209,126,280,223,297,84,146,410,103,300,460,6769,8432,20540,14332,6064,1578,9967,8568,2263,4952,18858,2240,13907,64633,11547,137009
10301,1043,242,1341,271,59,3113,4062,4796,1289,56,1988,1434,304,675,4120,280,2914,25529,1600,42116,58,33,23,0,27,32,7,11,33,10,24,194,3557,3914,5119,5345,1617,443,2514,1984,455,1005,5195,531,4277,25999,5217,49146,3,8,3,0,0,0,0,0,8,0,10,53,0,72,238,89,126,24,144,157,32,80,171,36,158,408,25,1096,243,100,128,25,149,156,32,84,180,36,166,463,25,1170,4811,4268,1468,408,2294,1785,403,899,4704,485,3614,18640,1280,35477,55,37,14,8,50,30,7,16,38,14,18,133,3072,3369,5106,4409,1602,443,2494,1966,441,996,4920,531,3795,19240,4376,40011
10302,1073,302,1201,310,87,3819,5272,4832,1540,84,2660,2027,427,1073,4098,329,2737,27927,1860,46162,86,58,23,6,35,21,14,26,35,5,30,274,4224,4701,6831,5524,1952,580,3399,2801,655,1555,5203,641,3969,28515,6168,54684,5,4,0,0,5,0,0,0,7,0,0,17,0,32,316,107,117,25,182,201,40,108,173,47,148,386,38,1176,323,115,117,25,187,198,44,108,183,47,150,402,38,1214,6336,4524,1768,502,3124,2509,588,1393,4682,570,3329,20119,1489,39131,159,57,46,53,57,68,13,35,72,20,54,249,3348,3902,6814,4698,1936,578,3369,2783,650,1532,4933,636,3537,20763,4879,44247
10303,843,252,1123,295,76,3230,4529,3985,1260,62,2157,1853,333,940,3802,292,2558,24704,1602,40760,69,48,8,5,33,30,11,27,37,11,34,238,3461,3877,5740,4547,1575,392,2743,2467,531,1395,4683,555,3710,25240,5140,47870,3,0,0,0,0,0,0,0,0,0,0,27,4,34,301,110,109,25,170,201,38,97,165,36,116,440,25,1164,307,110,109,25,170,206,38,97,170,36,116,467,30,1198,5324,3672,1425,348,2511,2196,468,1258,4228,494,3176,18139,1315,34757,102,47,29,14,55,48,17,26,44,22,41,151,2796,3179,5727,3830,1564,392,2726,2445,518,1385,4437,553,3334,18763,4133,39139
