SA4_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
101,45,1733,797,320,2013,0.8,1544,2.4
102,43,2000,727,400,1954,0.8,1507,2.5
103,41,1517,738,290,1898,0.7,1434,2.4
104,46,1595,637,350,1541,0.8,1254,2.4
105,39,1300,743,250,1787,0.8,1377,2.4
106,40,1733,733,350,1925,0.8,1557,2.5
107,40,2167,753,400,2109,0.8,1684,2.5
108,50,1521,591,330,1421,0.7,1132,2.3
109,44,1300,724,250,1780,0.7,1341,2.3
110,41,1361,702,270,1719,0.7,1328,2.4
111,40,1950,793,390,2129,0.8,1676,2.5
112,46,1733,682,380,1700,0.8,1329,2.4
113,39,1387,776,270,1898,0.8,1480,2.5
114,48,1820,683,360,1722,0.7,1357,2.4
115,39,2905,988,580,2893,0.8,2703,3.1
116,34,2383,833,400,2252,0.9,2109,3.1
117,34,2700,1174,550,2887,1.1,2207,2.1
118,37,3298,1296,600,3404,1,2513,2.3
119,37,2300,706,440,1972,1,1734,2.8
120,37,2780,1032,500,2757,1,2250,2.5
121,40,3000,1218,560,3309,0.9,2623,2.5
122,41,3124,1109,625,3131,0.9,2592,2.7
123,35,2167,804,400,2136,0.8,1916,2.9
124,37,2167,853,400,2194,0.8,1854,2.7
125,34,2200,741,430,2027,1.1,1828,2.8
126,38,2670,982,480,2641,1,2206,2.6
127,35,2200,620,405,1850,1,1713,3.2
128,41,2618,1017,500,2757,0.9,2286,2.7
197,56,0,1649,0,0,0,0,0
199,0,0,0,0,0,0,0,0
201,42,1430,705,290,1800,0.7,1376,2.4
202,43,1452,729,300,1864,0.7,1432,2.4
203,40,1733,787,350,2100,0.8,1658,2.5
204,45,1430,734,275,1798,0.7,1373,2.3
205,46,1343,653,270,1636,0.7,1260,2.3
206,34,2167,1137,401,2833,1,2006,2
207,40,2500,873,441,2552,0.8,2059,2.6
208,41,2400,1022,438,2868,0.9,2174,2.5
209,37,2000,807,380,2198,0.8,1887,2.7
210,35,1924,732,380,2031,0.9,1791,2.9
211,40,2000,816,396,2257,0.8,1907,2.6
212,35,1963,745,380,2004,0.9,1811,2.9
213,34,1900,786,361,2077,0.9,1867,2.9
214,44,1900,780,361,2076,0.7,1604,2.4
215,44,1098,688,231,1658,0.7,1274,2.3
216,43,1300,679,250,1663,0.8,1314,2.4
217,45,1300,715,250,1768,0.7,1335,2.3
297,50,0,2200,0,0,0,0,0
299,0,0,0,0,0,0,0,0
301,42,2000,837,420,2245,0.8,1890,2.6
302,37,1970,932,395,2385,0.8,1951,2.5
303,35,2000,875,405,2309,0.8,2022,2.7
304,38,2167,969,420,2790,0.8,2316,2.7
305,34,2200,1132,425,2968,0.9,2155,2.2
306,41,1517,748,310,1806,0.8,1445,2.4
307,42,1300,674,250,1582,0.8,1280,2.4
308,38,1517,786,280,2035,0.8,1626,2.5
309,39,1950,785,450,2009,0.8,1692,2.5
310,35,1600,749,335,1869,0.8,1615,2.7
311,35,1733,730,350,1809,0.8,1593,2.8
312,38,1712,878,309,2201,0.8,1843,2.5
313,42,1733,675,345,1686,0.8,1383,2.5
314,36,1900,888,385,2238,0.8,2017,2.8
315,34,1300,789,160,1868,0.9,1576,2.6
316,44,1907,750,440,1903,0.8,1574,2.5
317,37,1517,758,310,1892,0.7,1502,2.5
318,37,1517,826,300,2016,0.8,1621,2.5
319,49,1300,557,280,1350,0.8,1096,2.3
397,39,0,1196,0,2750,1,1749,1.5
399,0,0,0,0,0,0,0,0
401,41,1863,873,355,2344,0.8,1815,2.4
402,37,1408,693,300,1737,0.8,1428,2.6
403,41,1590,768,320,2005,0.8,1540,2.4
404,40,1712,765,310,2020,0.8,1516,2.3
405,48,1180,627,225,1526,0.7,1183,2.3
406,41,1157,704,190,1688,0.8,1283,2.3
407,48,1135,638,230,1480,0.7,1162,2.3
497,48,0,1812,0,0,0,0,0
499,0,0,0,0,0,0,0,0
501,43,1640,739,310,1891,0.7,1478,2.4
502,45,1733,630,300,1664,0.7,1286,2.4
503,38,2500,1144,400,3239,0.9,2243,2.3
504,37,1863,846,340,2164,0.8,1817,2.6
505,38,1950,871,360,2302,0.7,1921,2.6
506,36,1800,821,350,2139,0.8,1796,2.6
507,38,1900,871,350,2298,0.7,1897,2.6
509,46,1403,718,250,1757,0.7,1339,2.3
510,33,1950,1281,200,2795,0.9,2396,2.8
511,39,1517,877,255,2152,0.8,1708,2.4
597,40,1733,2123,0,1375,0.7,2250,1.7
599,0,0,0,0,0,0,0,0
601,39,1517,776,350,1920,0.8,1542,2.4
602,43,1300,664,270,1609,0.8,1260,2.3
603,48,1300,610,265,1475,0.8,1186,2.3
604,45,1200,635,240,1538,0.8,1195,2.3
697,43,0,2249,0,0,0,0,0
699,0,0,0,0,0,0,0,0
701,34,2100,1120,385,2485,0.9,2209,2.6
702,31,1733,539,150,1407,1.2,1706,3.1
797,40,0,1478,0,0,0.7,208150,2.3
799,0,0,0,0,0,0,0,0
801,35,2080,1204,450,2872,0.8,2373,2.5
897,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0
901,43,1300,831,200,1890,0.9,1497,2.4
997,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
