SA4_CODE_2021,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
101,3205,1682,1651,3334,1768,1771,3539,1789,1832,3612,1782,1899,3681,8589,8784,17373,1841,1863,3701,1841,1806,3650,1789,1856,3652,1753,1782,3531,1717,1746,3464,8941,9052,17998,1703,1661,3366,1716,1689,3402,1587,1637,3225,1601,1694,3290,1569,1580,3146,8175,8254,16434,1526,1515,3043,1588,1443,3033,1509,1454,2960,1438,1381,2822,1513,1462,2976,7575,7258,14831,1123,1056,2183,1074,1097,2176,1023,1026,2050,871,891,1765,788,886,1672,4887,4960,9843,3025,3294,6317,1563,1956,3518,650,1112,1759,116,345,459,8,39,38,119088,119720,238810
102,4226,2086,2220,4303,2239,2344,4582,2137,2465,4602,2281,2487,4766,10807,11674,22485,2197,2480,4676,2110,2423,4531,2078,2311,4388,2082,2373,4457,2020,2327,4353,10482,11913,22398,2017,2260,4274,1880,2257,4138,1914,2178,4090,1951,2250,4203,1859,2190,4052,9614,11136,20754,1851,2040,3891,1777,2109,3885,1832,2070,3900,1855,2177,4030,1962,2266,4231,9275,10662,19938,1633,1818,3453,1535,1715,3251,1469,1651,3123,1260,1502,2753,1207,1446,2655,7100,8139,15241,4747,5712,10463,2481,3753,6229,1178,2143,3326,247,626,873,21,99,120,167980,178618,346596
103,2603,1257,1358,2610,1437,1407,2848,1452,1487,2939,1453,1476,2930,6930,7003,13933,1490,1447,2940,1429,1400,2826,1406,1381,2791,1371,1371,2740,1289,1404,2691,6984,7004,13986,1274,1287,2564,1309,1255,2557,1257,1228,2488,1243,1251,2492,1297,1212,2511,6380,6231,12605,1304,1227,2529,1179,1198,2376,1204,1154,2357,1169,1187,2360,1162,1262,2427,6013,6028,12044,991,965,1955,1018,918,1938,861,899,1759,737,827,1561,699,785,1474,4298,4390,8689,2676,3122,5794,1426,2045,3468,557,1041,1595,103,296,395,8,38,40,106203,106759,212962
104,1863,834,998,1835,1032,1044,2076,1021,1118,2135,1057,1132,2186,4815,5289,10105,1071,1208,2277,1068,1108,2179,1069,1175,2240,1089,1196,2283,1076,1089,2171,5376,5775,11144,1114,1149,2264,1076,1099,2173,1037,1117,2162,1081,1096,2177,1075,1027,2100,5389,5495,10881,1011,1060,2073,994,1005,1994,954,977,1927,911,917,1827,993,950,1944,4857,4904,9764,804,843,1644,705,789,1498,667,667,1335,587,641,1223,576,604,1182,3331,3546,6880,2128,2491,4615,1150,1599,2750,485,818,1303,117,265,376,8,37,45,71497,74634,146127
105,1373,684,729,1414,734,728,1455,778,836,1618,845,780,1621,3703,3776,7479,823,799,1615,772,817,1591,761,800,1565,725,765,1495,769,713,1478,3861,3885,7745,754,713,1469,693,687,1386,608,607,1213,720,628,1350,620,648,1272,3397,3285,6686,655,615,1268,600,553,1154,536,548,1090,597,570,1170,627,630,1258,3026,2916,5942,468,516,983,465,443,910,414,449,867,396,428,825,379,428,804,2126,2263,4389,1398,1708,3109,730,1055,1780,319,545,863,54,149,197,0,19,21,57315,58251,115566
106,3414,1755,1742,3493,1787,1935,3726,1887,1933,3823,1898,2013,3913,9012,9355,18370,1913,1973,3880,1827,1915,3738,1832,1966,3793,1833,1793,3630,1723,1869,3593,9119,9517,18634,1804,1777,3590,1648,1836,3482,1608,1738,3349,1676,1739,3414,1627,1654,3276,8363,8746,17103,1582,1597,3182,1520,1567,3090,1501,1558,3054,1542,1507,3051,1577,1598,3178,7717,7834,15545,1314,1326,2642,1169,1269,2440,1106,1136,2239,968,958,1927,895,900,1789,5447,5585,11036,3152,3539,6689,1534,2184,3717,604,1123,1730,108,319,428,12,48,59,145140,146804,291946
107,3739,1820,1919,3742,1973,2049,4019,1988,2106,4090,2015,2133,4152,9650,10089,19743,2019,2113,4136,1863,2106,3974,1871,1960,3831,1800,1988,3786,1788,1900,3684,9339,10071,19407,1654,1905,3561,1625,1854,3479,1656,1778,3429,1553,1748,3294,1564,1691,3255,8046,8975,17017,1500,1632,3129,1472,1644,3112,1456,1516,2971,1482,1481,2967,1514,1594,3106,7424,7866,15292,1194,1302,2495,1260,1338,2593,1100,1221,2320,974,1091,2062,892,1090,1977,5416,6035,11454,3716,4578,8290,2088,3011,5103,896,1546,2441,187,445,637,13,45,49,154066,159771,313842
108,2775,1426,1566,2998,1519,1677,3200,1585,1816,3402,1730,1973,3702,7602,8479,16082,1678,1948,3622,1667,1942,3602,1775,1954,3722,1791,2010,3795,1887,2075,3965,8799,9920,18715,1801,1921,3725,1919,1897,3814,1827,1938,3759,1873,1911,3784,1874,1893,3771,9288,9557,18843,1952,1938,3893,1799,1828,3631,1871,1831,3700,1799,1848,3642,1925,1895,3822,9346,9345,18690,1547,1553,3104,1447,1503,2950,1377,1462,2840,1156,1281,2439,1224,1210,2436,6755,7009,13767,4156,4641,8803,2215,2952,5163,959,1633,2594,207,494,706,18,58,73,111336,117699,229035
109,1487,747,770,1517,798,840,1644,849,883,1728,870,879,1749,3944,4178,8126,886,900,1788,863,951,1813,888,929,1812,880,892,1773,820,889,1709,4334,4557,8897,874,853,1736,819,865,1678,853,843,1698,839,853,1693,776,802,1580,4165,4223,8387,760,757,1517,793,810,1605,833,733,1568,773,684,1463,816,810,1624,3980,3794,7777,625,641,1265,561,569,1129,541,586,1127,491,527,1017,466,474,943,2685,2795,5481,1711,2093,3800,891,1174,2067,400,636,1035,82,196,280,3,24,30,60918,62639,123552
110,2234,1081,1181,2260,1194,1262,2460,1262,1299,2561,1313,1262,2574,5913,6165,12083,1299,1369,2667,1223,1266,2492,1240,1255,2501,1162,1278,2442,1204,1204,2405,6124,6379,12506,1129,1117,2244,1168,1152,2324,1129,1145,2274,1155,1088,2240,1034,1081,2115,5608,5589,11192,1100,1102,2206,1046,1040,2082,1020,1043,2067,981,918,1896,1081,1046,2126,5224,5150,10379,847,868,1716,805,842,1647,739,888,1629,637,689,1330,674,724,1396,3698,4016,7718,2466,2968,5432,1240,1707,2948,441,919,1358,79,236,316,11,32,46,91262,94298,185560
