SA4_CODE_2021,F_Vietnam_0_4,F_Vietnam_5_14,F_Vietnam_15_24,F_Vietnam_25_44,F_Vietnam_45_54,F_Vietnam_55_64,F_Vietnam_65_74,F_Vietnam_75_84,F_Vietnam_85ov,F_Vietnam_Tot,F_Wales_0_4,F_Wales_5_14,F_Wales_15_24,F_Wales_25_44,F_Wales_45_54,F_Wales_55_64,F_Wales_65_74,F_Wales_75_84,F_Wales_85ov,F_Wales_Tot,F_Zimbabwe_0_4,F_Zimbabwe_5_14,F_Zimbabwe_15_24,F_Zimbabwe_25_44,F_Zimbabwe_45_54,F_Zimbabwe_55_64,F_Zimbabwe_65_74,F_Zimbabwe_75_84,F_Zimbabwe_85ov,F_Zimbabwe_Tot,F_Elsewhere_0_4,F_Elsewhere_5_14,F_Elsewhere_15_24,F_Elsewhere_25_44,F_Elsewhere_45_54,F_Elsewhere_55_64,F_Elsewhere_65_74,F_Elsewhere_75_84,F_Elsewhere_85ov,F_Elsewhere_Tot,F_COB_NS_0_4,F_COB_NS_5_14,F_COB_NS_15_24,F_COB_NS_25_44,F_COB_NS_45_54,F_COB_NS_55_64,F_COB_NS_65_74,F_COB_NS_75_84,F_COB_NS_85ov,F_COB_NS_Tot,F_Tot_0_4,F_Tot_5_14,F_Tot_15_24,F_Tot_25_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Afghanistan_0_4,P_Afghanistan_5_14,P_Afghanistan_15_24,P_Afghanistan_25_44,P_Afghanistan_45_54,P_Afghanistan_55_64,P_Afghanistan_65_74,P_Afghanistan_75_84,P_Afghanistan_85ov,P_Afghanistan_Tot,P_Australia_0_4,P_Australia_5_14,P_Australia_15_24,P_Australia_25_44,P_Australia_45_54,P_Australia_55_64,P_Australia_65_74,P_Australia_75_84,P_Australia_85ov,P_Australia_Tot,P_Bangladesh_0_4,P_Bangladesh_5_14,P_Bangladesh_15_24,P_Bangladesh_25_44,P_Bangladesh_45_54,P_Bangladesh_55_64,P_Bangladesh_65_74,P_Bangladesh_75_84,P_Bangladesh_85ov,P_Bangladesh_Tot,P_Bosnia_Herzegov_0_4,P_Bosnia_Herzegov_5_14,P_Bosnia_Herzegov_15_24,P_Bosnia_Herzegov_25_44,P_Bosnia_Herzegov_45_54,P_Bosnia_Herzegov_55_64,P_Bosnia_Herzegov_65_74,P_Bosnia_Herzegov_75_84,P_Bosnia_Herzegov_85ov,P_Bosnia_Herzegov_Tot,P_Brazil_0_4,P_Brazil_5_14,P_Brazil_15_24,P_Brazil_25_44,P_Brazil_45_54,P_Brazil_55_64,P_Brazil_65_74,P_Brazil_75_84,P_Brazil_85ov,P_Brazil_Tot,P_Cambodia_0_4,P_Cambodia_5_14,P_Cambodia_15_24,P_Cambodia_25_44,P_Cambodia_45_54,P_Cambodia_55_64,P_Cambodia_65_74,P_Cambodia_75_84,P_Cambodia_85ov,P_Cambodia_Tot,P_Canada_0_4,P_Canada_5_14,P_Canada_15_24,P_Canada_25_44,P_Canada_45_54,P_Canada_55_64,P_Canada_65_74,P_Canada_75_84,P_Canada_85ov,P_Canada_Tot,P_Chile_0_4,P_Chile_5_14,P_Chile_15_24,P_Chile_25_44,P_Chile_45_54,P_Chile_55_64,P_Chile_65_74,P_Chile_75_84,P_Chile_85ov,P_Chile_Tot,P_China_0_4,P_China_5_14,P_China_15_24,P_China_25_44,P_China_45_54,P_China_55_64,P_China_65_74,P_China_75_84,P_China_85ov,P_China_Tot,P_Croatia_0_4,P_Croatia_5_14,P_Croatia_15_24,P_Croatia_25_44,P_Croatia_45_54,P_Croatia_55_64,P_Croatia_65_74,P_Croatia_75_84,P_Croatia_85ov,P_Croatia_Tot,P_Egypt_0_4,P_Egypt_5_14,P_Egypt_15_24,P_Egypt_25_44,P_Egypt_45_54,P_Egypt_55_64,P_Egypt_65_74,P_Egypt_75_84,P_Egypt_85ov,P_Egypt_Tot,P_England_0_4,P_England_5_14,P_England_15_24,P_England_25_44,P_England_45_54,P_England_55_64,P_England_65_74,P_England_75_84,P_England_85ov,P_England_Tot,P_Fiji_0_4,P_Fiji_5_14,P_Fiji_15_24,P_Fiji_25_44,P_Fiji_45_54,P_Fiji_55_64,P_Fiji_65_74,P_Fiji_75_84,P_Fiji_85ov,P_Fiji_Tot,P_France_0_4,P_France_5_14,P_France_15_24,P_France_25_44,P_France_45_54,P_France_55_64,P_France_65_74,P_France_75_84,P_France_85ov,P_France_Tot
101,0,4,6,49,39,16,12,4,0,130,0,0,3,15,14,29,22,19,9,103,0,4,4,33,15,19,15,0,0,91,9,42,61,478,242,313,327,227,87,1780,327,790,647,1796,962,1211,1144,671,378,7919,6241,13648,11289,27461,16034,17838,15513,8257,3448,119720,0,0,3,22,4,4,0,0,0,37,11922,25832,20906,41936,25135,27143,22700,11041,3914,190530,0,18,11,187,14,6,5,0,0,243,0,0,0,21,8,12,9,12,3,64,0,10,4,79,10,4,3,3,0,113,0,0,4,27,12,3,3,6,0,56,3,23,21,132,81,85,73,28,9,444,0,0,0,38,31,23,35,20,3,158,4,21,34,301,109,90,53,27,3,648,0,0,6,20,22,77,117,124,35,406,0,11,0,41,8,13,22,17,0,122,15,127,178,704,936,1856,2128,1328,405,7685,0,8,23,129,61,41,39,7,0,317,0,8,26,65,35,48,41,19,5,243
102,0,17,20,125,60,24,23,4,0,271,0,9,7,48,42,41,40,52,14,250,0,4,19,56,28,36,13,7,0,164,9,101,114,789,498,495,518,370,149,3046,365,915,810,1919,944,983,1141,1097,765,8934,9413,20739,18857,40945,22793,23597,21797,13850,6619,178618,0,0,0,12,0,0,0,0,0,20,18495,39140,34502,62015,33438,33172,28878,17073,7007,273712,0,14,5,97,3,5,5,0,0,131,0,0,6,18,12,19,13,5,0,73,0,13,15,283,53,16,16,9,0,406,0,6,8,41,17,6,5,0,0,94,4,40,50,225,130,113,77,37,12,681,0,6,10,63,91,63,87,67,8,390,6,57,73,560,344,384,343,100,25,1893,0,3,0,17,28,74,68,87,26,307,3,26,6,90,20,58,88,93,43,424,39,458,643,2346,2222,3284,3220,2590,982,15787,0,13,19,150,84,91,59,24,3,443,4,16,11,122,59,53,53,24,10,346
103,0,3,13,60,21,9,5,4,0,110,0,0,0,4,8,13,19,8,0,56,0,7,6,39,18,20,8,0,0,102,14,42,49,259,121,130,144,80,41,881,341,955,724,1720,950,1005,942,681,391,7711,6036,14028,11361,24768,13355,14006,12259,7516,3417,106759,0,5,3,20,0,5,0,0,0,26,11749,26176,21285,40155,21808,22919,19686,11217,4269,179261,0,12,3,88,7,3,4,0,0,126,0,0,0,8,3,8,3,5,0,33,0,0,3,19,4,0,3,3,0,39,0,5,0,34,5,8,0,0,0,58,5,3,15,81,53,34,17,9,4,224,0,0,0,16,8,8,13,8,0,60,5,17,24,187,100,67,81,37,4,512,0,0,0,4,4,41,30,29,8,122,0,3,3,19,0,3,9,5,0,44,5,58,95,384,453,896,923,724,239,3775,0,7,15,68,41,43,21,6,0,204,0,3,6,53,13,19,20,10,0,117
104,0,0,5,47,8,4,3,0,0,69,0,0,0,5,8,18,20,11,8,65,0,0,3,7,13,13,7,0,0,39,15,70,100,362,172,161,140,95,43,1165,183,500,428,1091,584,663,638,521,298,4902,3577,8589,6921,15858,9471,11056,10399,6036,2718,74634,0,6,23,22,14,6,0,0,0,65,6685,15762,12409,23956,14372,16781,16076,8589,3308,117944,0,0,0,10,3,0,0,0,0,10,0,0,0,5,0,4,0,0,0,10,0,3,0,49,5,6,0,0,0,65,0,0,0,13,0,0,0,0,0,20,0,15,12,94,56,54,57,28,4,316,0,0,0,25,13,8,15,0,0,53,0,11,18,124,49,53,22,7,6,286,0,0,0,5,0,12,9,10,6,41,0,5,0,19,0,0,16,14,4,55,8,98,105,447,546,991,1147,840,297,4464,0,3,0,32,23,28,25,6,3,127,0,0,6,46,12,23,27,13,5,142
105,0,0,5,28,10,3,0,0,0,47,0,0,0,0,0,0,6,0,0,12,0,5,15,31,17,0,0,0,0,75,3,19,16,119,32,37,42,33,17,324,364,848,670,1651,768,783,699,574,308,6662,3708,7460,6079,14548,6852,7663,6204,3973,1761,58251,0,0,0,5,0,0,0,0,0,5,6755,13094,10644,21526,10992,12556,10171,5818,2181,93743,0,11,0,129,9,0,3,0,0,160,0,0,0,0,3,0,3,3,0,16,0,0,0,13,0,0,0,0,0,15,0,3,0,13,0,0,0,0,0,14,0,0,0,32,15,12,5,3,4,70,0,0,0,21,3,0,0,0,0,31,0,9,15,121,44,42,16,3,4,252,0,0,0,0,0,4,7,12,4,30,4,4,0,16,0,3,9,0,0,33,5,27,22,161,119,263,257,201,57,1113,0,12,7,54,26,14,11,0,0,126,0,0,3,23,4,8,8,0,7,50
106,0,8,5,104,28,12,4,0,0,170,0,8,6,28,14,27,31,21,6,141,0,10,10,50,41,11,11,0,0,134,5,46,54,349,175,212,219,132,34,1237,313,794,704,1622,792,828,857,694,424,7033,8573,19075,16239,36225,18448,18866,16575,9129,3668,146804,0,0,0,16,0,0,0,0,0,17,16815,36608,30770,61028,30488,30567,25891,13349,4495,250011,0,5,7,68,18,5,0,0,0,103,0,0,0,9,0,12,10,4,0,30,0,3,6,48,14,0,0,0,0,74,0,0,3,26,11,0,0,0,0,44,0,16,14,113,57,48,52,14,5,321,0,0,0,26,20,22,32,19,0,110,0,31,25,266,130,95,46,26,16,638,0,0,0,11,12,32,37,42,10,149,0,0,10,26,7,11,35,11,0,105,24,156,219,780,914,1556,1761,1252,322,6986,0,8,12,110,58,31,27,17,4,266,0,0,7,65,23,28,25,15,4,164
107,6,27,91,204,111,94,76,22,13,639,0,4,10,31,46,87,69,46,26,319,0,3,11,34,21,13,10,0,0,96,23,201,285,1056,619,764,746,577,331,4593,265,737,758,1634,682,690,744,674,420,6613,8611,18560,19911,39873,20156,20163,16842,10615,5039,159771,0,3,6,20,4,5,4,3,0,57,16975,34772,35371,61350,29672,26897,19794,10782,4307,239913,0,6,36,155,15,12,3,0,0,231,0,0,11,126,56,105,66,47,15,420,0,9,15,162,46,17,10,3,0,271,0,3,6,30,20,14,6,0,0,84,8,46,43,289,125,83,42,12,5,664,0,6,15,98,166,133,170,130,20,741,4,63,233,1023,260,241,155,63,28,2082,0,4,0,119,107,177,206,242,108,969,12,39,15,76,29,30,69,35,19,315,25,308,397,1380,1676,3094,2645,2120,734,12378,0,13,11,127,51,52,39,23,4,328,0,8,12,82,49,57,44,23,7,282
108,0,6,0,60,20,15,6,0,0,115,0,6,3,9,15,16,26,20,5,103,0,0,3,16,13,14,18,3,0,79,9,35,45,220,155,203,232,187,50,1131,290,837,624,1488,888,1172,1283,974,446,7993,5002,12608,10470,21532,14011,18396,18899,11656,5138,117699,0,0,3,4,0,0,0,0,0,3,9491,23338,19498,34212,22049,28140,29281,16630,6461,189107,0,0,3,25,6,0,0,0,0,44,0,0,0,3,0,3,4,3,0,15,0,4,5,66,6,10,3,9,0,103,0,4,0,17,10,6,3,0,0,37,3,24,10,126,56,71,60,22,9,377,0,0,0,16,24,13,26,7,4,88,4,15,16,143,90,72,51,15,11,416,0,0,0,9,6,22,31,33,11,109,0,10,3,25,14,20,23,26,7,128,7,116,120,513,770,1558,2214,1917,662,7874,5,8,7,41,32,42,24,18,4,177,3,7,10,51,33,40,40,26,4,213
109,0,5,6,38,10,3,7,0,0,72,0,0,5,5,4,7,12,8,3,43,0,0,3,8,6,4,4,0,0,28,7,47,54,276,125,102,89,95,32,839,222,491,460,1051,553,701,629,506,210,4828,3486,7335,6560,13993,7584,8737,8014,4889,2032,62639,0,0,0,0,0,0,0,0,0,3,6588,13565,11630,21433,12220,13895,12921,7048,2624,101922,0,7,0,47,15,0,0,0,0,71,0,0,0,0,0,3,7,3,0,12,0,0,0,7,0,0,0,0,0,14,0,3,0,10,0,0,0,0,0,13,3,5,3,28,20,22,7,0,0,104,0,0,0,15,4,10,8,0,0,34,0,11,12,82,56,37,19,4,0,225,0,0,0,0,3,12,16,22,6,60,0,0,0,9,0,3,4,3,0,33,4,32,71,199,244,533,571,470,132,2261,0,0,10,40,23,18,13,4,0,115,0,0,3,13,9,8,4,0,0,41
110,4,44,19,150,22,13,5,0,0,258,0,0,4,4,9,9,8,8,3,42,0,5,3,19,13,11,4,4,0,64,11,60,42,268,89,84,78,58,23,721,408,1167,1211,2084,1099,1187,1002,766,414,9330,5026,12188,10828,21788,11300,12547,10739,6981,2895,94298,0,0,0,9,0,0,0,0,0,5,9690,21474,18272,32516,17954,20219,17492,10459,3640,151716,0,19,4,94,11,3,0,0,0,137,0,0,0,0,0,0,7,5,0,15,0,0,18,55,9,3,0,0,0,89,0,4,0,8,0,0,0,0,0,21,4,11,14,66,26,24,35,13,0,199,0,0,0,10,8,6,3,5,0,32,9,28,22,304,72,69,41,0,3,538,0,0,0,3,8,3,8,7,6,35,0,8,5,26,0,3,7,5,3,61,4,51,75,268,285,573,654,520,145,2561,3,20,26,194,30,21,10,0,0,310,0,4,6,40,6,10,7,11,0,88
