SA4_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
101,70,0,4271,99,241,14,0,255,0,351,0,10,7,0,16,0,19,0,0,0,0,0,0,0,97,249,20,0,275,0,370,0,0,0,0,0,5,9,4293,320,22,0,340,11,4644,1026,19,0,0,19,0,1044,27,109,6,0,112,0,134,3,5,4,0,13,0,8,0,0,0,0,0,0,0,30,113,4,0,122,0,150,0,0,0,0,0,0,0,1051,129,4,0,144,0,1196,341,4,0,0,4,0,347,10,33,0,0,36,0,48,0,3,0,0,5,0,5,0,0,0,0,0,0,0,10,42,0,0,41,0,49,0,0,0,0,0,0,0,351,39,0,0,46,0,399,31434,616,9,3,633,43,32109,923,2611,74,0,2683,5,3608,20,144,48,0,194,0,207,4,12,0,0,12,0,14,941,2759,122,0,2888,5,3828,33,16,0,0,16,62,109,32408,3397,133,3,3528,104,36044
102,125,3,6320,198,378,15,0,393,0,590,3,34,17,0,45,0,53,0,0,0,0,0,0,0,202,408,30,0,440,0,639,3,0,0,0,0,0,4,6392,535,29,0,569,4,6967,2210,42,0,0,42,0,2247,79,169,9,0,177,0,249,0,15,11,0,23,0,23,0,0,0,0,0,0,0,79,180,15,0,200,0,274,0,0,0,0,0,0,0,2285,225,15,0,240,0,2525,990,14,0,0,14,3,1004,44,79,9,0,83,0,126,4,0,14,0,11,0,17,0,0,0,0,0,0,0,43,79,19,0,96,0,141,0,0,0,0,0,0,0,1032,92,19,0,114,3,1145,47112,1147,19,0,1170,58,48338,1939,3740,124,4,3866,3,5813,41,235,128,0,359,0,405,10,0,0,4,4,0,14,1988,3975,249,5,4233,8,6230,34,9,3,0,13,50,94,49140,5129,273,11,5413,112,54660
103,33,0,3962,67,135,7,0,137,0,208,0,12,14,0,24,0,24,0,0,0,0,0,0,0,71,142,20,0,164,0,233,6,0,0,0,0,4,6,4003,179,20,0,201,4,4209,829,6,0,0,6,0,835,17,49,0,0,49,0,65,0,9,3,0,8,0,8,0,0,0,0,0,0,0,17,53,3,0,55,0,71,0,0,0,0,0,4,3,852,55,3,0,62,4,912,205,0,0,0,0,0,211,4,16,0,0,16,0,26,0,3,3,0,7,0,7,0,0,0,0,0,0,0,4,23,3,0,23,0,27,0,0,0,0,0,0,0,211,21,3,0,26,0,239,30540,364,11,3,376,30,30948,543,1608,38,0,1649,0,2192,8,103,57,0,155,3,173,0,0,0,3,3,0,3,558,1702,96,5,1808,3,2364,44,4,0,0,4,52,99,31140,2071,105,12,2190,82,33408
104,26,0,2333,59,109,6,0,117,0,174,0,23,52,0,69,0,73,0,0,0,0,0,0,0,58,134,56,0,190,0,253,0,0,0,0,0,0,3,2371,159,55,0,212,3,2589,455,10,0,0,10,0,460,17,43,4,0,45,0,61,0,11,19,0,23,0,23,0,0,0,0,0,0,0,17,53,20,0,72,0,85,0,0,0,0,0,0,0,467,62,20,0,78,0,540,112,0,0,0,0,0,112,4,11,5,0,20,0,25,0,6,12,0,20,0,18,0,0,0,0,0,0,0,3,20,15,0,37,0,37,0,0,0,0,0,0,0,120,20,15,0,37,0,154,16903,240,3,0,239,9,17150,560,1227,111,9,1345,0,1903,21,192,373,3,571,0,589,3,3,0,0,0,0,5,582,1419,488,10,1914,0,2500,12,9,0,0,9,15,38,17497,1660,489,10,2162,26,19696
105,15,0,1672,26,69,0,0,67,0,95,0,0,3,0,4,0,4,0,0,0,0,0,0,0,29,68,7,0,74,0,100,3,0,0,0,0,0,3,1690,83,7,0,88,0,1773,329,9,0,0,9,0,333,9,21,0,0,21,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,0,0,22,0,28,0,0,0,0,0,0,0,340,30,0,0,30,0,363,84,0,0,0,0,0,84,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,6,0,0,0,0,0,0,0,84,6,0,0,8,0,92,14080,165,0,0,167,16,14267,290,1107,7,0,1115,0,1409,6,49,14,0,59,0,68,0,3,0,0,3,0,6,296,1154,27,0,1178,0,1482,19,4,0,0,4,10,32,14397,1324,27,0,1356,33,15781
106,58,9,5405,72,197,9,0,206,3,282,0,6,5,0,17,0,18,0,0,0,0,0,0,0,79,208,19,0,226,3,301,0,0,0,0,0,6,3,5414,265,16,0,284,11,5716,1466,7,0,0,9,0,1473,20,80,11,0,91,0,113,0,0,3,0,6,0,9,0,0,0,0,0,0,0,25,82,6,0,94,0,118,0,0,0,0,0,0,0,1490,93,10,0,104,0,1595,638,9,0,0,9,0,647,16,38,6,0,37,0,53,0,3,0,0,3,0,4,0,0,0,0,0,0,0,17,41,4,0,45,0,60,0,0,0,0,0,0,0,649,50,4,0,51,0,700,43021,550,16,10,569,60,43657,981,2022,88,0,2105,3,3093,19,82,61,0,146,0,168,4,0,0,0,0,0,5,1004,2101,149,0,2250,3,3261,30,5,0,0,5,50,76,44055,2656,163,8,2822,113,46995
107,172,0,5646,217,693,48,0,743,0,962,0,47,65,0,113,0,118,0,0,0,0,0,0,0,222,741,120,0,859,0,1079,0,0,0,0,0,0,0,5690,907,128,0,1030,3,6730,2154,58,4,0,64,0,2215,116,370,27,0,398,0,514,0,26,42,0,66,0,68,0,0,0,0,0,0,0,116,399,65,0,461,0,580,0,0,0,0,0,0,0,2270,460,70,0,523,0,2795,977,17,0,0,21,0,995,47,210,12,0,224,0,269,0,19,28,0,43,0,43,0,0,0,0,0,0,0,47,230,45,0,268,0,312,0,0,0,0,0,0,0,1022,246,40,0,285,0,1309,42157,1356,29,7,1392,28,43576,1977,5915,282,3,6197,3,8182,31,409,431,0,842,0,878,0,3,0,4,11,0,9,2012,6327,718,8,7050,3,9065,24,13,0,0,13,37,71,44192,7699,746,12,8455,60,52711
108,36,6,3737,72,93,0,0,91,0,167,0,4,3,0,4,0,3,0,0,0,0,0,0,0,76,94,4,0,96,0,175,4,0,0,0,0,8,11,3771,125,4,0,140,16,3923,737,0,0,0,0,0,738,12,35,5,0,41,0,51,0,0,3,0,3,0,3,0,0,0,0,0,0,0,12,35,10,0,42,0,57,0,0,0,0,0,0,0,749,38,10,0,43,0,794,229,0,0,0,0,0,234,6,6,0,0,9,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,9,0,17,0,0,0,0,0,0,0,235,8,0,0,10,0,246,25448,325,5,0,336,39,25827,699,1044,46,0,1087,3,1791,10,32,40,0,73,0,84,5,0,0,0,0,0,7,715,1076,93,0,1164,3,1880,39,0,0,0,0,61,98,26206,1401,94,0,1495,109,27806
109,30,0,2166,41,93,7,0,98,0,134,0,3,13,0,22,0,22,0,0,0,0,0,0,0,41,96,22,0,125,0,162,0,0,0,0,0,5,5,2175,126,22,0,149,5,2332,508,7,0,0,7,0,512,17,26,0,0,22,0,44,0,3,14,0,21,0,21,0,0,0,0,0,0,0,17,27,19,0,47,0,59,0,0,0,0,0,0,0,519,37,19,0,54,0,576,147,4,0,0,4,0,146,3,6,0,0,6,0,11,0,0,6,0,6,0,6,0,0,0,0,0,0,0,3,6,6,0,16,0,17,0,0,0,0,0,0,0,150,11,6,0,16,0,166,16560,200,5,0,209,20,16787,336,1068,35,0,1106,3,1446,3,99,103,0,207,0,213,0,0,0,0,8,0,8,343,1175,139,0,1317,3,1666,16,5,0,0,5,21,45,16913,1378,145,9,1530,51,18492
110,28,3,3109,62,116,7,0,127,0,189,0,12,35,0,47,0,52,0,0,0,0,0,0,0,64,132,43,0,173,0,240,3,0,0,0,0,0,3,3147,155,41,0,203,7,3351,567,5,0,0,5,0,573,10,29,3,0,35,0,45,0,3,25,0,29,0,29,0,0,0,0,0,0,0,10,34,30,0,58,0,72,0,0,0,0,0,0,0,576,41,30,0,64,0,640,167,4,0,0,4,0,169,0,13,0,0,13,0,11,0,5,21,0,26,0,26,0,0,0,0,0,0,0,0,14,21,0,30,0,33,0,0,0,0,0,0,0,168,17,21,0,35,0,204,23727,244,6,0,249,31,24011,542,1408,84,0,1491,0,2029,16,151,202,6,360,4,377,7,0,0,0,0,0,7,558,1557,286,6,1851,4,2417,19,6,0,0,6,33,55,24305,1803,294,12,2106,65,26479
