SA4_CODE_2021,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
101,98,5996,422,6515,832,12973,1042,14844,270,5979,450,6696,196,5040,438,5678,320,11758,1174,13251,335,11828,1005,13167,533,13730,1155,15413,856,15451,1234,17535,1244,13500,1010,15755,1262,6123,519,7909,903,1202,227,2332,6846,103576,8662,119088,57,5765,415,6241,401,12323,924,13648,169,5531,387,6085,131,4733,337,5199,300,12309,890,13501,401,12661,894,13960,648,14477,910,16034,911,15902,1027,17838,1170,13454,891,15513,1559,6160,532,8257,1765,1349,335,3448,7510,104662,7546,119720,157,11762,837,12752,1235,25299,1960,28493,447,11506,830,12785,329,9774,776,10876,625,24065,2063,26755,736,24485,1903,27123,1183,28210,2062,31454,1760,31351,2263,35370,2411,26952,1901,31264,2819,12284,1055,16162,2664,2551,565,5776,14363,208244,16202,238810
102,228,9298,480,10001,1900,19130,1165,22187,607,9397,518,10523,416,8482,480,9383,568,16968,1080,18615,579,18309,1024,19909,751,19486,1151,21395,1280,18966,1037,21289,1807,16170,911,18898,2030,9071,748,11851,1488,1924,518,3929,11653,147199,9120,167980,128,8783,501,9413,844,18771,1129,20739,349,8942,462,9754,257,8393,455,9107,474,18009,1017,19505,593,19806,1043,21445,901,20904,987,22793,1477,21137,981,23597,1913,18832,1052,21797,2772,10041,1039,13850,2994,2611,1012,6619,12703,156226,9691,178618,350,18080,985,19421,2745,37895,2293,42931,957,18338,983,20276,670,16872,942,18486,1048,34974,2103,38119,1171,38119,2069,41358,1654,40394,2140,44183,2754,40105,2018,44882,3725,35002,1962,40693,4803,19111,1791,25702,4483,4531,1532,10545,24360,303427,18807,346596
103,111,5986,436,6529,958,12723,1085,14767,324,5867,490,6682,217,4974,617,5806,312,10653,1298,12266,352,10316,1272,11940,546,11226,1077,12847,788,12055,1069,13916,1094,10398,893,12385,1159,5277,529,6972,831,1087,166,2090,6695,90556,8945,106203,61,5542,430,6036,454,12490,1088,14028,202,5415,396,6010,143,4830,382,5354,276,11460,855,12591,331,11016,834,12185,543,11963,850,13355,760,12407,839,14006,1049,10509,705,12259,1445,5544,529,7516,1722,1389,308,3417,6982,92557,7218,106759,174,11528,870,12569,1412,25214,2172,28797,521,11284,888,12689,358,9805,998,11161,590,22113,2155,24861,686,21331,2109,24125,1088,23188,1930,26203,1554,24458,1911,27917,2140,20905,1598,24652,2608,10822,1059,14480,2552,2474,476,5504,13682,183120,16160,212962
104,73,3274,251,3601,613,7823,630,9071,240,3567,289,4101,153,2802,336,3291,234,6260,924,7415,256,6640,836,7727,388,7479,767,8641,718,8788,685,10197,980,8720,545,10242,949,4167,341,5462,675,910,173,1758,5281,60439,5778,71497,34,3282,254,3577,290,7688,607,8589,119,3447,277,3849,81,2787,211,3073,204,6805,608,7617,263,7375,609,8243,426,8451,590,9471,679,9831,549,11056,880,9002,513,10399,1177,4437,427,6036,1385,1019,317,2718,5545,64126,4963,74634,108,6556,507,7178,910,15514,1238,17662,356,7016,567,7950,234,5583,552,6369,434,13059,1531,15030,520,14020,1440,15975,812,15934,1360,18106,1399,18617,1233,21252,1869,17719,1057,20649,2128,8608,767,11492,2061,1926,488,4473,10827,124568,10735,146127
105,59,3374,462,3894,451,6349,1047,7840,172,2780,460,3408,110,2485,444,3038,167,6281,1128,7578,178,5220,936,6344,296,5457,859,6613,477,6251,834,7562,659,5097,663,6418,652,2451,421,3526,406,534,162,1104,3622,46282,7413,57315,32,3244,426,3708,206,6329,928,7460,81,2691,356,3133,63,2534,346,2945,146,6866,896,7914,154,5667,824,6641,313,5788,750,6852,472,6461,728,7663,556,5081,569,6204,778,2724,474,3973,814,655,288,1761,3625,48040,6585,58251,91,6621,884,7596,655,12671,1973,15301,246,5478,819,6541,178,5013,789,5979,321,13148,2023,15489,328,10889,1759,12978,611,11240,1607,13463,947,12712,1560,15228,1207,10186,1232,12627,1436,5176,891,7498,1222,1191,460,2866,7245,94318,14003,115566
106,197,8350,455,9000,1788,17337,1121,20244,572,8116,512,9202,370,7322,640,8325,505,16025,1561,18093,506,15544,1378,17424,738,15847,1197,17779,1160,15902,1067,18133,1639,13610,826,16078,1530,6500,571,8597,892,1135,231,2259,9893,125678,9561,145140,112,8030,438,8573,877,17189,1008,19075,312,7664,405,8383,232,7234,394,7855,434,17100,884,18420,569,16388,839,17801,864,16791,794,18448,1295,16793,780,18866,1593,14273,712,16575,1877,6689,564,9129,1870,1391,402,3668,10034,129547,7225,146804,310,16380,890,17579,2663,34523,2131,39317,885,15779,916,17584,598,14547,1031,16178,941,33131,2446,36516,1076,31933,2218,35227,1601,32633,1996,36228,2460,32695,1846,37003,3236,27879,1542,32654,3407,13192,1131,17724,2761,2529,632,5922,19937,255223,16783,291946
107,185,8612,425,9220,1239,17587,904,19723,429,8813,458,9703,351,9955,537,10836,519,18410,977,19903,526,17421,840,18791,732,17561,831,19114,1100,17141,751,18989,1547,13237,684,15471,1779,6801,545,9129,1363,1412,412,3187,9769,136947,7353,154066,75,8153,378,8611,611,17067,883,18560,268,8701,450,9419,255,9774,462,10487,434,18738,924,20093,530,18412,839,19780,908,18520,730,20156,1239,18234,689,20163,1700,14464,678,16842,2598,7366,653,10615,2668,1705,660,5039,11303,141121,7348,159771,263,16763,800,17827,1853,34644,1787,38285,704,17512,907,19124,605,19722,998,21328,953,37150,1897,39997,1057,35832,1679,38572,1633,36075,1560,39273,2341,35371,1436,39152,3246,27702,1365,32307,4376,14174,1200,19744,4036,3117,1068,8227,21069,278068,14698,313842
108,119,4655,412,5188,1106,10965,972,13039,402,5403,455,6267,263,4112,452,4835,410,8158,987,9552,420,8961,928,10315,703,11174,916,12794,1275,14065,1062,16402,1925,15688,1021,18637,1907,8381,621,10910,1338,1799,261,3396,9880,93368,8084,111336,72,4546,386,5002,568,11042,996,12608,235,5320,387,5942,168,4050,308,4529,328,9125,769,10220,399,10155,759,11306,705,12522,781,14011,1253,16200,937,18396,1699,16223,974,18899,2315,8643,694,11656,2614,2073,455,5138,10356,99899,7440,117699,191,9199,795,10190,1670,22007,1968,25646,642,10727,839,12206,430,8163,758,9356,744,17278,1755,19774,821,19115,1690,21625,1409,23698,1700,26807,2531,30265,1992,34795,3625,31916,1993,37531,4220,17030,1315,22565,3956,3869,713,8536,20240,193265,15525,229035
109,74,3292,288,3653,534,6609,677,7822,179,3136,288,3602,129,2760,261,3152,212,5961,567,6738,172,5818,538,6530,296,6322,611,7224,476,7178,624,8281,735,6823,582,8142,688,3386,314,4386,509,722,151,1382,4001,51998,4912,60918,33,3168,279,3486,232,6543,564,7335,103,3124,263,3485,89,2764,222,3073,166,6244,532,6944,168,6347,528,7048,316,6778,492,7584,465,7700,577,8737,701,6810,504,8014,918,3582,387,4889,1032,834,166,2032,4217,53891,4528,62639,107,6457,569,7139,764,13150,1240,15152,280,6261,555,7090,214,5520,484,6222,379,12206,1105,13683,337,12168,1075,13574,609,13100,1101,14812,941,14877,1199,17022,1437,13636,1088,16158,1608,6964,707,9280,1543,1553,318,3413,8219,105892,9441,123552
110,109,5021,529,5661,785,10537,1308,12632,242,4919,607,5771,192,4321,653,5172,268,9238,1144,10649,294,8508,1047,9843,454,9177,1097,10734,730,10209,1105,12042,1040,8883,912,10835,1026,4578,561,6162,638,913,217,1773,5777,76305,9176,91262,55,4480,489,5026,351,10518,1308,12188,156,4970,663,5790,134,4325,591,5044,235,9987,1078,11307,285,9209,992,10485,474,9788,1034,11300,746,10782,1016,12547,937,8987,816,10739,1304,5068,611,6981,1403,1152,344,2895,6084,79269,8941,94298,162,9497,1022,10684,1140,21061,2621,24821,401,9890,1271,11556,324,8641,1246,10211,502,19224,2224,21953,578,17710,2040,20328,927,18971,2126,22031,1476,20993,2119,24586,1976,17873,1723,21574,2333,9644,1166,13144,2038,2068,563,4669,11868,155584,18117,185560
111,236,10230,401,10863,1626,21282,1000,23912,670,10250,523,11440,473,12179,739,13392,660,23855,1283,25795,640,22051,1106,23791,932,21628,1029,23587,1382,20515,973,22868,1999,16962,881,19845,2266,8659,618,11539,1753,1894,342,3991,12627,169506,8891,191024,132,9821,425,10376,757,20791,925,22470,347,10137,533,11018,309,12106,603,13019,558,24522,1118,26202,641,23142,963,24749,963,22777,864,24609,1523,22166,875,24563,2119,18791,913,21827,3177,9817,788,13781,3689,2524,673,6888,14220,176594,8677,199494,370,20052,823,21240,2381,42075,1923,46382,1017,20389,1057,22461,778,24291,1340,26409,1217,48375,2401,51995,1282,45197,2071,48540,1897,44403,1888,48194,2908,42679,1844,47431,4123,35755,1796,41675,5442,18474,1404,25316,5445,4416,1017,10881,26849,346105,17566,390519
112,117,5669,491,6283,1003,13372,1363,15739,384,6144,535,7067,279,4912,495,5689,398,10682,1109,12195,399,12551,1237,14186,598,13965,1271,15829,1043,15595,1294,17933,1453,14741,1100,17291,1416,6980,619,9007,1260,1608,346,3212,8355,106224,9860,124435,53,5439,484,5978,475,13069,1278,14824,228,5933,503,6668,196,4919,467,5582,317,12098,1155,13567,413,14124,1273,15808,674,15469,1201,17344,1024,17327,1213,19570,1372,15539,1033,17945,1954,7548,710,10213,2479,2028,615,5124,9185,113494,9937,132624,171,11109,976,12261,1485,26440,2637,30559,617,12074,1044,13741,476,9833,966,11273,714,22778,2266,25763,811,26671,2512,29993,1267,29436,2473,33175,2066,32927,2511,37504,2822,30285,2129,35234,3372,14520,1328,19222,3740,3638,964,8337,17540,219717,19799,257061
