SA4_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
101,3745,29923,34432,13207,8333,89641,1433,91076
102,8428,49354,47282,15539,9222,129832,1884,131713
103,4415,26459,29367,11389,6964,78599,1436,80039
104,2765,20702,20747,6929,3719,54862,1031,55888
105,2794,14761,14653,5333,3183,40727,975,41704
106,4534,34440,41605,15555,9670,105799,1390,107191
107,8458,40332,43415,14442,8721,115366,1423,116785
108,4895,35583,32416,10718,5908,89528,2132,91662
109,2738,16762,17681,6136,3410,46723,961,47684
110,4081,23874,24726,9189,5571,67443,1445,68894
111,9690,52978,57359,17978,10105,148111,1743,149852
112,4998,36511,36525,12062,6613,96709,1771,98479
113,3310,19618,21926,8461,5144,58469,1101,59571
114,2524,22787,23753,7966,4800,61823,965,62790
115,2054,22248,35045,12938,9870,82157,700,82862
116,8201,43820,46472,14725,7568,120787,1939,122728
117,46138,68141,22230,3983,1605,142102,2515,144616
118,16919,48271,27510,6120,2749,101567,1453,103014
119,24484,81935,60492,19440,10828,197187,3670,200853
120,17190,56112,31319,7266,3370,115252,1533,116784
121,17099,72366,50843,12501,5688,158497,1353,159847
122,6126,34394,35922,10793,6233,93468,909,94377
123,5382,30387,36360,13420,9078,94629,1279,95914
124,7324,40327,43012,15156,9792,115612,1432,117044
125,19646,68974,48357,14095,7456,158523,3246,161771
126,8102,33270,23048,5977,2837,73235,805,74041
127,11265,44416,49844,19712,12487,137728,2460,140189
128,4709,28033,32909,10259,6453,82361,736,83097
197,0,0,0,0,0,0,0,0
199,0,0,0,0,0,0,0,0
201,3418,23570,25292,9214,5716,67205,989,68196
202,2954,21702,24497,9074,5644,63872,923,64792
203,5748,41856,50162,15246,8763,121772,1567,123332
204,2944,22520,27375,10583,6824,70255,1537,71790
205,5493,39667,44197,16471,10083,115913,2172,118088
206,68064,135870,56001,11055,4744,275732,3596,279332
207,10231,54425,52298,13823,6840,137614,1392,139003
208,11504,65810,62504,15077,7109,162007,1676,163682
209,10776,65106,75140,23721,13595,188340,2417,190761
210,7375,46384,55717,18647,10972,139091,2095,141191
211,7192,58327,77959,25893,16264,185637,1864,187508
212,13771,88117,114738,38950,21736,277308,4041,281345
213,16295,100238,108442,33845,17618,276445,4403,280854
214,5367,40288,47335,14802,8328,116113,1557,117669
215,3409,19398,21605,8728,5754,58896,1358,60251
216,2479,16635,18904,7676,4967,50654,1114,51776
217,2343,16311,18767,7484,4854,49755,912,50664
297,0,0,0,0,0,0,0,0
299,0,0,0,0,0,0,0,0
301,4073,27911,35361,12571,7178,87093,950,88042
302,6158,33339,32759,9089,4474,85817,1155,86969
303,8544,48225,51104,15207,7516,130595,1680,132271
304,3554,23162,27471,8055,3889,66130,502,66633
305,15891,58072,34846,8308,3940,121049,1495,122548
306,5556,33662,34343,11199,5593,90351,1948,92302
307,1989,14882,17069,7347,4790,46071,969,47044
308,4051,26604,30712,11843,6726,79936,1496,81435
309,11063,82846,90516,29889,16618,230935,3408,234344
310,6074,40654,48263,17522,9885,122396,2005,124395
311,5603,36746,44186,17742,11674,115957,2102,118053
312,2609,19449,24038,9319,5179,60591,1288,61880
313,5474,35459,34366,12857,8289,96446,1489,97938
314,2313,22763,32095,11107,6223,74507,681,75186
315,3105,8631,7771,2904,1997,24405,979,25379
316,5737,52021,58810,19806,11399,147765,2005,149772
317,3358,21317,22515,7806,4482,59485,748,60232
318,4707,29133,33058,11219,5707,83833,1453,85284
319,6442,43834,42475,15606,9009,117366,2380,119749
397,0,0,0,0,0,3,0,3
399,0,0,0,0,0,0,0,0
401,10583,45560,43713,13599,7896,121349,1156,122507
402,11788,59230,61312,20970,11685,164985,2293,167280
403,9267,53215,56251,17825,9432,145992,1520,147512
404,8952,38648,34369,10383,5245,97590,1158,98750
405,2085,14800,16760,6892,4743,45274,745,46018
406,2718,10843,10880,4109,2353,30896,774,31665
407,3805,26222,27924,11171,7190,76307,1274,77577
497,0,0,0,0,0,0,0,0
499,0,0,0,0,0,0,0,0
501,2473,22327,27744,10474,5842,68856,1107,69965
502,1947,15863,15176,5248,2852,41079,662,41734
503,6868,31627,24248,6307,3010,72055,708,72762
504,4494,32652,39572,13924,8405,99040,1234,100273
505,8484,70356,87186,28003,14957,208988,2397,211386
506,9039,63873,74431,25575,14674,187592,2457,190049
507,7327,55329,65996,20968,10866,160486,1924,162413
509,1847,15139,18559,8264,6045,49862,1006,50866
510,2459,7442,8740,3335,1708,23686,753,24437
511,2173,13253,15127,5799,3562,39914,923,40843
597,0,0,0,0,0,3,0,3
599,0,0,0,0,0,0,0,0
601,6549,34159,33276,12249,7531,93773,1206,94980
602,3370,20614,21214,8662,5380,59239,1109,60352
603,416,4603,6217,2755,1924,15922,279,16209
604,2679,16315,16577,6574,3971,46109,768,46876
697,0,0,0,0,0,0,0,0
699,0,0,0,0,0,0,0,0
701,2579,15735,18287,6310,3413,46326,968,47297
702,5045,8224,6061,2095,1136,22564,797,23364
797,0,0,0,0,0,0,0,3
799,0,0,0,0,0,0,0,0
801,9273,65446,64634,18290,9278,166921,1484,168400
897,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0
901,62,558,524,208,115,1469,61,1533
997,0,0,0,0,0,0,0,0
999,0,0,0,0,0,0,0,0
