SA4_CODE_2021,M_0_149_CFNC,M_0_149_CF_C_und15,M_0_149_CFNC_und15,M_0_149_1PF_C_und15,M_0_149_1PFNC_und15,M_0_149_OthF,M_0_149_Tot,M_150_299_CFNC,M_150_299_CF_C_und15,M_150_299_CFNC_und15,M_150_299_1PF_C_und15,M_150_299_1PFNC_und15,M_150_299_OthF,M_150_299_Tot,M_300_449_CFNC,M_300_449_CF_C_und15,M_300_449_CFNC_und15,M_300_449_1PF_C_und15,M_300_449_1PFNC_und15,M_300_449_OthF,M_300_449_Tot,M_450_599_CFNC,M_450_599_CF_C_und15,M_450_599_CFNC_und15,M_450_599_1PF_C_und15,M_450_599_1PFNC_und15,M_450_599_OthF,M_450_599_Tot,M_600_799_CFNC,M_600_799_CF_C_und15,M_600_799_CFNC_und15,M_600_799_1PF_C_und15,M_600_799_1PFNC_und15,M_600_799_OthF,M_600_799_Tot,M_800_999_CFNC,M_800_999_CF_C_und15,M_800_999_CFNC_und15,M_800_999_1PF_C_und15,M_800_999_1PFNC_und15,M_800_999_OthF,M_800_999_Tot,M_1000_1199_CFNC,M_1000_1199_CF_C_und15,M_1000_1199_CFNC_und15,M_1000_1199_1PF_C_und15,M_1000_1199_1PFNC_und15,M_1000_1199_OthF,M_1000_1199_Tot,M_1200_1399_CFNC,M_1200_1399_CF_C_und15,M_1200_1399_CFNC_und15,M_1200_1399_1PF_C_und15,M_1200_1399_1PFNC_und15,M_1200_1399_OthF,M_1200_1399_Tot,M_1400_1599_CFNC,M_1400_1599_CF_C_und15,M_1400_1599_CFNC_und15,M_1400_1599_1PF_C_und15,M_1400_1599_1PFNC_und15,M_1400_1599_OthF,M_1400_1599_Tot,M_1600_1799_CFNC,M_1600_1799_CF_C_und15,M_1600_1799_CFNC_und15,M_1600_1799_1PF_C_und15,M_1600_1799_1PFNC_und15,M_1600_1799_OthF,M_1600_1799_Tot,M_1800_1999_CFNC,M_1800_1999_CF_C_und15,M_1800_1999_CFNC_und15,M_1800_1999_1PF_C_und15,M_1800_1999_1PFNC_und15,M_1800_1999_OthF,M_1800_1999_Tot,M_2000_2199_CFNC,M_2000_2199_CF_C_und15,M_2000_2199_CFNC_und15,M_2000_2199_1PF_C_und15,M_2000_2199_1PFNC_und15,M_2000_2199_OthF,M_2000_2199_Tot,M_2200_2399_CFNC,M_2200_2399_CF_C_und15,M_2200_2399_CFNC_und15,M_2200_2399_1PF_C_und15,M_2200_2399_1PFNC_und15,M_2200_2399_OthF,M_2200_2399_Tot,M_2400_2599_CFNC,M_2400_2599_CF_C_und15,M_2400_2599_CFNC_und15,M_2400_2599_1PF_C_und15,M_2400_2599_1PFNC_und15,M_2400_2599_OthF,M_2400_2599_Tot,M_2600_2999_CFNC,M_2600_2999_CF_C_und15,M_2600_2999_CFNC_und15,M_2600_2999_1PF_C_und15,M_2600_2999_1PFNC_und15,M_2600_2999_OthF,M_2600_2999_Tot,M_3000_3999_CFNC,M_3000_3999_CF_C_und15,M_3000_3999_CFNC_und15,M_3000_3999_1PF_C_und15,M_3000_3999_1PFNC_und15,M_3000_3999_OthF,M_3000_3999_Tot,M_4000_4999_CFNC,M_4000_4999_CF_C_und15,M_4000_4999_CFNC_und15,M_4000_4999_1PF_C_und15,M_4000_4999_1PFNC_und15,M_4000_4999_OthF,M_4000_4999_Tot,M_5000over_CFNC,M_5000over_CF_C_und15,M_5000over_CFNC_und15,M_5000over_1PF_C_und15,M_5000over_1PFNC_und15,M_5000over_OthF,M_5000over_Tot,M_NS_CFNC,M_NS_CF_C_und15,M_NS_CFNC_und15,M_NS_1PF_C_und15,M_NS_1PFNC_und15,M_NS_OthF,M_NS_Tot,Tot_CFNC,Tot_CF_C_und15,Tot_CFNC_und15,Tot_1PF_C_und15,Tot_1PFNC_und15,Tot_OthF,Tot_Tot
101,403,169,117,21,59,11,789,134,33,36,13,20,5,234,239,88,75,22,45,4,472,199,95,67,31,43,5,444,366,216,124,80,71,10,869,455,347,188,99,119,13,1217,582,506,214,129,137,10,1573,592,795,283,138,139,21,1968,576,804,265,141,124,18,1928,711,865,311,178,113,13,2203,493,765,195,95,52,3,1601,772,1188,371,128,83,7,2544,354,591,148,66,49,4,1211,285,443,113,25,11,0,873,610,1083,335,91,57,4,2170,740,1389,424,92,73,5,2728,290,407,145,31,12,3,889,221,291,125,20,22,0,679,423,438,215,69,88,10,1244,8449,10523,3739,1462,1316,141,25627
102,492,255,221,54,98,8,1133,136,53,77,18,33,0,321,242,94,127,31,64,3,564,223,82,109,34,78,10,530,337,152,190,72,108,13,872,449,318,296,97,169,14,1349,521,455,373,142,189,13,1693,616,745,459,205,251,14,2299,634,952,476,223,255,24,2566,829,1360,608,272,278,24,3359,650,1228,423,196,159,19,2671,1163,2188,741,284,236,13,4619,614,1295,327,135,104,4,2486,498,975,227,84,51,7,1844,983,2125,601,195,157,21,4084,1130,2345,680,187,122,14,4481,433,799,288,44,45,6,1602,286,541,203,29,28,0,1089,648,830,380,152,189,27,2228,10882,16791,6818,2459,2613,228,39791
103,310,181,102,28,50,9,677,81,39,24,11,18,0,185,204,74,67,25,48,9,425,188,121,64,48,51,8,469,312,288,105,94,73,6,883,432,462,169,140,118,11,1335,505,655,236,140,116,14,1668,608,878,285,180,150,17,2115,542,909,240,146,93,4,1940,624,997,301,145,113,8,2178,399,748,174,93,52,5,1467,538,1062,324,102,75,11,2102,171,474,76,36,9,0,771,131,266,70,15,13,0,493,285,702,186,55,37,8,1264,349,679,214,36,28,8,1303,123,268,97,7,14,0,514,122,211,52,14,9,0,409,367,407,179,76,69,12,1110,6292,9407,2957,1382,1133,131,21312
104,230,84,67,29,31,8,456,69,27,14,6,17,0,134,158,60,48,19,27,4,310,121,62,36,22,34,0,275,217,125,90,37,69,4,533,313,202,130,67,70,7,789,338,327,154,111,92,8,1029,434,491,187,124,106,8,1361,322,504,153,122,58,9,1170,415,647,194,129,67,7,1464,238,519,118,84,55,6,1015,443,686,198,95,63,6,1497,183,290,52,35,18,3,587,106,179,34,10,7,4,341,226,415,135,44,23,0,847,223,363,116,40,29,0,772,85,93,41,5,9,0,234,69,96,27,4,0,0,202,237,244,125,48,62,8,724,4441,5403,1927,1037,835,83,13727
105,215,135,70,25,23,9,469,59,27,12,23,12,0,129,134,70,35,36,60,8,346,124,108,51,40,44,8,376,228,232,79,85,61,8,702,292,325,110,99,53,9,896,262,384,135,103,64,5,960,301,449,134,94,58,7,1044,256,394,124,75,26,10,884,224,433,114,55,29,9,864,121,265,51,31,15,0,486,227,376,104,29,22,4,766,50,141,29,11,8,0,238,45,68,32,6,6,0,150,110,216,41,18,15,0,404,113,185,44,13,10,0,367,41,74,33,4,9,0,160,52,78,28,7,3,0,167,227,210,85,70,50,8,644,3078,4186,1321,824,558,91,10056
106,416,204,162,47,70,16,912,126,44,53,8,22,3,255,227,95,100,26,60,3,511,197,82,90,34,45,3,456,370,186,183,84,109,5,941,459,341,271,120,149,9,1349,622,629,337,175,169,23,1964,830,1103,477,290,189,26,2905,876,1255,429,235,161,18,2973,1065,1633,471,259,180,12,3621,710,1329,329,154,112,10,2647,1092,1930,615,205,140,15,4000,403,960,208,74,50,5,1697,279,635,150,34,27,3,1130,652,1365,390,97,72,10,2583,705,1398,429,102,83,14,2728,231,372,158,34,34,0,828,164,257,126,14,17,0,578,565,653,293,138,143,14,1795,9982,14472,5269,2132,1810,201,33870
107,376,261,217,33,64,13,968,111,48,60,10,20,3,250,175,104,111,25,47,5,461,131,109,95,23,46,3,414,259,163,179,38,83,8,722,277,276,240,71,113,13,984,327,396,299,96,155,12,1282,464,625,405,131,203,7,1835,474,734,371,155,165,8,1900,557,959,398,205,189,16,2322,473,983,293,141,114,8,2014,993,1900,682,218,197,18,4005,550,1009,245,91,75,5,1968,378,848,176,49,29,8,1493,983,2311,527,172,115,15,4123,1050,2797,723,174,112,13,4866,387,982,285,52,46,5,1756,278,583,211,23,32,3,1130,462,756,360,123,115,10,1826,8689,15834,5859,1832,1926,176,34318
108,366,109,74,24,66,13,640,110,25,42,11,22,7,216,254,72,69,21,50,5,464,213,83,65,28,48,0,437,374,169,132,72,83,12,839,462,289,210,113,124,6,1201,537,456,239,134,128,13,1502,618,660,265,205,161,14,1927,528,697,247,154,118,13,1754,590,863,265,159,111,13,1997,374,707,171,105,54,7,1411,591,935,291,126,80,10,2032,242,435,124,52,24,6,882,147,246,69,23,14,5,507,370,596,189,62,37,6,1263,347,561,176,39,31,0,1148,126,163,60,16,13,0,384,90,111,41,6,7,3,248,392,312,142,84,98,10,1035,6722,7490,2862,1422,1281,128,19902
109,216,123,74,23,22,4,460,66,22,22,6,3,0,118,138,67,50,23,21,8,306,101,75,40,34,27,3,283,236,201,86,64,65,13,664,363,367,130,87,71,11,1029,389,502,158,122,95,4,1271,419,635,212,95,94,12,1455,332,540,154,80,52,11,1170,334,618,148,73,43,8,1225,180,400,107,39,21,0,748,279,489,163,42,20,0,999,77,152,23,9,4,0,262,51,99,26,4,6,0,185,129,272,77,17,17,0,509,143,244,72,11,14,0,481,52,106,34,9,4,0,202,53,74,27,12,3,0,167,266,237,109,34,35,0,676,3819,5221,1711,775,601,83,12213
110,320,190,104,27,30,4,680,62,31,20,13,18,3,148,157,80,50,20,37,4,349,167,100,63,39,37,7,417,341,250,116,81,80,6,870,444,476,168,138,98,10,1336,538,679,197,173,100,13,1696,619,765,233,160,99,19,1879,432,703,194,115,79,9,1536,443,742,205,105,57,9,1564,251,460,116,51,24,0,915,399,658,206,55,35,9,1359,120,267,67,17,6,0,478,69,167,58,9,7,0,312,206,344,133,26,16,0,721,215,360,105,27,14,3,719,86,152,49,9,12,0,310,65,112,51,6,0,6,239,350,320,133,66,60,8,941,5287,6843,2269,1130,804,114,16449
