SAL_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10001,4,0,0,0,0,8,5,5,0,33
SAL10002,650,657,499,403,605,733,437,159,49,4200
SAL10003,799,448,543,740,763,720,751,455,212,5431
SAL10004,242,139,104,139,167,164,94,57,3,1127
SAL10005,0,0,0,3,0,12,4,5,0,21
SAL10006,520,334,370,284,313,318,246,123,30,2542
SAL10007,383,246,241,236,264,291,232,120,36,2051
SAL10008,27,18,10,13,17,14,22,7,0,121
SAL10009,1660,843,1034,1003,781,627,414,161,31,6552
SAL10010,572,297,341,312,304,355,222,121,24,2544
SAL10011,61,43,41,36,66,39,23,8,3,317
SAL10012,3,6,3,4,9,3,0,0,0,29
SAL10013,4,0,6,6,3,12,10,0,0,30
SAL10014,818,458,483,648,519,414,223,83,16,3668
SAL10015,51,26,29,33,46,68,47,42,6,339
SAL10016,1071,924,1083,860,770,728,484,300,109,6335
SAL10017,1237,609,605,832,766,543,477,407,143,5621
SAL10018,142,95,93,95,118,166,133,77,23,938
SAL10019,20,15,8,12,6,22,16,5,0,101
SAL10020,6,0,0,0,0,5,7,3,0,32
SAL10021,188,149,120,103,162,137,96,33,10,996
SAL10022,878,519,461,442,337,302,217,95,16,3265
SAL10023,26,24,21,16,19,32,23,7,4,165
SAL10024,15,4,7,9,12,12,12,5,3,77
SAL10025,2855,1841,1868,1717,1871,1690,1110,591,285,13826
SAL10026,1207,837,919,759,787,925,797,457,220,6920
SAL10027,721,555,564,575,678,644,698,370,145,4955
SAL10028,108,193,380,287,128,140,126,68,9,1443
SAL10029,30,10,22,9,14,31,21,12,0,151
SAL10030,1066,757,3143,2109,1247,732,399,152,44,9649
SAL10031,538,438,332,319,406,585,362,109,35,3131
SAL10032,15,17,4,12,12,10,10,4,0,80
SAL10033,0,0,0,0,0,0,3,0,0,4
SAL10034,14,15,7,14,8,15,13,5,0,85
SAL10035,9,9,3,8,20,15,23,7,4,99
SAL10036,1564,866,499,945,1224,812,649,480,276,7317
SAL10037,13,7,6,4,14,12,13,0,0,68
SAL10038,725,635,1152,809,598,652,466,231,84,5351
SAL10039,15,8,12,4,13,9,3,0,0,60
SAL10040,15,17,6,13,23,29,29,8,0,139
SAL10041,35,17,15,17,37,24,23,13,4,190
SAL10042,4,0,0,0,3,16,19,3,0,54
SAL10043,14,7,3,4,4,17,3,11,0,58
SAL10044,20,17,14,16,16,32,14,11,0,141
SAL10045,55,36,27,39,74,105,65,26,6,431
SAL10046,941,512,480,589,707,789,870,670,358,5912
SAL10047,14,7,10,10,6,12,9,9,7,86
SAL10048,12,0,5,3,16,9,3,0,0,44
SAL10049,1650,1016,987,974,812,885,662,235,42,7254
SAL10050,4,0,0,0,8,3,8,14,0,40
SAL10051,5,0,5,0,0,6,0,0,0,6
SAL10052,9,3,4,5,7,14,0,0,0,41
SAL10053,17,8,4,7,6,9,3,4,0,64
SAL10054,12,5,3,3,7,13,4,0,0,49
SAL10055,17,8,0,11,15,12,9,3,4,72
SAL10056,24,14,19,19,20,33,34,4,0,167
SAL10057,4,0,0,0,8,8,8,4,0,34
SAL10058,4,4,0,4,11,12,29,13,3,78
SAL10059,20,5,16,14,26,31,60,9,8,192
SAL10060,57,53,34,45,69,54,41,19,3,384
SAL10061,634,393,343,361,501,658,733,524,82,4221
SAL10062,1517,953,1648,1581,1444,1052,815,343,133,9487
SAL10063,223,253,115,161,219,218,155,91,27,1472
SAL10064,885,369,449,508,377,314,200,92,23,3213
SAL10065,10,5,6,3,9,10,6,5,0,46
SAL10066,4,11,0,8,3,6,0,0,0,35
SAL10067,4,0,3,0,4,3,3,0,0,16
SAL10068,23,13,7,17,9,18,24,9,0,116
SAL10069,5,0,0,0,3,0,0,0,0,21
SAL10070,43,26,31,33,57,108,98,34,19,445
SAL10071,26,17,16,16,29,45,35,18,3,209
SAL10072,0,0,0,0,3,0,0,0,0,4
SAL10073,246,207,129,139,223,213,179,119,28,1475
SAL10074,243,165,139,155,204,234,173,92,32,1431
SAL10075,6,7,3,4,5,20,11,0,0,50
SAL10076,21,21,17,11,26,25,38,12,7,182
SAL10077,71,35,39,32,56,85,87,52,16,472
SAL10078,3,3,0,3,3,0,4,0,0,16
SAL10079,223,152,190,196,166,172,144,76,36,1352
SAL10080,35,25,18,15,26,43,33,17,0,207
SAL10081,3,0,0,0,3,0,3,0,0,16
SAL10082,87,27,25,53,52,54,99,34,14,439
SAL10083,7,4,3,0,4,4,4,0,0,36
SAL10084,5,0,5,6,0,0,6,0,0,24
SAL10085,39,10,11,22,22,33,18,5,0,164
SAL10086,4272,4134,3251,2626,2521,2760,2253,1542,599,23967
SAL10087,1889,1422,2855,1925,1322,1089,766,511,246,12023
SAL10088,0,0,0,0,0,0,0,0,0,6
SAL10089,19,36,73,30,42,77,148,131,29,591
SAL10090,107,60,47,78,90,93,107,31,13,615
