SAL_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SAL10001,0,0,0,0,0,0,7,21,5,29
SAL10002,48,0,49,555,154,6,713,2706,124,3542
SAL10003,152,55,212,894,190,9,1094,3252,288,4630
SAL10004,3,0,3,223,91,8,328,530,28,880
SAL10005,0,0,0,0,0,0,0,17,3,22
SAL10006,29,3,30,429,168,25,621,1319,75,2018
SAL10007,31,4,36,322,98,5,430,1125,110,1670
SAL10008,0,0,0,27,3,0,28,63,6,93
SAL10009,31,0,31,1451,353,52,1860,2883,158,4897
SAL10010,26,0,24,469,159,35,657,1225,90,1972
SAL10011,3,0,3,45,19,5,72,179,14,260
SAL10012,0,0,0,4,0,0,4,18,10,26
SAL10013,0,0,0,6,0,0,5,18,8,27
SAL10014,20,0,16,858,134,6,993,1814,42,2856
SAL10015,3,3,6,27,12,0,43,209,50,295
SAL10016,104,3,109,1055,327,40,1423,3615,231,5264
SAL10017,130,14,143,1201,313,31,1554,2738,94,4387
SAL10018,20,0,23,123,56,5,180,564,44,798
SAL10019,0,0,0,10,7,0,22,36,23,79
SAL10020,0,0,0,0,0,0,0,19,5,26
SAL10021,9,0,10,175,51,6,232,532,38,802
SAL10022,13,0,16,486,97,15,600,1462,332,2387
SAL10023,4,0,4,14,12,0,26,91,18,139
SAL10024,0,0,3,11,5,0,18,44,7,68
SAL10025,169,116,285,2638,780,89,3506,6967,490,10968
SAL10026,203,16,220,1013,407,27,1451,3975,285,5709
SAL10027,140,4,145,653,299,21,975,3058,209,4235
SAL10028,9,0,9,100,44,0,144,408,790,1337
SAL10029,0,0,0,24,12,0,33,84,10,126
SAL10030,33,3,44,1302,136,10,1447,6671,471,8587
SAL10031,28,0,35,484,168,11,663,1895,38,2597
SAL10032,0,0,0,11,11,0,19,46,0,65
SAL10033,0,0,0,0,0,0,0,7,0,4
SAL10034,0,0,0,12,9,0,22,52,0,74
SAL10035,0,0,4,14,0,0,18,62,5,88
SAL10036,177,101,276,1558,256,20,1828,3666,257,5757
SAL10037,0,0,0,11,4,0,15,46,0,63
SAL10038,76,6,84,843,115,3,964,3426,234,4629
SAL10039,0,0,0,12,4,0,18,24,3,47
SAL10040,0,0,0,21,11,0,30,76,10,122
SAL10041,4,0,4,33,5,0,37,100,16,157
SAL10042,0,0,0,0,4,0,4,41,0,50
SAL10043,0,0,0,4,3,0,8,26,8,46
SAL10044,0,0,0,27,4,0,36,84,0,123
SAL10045,6,0,6,66,30,3,103,258,19,372
SAL10046,314,39,358,824,357,50,1228,3479,261,4973
SAL10047,7,0,7,15,0,0,12,52,8,70
SAL10048,0,0,0,6,0,0,6,18,6,26
SAL10049,43,4,42,1181,269,28,1479,3678,450,5605
SAL10050,0,0,0,0,3,0,4,15,13,33
SAL10051,0,0,0,5,0,0,5,3,0,7
SAL10052,0,0,0,3,4,0,9,25,0,32
SAL10053,0,0,0,13,3,0,18,22,4,47
SAL10054,0,0,0,7,3,0,6,34,0,40
SAL10055,0,0,4,18,3,0,22,30,8,54
SAL10056,0,0,0,23,10,0,32,109,10,149
SAL10057,0,0,0,0,0,0,4,24,4,31
SAL10058,3,0,3,7,7,0,9,50,16,74
SAL10059,8,0,8,25,26,0,48,121,0,169
SAL10060,3,0,3,51,13,0,60,225,35,326
SAL10061,65,14,82,514,227,31,775,2599,214,3589
SAL10062,119,11,133,1726,215,19,1952,5541,472,7967
SAL10063,27,3,27,219,83,0,304,907,39,1247
SAL10064,19,0,23,730,126,21,879,1350,109,2328
SAL10065,0,0,0,6,0,0,13,23,3,37
SAL10066,0,0,0,6,0,0,8,25,0,30
SAL10067,0,0,0,6,0,0,6,6,0,13
SAL10068,0,0,0,12,8,3,22,61,12,95
SAL10069,0,0,0,0,0,0,11,9,5,13
SAL10070,20,3,19,35,34,5,72,308,17,403
SAL10071,3,0,3,27,14,0,38,133,12,180
SAL10072,0,0,0,0,0,0,0,4,0,4
SAL10073,19,0,28,250,73,6,328,842,63,1227
SAL10074,30,0,32,227,115,11,358,789,46,1191
SAL10075,0,0,0,4,0,0,6,29,17,53
SAL10076,7,0,7,22,10,3,32,117,8,159
SAL10077,11,5,16,40,24,6,64,304,31,401
SAL10078,0,0,0,0,3,0,3,13,0,18
SAL10079,29,6,36,197,75,9,286,793,58,1131
SAL10080,0,0,0,20,9,0,35,115,24,169
SAL10081,0,0,0,5,0,0,5,4,3,10
SAL10082,13,0,14,67,31,5,103,227,28,359
SAL10083,0,0,0,0,0,0,4,20,0,26
SAL10084,0,0,0,5,4,0,5,4,4,18
SAL10085,0,0,0,18,3,0,29,71,27,130
SAL10086,482,113,599,3213,1111,132,4462,13242,1992,19697
SAL10087,172,70,246,1808,273,15,2102,7019,1014,10131
SAL10088,0,0,0,0,0,0,0,4,3,6
SAL10089,26,3,29,15,24,0,36,502,37,576
SAL10090,8,0,13,87,48,0,133,357,15,514
SAL10091,147,12,156,2049,196,15,2264,4991,315,7564
SAL10092,0,0,0,8,7,0,12,25,3,38
SAL10093,0,0,0,6,6,0,7,19,5,34
SAL10094,67,0,66,635,98,13,738,1954,85,2774
SAL10095,4,0,4,34,18,0,51,200,30,280
SAL10096,5,0,3,40,19,0,60,169,25,254
SAL10097,0,0,0,0,0,0,0,20,0,18
SAL10098,41,12,53,478,78,10,562,1839,330,2734
SAL10099,772,39,816,3121,465,24,3610,15749,954,20315
SAL10100,25,0,24,59,19,3,85,429,48,560
SAL10101,0,0,0,70,7,0,87,140,47,269
SAL10102,97,9,108,437,178,19,638,2040,288,2962
SAL10103,49,9,56,862,310,37,1205,2328,98,3632
SAL10104,63,3,69,1427,158,10,1596,3105,144,4847
SAL10105,0,0,0,11,6,0,14,42,0,56
