SAL_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
SAL10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,8
SAL10002,11,8,3,0,25,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,10,0,3,0,14,6,5,8,0,11,36,7,3,3,41,18,8,11,3,38,21,14,17,0,56,24,29,12,0,66,18,33,10,0,56,17,28,3,0,51,43,66,24,3,133,27,70,22,0,113,24,79,11,0,119,12,66,7,0,83,38,229,8,0,276,7,38,11,0,56,7,4,0,0,9,313,673,153,21,1162
SAL10003,19,3,0,0,18,7,0,0,0,4,4,0,5,0,10,0,0,4,0,0,23,4,8,0,37,4,0,9,0,18,44,0,17,0,56,32,3,13,0,47,36,10,21,0,73,27,16,15,0,63,26,15,16,0,54,18,16,9,0,52,68,49,40,0,160,49,60,18,5,136,58,60,15,0,132,46,49,8,0,95,166,326,13,3,505,29,33,17,0,75,15,8,4,3,31,679,647,230,28,1585
SAL10004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,8,0,0,0,14,9,0,3,0,15,8,0,6,0,12,15,0,9,0,19,12,3,3,0,19,9,11,9,0,24,13,20,8,0,39,12,20,0,0,32,10,21,3,0,31,8,27,0,0,37,11,43,0,0,54,3,13,3,0,25,0,0,3,0,3,115,153,49,0,322
SAL10005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,8
SAL10006,3,3,3,0,5,0,0,0,0,0,0,0,4,0,4,0,0,7,0,6,5,0,18,0,27,3,0,16,0,20,39,9,26,0,71,27,11,27,0,67,11,7,14,0,43,29,19,20,0,69,13,12,13,0,47,20,17,12,0,48,33,37,11,0,81,14,32,7,0,55,11,23,3,0,32,7,14,0,0,25,3,32,0,0,43,6,23,11,0,44,9,0,0,0,5,237,254,190,11,681
SAL10007,4,5,0,0,7,0,0,0,0,7,4,0,4,0,3,0,3,5,0,4,3,0,0,0,8,5,0,8,0,17,45,0,8,0,50,14,6,9,0,32,15,3,9,4,27,22,13,0,0,43,12,8,0,0,28,18,15,5,0,39,33,34,10,0,74,20,21,3,0,43,14,30,3,0,46,9,18,0,0,25,6,39,0,0,50,15,26,9,0,53,6,0,7,0,13,253,229,78,8,563
SAL10008,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,4,8,0,0,0,6,0,0,0,0,5,0,0,0,0,0,17,16,4,0,28
SAL10009,14,0,4,0,17,7,0,0,0,6,4,0,4,0,10,0,0,0,0,8,12,3,12,0,28,13,5,19,0,38,60,8,38,0,108,39,10,44,0,93,42,23,25,4,96,54,41,18,0,113,24,46,26,0,94,22,63,22,4,113,87,153,40,0,276,51,143,18,0,217,51,105,7,0,167,39,76,3,0,118,39,171,12,0,222,22,80,15,0,118,3,4,5,0,9,591,939,311,13,1858
SAL10010,3,0,3,0,8,6,0,3,0,5,0,0,3,0,3,0,0,7,0,10,8,0,10,0,14,4,5,12,0,21,48,4,13,3,64,20,3,15,0,44,15,3,22,3,41,23,24,14,4,61,19,27,7,0,47,16,26,6,0,54,23,60,15,0,94,16,41,7,0,63,11,35,0,0,47,6,22,0,0,29,8,30,0,0,37,16,19,3,0,34,3,0,4,0,9,234,299,144,11,688
