SED_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SED10001,418,2290,1575,29112,322,33717,10,98,50,2736,35,2929,396,17,34,129,3,579,133,46,18,80,4,281,546,202,127,511,13,1399,3017,2075,1458,27086,442,34078,569,23,103,30,10,735,80,26,14,212,3,335,711,317,215,4789,52,6084,167,47,19,189,4,426,112,37,16,74,6,245,907,34,21,21,0,983,587,521,323,9545,89,11065,410,219,75,1271,9,1984,57,6,13,7,0,83,45,26,15,110,0,196,11,3,0,7,0,21,73,34,13,124,3,247,131,45,19,36,4,235,151,94,80,80,4,409,214,54,33,177,0,478,66,13,15,32,0,126,25,15,12,3,0,55,815,519,381,7674,72,9461,95,18,0,34,0,147,104,28,13,16,0,161,95,17,15,89,0,216,59,4,10,5,0,78,90,5,12,6,0,113,97,53,15,216,3,384,3550,459,339,1026,62,5436,146,30,16,751,4950,5893,11429,4242,2906,60560,5853,84990
SED10002,2959,1442,965,3630,99,9095,47,62,18,354,6,487,26461,201,351,217,212,27442,594,44,24,124,4,790,118,40,14,43,0,215,4467,809,577,3435,139,9427,2679,50,163,37,9,2938,144,4,7,41,0,196,343,60,44,275,0,722,449,94,44,156,8,751,83,17,3,14,0,117,4690,57,42,12,14,4815,465,178,121,1359,11,2134,997,198,106,484,18,1803,8339,33,98,13,20,8503,6064,1408,546,956,42,9016,102,9,16,24,5,156,145,48,25,69,0,287,249,27,14,18,9,317,150,38,17,15,3,223,238,22,27,42,0,329,426,17,24,33,0,500,262,37,6,3,0,308,363,134,121,861,11,1490,192,24,7,5,0,228,115,11,3,4,0,133,400,22,33,25,0,480,588,5,8,6,4,611,2864,48,76,84,12,3084,47,21,14,44,0,126,34072,1220,747,821,210,37070,1830,121,76,178,8806,11011,91824,4444,2837,9166,9552,117823
SED10003,504,3454,2591,22140,306,28995,18,111,81,2118,27,2355,321,74,70,173,6,644,109,45,17,72,3,246,702,198,174,324,7,1405,6407,3146,2328,22884,361,35126,277,21,98,23,3,422,600,97,70,269,12,1048,1367,372,284,2279,36,4338,145,77,21,249,0,492,128,35,15,55,0,233,340,64,55,67,3,529,1551,883,615,9039,115,12203,1210,339,124,1331,28,3032,49,0,8,5,0,62,64,22,4,74,3,167,22,19,0,8,0,49,119,42,23,140,0,324,178,72,44,41,0,335,346,169,100,91,4,710,324,88,57,176,3,648,194,43,20,74,3,334,30,15,6,4,0,55,1640,818,630,6969,78,10135,50,18,6,14,0,88,243,61,46,43,3,396,422,35,20,95,5,577,39,14,11,15,3,82,78,7,19,5,0,109,253,76,50,277,4,660,3942,1036,781,1264,58,7081,205,58,47,442,5758,6510,16319,6507,4769,48229,6585,82409
SED10004,766,3897,2931,13360,155,21109,29,76,49,929,23,1106,6194,230,406,412,31,7273,354,86,48,129,8,625,530,205,127,322,8,1192,8333,3417,2337,13590,162,27839,804,44,153,24,7,1032,602,90,56,222,5,975,1180,308,217,1359,15,3079,906,230,117,580,17,1850,224,86,40,84,3,437,1473,100,82,41,7,1703,2987,1050,783,7139,60,12019,2375,647,336,1496,34,4888,516,19,50,23,0,608,408,111,80,253,4,856,127,32,10,45,0,214,263,130,51,185,5,634,239,52,32,33,3,359,592,152,130,64,4,942,520,84,98,196,4,902,424,62,66,91,3,646,63,25,11,5,3,107,2258,880,656,4947,30,8771,285,52,36,48,0,421,332,69,34,18,7,460,648,40,39,77,5,809,228,17,18,15,0,278,905,45,57,30,6,1043,344,87,76,282,3,792,8928,1284,1088,1400,89,12789,339,31,27,147,3903,4447,35258,7599,5706,30265,4445,83273
SED10005,4067,1953,987,4182,137,11326,24,57,16,402,7,506,8921,67,119,94,71,9272,320,34,16,71,3,444,70,12,10,31,0,123,3300,862,512,3662,141,8477,1145,23,94,19,5,1286,170,9,3,26,0,208,292,61,31,257,11,652,1383,196,114,383,15,2091,94,8,0,9,0,111,1710,23,11,13,7,1764,250,137,76,1162,15,1640,1219,239,88,574,16,2136,691,0,14,0,3,708,10647,2608,803,2035,71,16164,1337,134,73,144,3,1691,171,41,17,92,3,324,287,21,26,14,3,351,152,34,22,16,0,224,368,24,13,43,4,452,165,7,6,16,0,194,530,44,23,22,4,623,262,134,84,771,12,1263,198,19,10,18,0,245,54,16,10,7,0,87,288,5,19,25,4,341,90,6,0,8,0,104,13068,85,150,113,62,13478,28,8,0,41,0,77,20997,1280,699,958,158,24092,2293,191,99,256,7819,10658,66326,5864,2911,11069,8502,94672
SED10006,172,1243,954,27848,367,30584,10,194,93,10511,206,11014,202,6,24,136,3,371,69,10,4,49,0,132,175,68,51,170,6,470,1302,1087,764,22335,399,25887,448,13,91,36,8,596,35,13,12,139,0,199,294,140,86,2043,29,2592,66,21,6,108,3,204,27,8,4,21,0,60,284,10,9,32,3,338,304,248,184,6223,74,7033,185,131,29,643,5,993,33,0,0,0,0,33,16,10,0,57,0,83,6,6,0,9,0,21,83,56,18,196,0,353,94,25,32,47,3,201,91,40,49,33,6,219,63,14,15,73,0,165,11,5,7,27,0,50,34,4,0,6,0,44,332,288,189,5259,60,6128,48,14,0,10,4,76,71,4,13,9,0,97,35,6,0,55,8,104,17,0,0,0,0,17,37,4,4,0,0,45,56,22,12,162,0,252,1082,243,169,753,39,2286,63,18,18,698,8823,9620,4773,2330,1650,55403,9786,73942
SED10007,337,2350,1633,29217,326,33863,12,167,84,4644,71,4978,416,27,43,175,8,669,129,27,13,89,0,258,389,163,100,410,7,1069,3057,2158,1622,25913,398,33148,397,15,122,39,0,573,106,27,23,184,0,340,535,202,125,1825,17,2704,108,43,24,138,7,320,98,31,18,43,0,190,437,30,14,19,0,500,734,542,314,9191,90,10871,341,180,74,849,0,1444,47,0,3,0,0,50,113,51,13,97,0,274,21,4,6,0,0,31,141,49,48,237,6,481,142,62,36,50,3,293,181,112,50,90,0,433,190,68,21,150,3,432,66,12,18,42,0,138,33,20,0,4,0,57,887,561,441,6636,72,8597,82,14,5,24,0,125,106,24,19,9,0,158,86,10,12,59,0,167,70,15,4,8,0,97,117,0,11,0,0,128,157,64,32,283,4,540,2385,423,333,931,32,4104,114,52,31,611,5747,6555,9697,4290,3012,56914,6577,80490
SED10008,1194,2360,1878,11865,81,17378,23,24,14,352,3,416,17455,167,449,291,118,18480,465,67,62,171,7,772,461,132,77,217,0,887,4453,1839,1277,10557,96,18222,1418,93,145,35,0,1691,223,27,32,112,4,398,690,150,111,896,5,1852,586,167,88,399,8,1248,181,49,14,51,5,300,7983,100,106,46,17,8252,1087,434,323,3985,26,5855,1332,414,203,1065,8,3022,2705,32,69,21,5,2832,965,267,156,491,5,1884,65,19,5,27,0,116,400,129,64,332,4,929,188,42,24,26,0,280,206,110,75,47,0,438,487,58,94,140,7,786,286,29,34,51,3,403,63,4,11,0,0,78,913,442,363,3173,16,4907,190,45,17,51,0,303,466,67,32,15,0,580,439,24,39,61,6,569,920,23,23,23,0,989,602,18,56,29,0,705,142,40,31,171,0,384,13141,829,714,865,50,15599,580,15,24,138,1943,2700,53573,4819,3817,24075,2331,88615
SED10009,382,2545,1874,24823,396,30020,10,111,43,3386,81,3631,247,35,32,156,0,470,222,47,16,67,4,356,735,211,125,366,16,1453,5257,2588,1864,22994,470,33173,267,19,82,17,3,388,180,37,28,175,6,426,1039,238,197,2135,39,3648,183,38,17,122,0,360,147,39,9,31,0,226,242,16,16,21,0,295,1007,604,389,7929,124,10053,503,203,79,763,19,1567,23,0,8,0,0,31,33,18,10,42,4,107,27,7,0,4,0,38,169,52,28,123,0,372,100,43,41,61,0,245,196,112,69,74,4,455,275,45,26,135,8,489,109,34,14,60,5,222,24,12,3,3,0,42,1298,608,501,6267,71,8745,61,10,9,13,0,93,119,32,18,20,0,189,119,9,13,60,0,201,29,6,10,7,0,52,79,5,3,7,0,94,211,74,25,230,4,544,2059,461,372,929,46,3867,101,37,21,523,4847,5529,12319,4776,3427,50135,5872,76529
SED10010,2173,2114,1462,10483,165,16397,33,159,67,1814,40,2113,4022,56,100,106,33,4317,541,76,44,138,5,804,302,89,51,173,8,623,3791,1426,909,8479,170,14775,8242,121,345,94,29,8831,141,11,9,59,0,220,527,115,76,639,12,1369,512,106,55,247,10,930,189,25,15,48,0,277,11606,68,58,27,35,11794,616,316,192,2771,28,3923,930,263,126,732,12,2063,908,5,25,6,0,944,1143,287,90,239,3,1762,82,5,11,15,3,116,1002,194,112,529,13,1850,692,122,93,28,10,945,339,111,65,50,0,565,609,57,38,103,0,807,186,12,23,36,0,257,863,120,57,38,12,1090,597,282,199,2023,27,3128,488,27,10,30,4,559,137,18,17,23,6,201,606,23,15,18,0,662,490,18,26,10,3,547,370,11,31,13,0,425,55,19,15,85,5,179,23734,967,617,845,145,26308,1141,58,16,197,5229,6641,58691,4318,2910,20478,5862,92259
