SED_CODE_2021,P_Germany_0_4,P_Germany_5_14,P_Germany_15_24,P_Germany_25_44,P_Germany_45_54,P_Germany_55_64,P_Germany_65_74,P_Germany_75_84,P_Germany_85ov,P_Germany_Tot,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_SAR_Ch_0_4,P_Hong_Kong_SAR_Ch_5_14,P_Hong_Kong_SAR_Ch_15_24,P_Hong_Kong_SAR_Ch_25_44,P_Hong_Kong_SAR_Ch_45_54,P_Hong_Kong_SAR_Ch_55_64,P_Hong_Kong_SAR_Ch_65_74,P_Hong_Kong_SAR_Ch_75_84,P_Hong_Kong_SAR_Ch_85ov,P_Hong_Kong_SAR_Ch_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_North_Macedonia_0_4,P_North_Macedonia_5_14,P_North_Macedonia_15_24,P_North_Macedonia_25_44,P_North_Macedonia_45_54,P_North_Macedonia_55_64,P_North_Macedonia_65_74,P_North_Macedonia_75_84,P_North_Macedonia_85ov,P_North_Macedonia_Tot
SED10001,3,0,6,25,16,47,136,96,31,363,0,0,0,3,4,4,10,18,15,57,0,3,3,17,3,8,5,0,0,42,19,45,90,838,56,36,29,12,8,1128,0,0,0,25,13,5,0,0,0,52,0,0,0,14,0,10,0,0,0,29,0,0,0,9,4,0,0,0,0,10,0,4,3,30,11,15,16,13,0,86,0,4,0,16,3,15,40,30,16,126,0,8,0,17,5,0,0,0,0,29,0,4,8,52,4,0,0,0,0,60,0,0,0,13,11,0,4,0,0,27,0,0,7,24,19,5,0,3,0,70,0,0,0,0,0,0,18,6,0,28,0,0,0,10,5,0,4,0,0,21,0,0,0,12,0,0,0,0,0,10,0,50,120,167,9,3,0,0,0,352,0,0,0,19,18,23,104,87,25,276,9,34,33,215,145,186,149,57,9,840,0,0,0,0,0,0,0,0,0,10
SED10002,0,0,8,50,31,15,23,13,7,155,3,5,0,12,6,21,42,69,28,181,7,38,115,533,151,236,157,21,5,1254,61,264,341,2594,318,203,107,46,18,3962,4,25,63,347,114,70,68,19,4,710,4,37,93,573,78,45,23,11,5,873,0,38,80,426,252,177,45,8,5,1040,0,3,3,69,13,4,20,7,4,125,0,0,11,79,24,52,78,90,69,415,8,3,12,101,37,11,3,9,4,183,47,138,445,3656,1071,873,363,169,36,6793,18,45,124,950,790,847,665,296,57,3802,7,31,93,701,143,99,83,45,0,1207,0,0,0,5,3,7,26,31,12,76,0,0,7,26,5,14,7,10,0,69,0,9,27,180,117,82,51,23,3,499,7,37,2782,3857,77,30,10,6,0,6806,0,3,4,17,9,0,3,7,3,41,10,75,158,395,133,126,74,10,0,979,0,0,0,11,0,8,20,22,3,67
SED10003,0,13,30,169,79,131,136,64,17,647,0,0,0,5,6,0,10,3,8,27,0,3,0,18,15,14,4,5,0,52,6,6,16,151,26,24,23,17,12,275,6,16,5,35,21,10,15,0,3,103,0,0,0,12,10,9,8,0,0,39,0,0,0,0,0,5,0,0,0,5,0,9,6,68,30,31,23,17,7,190,0,8,17,185,31,32,39,22,15,342,3,7,21,151,57,21,11,4,0,286,0,0,0,32,6,3,0,0,0,46,0,0,0,7,0,3,0,3,0,17,0,5,3,30,17,20,17,9,3,105,0,0,0,0,0,6,14,10,3,37,0,0,0,5,4,3,5,0,0,11,0,0,0,4,0,0,0,0,0,5,0,0,4,40,3,0,0,0,0,49,4,6,10,80,34,41,78,49,21,325,3,67,65,462,313,329,279,85,16,1625,0,0,0,0,3,5,0,0,0,6
SED10004,5,20,17,183,90,52,66,62,12,510,0,5,3,24,21,34,53,114,52,293,11,31,78,212,80,62,48,11,3,543,3,22,134,628,64,52,22,28,4,957,0,3,104,236,47,22,44,12,3,480,0,3,8,184,30,29,14,4,0,275,0,4,0,17,11,9,3,0,0,39,0,13,17,356,170,95,50,25,7,733,0,13,28,270,78,94,163,174,137,962,4,15,26,160,88,45,22,4,0,361,0,7,46,243,50,22,12,5,8,391,0,0,0,49,26,32,29,10,0,146,0,5,59,273,123,59,74,23,7,624,0,0,0,3,3,19,38,28,15,106,0,0,0,15,4,9,3,3,5,44,0,0,18,29,7,6,9,4,0,72,0,3,22,60,3,0,0,0,0,93,0,14,16,72,39,18,33,21,6,210,4,21,109,711,501,400,271,78,14,2108,0,0,4,18,8,14,10,3,7,65
SED10005,0,0,6,36,12,11,57,47,15,181,0,15,24,35,44,79,190,253,89,722,3,5,14,156,24,66,45,5,4,322,7,61,77,616,106,69,55,21,14,1026,3,15,40,261,146,92,58,16,11,647,0,18,46,174,13,23,13,8,0,287,0,46,88,429,221,132,50,23,10,1006,0,0,0,10,7,16,22,12,6,68,0,0,7,19,21,78,117,183,120,547,0,4,9,19,21,12,4,3,0,70,5,8,35,161,120,99,53,40,19,539,27,108,267,1915,1432,1454,952,394,98,6647,12,24,40,259,77,53,51,16,3,534,0,0,0,0,6,3,32,38,14,99,0,0,0,24,15,35,29,14,9,132,0,0,11,82,24,29,22,3,0,170,0,0,102,231,8,11,0,0,0,355,0,0,0,7,0,0,9,15,12,43,9,90,197,393,122,129,63,11,0,1016,0,5,15,99,120,215,246,123,49,871
SED10006,4,0,4,22,18,26,41,37,11,164,0,0,0,0,0,0,4,14,0,20,0,0,0,4,3,0,4,0,0,10,13,21,13,224,9,12,5,0,0,304,0,3,5,18,6,0,0,0,0,33,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,3,0,0,7,34,13,0,6,8,3,63,0,0,0,6,0,5,9,8,16,52,0,3,0,6,3,6,0,0,0,18,0,0,3,20,0,0,0,0,0,25,0,0,4,0,0,0,4,0,0,7,0,0,0,14,13,9,4,0,5,42,0,0,0,0,0,0,12,13,5,29,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,7,68,0,0,0,0,0,83,0,0,0,12,0,10,41,18,0,83,0,10,11,114,69,96,83,31,9,421,0,0,0,0,0,0,0,0,0,8
SED10007,0,3,0,10,17,32,89,71,13,243,0,0,0,4,3,9,16,3,11,45,0,6,9,10,0,9,7,0,0,41,6,33,48,307,42,19,19,9,0,485,0,4,4,22,9,4,15,7,3,62,0,7,4,24,13,3,3,5,0,47,0,0,0,8,4,3,0,0,0,23,0,7,5,22,29,24,33,9,6,135,0,4,0,8,5,24,35,23,16,119,0,4,4,5,16,4,3,0,5,41,0,0,0,29,6,6,0,0,0,45,0,0,0,15,14,12,22,6,0,74,0,0,11,23,32,19,10,3,4,92,0,0,0,5,3,10,19,8,0,48,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,4,31,161,7,0,3,0,0,210,0,0,0,13,13,23,64,67,10,191,6,17,58,187,173,190,156,59,5,838,0,0,0,0,0,0,0,0,0,9
SED10008,0,10,18,43,37,30,74,83,13,303,0,0,0,6,7,24,46,59,22,170,5,75,94,471,211,536,417,60,18,1888,27,441,310,2834,1053,627,430,200,65,5984,3,12,34,236,110,61,75,34,9,575,3,64,73,661,211,139,81,25,11,1269,0,7,6,33,20,20,8,5,4,99,0,13,17,54,35,45,41,22,5,231,4,0,7,35,29,72,139,109,40,423,0,12,19,42,34,16,11,7,0,143,7,108,149,614,513,286,156,61,16,1919,0,0,11,60,111,103,80,45,5,423,4,37,60,280,151,189,263,115,26,1132,0,0,0,0,3,21,44,46,19,145,0,0,3,12,11,29,24,9,3,94,0,0,4,40,34,23,24,9,4,137,0,7,19,105,32,9,3,0,0,172,0,5,10,18,13,21,30,32,17,145,7,76,163,246,187,187,123,57,10,1060,0,0,0,11,6,8,8,0,0,34
SED10009,0,5,4,39,41,97,183,139,45,545,0,0,0,0,0,10,22,27,5,65,0,0,4,13,0,4,11,4,0,44,4,20,15,149,18,24,16,18,3,258,0,0,0,15,5,0,11,5,0,44,0,0,0,8,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,9,8,27,18,33,43,22,9,165,0,0,0,8,9,32,68,33,12,169,0,10,0,10,6,5,12,0,0,49,0,0,0,13,3,8,0,0,0,26,0,0,0,8,0,3,6,0,0,14,0,0,0,16,15,22,14,3,4,76,0,0,0,0,3,18,36,18,4,80,0,0,0,0,0,5,6,3,0,14,0,0,0,0,0,0,0,0,0,3,0,0,3,83,0,0,0,0,0,95,0,0,7,16,18,37,157,106,35,379,0,4,24,148,157,250,259,101,18,966,0,0,0,0,0,3,7,9,0,20
SED10010,0,0,14,23,18,21,64,53,20,220,0,7,6,11,13,27,74,71,18,241,0,12,10,74,45,70,53,9,0,275,94,552,1833,7799,1086,557,345,119,33,12425,0,7,18,153,88,59,58,21,6,409,0,24,47,177,60,59,41,21,4,429,4,17,31,78,58,32,16,3,4,255,0,11,0,23,13,25,21,18,4,107,0,3,4,24,19,57,118,101,60,387,0,4,7,12,6,6,3,0,0,43,0,24,35,241,138,139,81,38,7,698,0,19,21,128,127,167,137,47,12,653,0,12,13,117,40,60,45,14,7,310,0,0,0,11,19,91,232,157,50,559,0,0,3,20,12,22,31,23,7,117,0,10,23,124,92,66,44,15,3,378,3,37,173,735,64,25,13,3,0,1049,0,6,0,3,6,13,32,44,23,132,20,150,297,626,275,204,102,21,3,1694,0,0,0,8,8,16,21,13,0,63
