SED_CODE_2021,MSEO_SEO,MSEO_UOLSE_VWorW,MSEO_UOLSE_NWorNAA,MSEO_UOLSE_Tot,MSEO_NS,MSEO_Tot,MOL_Afrikaans_SEO,MOL_Afrikaans_UOLSE_VWorW,MOL_Afrikaans_UOLSE_NWorNAA,MOL_Afrikaans_UOLSE_Tot,MOL_Afrikaans_NS,MOL_Afrikaans_Tot,MOL_Arabic_SEO,MOL_Arabic_UOLSE_VWorW,MOL_Arabic_UOLSE_NWorNAA,MOL_Arabic_UOLSE_Tot,MOL_Arabic_NS,MOL_Arabic_Tot,MOL_AIndLng_SEO,MOL_AIndLng_UOLSE_VWorW,MOL_AIndLng_UOLSE_NWorNAA,MOL_AIndLng_UOLSE_Tot,MOL_AIndLng_NS,MOL_AIndLng_Tot,MOL_CL_Canton_SEO,MOL_CL_Canton_UOLSE_VWorW,MOL_CL_Canton_UOLSE_NWorNAA,MOL_CL_Canton_UOLSE_Tot,MOL_CL_Canton_NS,MOL_CL_Canton_Tot,MOL_CL_Mandarin_SEO,MOL_CL_Mandarin_UOLSE_VWorW,MOL_CL_Mandarin_UOLSE_NWorNAA,MOL_CL_Mandarin_UOLSE_Tot,MOL_CL_Mandarin_NS,MOL_CL_Mandarin_Tot,MOL_CL_Oth_SEO,MOL_CL_Oth_UOLSE_VWorW,MOL_CL_Oth_UOLSE_NWorNAA,MOL_CL_Oth_UOLSE_Tot,MOL_CL_Oth_NS,MOL_CL_Oth_Tot,MOL_CL_Tot_SEO,MOL_CL_Tot_UOLSE_VWorW,MOL_CL_Tot_UOLSE_NWorNAA,MOL_CL_Tot_UOLSE_Tot,MOL_CL_Tot_NS,MOL_CL_Tot_Tot,MOL_Croatian_SEO,MOL_Croatian_UOLSE_VWorW,MOL_Croatian_UOLSE_NWorNAA,MOL_Croatian_UOLSE_Tot,MOL_Croatian_NS,MOL_Croatian_Tot,MOL_French_SEO,MOL_French_UOLSE_VWorW,MOL_French_UOLSE_NWorNAA,MOL_French_UOLSE_Tot,MOL_French_NS,MOL_French_Tot,MOL_German_SEO,MOL_German_UOLSE_VWorW,MOL_German_UOLSE_NWorNAA,MOL_German_UOLSE_Tot,MOL_German_NS,MOL_German_Tot,MOL_Greek_SEO,MOL_Greek_UOLSE_VWorW,MOL_Greek_UOLSE_NWorNAA,MOL_Greek_UOLSE_Tot,MOL_Greek_NS,MOL_Greek_Tot,MOL_IAL_Bengali_SEO,MOL_IAL_Bengali_UOLSE_VWorW,MOL_IAL_Bengali_UOLSE_NWorNAA,MOL_IAL_Bengali_UOLSE_Tot,MOL_IAL_Bengali_NS,MOL_IAL_Bengali_Tot,MOL_IAL_Guj_SEO,MOL_IAL_Guj_UOLSE_VWorW,MOL_IAL_Guj_UOLSE_NWorNAA,MOL_IAL_Guj_UOLSE_Tot,MOL_IAL_Guj_NS,MOL_IAL_Guj_Tot,MOL_IAL_Hindi_SEO,MOL_IAL_Hindi_UOLSE_VWorW,MOL_IAL_Hindi_UOLSE_NWorNAA,MOL_IAL_Hindi_UOLSE_Tot,MOL_IAL_Hindi_NS,MOL_IAL_Hindi_Tot,MOL_IAL_Nepali_SEO,MOL_IAL_Nepali_UOLSE_VWorW,MOL_IAL_Nepali_UOLSE_NWorNAA,MOL_IAL_Nepali_UOLSE_Tot,MOL_IAL_Nepali_NS,MOL_IAL_Nepali_Tot,MOL_IAL_Punjabi_SEO,MOL_IAL_Punjabi_UOLSE_VWorW,MOL_IAL_Punjabi_UOLSE_NWorNAA,MOL_IAL_Punjabi_UOLSE_Tot,MOL_IAL_Punjabi_NS,MOL_IAL_Punjabi_Tot,MOL_IAL_Sinhal_SEO,MOL_IAL_Sinhal_UOLSE_VWorW,MOL_IAL_Sinhal_UOLSE_NWorNAA,MOL_IAL_Sinhal_UOLSE_Tot,MOL_IAL_Sinhal_NS,MOL_IAL_Sinhal_Tot,MOL_IAL_Urdu_SEO,MOL_IAL_Urdu_UOLSE_VWorW,MOL_IAL_Urdu_UOLSE_NWorNAA,MOL_IAL_Urdu_UOLSE_Tot,MOL_IAL_Urdu_NS,MOL_IAL_Urdu_Tot,MOL_IAL_Oth_SEO,MOL_IAL_Oth_UOLSE_VWorW,MOL_IAL_Oth_UOLSE_NWorNAA,MOL_IAL_Oth_UOLSE_Tot,MOL_IAL_Oth_NS,MOL_IAL_Oth_Tot,MOL_IAL_Tot_SEO,MOL_IAL_Tot_UOLSE_VWorW,MOL_IAL_Tot_UOLSE_NWorNAA,MOL_IAL_Tot_UOLSE_Tot,MOL_IAL_Tot_NS,MOL_IAL_Tot_Tot,MOL_Italian_SEO,MOL_Italian_UOLSE_VWorW,MOL_Italian_UOLSE_NWorNAA,MOL_Italian_UOLSE_Tot,MOL_Italian_NS,MOL_Italian_Tot,MOL_Japan_SEO,MOL_Japan_UOLSE_VWorW,MOL_Japan_UOLSE_NWorNAA,MOL_Japan_UOLSE_Tot,MOL_Japan_NS,MOL_Japan_Tot,MOL_Khmer_SEO,MOL_Khmer_UOLSE_VWorW,MOL_Khmer_UOLSE_NWorNAA,MOL_Khmer_UOLSE_Tot,MOL_Khmer_NS,MOL_Khmer_Tot,MOL_Korean_SEO,MOL_Korean_UOLSE_VWorW,MOL_Korean_UOLSE_NWorNAA,MOL_Korean_UOLSE_Tot,MOL_Korean_NS,MOL_Korean_Tot,MOL_Macedon_SEO,MOL_Macedon_UOLSE_VWorW,MOL_Macedon_UOLSE_NWorNAA,MOL_Macedon_UOLSE_Tot,MOL_Macedon_NS,MOL_Macedon_Tot,MOL_Malayalam_SEO,MOL_Malayalam_UOLSE_VWorW,MOL_Malayalam_UOLSE_NWorNAA,MOL_Malayalam_UOLSE_Tot,MOL_Malayalam_NS,MOL_Malayalam_Tot,MOL_Persian_ED_SEO,MOL_Persian_ED_UOLSE_VWorW,MOL_Persian_ED_UOLSE_NWorNAA,MOL_Persian_ED_UOLSE_Tot,MOL_Persian_ED_NS,MOL_Persian_ED_Tot,MOL_Polish_SEO,MOL_Polish_UOLSE_VWorW,MOL_Polish_UOLSE_NWorNAA,MOL_Polish_UOLSE_Tot,MOL_Polish_NS,MOL_Polish_Tot,MOL_Portuguese_SEO,MOL_Portuguese_UOLSE_VWorW,MOL_Portuguese_UOLSE_NWorNAA,MOL_Portuguese_UOLSE_Tot,MOL_Portuguese_NS,MOL_Portuguese_Tot,MOL_Russian_SEO,MOL_Russian_UOLSE_VWorW,MOL_Russian_UOLSE_NWorNAA,MOL_Russian_UOLSE_Tot,MOL_Russian_NS,MOL_Russian_Tot,MOL_Samoan_SEO,MOL_Samoan_UOLSE_VWorW,MOL_Samoan_UOLSE_NWorNAA,MOL_Samoan_UOLSE_Tot,MOL_Samoan_NS,MOL_Samoan_Tot,MOL_Serbian_SEO,MOL_Serbian_UOLSE_VWorW,MOL_Serbian_UOLSE_NWorNAA,MOL_Serbian_UOLSE_Tot,MOL_Serbian_NS,MOL_Serbian_Tot,MOL_SAL_Filipin_SEO,MOL_SAL_Filipin_UOLSE_VWorW
SED10001,36119,..,..,..,..,36119,..,32,6,32,0,32,..,53,3,60,6,60,..,47,0,46,0,46,..,22,13,33,5,36,..,81,22,105,0,103,..,0,0,0,0,0,..,107,32,134,3,143,..,28,4,32,0,32,..,27,0,27,0,27,..,63,0,66,0,67,..,70,3,73,4,72,..,39,0,42,0,47,..,39,0,42,0,42,..,90,0,90,0,90,..,269,132,404,10,408,..,393,25,418,5,426,..,24,0,31,0,28,..,47,9,54,0,56,..,18,0,18,0,18,..,923,177,1100,15,1119,..,65,9,85,0,81,..,26,3,32,0,33,..,6,0,6,0,6,..,25,5,32,0,32,..,3,0,3,0,3,..,62,8,67,0,63,..,12,0,11,0,11,..,14,3,16,0,14,..,10,0,10,0,10,..,16,0,16,0,16,..,7,0,7,0,7,..,11,4,19,0,19,..,47
SED10002,13085,..,..,..,..,13085,..,12,0,16,0,16,..,5149,1047,6198,45,6243,..,6,0,6,0,6,..,2421,1229,3650,16,3666,..,3943,4301,8245,83,8329,..,233,159,388,0,391,..,6596,5694,12287,98,12381,..,209,38,242,0,244,..,63,9,69,0,69,..,37,0,40,0,40,..,203,34,247,6,249,..,340,27,369,0,374,..,152,7,164,0,167,..,655,22,682,5,690,..,3657,123,3783,20,3799,..,274,21,294,0,298,..,75,5,76,0,76,..,2215,136,2353,19,2377,..,66,0,69,0,70,..,7436,351,7782,55,7846,..,215,34,249,0,251,..,65,22,90,0,91,..,24,0,22,0,22,..,2493,1478,3966,22,3988,..,25,8,36,0,36,..,115,6,126,0,126,..,401,107,508,3,512,..,57,6,63,0,63,..,117,18,139,0,135,..,120,13,131,0,133,..,62,4,61,0,61,..,60,12,71,0,70,..,264
SED10003,34029,..,..,..,..,34029,..,26,4,32,0,32,..,27,0,26,0,26,..,39,0,39,0,41,..,21,6,34,0,34,..,40,0,43,0,43,..,5,0,7,0,7,..,71,16,79,0,79,..,7,0,7,0,7,..,215,10,228,7,235,..,253,3,259,3,262,..,37,3,37,0,36,..,8,0,8,0,8,..,6,0,10,0,10,..,30,0,30,0,30,..,19,0,23,0,23,..,84,7,95,0,96,..,8,0,8,0,8,..,11,0,11,0,11,..,3,0,3,0,3,..,159,12,176,0,177,..,226,10,239,4,237,..,109,20,128,0,127,..,3,0,3,0,3,..,6,3,12,0,12,..,9,0,9,0,9,..,9,0,9,0,12,..,9,0,13,0,13,..,20,0,18,0,18,..,187,10,192,3,198,..,17,4,19,0,19,..,0,0,0,0,0,..,7,0,7,0,7,..,18
SED10004,30206,..,..,..,..,30206,..,30,0,30,0,30,..,206,17,224,0,229,..,15,0,15,0,13,..,416,111,527,4,530,..,1066,249,1322,12,1333,..,59,15,75,0,78,..,1546,376,1918,16,1937,..,67,0,73,0,74,..,265,7,269,5,276,..,221,13,225,0,232,..,325,49,370,4,374,..,42,0,42,0,44,..,25,0,25,0,27,..,225,0,230,0,230,..,50,4,54,0,54,..,30,0,30,0,30,..,32,0,32,0,32,..,43,0,43,0,43,..,42,0,45,0,44,..,500,7,511,0,513,..,614,83,695,7,702,..,152,15,170,0,170,..,7,5,11,0,11,..,103,25,126,0,131,..,44,0,43,0,43,..,26,0,26,0,23,..,126,4,130,0,130,..,75,5,77,0,77,..,189,33,222,3,221,..,103,12,116,6,121,..,4,0,8,0,8,..,69,8,78,0,78,..,56
SED10005,12527,..,..,..,..,12527,..,5,0,5,0,5,..,9270,1542,10809,85,10903,..,3,0,3,0,3,..,908,492,1400,12,1412,..,896,844,1742,12,1755,..,97,42,146,0,144,..,1901,1383,3282,24,3310,..,112,6,116,0,116,..,58,0,59,0,59,..,18,0,18,0,18,..,643,115,761,0,767,..,769,48,818,9,824,..,13,0,13,0,13,..,246,4,256,0,259,..,166,8,172,5,177,..,86,9,88,0,88,..,32,0,31,0,31,..,1408,81,1484,21,1506,..,74,5,78,0,79,..,2791,142,2939,36,2971,..,278,49,324,4,322,..,25,0,31,0,31,..,52,9,65,0,65,..,173,126,308,0,310,..,574,131,708,7,712,..,26,0,26,0,26,..,70,24,97,0,97,..,89,9,98,0,98,..,80,34,114,0,108,..,35,0,40,0,39,..,154,16,167,3,168,..,52,11,72,0,66,..,114
SED10006,31060,..,..,..,..,31060,..,37,0,36,0,36,..,31,3,35,0,35,..,72,0,76,0,76,..,24,9,27,0,27,..,44,13,57,0,57,..,3,0,3,0,3,..,68,23,90,0,90,..,7,3,13,0,13,..,15,0,16,0,13,..,46,0,51,0,48,..,21,4,28,0,27,..,17,0,17,0,17,..,38,4,42,0,42,..,17,0,17,0,17,..,42,0,47,0,47,..,36,0,34,0,34,..,12,0,13,0,13,..,30,0,31,0,31,..,0,0,0,0,0,..,185,5,188,0,188,..,34,5,41,0,43,..,4,5,8,0,8,..,0,0,3,0,3,..,11,5,14,0,14,..,0,0,0,0,0,..,41,7,55,0,51,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,3,0,3,0,3,..,9,0,9,0,9,..,12,4,18,0,18,..,66
SED10007,34920,..,..,..,..,34920,..,41,0,41,0,41,..,105,11,118,0,118,..,47,0,47,0,51,..,42,34,71,0,72,..,62,10,72,0,70,..,6,0,3,0,3,..,104,39,147,0,146,..,28,4,33,0,33,..,33,0,33,0,34,..,52,3,62,0,62,..,38,8,45,0,44,..,29,3,33,0,33,..,19,0,19,0,19,..,56,8,60,0,60,..,108,6,113,0,113,..,87,20,109,0,110,..,25,0,25,0,25,..,60,0,60,4,64,..,3,0,3,0,3,..,397,32,434,0,433,..,46,6,56,0,56,..,17,0,17,0,19,..,3,3,6,0,6,..,8,7,20,0,20,..,0,0,3,0,3,..,37,5,42,0,42,..,22,0,23,0,27,..,18,4,21,0,21,..,8,0,7,0,7,..,9,0,9,0,9,..,11,0,11,0,11,..,16,5,19,0,19,..,32
SED10008,23723,..,..,..,..,23723,..,92,3,95,0,95,..,732,36,774,5,773,..,0,0,0,0,0,..,2032,300,2334,15,2351,..,3773,1082,4856,47,4905,..,119,20,138,0,138,..,5927,1408,7331,69,7397,..,143,12,154,0,155,..,64,0,67,0,67,..,80,0,78,0,78,..,248,26,273,0,273,..,254,7,263,0,264,..,316,11,325,4,321,..,1329,24,1349,10,1357,..,97,0,100,0,100,..,576,20,593,4,594,..,409,7,422,0,424,..,418,5,426,0,426,..,259,5,261,0,262,..,3669,78,3740,20,3760,..,229,20,245,4,248,..,66,7,77,0,77,..,12,0,10,0,10,..,928,257,1187,10,1194,..,22,0,22,0,22,..,157,5,158,0,154,..,651,76,727,9,732,..,115,5,121,0,121,..,73,5,82,0,82,..,97,9,110,0,110,..,12,0,7,0,7,..,64,4,70,0,70,..,135
SED10009,33514,..,..,..,..,33514,..,25,0,25,0,25,..,15,0,15,0,16,..,47,0,51,4,51,..,17,7,25,0,25,..,37,16,50,0,50,..,0,0,0,0,0,..,58,21,79,0,79,..,40,9,50,0,50,..,57,0,55,5,61,..,98,8,101,7,104,..,61,5,74,0,72,..,3,0,5,0,5,..,4,0,4,0,4,..,19,0,19,0,19,..,55,0,52,0,56,..,26,3,30,0,30,..,7,0,7,0,7,..,3,0,3,0,3,..,4,0,3,0,3,..,127,4,129,0,132,..,94,11,107,0,110,..,8,0,6,0,6,..,0,0,0,0,0,..,3,3,5,0,5,..,11,0,11,0,4,..,47,5,49,0,52,..,6,0,6,0,6,..,12,4,11,0,19,..,17,0,15,0,15,..,20,0,24,0,24,..,3,0,3,0,3,..,12,3,16,0,16,..,17
SED10010,20700,..,..,..,..,20700,..,18,0,18,0,18,..,1412,247,1653,13,1666,..,18,0,18,0,18,..,345,179,531,5,527,..,465,338,799,13,808,..,33,7,45,0,45,..,841,529,1371,15,1387,..,179,15,198,0,198,..,58,4,69,0,69,..,43,0,43,0,43,..,239,43,288,0,290,..,481,24,501,0,501,..,1072,58,1131,9,1138,..,1815,70,1886,19,1901,..,604,61,664,6,675,..,3660,324,3982,27,4013,..,200,11,211,0,211,..,534,51,590,10,594,..,268,11,277,0,281,..,8627,613,9240,73,9316,..,189,33,217,6,220,..,15,0,15,0,19,..,24,0,20,0,20,..,267,157,429,4,428,..,28,7,34,0,34,..,218,11,229,3,231,..,193,62,255,0,257,..,126,28,156,0,156,..,49,9,55,0,55,..,62,3,65,0,67,..,220,30,253,3,260,..,183,58,241,0,241,..,879
