SED_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10001,1588,940,911,936,966,974,830,498,199,7842,15687,9653,9893,9814,10195,11228,10365,5955,2205,84995
SED10002,1880,1552,2677,1986,1298,1046,590,305,176,11510,20118,15909,27618,18293,12551,11404,7278,3370,1282,117823
SED10003,1470,833,1029,1141,1110,1124,938,481,262,8388,13355,7489,9135,10398,11100,11705,11211,5601,2422,82416
SED10004,743,712,1119,1013,826,697,464,264,164,6002,12437,8824,15425,14321,11947,9054,6946,3237,1075,83266
SED10005,2454,1456,1684,1516,1240,965,679,414,355,10763,20465,12983,14649,12398,10993,10347,7154,3764,1919,94672
SED10006,2369,1313,1314,1261,1362,1506,1159,748,351,11383,14011,7654,8820,7759,8845,10715,8899,5201,2038,73942
SED10007,1459,1104,1268,1182,1123,967,847,486,158,8594,14511,9446,9491,8907,10149,10944,9654,5444,1941,80487
SED10008,768,455,436,563,518,467,359,247,171,3984,17760,10515,8587,13963,12002,10418,8888,4919,1554,88606
SED10009,1257,724,610,653,919,1158,1065,603,338,7327,11043,6286,6201,6895,9107,13267,14047,7104,2582,76532
SED10010,1599,1063,1346,1155,913,748,443,268,118,7653,18028,11928,15398,14467,10650,9587,7253,3547,1399,92257
SED10011,861,480,413,557,627,573,487,328,223,4549,12567,7358,6700,8908,10062,10340,9808,4876,1644,72263
SED10012,1393,955,950,880,895,944,564,345,279,7205,14613,12105,11101,10023,11201,11673,8272,3696,1741,84425
SED10013,2229,1072,1219,1306,1019,703,460,272,207,8487,32671,16059,21176,20491,15774,11547,8184,3922,1443,131267
SED10014,1889,1078,1095,1067,846,754,524,338,148,7739,17723,11126,12224,11637,9591,9305,7647,3668,962,83883
SED10015,1172,905,1344,1197,1036,861,578,458,343,7894,15004,11175,15074,13657,12879,11028,7751,5144,2355,94067
SED10016,963,709,530,703,754,506,335,204,136,4840,22901,13872,10839,17090,14958,10741,8082,4120,1305,103908
SED10017,1630,1050,1349,1196,1059,855,613,356,161,8269,17988,10488,12545,11366,10759,10164,8727,4151,1561,87749
SED10018,1040,605,618,615,634,548,438,277,188,4963,14472,8826,9115,9923,9887,8975,7483,5096,2215,75992
SED10019,1588,1042,1221,1174,1116,1155,929,540,238,9003,12969,7674,7499,7735,9332,11733,11651,6572,2524,77689
SED10020,1318,795,838,877,852,816,660,499,326,6981,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
SED10021,834,544,1388,981,717,536,464,357,430,6251,12953,7678,18084,13545,10811,8041,5876,3698,1959,82645
SED10022,1456,954,947,1008,1021,1000,859,609,222,8076,13146,7512,7264,7467,8658,10269,9931,5925,2266,72438
SED10023,894,594,599,621,707,606,435,266,210,4932,14118,9388,9116,9963,11042,10139,8055,4469,2102,78392
SED10024,672,458,241,400,549,449,334,258,210,3571,16416,10408,5368,10375,12680,9756,7746,5827,2489,81065
SED10025,749,497,829,721,622,559,495,323,335,5130,13129,8127,12901,12576,10965,9676,7756,4571,2140,81841
SED10026,2264,1214,1585,1369,1213,1073,782,516,253,10269,17278,9044,11642,9931,9666,10007,8148,4966,1842,82524
SED10027,1291,756,840,815,761,646,471,399,446,6425,16471,10610,10359,11250,10610,9961,7258,4263,2236,83018
SED10028,634,449,435,524,484,444,340,367,404,4081,16546,10830,9443,12926,11792,10886,8255,4884,2882,88444
SED10029,1872,1187,1206,1192,1102,1007,719,419,269,8973,17739,12936,12585,11645,12037,11768,8272,4466,1946,93394
SED10030,1092,715,758,729,823,826,694,437,213,6287,12880,8199,9080,9907,10178,10678,9324,5868,2423,78537
SED10031,1474,838,888,925,1030,1029,870,538,250,7842,14573,8483,8576,9073,10911,11725,10594,5844,1996,81775
SED10032,2358,1401,2184,1766,1117,889,510,286,103,10614,21246,13540,20354,16733,11078,9519,6544,3633,1416,104063
SED10033,1181,807,762,727,825,723,480,317,163,5985,14964,10147,9674,9116,10978,10086,7510,4153,1388,78016
SED10034,817,519,455,507,605,501,372,272,174,4222,15191,9211,8649,10686,10842,9483,7488,4338,1810,77698
SED10035,815,1398,2592,1383,792,658,440,245,122,8445,13280,16748,35990,20424,11749,8601,5849,3363,1358,117362
SED10036,1607,1042,1003,1001,825,670,466,435,382,7431,19810,12533,11819,12631,11889,9975,6520,3586,1534,90297
SED10037,761,514,397,542,627,452,384,240,149,4066,16075,10096,8260,12238,12600,10406,7798,4590,1550,83613
SED10038,960,912,547,665,671,606,440,345,253,5399,15339,11013,9016,10559,10897,10015,8052,5069,2319,82279
SED10039,1192,797,898,902,799,762,679,392,269,6690,14105,8488,9129,8985,9367,10858,10277,5637,2215,79061
SED10040,904,772,1080,814,655,629,505,419,434,6212,14259,12240,17323,13214,10781,10631,8062,4711,2501,93722
SED10041,699,499,380,514,578,466,335,295,309,4075,16538,10547,7950,12857,12520,9960,7733,5487,3235,86827
SED10042,1204,701,623,656,693,668,614,488,299,5946,13583,8906,8862,8836,9671,10646,10201,6432,2573,79710
SED10043,2199,1340,1545,1324,1025,921,605,368,178,9505,20991,12708,15163,13334,10611,10080,7180,4146,1786,95999
SED10044,755,521,703,774,602,513,440,395,672,5375,15857,9443,13224,14576,12049,9649,7498,4538,2363,89197
