SED_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SED10001,105,2221,221,2547,118,2007,199,2330,340,4137,419,4898,534,3800,396,4723,676,3872,395,4946,817,4280,380,5481,577,4189,339,5108,305,2233,237,2780,84,670,103,858,3566,27407,2690,33662,128,2149,207,2484,183,1955,159,2295,591,4069,335,4997,918,3829,347,5088,1145,3807,303,5243,1384,4020,346,5748,913,4032,321,5262,363,2469,338,3171,74,1120,158,1350,5691,27443,2512,35646,233,4369,427,5030,303,3963,360,4622,928,8207,751,9893,1448,7630,739,9814,1822,7672,696,10195,2198,8303,730,11228,1490,8216,662,10365,664,4704,581,5955,164,1789,260,2205,9254,54849,5199,69309
SED10002,123,2393,254,2769,208,4837,679,5719,633,12510,1788,14938,689,8034,1288,10011,621,5132,776,6531,565,4602,511,5682,330,3004,289,3623,147,1357,162,1666,41,404,108,554,3355,42271,5863,51488,146,2253,206,2604,251,4130,446,4824,874,10711,1098,12685,980,6584,720,8277,911,4654,460,6021,852,4467,404,5726,461,2951,244,3655,166,1412,127,1710,25,611,89,725,4659,37771,3791,46221,268,4643,457,5369,452,8963,1126,10542,1508,23218,2891,27618,1665,14621,2004,18293,1533,9782,1240,12551,1417,9073,912,11404,794,5955,528,7278,309,2768,294,3370,66,1020,201,1282,8012,80043,9653,97708
SED10003,100,1820,215,2137,76,1406,145,1627,255,3522,456,4232,401,4082,469,4952,670,4099,405,5174,840,4299,422,5555,628,4483,399,5507,287,2154,190,2631,99,700,107,900,3349,26577,2797,32722,116,1699,166,1984,118,1447,174,1737,348,4080,477,4902,723,4266,456,5444,1177,4314,438,5925,1416,4319,414,6151,957,4375,365,5701,373,2354,244,2970,74,1206,238,1520,5307,28059,2972,36335,216,3527,382,4119,196,2852,317,3366,606,7601,932,9135,1121,8348,925,10398,1842,8416,843,11100,2258,8617,829,11705,1584,8860,759,11211,659,4503,436,5601,177,1906,344,2422,8651,54629,5768,69054
SED10004,59,1518,88,1664,103,2247,195,2546,299,6646,461,7403,470,6170,401,7035,655,4820,312,5795,585,3504,258,4345,358,2655,182,3192,131,1229,113,1475,34,329,64,426,2680,29114,2082,33882,71,1449,93,1612,144,2678,186,3002,442,7088,491,8018,705,6229,357,7285,1021,4865,268,6156,944,3544,222,4711,586,3003,168,3758,161,1483,115,1760,29,517,106,650,4095,30852,2005,36952,124,2967,182,3276,241,4923,378,5549,741,13731,954,15425,1175,12396,748,14321,1677,9690,586,11947,1529,7046,477,9054,943,5652,353,6946,289,2712,231,3237,60,848,172,1075,6781,59967,4085,70834
SED10005,136,2769,322,3227,192,2866,430,3483,465,5938,913,7316,611,4799,800,6203,636,4157,582,5376,552,4211,424,5187,302,2904,283,3498,155,1438,209,1802,55,568,121,746,3104,29661,4075,36840,158,2545,275,2973,220,2775,302,3299,755,5851,724,7332,1004,4532,657,6198,930,4195,487,5611,847,3922,385,5156,447,2899,318,3658,155,1576,228,1958,38,886,255,1173,4553,29179,3628,37363,293,5312,599,6200,412,5638,732,6784,1215,11796,1636,14649,1617,9327,1459,12398,1565,8356,1073,10993,1404,8139,803,10347,748,5807,597,7154,311,3015,434,3764,96,1455,369,1919,7661,58842,7699,74197
SED10006,79,1654,359,2089,102,1496,275,1872,252,3357,594,4201,370,2858,546,3778,558,3228,605,4387,765,3958,687,5413,438,3661,576,4674,234,1893,372,2498,78,567,126,772,2879,22671,4142,29688,114,1544,320,1980,104,1357,257,1715,474,3548,594,4616,646,2780,563,3984,843,3016,592,4452,1136,3557,611,5308,637,3073,505,4223,290,1975,438,2698,69,935,266,1264,4310,21775,4155,30242,187,3192,681,4069,204,2852,527,3586,726,6901,1191,8820,1018,5638,1104,7759,1402,6245,1204,8845,1905,7513,1303,10715,1081,6739,1080,8899,527,3862,807,5201,141,1501,392,2038,7193,44444,8297,59934
SED10007,109,2230,239,2582,124,1977,346,2440,294,3792,791,4877,450,3420,678,4553,728,3755,499,4983,809,4215,434,5454,535,3959,377,4870,290,2120,244,2657,72,588,54,715,3403,26051,3671,33124,135,2008,159,2303,152,1826,150,2121,512,3810,300,4617,734,3332,292,4356,1205,3620,330,5163,1232,3957,300,5486,726,3728,333,4787,324,2209,255,2784,47,1077,103,1230,5058,25567,2227,32851,244,4244,400,4888,271,3794,493,4557,796,7602,1095,9491,1184,6757,973,8907,1933,7376,837,10149,2048,8174,729,10944,1265,7685,706,9654,610,4331,503,5444,116,1662,161,1941,8465,51620,5899,65979
SED10008,125,2608,74,2814,143,2479,85,2711,248,3785,164,4195,603,5837,228,6667,782,4909,145,5835,721,4197,120,5040,456,3635,108,4191,272,2046,97,2417,62,490,74,627,3417,29989,1096,34506,107,2393,60,2560,137,2246,51,2438,354,3865,169,4392,912,6173,212,7289,1117,4906,149,6168,1051,4198,131,5379,698,3879,117,4700,239,2126,138,2502,42,726,159,925,4646,30509,1186,36350,232,5002,131,5369,286,4723,140,5151,601,7651,337,8587,1513,12010,438,13963,1892,9821,292,12002,1766,8399,250,10418,1156,7511,228,8888,509,4174,237,4919,108,1212,234,1554,8069,60501,2284,70857
SED10009,90,1615,239,1947,83,1164,132,1384,241,2511,264,3023,358,2660,252,3279,540,3435,364,4348,958,4809,460,6229,795,5812,488,7095,365,2811,310,3490,112,794,142,1047,3556,25618,2656,31831,112,1405,196,1712,95,1032,114,1243,348,2575,259,3181,632,2693,296,3614,1011,3408,341,4763,1501,5090,446,7035,1067,5465,424,6951,417,2852,340,3615,71,1222,239,1532,5253,25750,2651,33650,205,3019,429,3656,181,2196,249,2624,588,5093,524,6201,991,5353,550,6895,1560,6845,706,9107,2458,9903,908,13267,1859,11278,905,14047,786,5666,656,7104,185,2019,383,2582,8806,51367,5308,65484
SED10010,116,2359,207,2674,183,3173,316,3666,459,6604,740,7798,658,6199,517,7368,626,4335,376,5336,540,3913,304,4757,354,2882,205,3442,162,1336,126,1623,42,412,62,514,3133,31206,2837,37176,127,2086,194,2408,233,2693,252,3177,636,6365,602,7599,978,5577,541,7097,890,4091,333,5316,778,3808,249,4836,451,3146,211,3812,175,1594,156,1926,26,780,80,885,4299,30138,2619,37048,241,4445,394,5084,419,5865,567,6843,1088,12967,1339,15398,1638,11773,1053,14467,1514,8424,713,10650,1318,7718,548,9587,808,6028,421,7253,334,2933,282,3547,67,1185,142,1399,7432,61342,5458,74230
SED10011,122,2030,94,2245,95,1512,63,1667,243,2897,148,3285,451,3623,182,4256,742,3913,166,4834,760,3910,163,4826,552,3937,169,4651,249,1798,131,2178,72,498,40,610,3286,24122,1155,28560,109,1807,87,1999,105,1291,40,1439,353,2923,134,3414,816,3683,158,4653,1201,3838,192,5233,1251,4106,157,5516,788,4191,171,5153,291,2252,160,2704,54,824,154,1034,4979,24921,1255,31147,235,3834,175,4243,203,2808,100,3107,594,5825,282,6700,1269,7298,344,8908,1947,7751,365,10062,2017,8013,311,10340,1338,8130,341,9808,537,4048,291,4876,127,1328,194,1644,8260,49039,2408,59708
SED10012,146,2637,239,3023,184,2766,204,3155,462,4756,434,5655,516,3744,355,4616,602,4279,375,5257,641,4784,394,5815,336,3403,239,3980,161,1395,174,1730,42,473,153,671,3084,28248,2569,33898,142,2533,206,2884,240,2623,181,3043,577,4473,396,5445,849,4196,361,5410,1095,4502,344,5943,1033,4486,347,5866,543,3517,232,4292,178,1538,246,1963,41,740,291,1071,4697,28609,2606,35915,286,5174,440,5905,429,5392,384,6201,1038,9229,835,11101,1367,7940,718,10023,1697,8787,719,11201,1673,9265,739,11673,878,6927,471,8272,339,2935,423,3696,82,1214,443,1741,7783,56858,5173,69815
SED10013,139,3881,179,4201,195,3480,162,3841,562,8944,472,9979,927,8754,467,10141,943,6629,295,7868,699,4595,235,5524,404,3308,190,3902,180,1517,170,1868,36,401,139,573,4087,41503,2311,47901,215,3692,187,4098,231,3499,198,3919,1055,9656,491,11198,1575,8344,428,10344,1524,6112,267,7907,1177,4627,210,6016,548,3539,195,4280,189,1705,160,2054,31,690,148,870,6550,41863,2287,50690,356,7571,366,8301,424,6977,361,7765,1616,18600,958,21176,2502,17094,893,20491,2469,12737,568,15774,1882,9219,445,11547,960,6844,380,8184,369,3223,328,3922,63,1090,293,1443,10636,83363,4593,98596
SED10014,139,2390,225,2750,161,2537,231,2931,436,4988,438,5865,665,4611,480,5751,572,3741,349,4662,481,3677,269,4422,384,2978,184,3557,196,1374,162,1729,41,253,47,341,3080,26553,2380,32012,155,2295,199,2645,199,2393,205,2798,775,5093,489,6359,1081,4373,434,5889,1044,3587,295,4925,903,3715,255,4881,580,3265,256,4097,191,1535,204,1935,23,468,127,621,4953,26734,2459,34142,291,4678,416,5396,361,4935,434,5727,1218,10079,927,12224,1738,8985,915,11637,1611,7337,642,9591,1381,7394,524,9305,964,6241,443,7647,389,2906,367,3668,70,725,173,962,8033,53290,4838,66156
SED10015,131,2248,136,2508,145,2922,288,3358,409,6662,739,7808,614,5694,557,6868,924,4988,411,6318,766,4337,323,5429,339,3039,239,3614,237,1900,237,2373,91,789,127,1009,3650,32579,3061,39286,123,2024,120,2266,191,2600,255,3044,492,6186,588,7262,919,5370,500,6789,1297,4867,399,6563,1037,4218,346,5599,582,3309,249,4138,294,2243,237,2774,64,1034,245,1342,5001,31846,2938,39779,252,4266,252,4773,340,5519,540,6401,897,12846,1329,15074,1535,11062,1059,13657,2217,9858,809,12879,1805,8557,667,11028,926,6341,492,7751,534,4146,474,5144,156,1822,373,2355,8650,64420,5992,79063
SED10016,142,3592,121,3848,190,3012,101,3298,268,4705,177,5147,726,7179,258,8156,846,6230,208,7288,690,4442,121,5252,413,3317,115,3845,191,1692,98,1979,46,417,107,567,3509,34578,1302,39385,159,3441,92,3696,183,2741,96,3024,448,5030,214,5693,1061,7595,274,8932,1306,6179,188,7669,1025,4322,141,5489,597,3527,104,4233,238,1817,88,2139,53,632,48,731,5066,35283,1262,41613,302,7033,214,7546,373,5756,200,6324,718,9731,396,10839,1785,14769,532,17090,2156,12406,397,14958,1708,8763,269,10741,1013,6843,225,8082,421,3513,187,4120,101,1048,156,1305,8576,69860,2560,80997
SED10017,138,2380,158,2678,124,2258,275,2648,417,5084,778,6280,552,4494,667,5709,683,4197,520,5395,786,3861,369,5009,580,3430,324,4324,206,1592,198,1998,54,436,75,560,3532,27720,3361,34610,161,2245,154,2566,224,2222,155,2600,774,5183,304,6260,1087,4308,263,5658,1223,3905,238,5370,1249,3700,207,5156,756,3419,219,4398,215,1739,197,2154,32,819,139,999,5733,27541,1881,35156,306,4626,314,5244,349,4477,427,5248,1192,10265,1082,12545,1637,8802,928,11366,1901,8101,761,10759,2035,7558,577,10164,1334,6849,548,8727,423,3336,396,4151,81,1255,219,1561,9260,55264,5239,69765
SED10018,81,2187,100,2372,110,2041,79,2233,286,3911,239,4439,451,4123,184,4763,692,3953,193,4844,782,3354,164,4305,526,2826,137,3483,288,1818,108,2214,85,638,98,816,3314,24845,1309,29468,93,1968,78,2144,142,1853,84,2078,465,4004,211,4675,806,4170,181,5159,1121,3767,155,5043,1256,3265,151,4673,738,3099,156,3994,354,2336,191,2883,75,1158,169,1402,5053,25620,1374,32048,175,4157,182,4512,253,3894,165,4311,757,7914,449,9115,1261,8290,364,9923,1815,7725,351,9887,2040,6615,316,8975,1259,5923,290,7483,647,4151,305,5096,159,1788,264,2215,8369,50460,2690,61524
SED10019,113,1819,259,2183,90,1453,301,1849,277,2779,695,3751,424,2761,641,3823,647,3360,557,4558,948,4332,516,5793,713,4770,404,5887,353,2574,296,3219,94,769,128,993,3651,24612,3792,32059,110,1567,225,1908,143,1423,166,1731,479,2882,394,3751,750,2740,420,3913,1044,3350,382,4773,1462,4094,385,5944,1028,4354,379,5765,433,2594,324,3352,83,1229,227,1529,5528,24234,2903,32658,224,3385,483,4092,236,2875,468,3580,750,5660,1086,7499,1173,5497,1063,7735,1688,6708,932,9332,2414,8424,898,11733,1745,9126,778,11651,782,5164,618,6572,169,1997,353,2524,9174,48846,6697,64716
SED10020,106,1988,176,2267,99,1607,139,1841,274,3622,376,4267,422,3641,340,4404,600,3760,322,4687,788,3905,299,4999,636,4043,252,4923,277,2126,232,2640,95,679,146,919,3291,25367,2287,30944,125,1959,159,2240,125,1511,126,1760,492,3684,340,4520,751,3800,311,4865,1070,3785,277,5136,1284,4022,281,5581,893,4094,276,5252,378,2392,323,3089,70,1053,284,1402,5178,26296,2374,33851,227,3941,338,4505,218,3118,262,3601,761,7310,717,8788,1176,7440,656,9273,1666,7553,600,9821,2075,7929,579,10579,1526,8129,524,10183,654,4511,554,5726,164,1731,423,2320,8475,51669,4654,64798
SED10021,84,1544,81,1712,106,1725,120,1943,285,7353,631,8267,423,5722,412,6551,642,4292,262,5199,657,3051,194,3897,287,2261,161,2708,149,1360,172,1675,63,480,214,762,2704,27777,2232,32714,68,1559,78,1700,118,2080,118,2326,382,8828,609,9816,652,5968,371,6998,1008,4378,229,5612,971,3014,162,4142,513,2454,196,3162,228,1547,246,2022,53,759,386,1201,3992,30584,2409,36979,152,3099,158,3413,225,3807,237,4268,662,16183,1235,18084,1075,11683,784,13545,1656,8670,488,10811,1628,6058,354,8041,802,4716,359,5876,373,2907,416,3698,115,1240,604,1959,6695,58365,4640,69698
SED10022,102,1815,245,2159,96,1417,249,1765,255,2913,547,3713,395,2801,542,3744,593,3188,498,4283,748,3943,484,5173,589,3978,414,4981,311,2271,299,2878,72,717,95,887,3169,23045,3375,29587,130,1672,191,1991,153,1308,140,1603,458,2801,295,3553,675,2746,305,3719,995,3091,284,4378,1160,3596,334,5092,852,3714,384,4943,305,2399,337,3048,65,1167,150,1383,4791,22498,2415,29708,234,3485,436,4150,252,2728,389,3367,713,5711,840,7264,1068,5547,850,7467,1593,6278,786,8658,1913,7544,814,10269,1442,7685,796,9931,619,4668,640,5925,138,1886,241,2266,7959,45544,5792,59293
SED10023,109,2348,81,2538,106,2071,60,2231,210,3994,227,4434,390,4205,207,4800,671,4560,185,5415,928,3877,152,4963,537,3199,127,3862,213,1783,95,2097,102,652,68,820,3265,26691,1198,31153,102,2152,74,2323,145,2078,74,2291,327,4141,211,4682,606,4368,189,5160,1167,4283,175,5625,1304,3759,121,5181,698,3358,139,4190,257,1972,148,2377,83,1013,180,1278,4676,27121,1321,33116,213,4497,158,4865,250,4144,133,4522,536,8139,437,9116,996,8575,393,9963,1835,8844,359,11042,2231,7637,274,10139,1232,6558,269,8055,471,3750,246,4469,183,1668,247,2102,7940,53805,2517,64271
SED10024,124,2898,75,3089,131,2188,55,2371,150,2357,83,2585,399,4143,127,4669,746,5148,143,6039,846,3837,116,4798,428,3098,100,3629,292,2285,84,2658,114,817,72,997,3228,26768,844,30843,114,2680,61,2850,135,1908,52,2093,214,2476,87,2781,654,4888,156,5704,1273,5225,144,6640,1150,3689,121,4960,620,3395,99,4118,346,2697,127,3170,80,1256,153,1485,4580,28225,1007,33810,234,5575,134,5942,263,4094,110,4465,363,4834,170,5368,1057,9034,284,10375,2016,10375,282,12680,1996,7528,235,9756,1046,6502,198,7746,637,4978,212,5827,198,2065,224,2489,7808,54989,1848,64649
SED10025,92,1747,68,1908,103,1930,115,2149,285,5501,349,6135,499,5348,302,6152,699,4236,181,5115,798,3516,151,4467,386,3028,161,3570,207,1745,123,2077,83,626,91,801,3149,27684,1543,32376,75,1803,59,1937,113,1911,112,2135,393,6010,365,6765,732,5401,288,6418,1209,4468,172,5855,1183,3843,180,5207,617,3398,171,4188,292,2020,187,2497,69,989,280,1344,4685,29842,1810,36335,169,3551,123,3840,212,3846,225,4287,677,11508,709,12901,1234,10755,594,12576,1908,8707,353,10965,1985,7355,338,9676,998,6430,329,7756,497,3763,308,4571,150,1617,376,2140,7832,57529,3351,68709
SED10026,127,2057,311,2494,108,1772,296,2179,323,4613,835,5768,417,3830,686,4923,571,3624,550,4740,641,3841,462,4940,420,3252,355,4024,217,1858,232,2310,61,545,110,719,2884,25386,3839,32109,112,1880,229,2222,130,1812,201,2146,603,4680,595,5872,815,3677,503,5004,1016,3493,420,4926,1137,3549,382,5069,622,3187,314,4122,274,2094,297,2658,43,896,176,1122,4753,25276,3115,33140,239,3938,536,4721,236,3588,499,4323,925,9292,1425,11642,1233,7504,1189,9931,1585,7118,964,9666,1778,7391,845,10007,1046,6434,664,8148,494,3953,526,4966,108,1444,292,1842,7637,50660,6951,65249
SED10027,116,2606,152,2882,162,2361,139,2665,351,4296,365,5008,547,4530,333,5407,696,4201,250,5145,671,3969,246,4891,433,2890,190,3513,201,1574,181,1950,70,654,181,905,3251,27077,2032,32363,107,2307,142,2552,178,2201,126,2514,548,4437,368,5350,895,4619,331,5841,1040,4157,268,5468,1014,3851,207,5073,575,2996,176,3743,205,1883,228,2314,46,950,329,1326,4611,27403,2171,34181,224,4911,296,5435,337,4562,268,5174,901,8733,729,10359,1446,9146,659,11250,1737,8359,513,10610,1686,7822,456,9961,1006,5886,368,7258,405,3454,404,4263,114,1602,517,2236,7861,54478,4210,66547
SED10028,98,2703,79,2876,162,2468,82,2708,252,4155,210,4616,495,5372,214,6078,707,4830,150,5687,771,4301,148,5211,457,3410,106,3975,216,1772,149,2136,102,800,165,1067,3257,29810,1304,34371,96,2566,62,2720,147,2291,71,2511,326,4297,206,4828,738,5881,225,6845,1007,4953,147,6102,1132,4408,127,5668,616,3523,138,4281,292,2239,219,2752,75,1362,380,1810,4430,31521,1576,37527,197,5271,141,5607,307,4757,151,5222,576,8455,415,9443,1233,11253,442,12926,1711,9782,295,11792,1905,8712,276,10886,1071,6932,249,8255,508,4010,367,4884,179,2160,540,2882,7689,61330,2878,71896
SED10029,152,2979,259,3389,207,2824,280,3311,563,5213,587,6370,614,4439,540,5598,732,4610,494,5837,581,4797,465,5845,353,3264,346,3958,171,1712,262,2143,48,521,172,750,3429,30363,3410,37203,149,2665,253,3070,242,2695,233,3171,687,4976,556,6221,962,4580,505,6048,1171,4563,459,6198,944,4563,427,5924,509,3451,346,4308,186,1855,287,2327,33,860,301,1203,4890,30205,3371,38459,306,5645,508,6456,447,5520,511,6478,1250,10189,1146,12585,1574,9019,1050,11645,1913,9174,953,12037,1522,9360,890,11768,859,6717,697,8272,357,3565,548,4466,81,1382,480,1946,8320,60564,6780,75660
