SED_CODE_2021,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1or2_st_bl_NofB_0_ib,Flt_at_In_1or2_s_b_NofB_1,Flt_at_In_1or2_s_b_NofB_2,Flt_at_In_1or2_s_b_NofB_3,Flt_at_In_1or2_s_b_NofB_4,Flt_at_In_1or2_s_b_NofB_5,Flt_at_In_1or2_s_b_NoB_6_m,Flt_at_In_1or2_s_b_NoB_NS,Flt_at_In_1or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4to8_s_b_NofB_0_ib,Flt_apt_4to8_s_b_NofB_1,Flt_apt_4to8_s_b_NofB_2,Flt_apt_4to8_s_b_NofB_3,Flt_apt_4to8_s_b_NofB_4,Flt_apt_4to8_s_b_NofB_5,Flt_apt_4to8_s_b_NofB_6_m,Flt_apt_4to8_s_b_NofB_NS,Flt_apt_4to8_s_b_Total,Flt_apt_9_or_m_s_b_NofB_0_ib,Flt_apt_9_or_m_s_b_NofB_1,Flt_apt_9_or_m_s_b_NofB_2,Flt_apt_9_or_m_s_b_NofB_3,Flt_apt_9_or_m_s_b_NofB_4,Flt_apt_9_or_m_s_b_NofB_5,Flt_apt_9_or_m_s_b_NofB_6_m,Flt_apt_9_or_m_s_b_NofB_NS,Flt_apt_9_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
SED10001,43,283,3104,13158,9318,1434,288,403,28028,10,497,2805,626,42,5,5,97,4088,0,126,181,96,16,10,0,7,435,11,625,2987,723,53,11,5,107,4529,0,98,115,21,0,0,0,8,253,4,8,64,0,0,0,0,0,69,0,0,22,4,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,0,0,7,3,106,203,29,4,0,0,12,358,9,42,41,31,8,0,0,15,145,0,12,13,22,18,5,5,19,89,73,1071,6342,13956,9409,1451,302,557,33152
SED10002,39,218,1801,5710,3870,1383,515,310,13841,31,197,227,149,28,0,0,21,653,6,193,513,2004,582,69,11,67,3448,37,398,741,2152,608,70,13,84,4105,61,399,1714,227,43,3,0,70,2523,9,85,1360,558,6,0,8,59,2087,70,1488,4264,962,48,9,5,97,6948,18,2061,4265,972,49,4,0,113,7481,5,45,153,112,53,22,19,18,428,156,4079,11755,2835,207,41,27,363,19465,6,11,40,32,10,7,4,3,109,0,38,80,22,9,3,0,13,163,231,4745,14414,10745,4705,1505,563,783,37685
SED10003,149,813,2696,9907,7513,1583,395,358,23419,4,145,1236,1190,126,12,6,60,2772,3,177,795,1192,147,16,7,37,2372,11,324,2032,2378,270,31,11,93,5149,21,257,584,268,29,0,4,22,1187,0,28,140,60,4,0,0,9,234,0,10,25,37,0,0,0,0,67,0,3,12,3,0,0,0,0,22,15,73,43,18,18,9,0,0,180,33,363,799,392,44,11,8,33,1693,68,253,287,78,4,4,0,54,750,12,54,33,24,8,5,5,13,144,272,1803,5848,12778,7848,1631,413,554,31153
SED10004,16,145,1578,3236,1743,363,50,44,7179,9,322,1934,1728,589,66,10,34,4684,75,528,2243,3249,1205,206,62,71,7639,82,851,4181,4977,1792,274,73,98,12328,135,723,1118,479,63,7,5,58,2585,291,1201,1862,281,27,0,0,51,3721,267,2020,2356,580,42,8,0,177,5449,157,1410,1291,315,15,0,7,37,3239,0,13,32,9,3,4,0,0,66,855,5374,6651,1666,157,22,17,322,15066,11,89,103,39,15,7,0,7,267,10,20,16,13,5,0,9,5,77,975,6480,12529,9935,3716,662,145,472,34914
SED10005,31,174,1911,6625,4388,1478,444,329,15372,17,76,189,430,101,17,0,12,861,5,119,398,1090,867,87,9,52,2626,24,195,595,1521,970,103,6,69,3486,97,519,518,267,56,5,0,53,1517,46,203,2925,493,8,0,4,84,3766,25,209,1648,265,5,0,0,46,2203,5,69,835,177,0,0,0,28,1120,0,27,156,78,49,22,7,13,348,173,1035,6080,1289,119,26,15,218,8955,0,10,79,58,3,0,0,8,160,4,14,34,14,10,3,0,5,78,230,1418,8695,9504,5487,1610,467,633,28048
SED10006,84,613,3633,11911,6487,1302,397,591,25020,4,242,517,89,21,6,3,35,910,0,9,33,14,5,0,0,0,61,4,251,543,104,20,9,4,39,974,11,227,261,31,6,0,0,18,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,4,11,228,263,34,10,5,0,18,569,33,118,103,74,17,5,6,37,394,13,55,82,84,52,30,23,30,370,149,1254,4631,12212,6593,1342,425,714,27324
SED10007,74,436,3048,11191,9195,1930,510,410,26792,16,243,1007,573,70,5,7,61,1978,5,118,142,160,36,5,4,20,482,21,366,1148,734,100,8,8,78,2460,20,191,496,93,13,0,4,24,837,0,7,17,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,8,9,5,3,0,0,7,23,22,205,518,100,15,0,4,23,901,17,34,26,27,12,6,8,12,141,4,21,16,18,22,0,4,4,94,135,1059,4759,12072,9347,1953,533,526,30379
SED10008,10,114,624,5329,11071,4492,955,164,22750,0,10,196,242,18,5,0,6,491,0,11,351,1584,380,43,6,13,2390,0,24,549,1831,405,48,7,26,2885,6,50,206,95,4,0,0,17,364,0,12,243,167,0,0,0,3,424,5,299,740,231,15,0,0,14,1299,0,105,350,88,3,0,0,6,553,3,9,39,18,16,7,3,0,96,7,477,1571,592,38,7,3,40,2737,0,0,0,0,0,0,0,0,0,3,7,8,22,10,10,3,8,62,21,615,2746,7776,11522,4558,963,233,28431
SED10009,156,721,3568,11980,7550,1470,349,412,26215,3,130,815,527,31,3,0,46,1571,6,101,441,441,62,7,3,26,1078,9,227,1253,972,93,10,3,76,2649,15,178,887,348,28,4,0,35,1500,0,13,56,23,0,0,0,3,94,0,0,28,15,0,0,0,0,38,0,0,0,0,0,0,0,0,5,0,11,10,7,4,3,0,3,43,20,195,980,398,33,9,3,44,1679,57,179,234,53,18,4,0,20,565,7,22,32,30,20,4,0,12,126,245,1353,6074,13431,7713,1499,366,557,31229
SED10010,32,287,2444,11284,6613,1560,402,348,22971,22,100,275,447,133,7,0,23,1014,11,112,503,1359,604,46,6,44,2686,32,210,773,1801,736,59,8,70,3697,54,317,115,32,10,0,0,26,547,0,0,15,0,0,0,0,0,15,0,77,1800,91,0,0,0,35,2004,0,16,146,49,3,0,0,7,219,3,12,114,68,18,7,11,10,237,60,420,2187,234,36,7,12,78,3031,0,3,14,8,0,0,0,0,23,0,14,12,5,0,5,0,0,43,126,929,5435,13336,7388,1627,415,504,29767
